address,gen_descrip,Diện tích,Mức giá,Hướng ban công,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Pháp lý,Nội thất,Số tầng,Đường vào,Mặt tiền
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án Usilk City']","
Cập nhật ngày 25/11/ 2022, căn 2PN và 3PN bán gấp cắt lỗ.* Các căn hộ 2 phòng ngủ cần bán.+ 94m². Giá bán 2,15 tỷ có thương lượng (full đủ đồ, ban công Đông Nam, tầng trung). (Bán gấp trong ngày 25 và 26 tháng 11 năm 2022).+ Căn 80m². Giá bán 2.05 tỷ. (Nội thất gắn tường, tầng 30).+ Căn hộ 88m². Giá bán 2.3 tỷ. (Nội thất gắn tường, tầng cao).+ Căn hộ 99m². Giá: 2.19 tỷ (full đủ đồ, ban công Đông Nam, tầng trung).* Các căn hộ 3 phòng ngủ cần bán.+ Căn hộ 117m², full đủ đồ - giá cực rẻ. Giá: 2.7 tỷ nhà đẹp mới, khách vào ở luôn được. (Bán cực kỳ gấp ngày 25/11/2022).+ Căn hộ 96m², chia làm 3PN, full đủ đồ cực xịn, nhà mới giữ gìn, tầng trung, Đông Nam mát, 3PN Giá: 2.55 tỷ (Bán cực gấp trong ngày 19, 20 và 21 tháng 11).+ Căn hộ 94m², chia làm 3PN, full đầy đủ đồ tân cổ điển. Giá: 2.6 tỷ.+ Căn hộ 117m², full đồ. Giá: 2.5 tỷ (căn thô).+ Căn hộ 117m² góc nội thất cơ bản, cửa: Đông Nam. Giá 2.6 tỷ.+ Căn hộ 117m² góc có đồ cơ bản đẹp, nhà mới 100%, tầng 23. Cửa: Đông Nam. Giá 2.75 tỷ.+ Căn hộ 117m² góc full đủ đồ xịn, đẹp, nhà mới, Cửa: Đông Nam. Giá 2.75 tỷ (Bán cực gấp trong ngày 21 tháng 11).+ Căn hộ 117m² full đồ, ban công: Đông Nam, full đồ cực xịn, nhà mới, tầng đẹp, suất ngoại giao. Giá 2.9 tỷ.+ Căn 165m², giá 3,5 tỷ.+ Căn 175m², giá 3.8 tỷ.Liên hệ ban quản lý tòa nhà: Hotline: 0349 442 *** ",80 m²,2.05 tỷ,Đông - Nam,3 phòng,2 phòng,25/11/2022,05/12/2022,Tin Vip 3,35949600,batdongsan_com_vn_35949600,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Đại lộ Thăng Long', 'Dự án Vinhomes Green Bay Mễ Trì']","
Do nhu cầu chuyển đổi công tác tôi muốn bán căn hộ 2PN - 1VS G2 Vinhomes Green Bay:DT 63 m².Cửa ĐB, Ban công TN, view nội khu yên tĩnh, mát mẻ.Nội thất đầy đủ làm đẹp ở lâu dài.Giá 2.8 tỷ.Liên hệ: Anh Thủy 0989 726 ***!            ",63 m²,2.8 tỷ,Tây - Nam,2 phòng,1 phòng,25/11/2022,02/12/2022,Tin Vip 3,35527445,batdongsan_com_vn_35527445,Đông - Bắc,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,,,
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Đường Huỳnh Văn Nghệ', 'Dự án Le Grand Jardin Sài Đồng']","
* Trực tiếp với chủ đầu tư, không qua trung gian luôn là sự an tâm với khách hàng. Quý khách hàng được hưởng giá và chính sách tốt nhất chỉ CĐT mới có. Hỗ trợ khách hàng trọn đời.Hãy gọi ngay cho chúng tôi qua số hotline: 0986 010 *** - 0968 644 ***.* Chính sách bán hàng:+ Chiết khấu 6 % giá bán căn hộ trước VAT.+ Miễn phí 18 tháng phí dịch vụ vận hành.+ Tặng đến 3 chỉ vàng 9999.+ Với khách vay ngân hàng - miễn phí lãi 0% 12 tháng, ân hạn nợ gốc.--------------------------------------------------------------------Giá bán chỉ từ 3x triệu/m².+ Căn 2PN 50m², 54m²: Chỉ từ 2 tỷ.+ Căn 2PN 64m² - 66m² - 76m²: Chỉ từ 2,3 tỷ.+ Căn hộ (2PN + 1) 83m²: Từ 2,9 tỷ.+ Căn hộ 3PN góc 97m² - 99m² - 105m²: Từ 3,4 tỷ - 3,6 tỷ/mua thẳng - Trả góp LS 0%.--------------------------------------------------------------------* Đồng thời chúng tôi có quỹ căn chuyển nhượng căn đẹp, tầng đẹp, giá siêu rẻ, ở ngay để anh chị tìm hiểu và tham khảo.--------------------------------------------------------------------Click vào xem bảng giá chi tiết: https://chungcusaidong.net/le-grand-jardin-sai-dong-long-bien/Hotline CĐT hỗ trợ 24/7.            ",76 m²,2.7 tỷ,,2 phòng,2 phòng,25/11/2022,02/12/2022,Tin Vip 3,34648788,batdongsan_com_vn_34648788,,Sổ đỏ/ Sổ hồng,Full nội thất cơ bản liền.,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Lê Trọng Tấn']","
Nhà xây độc lập La Khê 37m² x 4 tầng có sân riêng oto đỗ gần giá 3.69 tỷ có thương lượng 0974 983 ***Lê Trọng Tấn - Phan Đình Giót, La Khê, Hà Đông. Đối diện Park City Lê Trọng Tấn - Hà Đông. Có công viên rộng. Giá 3.69 có thương lượng.Nhà thiết kế theo phong cách hiện đại cực đẹp Có bản vẽ thiết kế và Sơ đồ điện nước chi tiết. Nằm trên mảnh đất sạch cả về mặt pháp lý và tốt lành cả về phương diện tâm linh.- Nhà 4 tầng. Nhiều cửa sổ, đón ánh sáng tự nhiên, thoáng mát.- Diện tích 37m.- Nhà 4PN, 3WC.* Vị trí đắc địa:- Nằm ở vị trí thuận lợi: Nằm ngay nút giao ngã tư Lê Trọng Tấn Phan Đình Giót, giao thông đi lại vô cùng thuận tiện.- Đối diện KĐT Park City. Cạnh KĐT Nam La Khê, Ngô Thì Nhậm, Văn Khê, nên được hưởng đầy đủ tất cả các tiện ích của các khu đô thị như: Công viên đi bộ trải đầy hoa, bể bơi 4 mùa, phòng gym, yoga, spa đẳng cấp. Trường học các cấp (Cấp 1 và 2 Văn Khê, Trần Đăng Ninh. THPT chuyên Nguyễn Huệ, Lê Quý Đôn, Quang Trung,... ),- Sổ đỏ chính chủ. Hồ sơ thiết kế. Giấy phép xây dựng. Pháp lý chuẩn chỉ.- Giá: 3,69 tỷ (Có thương lượng + bao phí sang tên sổ đỏ).Liên hệ em Vân 0974 983 *** xem và tư vấn miễn phí.            ",37 m²,3.69 tỷ,,4 phòng,3 phòng,25/11/2022,02/12/2022,Tin Vip 3,35949453,batdongsan_com_vn_35949453,,Sổ đỏ/ Sổ hồng,Cơ bản,4 tầng,,
"['Hà Nội', 'Thạch Thất', 'Xã Tân Xã']","
Chính chủ bán nhanh 130,5m² full thổ, trục chính liên thôn.Thế đất vuông vắn, đẹp, dễ thiết kế.Phù hợp xây nhà trọ, kinh doanh, đầu tư sinh lời.Đường 2 ô tô tránh, cách đường liên xã khoảng 200m.Vị trí cách KCNC Hòa Lạc chỉ 500m, cách ĐH FPT chỉ hơn 1km.Xung quanh dân cư đông đúc, gần chợ dân sinh, trường học, UBND.Tiềm năng tăng giá cao, khả năng thanh khoản tốt.LH em Vân 0868 819 *** để xem đất và làm việc chính chủ.            ",130.5 m²,Thỏa thuận,,,,25/11/2022,02/12/2022,Tin Vip 3,35742674,batdongsan_com_vn_35742674,,Sổ đỏ/ Sổ hồng,,,7 m,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Kim Giang', 'Ngõ 168']","
Mình chính chủ cần bán nhà gấp.Địa chỉ ngõ 168 Kim Giang.Nhà 5 tầng 5 phòng ngủ, 1 khách, 1 bếp, sân vườn trên cao, sân phơi quần áo.Diện tích 43m², sổ đỏ vuông vắn.Liên hệ:0975 520 *** ",43 m²,3.9 tỷ,,5 phòng,4 phòng,25/11/2022,05/12/2022,Tin Vip 3,35949356,batdongsan_com_vn_35949356,,Sổ đỏ/ Sổ hồng,,5 tầng,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án Anland Premium']","
Tôi chính chủ, có 1 căn duy nhất bên toà Anland 1 (Complex) đang có nhu cầu chuyển nhượng cho anh chị nào có nhu cầu. Căn hộ tôi thuê thiết kế ngay từ đầu, nội thất lõi xanh An Cương cao cấp. Tôi đầu tư rất cẩn thận và tỉ mỉ, nhưng nay bán đi cũng rất tiếc. Thông tin căn hộ nhà tôi như sau:Diện tích: 90m².Hướng cửa: Tây Bắc. Ban công: Đông nam.Thông số căn hộ: 2 + 1 ngủ, 2 vệ sinh, 1 phòng khách, bếp.Nội thất nhà mình đã làm sẵn sàn gỗ, trần thạch cao, hệ thống tủ bếp, 5 điều hoà, sofa, giường ngủ, tủ quần áo, nóng lạnh...Pháp lý: Sổ đỏ chính chủ.Giá bán: 3 tỷ 400 tr có thương lượng và gia lộc cho khách thiện trí.Liên hệ chính chủ 0345 888 *** hoặc 0366 767 *** ",90 m²,3.4 tỷ,Đông - Nam,3 phòng,2 phòng,25/11/2022,05/12/2022,Tin Vip 3,35949339,batdongsan_com_vn_35949339,Tây - Bắc,Sổ đỏ,,,,
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng', 'Đường Lê Xuân Điệp', 'Dự án Mipec City View']","
Em bán căn 60m vuông vắn chung cư Mipec Kiến Hưng Hà Đông.Thiết kế 2 ngủ, 2 vệ sinh, 2 ban công.Ban công Đông Bắc view đẹp thoáng mát.Nhà full nội thất xịn như ảnh chỉ xách va li về ở.Liên hệ: 0988 104 *** ",60 m²,Thỏa thuận,Đông - Bắc,2 phòng,2 phòng,25/11/2022,02/12/2022,Tin Vip 3,35949289,batdongsan_com_vn_35949289,Tây - Nam,Sổ đỏ/ Sổ hồng,Bàn giao full nội thất sịn sò như ảnh,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Nguyễn Chánh', 'Dự án Belleville Hà Nội']","
Chính chủ cần bán căn Shophouse mặt phố Nguyễn Chánh đối diện Viện Kiểm Toán Nhà Nước.Gọi ngay để đi xem nhà: 0963 416 ***Mr. Dũng).Diện tích 140m², mặt tiền 7m, cao 5 tầng thiết kế thông tầng có thang máy, kinh doanh siêu đỉnh, cho thuê 160,043 triệu/th.Căn Shop nằm ở vị trí đẹp không lỗi phong thủy, mặt tiền đẹp, vỉa hè rộng 7m để xe thuận tiện, kinh doanh sầm uất.Nằm trên vị trí đắc địa đẹp nhất phố Nguyễn Chánh.Liên hệ để đi xem thực tế: 0963 416 ***Mr. Dũng).            ",140 m²,Thỏa thuận,,5 phòng,6 phòng,25/11/2022,05/12/2022,Tin Vip 3,35949190,batdongsan_com_vn_35949190,,Sổ đỏ/ Sổ hồng,,5 tầng,,7 m
"['Hà Nội', 'Gia Lâm', 'Xã Kim Sơn', 'Đường Quốc Lộ 17']","
Cần bán nhanh lô đất khu tái định cư Kim Sơn, Kim Sơn, Gia Lâm.- Diện tích: 80m².- Mặt tiền: 4.32m.- Hướng: Đông Nam thoáng mát.- Đường trước đất rộng 11.5m, chia lô bàn cơ nên cực thông thoáng.* Giá bán: 51tr/m² có thương lượng.- Vị trí: Khu đất tọa lạc tại Phố Keo, mặt đường quốc lộ 17 Gia lâm - Bắc Ninh dân cư đông đúc, kinh doanh sầm uất nhất khu vực.- Năm 2022 huyện Gia Lâm tiếp tục đầu tư cải tạo, mở rộng các tuyến đường các xã Phú Thị; Kim Sơn; Lệ Chi + huyện giáp ranh Thuân Thành (Bắc Ninh) lên Thị Xã; mở bán dự án khu đô thị Phú Mỹ Hưng... Là đòn bẩy tác động lớn nhất đến bđs.Liên hệ: Em Kiên 0933 332 *** ",80 m²,51 triệu/m²,,,,25/11/2022,02/12/2022,Tin Vip 3,35949128,batdongsan_com_vn_35949128,Đông - Nam,Sổ đỏ/ Sổ hồng,,,11.5 m,4.32 m
