address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Nội thất,Mặt tiền,Đường vào,Số tầng,Hướng nhà
"['Hà Nội', 'Sóc Sơn', 'Xã Tân Minh', 'Đường Quốc lộ 3']","
Cần bán mảnh đất 70m² tại Tân Minh Sóc Sơn giá chỉ nhỉnh 700tr LH: 0981 288 ***- Mặt tiền 6m.- Đường ô tô vào tân đất.- Trường, chợ đông đúc cách chỉ vài trăm mét.- Khu vực dân trí tốt, tiềm năng.- Giá chỉ hơn 700tr.- Liên hệ: 0981 288 *** ",70 m²,770 triệu,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35482643,batdongsan_com_vn_35482643,,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Nguyễn Hoàng', 'Dự án Mỹ Đình Plaza 2']","
Bán căn hộ đang ở tại chung cư Mỹ Đình Plaza 2 - số 2 Nguyễn Hoàng:- Diện tích 69.5 m², thiết kế 2 phòng ngủ, 2 vệ sinh, 1 ban công + 1 lô gia.- Căn hộ tầng 20, cửa hướng Tây, ban công hướng Đông, view siêu đẹp xanh mát, lộng gió, sạch sẽ, mùa hè không cần bật điều hòa.- Sổ đỏ sẵn sàng sang tên, pháp lý rõ ràng.- Full nội thất trừ đồ điện tử.            ",69.5 m²,2.95 tỷ,,30/11/2022,07/12/2022,Tin thường,34420300,batdongsan_com_vn_34420300,2 phòng,2 phòng,Full,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai', 'Ngõ 622', 'Chung cư 622 Minh Khai']","
Chính chủ bán căn toà Handico 5 đi bộ 2 sang Times City, Hai Bà Trưng, Hà Nội - 67m², giá 2.58 tỷ.2PN full đồ cực đẹp chỉ 2.58 tỷ đã có sổ đỏ.Call em: 0971 283 ***Ngõ 622 Minh Khai, ngõ thông sang Times City.Nhà full đồ từ A - Z chỉ việc xách vali vào ở.Căn 2 phòng ngủ, đồ nội thất rất đẹp và xịn, sàn gỗ sạch sẽ.Nhà đã có sổ đỏ, pháp lý không phải lo.=======================Giá bán: 2.58 tỷ.Call đi xem nhà: 0971 283 *** ",67 m²,2.58 tỷ,,25/11/2022,02/12/2022,Tin thường,35945863,batdongsan_com_vn_35945863,2 phòng,,,,,,
"['Hà Nội', 'Sóc Sơn', 'Xã Hiền Ninh', 'Đường 131']","
Chính chủ cần tiền bán 133m² đất nằm trên mặt trục chính Hiền Lương xã Hiền Ninh.- Mặt tiền hơn 5m.- Đường rất rộng ô tô đỗ cửa.- Vị trí rất tiềm năng chỉ 150 m ra chợ đông đúc, 2km ra tới KCN Nội Bài, đường 35 chỉ cách 500m.- Giá chính chủ cho MG kết hợp cùng bán.- LH: 0981 288 *** ",133 m²,13 triệu/m²,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,34982947,batdongsan_com_vn_34982947,,,,,,,
"['Hà Nội', 'Thạch Thất', 'Xã Bình Yên', 'Đường 420']","
Lô góc sát TL420 gần ngã 3 chợ Hòa Lạc giá cực rẻ.Lô này vị trí đầu tư sinh lời nhìn thấy luôn không mua lô này thì mua lô nào được nữa.- Lô góc 99,8m².- Cách Tỉnh Lộ 420... 50m.- Gần trường đại học FPT.- Cách ngã 3 Hòa Lạc và quốc lộ 21 chỉ 300 m.- Đường thông thoáng 2 xe ô tô tải tránh.- Xung quanh nhà dân và nhà trọ hiện hữu đông đúc.LH em 0977 242 *** gửi sổ và thông tin khu đất ạ.            ",99.8 m²,Thỏa thuận,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35978164,batdongsan_com_vn_35978164,,,,5 m,8 m,,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Trần Hữu Dực', 'Dự án Florence Mỹ Đình']","
Bán căn hộ nội thất cơ bản:Diện tích 82m², 3PN 2WC, căn hộ đã có sổ sẵn sàng giao dịch.Giá 3,650 tỷ (thu ve ).Chung cư 28 Trần Hữu Dực hứa hẹn sẽ là nơi duy nhất đáp ứng đầy đủ và trọn vẹn cho quý khách hàng hàng loạt các hệ thống tiện ích vượt trội như: Hệ thống trung tâm thương mại, hệ thống bể bơi bốn mùa, khuôn viên cây xanh, không gian xanh rộng rãi phía dưới Và nơi đây sẽ là nơi vui chơi giải trí và sinh hoạt cộng đồng tạo cho cư dân tại đây có một không gian hữu ích nhất.Trong vòng chưa đầy 1km, hàng loạt các hệ thống, công trình hạ tầng xã hội hàng đầu như hệ thống trường nhiều cấp chất lượng cao Đoàn Thị Điểm, Marie Curie, Lê Quý Đôn, Trường chuyên Đại học Quốc Gia, Bệnh viện 198 - Bộ Công An, Bệnh viện Huyết học và Truyền máu TW, công viên Cầu Giấy, công viên Hòa Bìnhxuất hiện. Và là một trong những điểm Hot trong việc quyết định lựa chọn Chung cư Florence làm một chốn an cư đẳng cấp hoàn hảo.Qúy a/c có nhu cầu thăm quan trực tiếp căn hộ LH: 0906 241 *** ",82 m²,3.65 tỷ,,30/11/2022,07/12/2022,Tin thường,35596092,batdongsan_com_vn_35596092,3 phòng,2 phòng,Full,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Dịch Vọng Hậu', 'Ngõ 66 số nhà 2x']","
Nhà nằm ở ngõ 66 số nhà 2x Dịch Vọng Hậu.Diện tích 65m², mặt tiền 6m3, thang máy nhập khẩu.Vị trí ngõ thông Trần Thái Tông, kinh doanh rau dưa.- Nhà hiện tại có 15 phòng khép kín full nội thất như:+ Điều hòa, nóng lạnh, tủ lạnh, bếp, giường tủ, tủ quần áo, bàn làm việc...- Hiện đang vận hành kinh doanh ngót nghét 90 tr/tháng.- Chủ hiện bận việc nên cho bên thứ 3 vận hành với giá ưu đãi 68tr/tháng.Sổ vuông đét tiền hậu 6m.Pháp lý sạch sẽ, sẵn sàng giao dịch ngay.Giá chào bán: 13 tỷ có thương lượng.Liên hệ: Em Tước 0971 026 ***MTG, QC.            ",65 m²,13 tỷ,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35789264,batdongsan_com_vn_35789264,,,"Điều hòa, nóng lạnh, tủ lạnh, bếp, giường tủ, tủ quần áo, bàn làm việc...",6 m,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Times City']","
- Do chuyển xuống biệt thự nên gia đình cần bán nhanh trong tuần căn 106m², tầng 11 tòa vip T10 Times City.- Thiết kế 2PN siêu rộng, 1PK rộng, 2WC, bếp, 2 lô gia, ban công hướng Nam, view sân chơi thoáng mát.- Nội thất nguyên bản: Tủ âm tường, tủ bếp, trần thạch cao, điều hòa, sàn gỗ, bếp hồng ngoại, thiết bị vệ sinh, đèn chiếu sáng hiện đại.- Giá: 5.5 tỷ bao phí sang tên sổ đỏ (sổ đỏ chính chủ).Liên hệ xem căn hộ: 0962 984 *** ",106 m²,5.5 tỷ,,25/11/2022,02/12/2022,Tin thường,35948822,batdongsan_com_vn_35948822,2 phòng,2 phòng,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Đường Tô Hiệu']","
Bán tòa nhà căn hộ dịch vụ vừa ở vừa cho thuê tại Tô Hiệu, phường Nghĩa Tân, quận Cầu Giấy. Diện tích 140 m² (DTXD 110m² x 8 tầng, thang máy tốc độ cao). Vị trí cực đẹp lô góc sát 2 mặt đường ôtô tránh nhau, thiết kế hiện đại gồm:+ Tầng 1 để 2 xe 7 chỗ và nhiều xe máy.+ Tầng 2: Thông sàn làm văn phòng.+ Tầng 3,4,5,6: Mỗi tầng 3 căn hộ dịch vụ full nội thất.+ Tầng 7: Phòng khách, phòng thờ, bếp và phòng ăn.+ Tầng 8: Sân phơi, ban công.Nhà thiết kế vừa ở vừa cho thuê, đầy đủ nội thất, điều hòa, máy giặt, tủ bếp, giường, tủ quần áo, mành rèm, thiết bị vệ sinh cao cấp, bếp, chỉ việc về ở và thu tiền hàng tháng.Vị trí đẹp, trung tâm, sát đường Hoàng Quốc Việt, lô góc sát 2 mặt đường ô tô tránh nhau, thuận tiện giao thông, gần nhiều trường đại học lớn, nhiều TTTM, ngay gần chợ Nghĩa Tân, công Viên Nghĩa Đô.Sổ đỏ chính chủ, mua bán nhanh gọn. Giá 27 tỷ có thương lượng.Liên hệ anh Hà 0976 197 ***Miễn môi giới, trung gian).            ",140 m²,27 tỷ,Đã có sổ,26/11/2022,03/12/2022,Tin thường,35833783,batdongsan_com_vn_35833783,,,Đầy đủ,7 m,,8 tầng,
"['Hà Nội', 'Sóc Sơn', 'Xã Phù Lỗ', 'Đường 3']","
Cần bán mảnh đất 54m² tại Phù Lỗ.- Đường ô tô vào tận đất.- Sẵn nhà ở đầy đủ điện nước - Cách chợ phù lỗ chỉ chưa tới 1km.- Giao thông thuận tiện.- Từ Quốc Lộ 3 vào chỉ 200m.- Giá hơn tỷ chút.- Lh: 0981 288 *** ",54 m²,1.5 tỷ,Sổ đỏ/ sổ hồng,30/11/2022,07/12/2022,Tin thường,35661529,batdongsan_com_vn_35661529,,,,5 m,4 m,,
