address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Số phòng ngủ,Số toilet,Nội thất,Mặt tiền,Đường vào,Hướng ban công,Số tầng
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Văn Phú', 'Dự án KĐT Văn Phú']","
Bán liền kề Văn Phú lô góc - kinh doanh Cafe, nhà hàng - view công viên cây xanh, hồ sinh thái - 136m².- Nhà nằm vị trí độc nhất vô nhị tại KĐT Văn Phú. View công viên cây xanh, hồ sinh thái, tiếp giáp KĐT La Casta Văn Phú đẹp mộng mơ.- Nhà thiết kế 5 tầng, thông sàn tầng 1, 2, 3 kinh doanh đủ mọi loại hình.- Diện tích 136m².- Sổ đỏ cất két sẵn sàng lên đường.            ",136 m²,21 tỷ,Sổ đỏ,30/11/2022,07/12/2022,Tin thường,35510719,batdongsan_com_vn_35510719,,,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Phố Phùng Hưng', 'Dự án KĐT Xa La']","
Hình ảnh thực, thông tin chuẩn như hình, sổ đỏ chính chủ, sang tên nốt nhạc, Nói không với sai sự thực.Căn hộ thiết kế 2PN, 1WC khép kín và 1WC chung, Full nội thất gỗ Sồi nga như hình, nhà ở giữ gìn, còn rất mới, có thể ở ngay, không cần sơn sửa gì, GĐ để lại nội thất như sau:1. Giường gỗ sồi nga.2. Tủ bếp gỗ sồi nga.3. Tủ QA gỗ CN (mới).4. 3 điều hòa.5. Tủ rượu.Sổ đỏ sử dụng riêng, vay ngân hàng thoải mái, giá bán có ra lộc cho khách mua về ở lấy may mắn.Chi tiết liên hệ 0912 624 *** miễn trung gian báo mạng làm phiền.            ",86 m²,1.95 tỷ,Sổ đỏ chính chủ,25/11/2022,02/12/2022,Tin thường,35955253,batdongsan_com_vn_35955253,Nam,2 phòng,2 phòng,Cao cấp,,,,
"['Hà Nội', 'Hoài Đức', 'Thị trấn Trạm Trôi', 'Đường Quốc lộ 32', 'Dự án Lideco']","
Chính chủ cần tiền bán căn biệt thự song lập NV36 hướng Tây Nam (Thiên Nam).- Diện tích: 217m, mặt tiền 15,5m.- Đường 12m.- Xây dựng 5 tầng.- Vị trí cạnh lô góc rất thoáng.Hạ tầng tiện ích của khu đô thị đã hoàn thiện và đi vào hoạt động, phục vụ cho cư dân đầy đủ.- Giá 6xtr/m² cả nhà. (x thương lượng)Liên hệ em Thủy 0961 125 *** xem nhà trực tiếp.            ",217 m²,10 tỷ,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35979303,batdongsan_com_vn_35979303,Tây - Nam,12 phòng,7 phòng,,15.5 m,12 m,Tây - Nam,5 tầng
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Lê Đức Thọ']","
Bán nhà Mỹ Đình Lê Đức Thọ dân xây lô góc ngõ rộng 33m2x5T 3,75 tỷ.- Ngõ nông, trước nhà rộng 3m; lô góc 2 mặt siêu thoáng; không chung cổng, không đối cửa.- Kết nối Mỹ Đình, Lê Đức Thọ, Đình Thôn; rất gần BigC Garden, BV Hồng Ngọc.- Thiết kế hiện đại, 3PN thoáng sáng tuyệt vời, đầy đủ nội thất.- Sổ đỏ chính chủ sẵn sàng trao tay.- Khác hàng mua nhà Mỹ Đình, Mễ Trì vui lòng liên hệ anh Lãm thổ cư gặp chủ xem nhà 24/7, miễn trung gian môi giới.            ",33 m²,3.75 tỷ,Sổ đỏ/ Sổ hồng.,30/11/2022,07/12/2022,Tin thường,35987417,batdongsan_com_vn_35987417,,3 phòng,4 phòng,Đầy đủ,,3 m,,5 tầng
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Đường Nguyễn Khuyến', 'Dự án KĐT Văn Quán']","
Bán nhà Khu đô thị Văn Quán, Hà Đông.Vị trí:- Nhà nằm trong khu đô thị Văn Quán, Trung tâm quận Hà Đông cách mặt phố Nguyễn Khuyến chỉ 30m, Cách mặt đường Trần Phú 100m giao thông thuận tiện. Khu vực phân lô an ninh đảm bảo.- Xung quanh tiện ích vô vàn: Trường mầm non, cấp 1,2,3.. Đối diện bên đường là làng Việt Kiều Châu Âu sầm uất, tấp nập cả ngày: Nhà hàng, phòng khám, Ngân hàng,...Thiết kế:+ Nhà chủ tự xây rất chắc chắn, toàn bộ sàn nhà, cầu thang đều bằng gỗ thịt, khách chỉ việc xách vali về ở ngay.+ Chủ nhà là người cẩn thận, giữ gìn, nên nhà còn rất mới, ngõ trước nhà ô tô tránh, sạch sẽ. An sinh đỉnh cảo.+ Công năng.- Tầng 1 thông sàn (kinh doanh hoặc gara ô tô).- Tầng 2 phòng khách + bếp, 1 phòng ngủ, vệ sinh.- Tầng 3 gồm 2 phòng ngủ, 1 vệ sinh.- Tầng 4 phòng ngủ, phòng thờ.- Tầng 5 sân phơi.Sổ đỏ chính chủ, sẵn sàng giao dịch ngay. Chủ nhà rất thiện chí bán.            ",68 m²,15.5 tỷ,Sổ đỏ/ Sổ hồng.,30/11/2022,10/12/2022,Tin thường,35988415,batdongsan_com_vn_35988415,,4 phòng,3 phòng,Cơ bản.,4.5 m,3 m,,4 tầng
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'đường Mỹ Đình']","
Bán nhà Mỹ Đình siêu đẹp ô tô kinh doanh sát mặt phố, chợ đầu mối 48m2x5T 5,6 tỷ.- Ngõ thông tứ tung, rộng thoáng, ô tô đỗ cửa; quay đầu sát nhà; vài bước ra mặt phố, chợ đầu mối.- Kết nối Mỹ Đình, Lê Đức Thọ, Đình Thôn; sát BigC Garden, BV Hồng Ngọc.- Thiết kế hiện đại, đẹp lung linh; 5T 4 PN siêu đẹp, full nội thất sịn sò.- Sổ đỏ chính chủ sẵn sàng trao tay.- Khách hàng mua nhà Mỹ Đình, Mễ Trì vui lòng liên hệ anh Lãm thổ cư gặp chủ xem nhà 24/7, miễn trung gian môi giới.            ",48 m²,5.6 tỷ,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35987385,batdongsan_com_vn_35987385,,4 phòng,4 phòng,Đầy đủ,,,,5 tầng
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Lê Văn Lương', 'Dự án Diamond Flower Tower']","
Diện tích 120m², thiết kế gồm 3 phòng ngủ, 2 vệ sinh. Nhà đã có đầy đủ nội thất.Đầy đủ tiện ích, giao thông thuận tiện.Pháp lý đầy đủ, sổ đỏ chính chủ.Giá bán: 5.2 tỷ.Lh xem nhà: Dung 0383 906 *** ",120 m²,5.5 tỷ,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35776304,batdongsan_com_vn_35776304,Đông - Bắc,3 phòng,2 phòng,Full nội thất,,,Tây - Nam,
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Văn La', 'Dự án KĐT Văn Phú']","
Bán liền kề Văn Phú - Lô Góc - Mặt đường Văn La - kinh doanh sầm uất - 144m².- Nhà nằm ngay mặt đường Văn La khu vực sầm uất nhất quận Hà Đông. Dân cư đông đúc, gần trường, chợ, bể bơi, sân bóng.- Diện tích 144m² - 4 tầng - mặt tiền 23m.- Giá 26.5 tỷ.- Sổ đỏ cất kết sẵn sàng giao dịch.- Liên hệ: 0984 260 *** E. Thắng.            ",144 m²,26.5 tỷ,Sổ đỏ,30/11/2022,07/12/2022,Tin thường,35502293,batdongsan_com_vn_35502293,,,,,23 m,,,4 tầng
"['Hà Nội', 'Hoàn Kiếm', 'Phường Hàng Buồm', 'Phố Mã Mây']","
+ Chuyển đổi mục đích kinh doanh cần bán khách sạn 4* mặt phố Mã Mây kd hút tiền full tiện ích, vị trí đắc địa, view Đỉnh cao ban công rộng thoáng mát, trái tim thủ đô.- PL: Sổ đỏ chính chủ nở hậu giao dịch ngay.- Giá: 90 tỷ.- DT: 110 m²*9 tầng (2 Bar nhà hàng, sảnh vip, hệ thống phòng hiện đại cao cấp tiêu chuẩn quốc tế).+ Tiện ích ngập tràn: Phố cổ kd mở mắt kiếm được tiền kd đủ loại dịch vụ kèm theo, khách mua chỉ việc tiếp tục kd thu tiền, vị trí siêu đẹp hút khách du lịch trong và ngoài nước chỉ mất 5' đi bộ tới Hồ Hoàn Kiếm,... Di chuyển sang các tuyến phố lớn Nguyễn Hữu Huân, Tạ Hiện, Lương Ngọc Quyến,...+ Lh: Miss Hà Lê 0866 206 *** để qua xem siêu phẩm có 102 (miễn tiếp Mg).            ",110 m²,90 tỷ,Sổ đỏ chính chủ,30/11/2022,07/12/2022,Tin thường,34578591,batdongsan_com_vn_34578591,,,,Full,,,,9 tầng
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'đường Mỹ Đình']","
BÁn nhà Mỹ Đình, Phú Đô, siêu đẹp 5 bước ô tô tránh 45m2x5T 5,1 tỷ.- Ngõ nông, rộng, siêu thoáng; không đối cửa, không chung cổng; vài bước ra ô tô tránh, 20m gara ô tô.- Kết nối Mỹ Đình, Lê Đức Thọ, Phú Đô; sát SVĐ Mỹ Đình, BigC Garden, BV Hồng Ngọc.- Nhà mới kính koong, thiết kế hiện đại, thoáng sáng, đầy đủ công năng cho gia đình nhiều thế hệ.- Sổ đỏ chính chủ sẵn sàng trao tay.- Khách hàng mua nhà Mỹ Đình, Mễ Trì vui lòng liên hệ anh Lãm thổ cư gặp chủ xem nhà 24/7, miễn trung gian môi giới.            ",45 m²,5.1 tỷ,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35987360,batdongsan_com_vn_35987360,,4 phòng,4 phòng,Đầy đủ,,,,5 tầng
