address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa', 'Đường Yên Bình']","
Vị trí đẹp. Ngõ thông, oto qua cửa. Cách 1 nhà ra trục oto tránh. Rất phù hợp kinh doanh, buôn bán nhỏ lẻ.Thông số:Nhà xây dựng 4 tầng.DT sổ 38m². Hướng Tây Nam.Thiết kế tầng 2 phòng. Công năng:T1: Phòng khách (hoặc buôn bán). Bếp, nvs.T2: 2 phòng ngủ, 1 nvs.T3: 2 phòng ngủ, 1 nvs.T4: 1 gian thờ, 1 sân giặt + 1 sân phơi,Trang bị nội thất gắn tường cùng các hệ thống như: Đèn chiếu sáng, đèn trang trí, cấp thoát nước, cửa an toàn, cửa thông phòng, tay vịn giúp căn nhà đầy đủ công năng, gia chủ chỉ việc dọn về ở.Tiện ích:Nhà ngay cạnh trục chính oto tránh. Ngõ trước nhà là ngõ thông oto. Có thể buôn bán nhỏ lẻ.Trục chính vào nhà hội tụ đầy đủ quán xá, tạp hóa, chợ búa, chỗ gửi xe.Trường học các cấp trong bán kính gần.Từ nhà ra các địa điểm lớn của khu vực như: Bến xe Yên Nghĩa (10p), KĐT Đô Nghĩa (5p), AEON Hà Đông (15p).Giao thông di chuyển thuận tiện đi các trục chính để vào nội thành.Giá 2,35 tỷ. Bao thuế, phí. Mức thương lượng phụ thuộc vào thiện chí của KH.Hỗ trợ ngân hàng. Giải quyết a - z nếu khách cần.Liên hệ trực tiếp em Dương (zalo/call) để trao đổi cụ thể thông tin và xem nhà miễn phí.            ",38 m²,2.35 tỷ,3.3 m,3 m,Tây - Nam,Tây - Nam,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,35954484,batdongsan_com_vn_35954484,
"['Hà Nội', 'Sóc Sơn', 'Xã Hiền Ninh', 'Thái Đường']","
100m² Thái Đường, Hiền Ninh, đường trước đất rộng 7m trục chính kinh doanh tiếp giáp với trục chính kinh doanh thôn đông lai, cách đường bằng 100m (lô đất 1 mặt tiền đường + 2 mặt thoáng tiếp giáp.Ruộng).Mặt tiền = mặt hậu 5m.Lh: 0985 014 *** ",100 m²,17 triệu/m²,5 m,7 m,,,,,,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,35938564,batdongsan_com_vn_35938564,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Hoàng Cầu']","
+ Gia đình cần bán gấp nhà mặt hồ Hoàng Cầu, diện tích 50 m², 3 tầng, mặt tiền 4.6m, giá chỉ 11.8 tỷ đồng(có thương lượng).+ Vị trí nhà đẹp đường trước nhà 2 ô tô tránh nhau, giao thông thuận tiện, vỉa hè rộng 3m phù hợp cho ở kết hợp kinh doanh, văn phòng, spa, cafe... Đặc biệt sở hữu view mặt hồ cực thoáng mát. Sáng sáng đi tập thể dục hít thở không khí trong lành rất tốt cho sức khỏe.+ Nhà được xây dựng chắc chắn chỉ cần them chút sơn là đẹp long lanh.+ Sổ đỏ chính chủ.+ Liên hệ Anh Bình: 0962 286 *** để xem nhà. (miễn trung gian & MG).            ",50 m²,11.8 tỷ,4.6 m,7 m,,,3 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,31682552,batdongsan_com_vn_31682552,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Đại Từ', '32', 'Eco Lake View']","
Gia đình tôi bán lại căn hộ 75m² tại dự án Eco Lake View 32 Đại Từ.- Căn 04 - Tháp A, hướng view không bị chắn.- Thiết kế tối ưu với 2PN, 2WC.- Tầng 22 đẹp, view thoáng.- Nhà đã hoàn thiện đầy đủ nội thất, đồ điện tử cao cấp: Bếp từ, tủ lạnh, máy giặt, máy sấy, 3 điều hòa... Tặng lại hết cho chủ mới.- Còn 2 năm miễn phí dịch vụ. Nhà mới ở từ 8/2020.Giá bán thương lượng: 2.6 tỷ.Liên hệ: 0968 201 *** ",75 m²,2.6 tỷ,,,,Nam,,2 phòng,2 phòng,Sổ hồng vĩnh viễn.,30/11/2022,07/12/2022,Tin thường,29806335,batdongsan_com_vn_29806335,Full nội thất.
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa']","
DT: 33m².MT: 3.3m.Hướng: Đông Nam.Xây 4 tầng. Thiết kế tầng 2 phòng. Có sân để xe.Tổng DT sàn: 145m.T1: P khách + bếp + wc phụ.T2: 2P ngủ + wc.T3: 2P ngủ + wc.T4: P thờ + sân phơi.Trang bị: Đầy đủ Nội thất cơ bản.Điện nước, thiết bị đầy đủ. Chuyển về ở luôn.Kết cấu: Đổ móng bè, Khung cột bê tông chịu lực.Tiện ích:Cách nhà 20m là sân chơi rộng tập thể của phường. Để ô tô ngoài đó.Có chỗ gửi oto ngày đêm ngay gần.Cách nhà 100m ra trục chính dân cư, đầy đủ các tiệm, quán xá kinh doanh đủ mặt hàng, siêu thị, chợ, trường học.Vị trí: Tổ 15 Yên Nghĩa - Hà Đông.Giá: 1,95 tỷ (có thương lượng và bao phí sang tên).Pháp lý: Sổ đỏ chính chủ.Hỗ trợ ngân hàng nhà nước vay tới 25 năm và đến 75% giá trị nhà.Liên hệ em Dương Nam Định để trao đổi thêm thông tin và xem nhà miễn phí.            ",33 m²,1.95 tỷ,3.3 m,2 m,Đông - Nam,Đông - Nam,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35817648,batdongsan_com_vn_35817648,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hoàng Cầu']","
+ Gia đình cần bán gấp trong tháng nhà mặt phố Hoàng Cầu - Quận Đống Đa, diện tích: 35m², 5 tầng, mặt tiền 4.2m, kinh doanh ngày đêm.+ Nhà tọa lạc trung tâm quận Đống Đa, vỉa hè 7m, kinh doanh xầm uất ngày đêm. Hiện đang cho thuê 3 tầng dưới 30 triệu/ tháng.+ Nhà được xây dựng chắc chắn, gồm 5 phòng ngủ, 4 vệ sinh.+ Sổ đỏ chính chủ.+ Giá chỉ: 11.5 tỷ đồng(có thương lượng).+ Liên hệ anh Bình: 0962 286 *** để xem nhà (Không tiếp trung gian, môi giới).            ",35 m²,11.5 tỷ,4.2 m,,,,5 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35798865,batdongsan_com_vn_35798865,Đầy đủ
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa']","
Nhà xây mới, ở ngay trước Tết ở Yên Nghĩa, Hà Đông chỉ 1,9 tỷ.Vị thế cực đẹp. Nằm trong địa phận phường Yên Nghĩa: Gần công viên KĐT Đô Nghĩa, có dự án BV Nhi Hà Nội đã khởi công. Đại dự án Vành đai 4 sẽ triển khai vào đầu năm 2023.Khu dân cư đông đúc, dân cư tứ xứ thập phương. Đều vì mục đích an cư lạc nghiệp nên rất thân thiện, hòa đồng.Nằm gần các trục giao thông chính di chuyển thuận lợi: Bến xe Yên Nghĩa - Ga Cát Linh, QL 6 Hà Đông, Lê Trọng Tấn Tố hữu kéo dài.Đường vào nhà là trục chính 2 ô tô tránh, thông thương tứ phía. Ngõ trước nhà là ngõ ô tô.Tiện ích sinh hoạt đầy đủ: Chợ, trường học các cấp, nhà văn hóa, hàng quán tổng hợp, chỗ gửi xe.Thông tin:Nhà xây mới 4 tầng. Phong cách hiện đại, tối ưu công năng sử dụng.DT 31m². Hướng Tây Bắc.Thiết kế tầng 1 phòng. Sân để xe rộng hơn 10m².Công năng: 1 phòng khách, 3 phòng ngủ, 3 nvs, 1 gian thờ, 1 sân phơi.Nội thất cơ bản. Đầy đủ đồng hồ điện nước.Ký mua bán là về nhà ở luôn.Giá chỉ 1,9 tỷ. Có thương lượng. Bao thuế, phí sang tên.Hỗ trợ ngân hàng a - z nếu khách cần.Liên hệ em Dương Nam Định để trao đổi thêm thông tin và xem nhà miễn phí.            ",31 m²,1.9 tỷ,,2 m,Đông - Bắc,Đông - Bắc,4 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35880154,batdongsan_com_vn_35880154,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Trần Duy Hưng']","
Apartment vip nhất phố Trần Duy Hưng - 7 tầng ôtô tránh.Bán nhà phố Trần Duy Hưng diện tích 152m², giá 27.5 tỷ.+ Thiết kế 18 căn hộ, full nội thất.- Sổ đỏ đẹp, sẵn sàng giao dịch.- LH A Thái 0968 830 *** ",152 m²,27.5 tỷ,9 m,33 m,,,7 tầng,18 phòng,21 phòng,Sổ đỏ,30/11/2022,07/12/2022,Tin thường,35988308,batdongsan_com_vn_35988308,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng', '119', ""Vinhomes D'Capitale""]","
Căn hộ 3 ngủ này đảm bảo đẹp, giá tốt hàng đầu của loại căn 110m² tại chung cư D'Capitale 119 Trần Duy Hưng - Trung Hòa - Cầu Giấy - Hà Nội.- Bao gồm 3PN, 2WC (1WC có bồn tắm), 2 ban công (ban công phụ để đồ và phơi quần áo), phòng khách, bếp.- Giá công khai 7 tỷ.- Full đồ nội thất đẹp, thiết kế chỉn chu, hình ảnh chụp thực tế.- View thoáng, không chắn view.- Nằm trên khối đế Vincom Trần Duy Hưng 5 tầng, còn trên tầng 6 có bể bơi ngoài trời và nội khu dành riêng cho cư dân C6 + C7. Đây là 2 tòa cao cấp nhất của dự án.- Đã có sổ hồng lâu dài, chuyển nhượng nhanh chóng, có hỗ trợ thủ tục pháp lý.Đây là căn hộ rộng và thoáng, hiếm có người bán lại tại D'Capitale. Mọi người qua xem nhà hẹn trước khoảng 2 tiếng để sắp xếp mở cửa nhé.Liên hệ Nguyễn Huế: 0934 589 ***Xin cảm ơn!            ",110 m²,7 tỷ,,,,,,3 phòng,2 phòng,,30/11/2022,07/12/2022,Tin thường,35826946,batdongsan_com_vn_35826946,Full đồ nội thất
"['Hà Nội', 'Gia Lâm', 'Xã Lệ Chi', 'Đường Cổ Giang']","
Tôi chính chủ cần bán 77.4m² đất đấu giá thôn Cổ Giang, Lệ Chi, cần tiền nên bán gấp:- Diện tích: 77.4m². Mặt tiền, hậu: 8m, vuông vắn.- Đường trước đất rộng 5m chạy thông quanh.- Vị trí: Nằm ở trung tâm của thôn Cổ Giang, xã Lệ Chi. Cách đường QL 17 800m. Xung quanh bán kính 500m là trường ĐH Công Nghiệp Dệt May, KCN Khai Sơn. Cách Vinhomes Ocean Park 15 chạy xe..- Đất sổ đỏ chính chủ, không tranh chấp.- Giá bán: thỏa thuận giá nào cũng bán.Liên hệ: 0921 125 *** em Thơi.            ",77.4 m²,1.93 tỷ,8 m,5 m,,,,,,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35540614,batdongsan_com_vn_35540614,
