address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Hướng nhà,Hướng ban công,Số tầng,Số toilet,Đường vào
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Phạm Hùng', 'Dự án Vinhomes Skylake']","
- Do nhu cầu không sử dụng và vấn đề dịch bệnh công ty cần tiền nên cần bán gấp căn hộ Skyvilla - 2 tầng tại Vinhomes Skylake và 1 căn 4 ngủ 170m².I: Diện tích ~ 300m² - 500m² thiết kế 5 phòng ngủ, không gian cực thoáng mát, đã hoàn thiện nội thất cực xịn, phong khách trẻ trung, tất cả các phòng view trọn vẹn hồ điều hòa.Giá bán: Từ 24 tỷ - 27 tỷ.II: Diện tích 145m² - 160m² thiết kế 4 phòng ngủ, không gian cực thoáng mát, tất cả các phòng view trọn vẹn hồ điều hòa.Giá bán: 12.8 tỷ.III: Penthouse:- Diện tích 230m² - 270 m², không gian cực thoáng mát, tất cả các phòng view trọn vẹn hồ điều hòa đã hoàn thiện.Giá bán: Thương lượng trực tiếp với chủ nhà).LH xem nhà 24/7: 0976 069 ***Xin cảm ơn.            ",330 m²,Thỏa thuận,5 phòng,Đã có sổ đỏ,"Đã hoàn thiện nội thất cực sịn, phong khách trẻ trung, tất cả các phòng view trọn vẹn hồ điều hòa. ",24/11/2022,01/12/2022,Tin Vip 3,25165796,batdongsan_com_vn_25165796,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Hồ Mễ Trì', 'Dự án Trinity Tower']","
Hotline 0969 898 *** Mrs Hiệp.Quỹ căn rẻ nhất bảng hàng Trinity tháng 11.- Diện tích; 37m - 42m - 53m - 70m².- Tầng 5, 6, 19.- Hướng Đông Bắc.- Giá từ 1.2 tỷ - 1.6 tỷ.+ Mua; Để ở, làm văn phòng, cho thuê.+ Vị trí 4 mặt tiền đường lớn.+ Chỉ 15 căn/sàn với 100% các căn hộ view hồ.+ Tháng 12 nhận nhà dùng ngay.+ Đầu tư cho thuê lơi nhuận từ 10 - 12 %/ tháng.Chính sách đặc biệt tháng 11:+ Chiết khấu 1% cho 5 khách hàng đặt cọc sớm nhất.+ Chiết khấu thanh toán lên đến 7,7% cho khách hàng thanh toán nhanh 95%.+ Miễn 2 năm phí quản lý vận hành.Liên hệ Mrs Hiệp: 0969 898 ***.            ",37 m²,1.4 tỷ,,,Hoàn thiện cơ bản.,24/11/2022,01/12/2022,Tin Vip 3,35861472,batdongsan_com_vn_35861472,,,,,,
"['Hà Nội', 'Ba Đình', 'Phường Kim Mã', 'Phố Kim Mã']","
Gia đình tôi chuyển chỗ ở muốn bán gấp nhà 2 tầng phố Kim Mã, Giảng Võ, Ba Đình căn 2 mặt thoáng cạnh trục đường to ngay khu vực trung tâm Kim Mã, ở luôn hoặc cho thuê kinh doanh, sổ đỏ chính chủ, giá tốt nhất thị trường, có gia lộc cho khách thiện chí mua. Liên hệ Mr. Phong: 0889 986 ***- Diện tích: 77m².- Mặt tiền: 5,2m.- Hướng: Bắc.- Giá: 10,5 tỷ.- Vị trí: Gần Trung tâm thương mại Vincom, Lotte, Đại sứ quán, Trường tiểu học Kim Đồng, Trường THPT Nguyễn Trãi, Nhà hát kịch Việt nam, chợ, ngân hàng, sân vận động Hàng Đẫy...Liên hệ xem Mr. Phong: 0889 986 ***có Zalo, Không có phí môi giới, trung gian).            ",77 m²,10.5 tỷ,2 phòng,Sổ đỏ/ Sổ hồng,,24/11/2022,04/12/2022,Tin Vip 3,35941359,batdongsan_com_vn_35941359,5.2 m,Bắc,Bắc,2 tầng,1 phòng,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Kim Giang', 'Ngõ 282']","
- Nhà 4 tầng, chủ tự xây chắc chắn.- Diện tích 32m².- Giá bán: 3,1 tỷ.- Sổ đỏ chính chủ.- Tầng 1: Phòng khách, bếp, VS.- Tầng 2: 02 phòng ngủ, VS.- Tầng 3: 02 phòng ngủ,- Tầng 4: Phòng thờ và sân phơi.- Tặng lại toàn bộ đồ nội thất và 05 điều hòa tại các tầng.- Vị trí: Cách ngõ 282 đường Kim Giang 35 mét, cạnh khu liền kề Đại Kim.- Ô tô đỗ cách nhà 35 mét, đỗ ngày đêm.- Liên hệ: Lê Ngọc Quỳnh chủ nhà 0986 999 ***Miễn môi giới). Gặp trực tiếp chủ nhà Anh Quỳnh.            ",32 m²,3.1 tỷ,4 phòng,Sổ đỏ.,Nội thất đầy đủ.,24/11/2022,07/12/2022,Tin Vip 3,35708640,batdongsan_com_vn_35708640,,,,4 tầng,2 phòng,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Hoàng Văn Thái', 'Dự án Khu nhà ở 183 Hoàng Văn Thái']","
Chính chủ đứng tên trên sổ đỏ cần bán căn góc diện tích 66.5m² ở trục 03 là trục đẹp nhất của tòa N2 CT1.1 chung cư ngõ 183 Hoàng Văn Thái.- Căn hộ gồm 2 phòng ngủ, một phòng khách chung bếp, 2 ban công, một vệ sinh, tất cả đã cải tạo đẹp. Tất cả các phòng đều có cửa sổ nên căn hộ quanh năm tràn ngập ánh sáng tự nhiên và cực kỳ thoáng mát.- Điểm nhấn của căn hộ là có view cực đẹp, một phòng ngủ một mặt nhìn xuống sân chơi của khu dân cư, một mặt nhìn xuống hồ Đầm Hồng theo hướng Đông Nam; phòng ngủ còn lại view toàn bộ hồ Đầm Hồng cũng ở hướng Đông Nam từ một góc nhìn cân đối như tranh vẽ; phòng khách + bếp nhìn xuống sân khu chung cư và chéo góc hồ.- Tặng lại chủ mới toàn bộ nội thất gồm 2 giường, 2 tủ, hộc đầu giường, bàn ghế, 3 điều hòa, 1 tivi, máy giặt lồng ngang LG, tủ lạnh Panasonic, bếp và nội thất bếp, lò vi sóng, bình đun nước, tủ giày, quạt tháp, thiết bị wifi đều còn mới do vậy chỉ cần mang vali quần áo về là ở được luôn.- Khu chung cư nằm trong vị trí biệt lập, an ninh tốt, bảo vệ 24/7; quanh khu có sẵn Winmart +, phòng tập gym, các hiệu thuốc, salon tóc, trường mầm non, cửa hàng tạp hóa và các tiện ích khác; cách chợ Vương Thừa Vũ khoảng 3 phút đi bộ.Có gia lộc cho khách thiện chí giao dịch nhanh.Liên hệ chính chủ để xem nhà Ms. Hương 0977 900 *** ",66.5 m²,2.99 tỷ,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất cơ bản. Chủ mới chỉ cần xách va li quần áo vào ở.,24/11/2022,04/12/2022,Tin Vip 3,35935065,batdongsan_com_vn_35935065,,,Đông - Nam,,1 phòng,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Láng Hạ', 'Dự án Sky City Towers-88 Láng Hạ']","
Cần bán gấp căn hộ chung cư Sky Tower 3PN, 2VS, diện tích 145,5m², tầng trên 20, 88 Láng Hạ, phường Láng Hạ, Quận Đống Đa, Hà Nội:- Căn hộ ở cao tháp B.- Diện tích 145.5m², thiết kế 3 phòng ngủ, 2 vệ sinh, khách, bếp, 1 ban công rộng.- Nội thất: Điều hòa âm trần, tủ bếp, sàn gỗ, giường, tủ tường, sofa... Hiện đại cao cấp; chỉ xách vali về ở.- Sổ đỏ chính chủ, pháp lý rõ ràng.Giá 56tr/m² (thương lượng chút với KH thiện chí).LH chủ nhà 0388 543 *** ",145.5 m²,56 triệu/m²,3 phòng,Sổ đỏ chính chủ,Đầy đủ,24/11/2022,04/12/2022,Tin Vip 3,35826263,batdongsan_com_vn_35826263,,,,,2 phòng,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Lê Đại Hành', 'Phố Bà Triệu', 'Dự án Vincom Center Bà Triệu']","
Bán căn hộ Vincom Bà Triệu 84m², T17, đầy đủ nội thất, sang sịn, Đẳng cấp, giá 6,39 tỷ!Khu căn hộ Vincom Bà Triệu không có căn hộ nào bán.Căn góc, 2 ngủ, 2 vệ sinh, phòng nào cũng thoáng sáng.Chủ là nghệ sĩ nên trang trí nội thất căn nhà như cung điện của công chúa.Chủ cần tiền nên giá rất tốt cho vị trí Vincom Bà Triệu quá nổi tiếng.Sổ đỏ sẵn sàng giao dịch.+ Hoa Linh Nhà Đất: Đảm bảo cung cấp thông tin trung thực, chính xác, hỗ trợ pháp lý, rút ngắn thời gian tìm nhà của khách, miễn phí 100% cho khách mua. Chủ, khách làm việc trực tiếp và được hỗ trợ thương lượng giá tốt nhất. Liên hệ ngay: Ms Hoa.            ",84 m²,6.39 tỷ,2 phòng,Sổ đỏ/ Sổ hồng,,23/11/2022,03/12/2022,Tin Vip 3,35921827,batdongsan_com_vn_35921827,,,,,2 phòng,
"['Hà Nội', 'Thanh Oai', 'Xã Mỹ Hưng', 'Thôn Phượng Mỹ']","
+ Mình chính chủ cắt lỗ bán mảnh đất ở xóm Nấm thôn Phượng Mỹ - Mỹ Hưng, gần KĐT Thanh Hà, diện tích 64m² sổ đỏ, lô góc, ngõ ô tô.+ Giá mình bán cắt lỗ 1.68 tỷ.+ Vị trí cách đường lớn Cenco 300m.+ Sát Vành Đai 4 sắp triển khai tiềm năng tăng giá là khỏi bàn.+ Các bạn bên VP có khách cũng có thể đưa vào giúp mình.+ Gọi điện hoặc kết bạn zalo 0978 228 *** mình gửi video, định vị, sổ đỏ.+ Liên hệ: 0978 228 ***.            ",64 m²,1.68 tỷ,,Sổ đỏ chính chủ.,,24/11/2022,01/12/2022,Tin Vip 3,32355076,batdongsan_com_vn_32355076,4 m,Tây - Nam,,,,4 m
"['Hà Nội', 'Hoàn Kiếm', 'Phường Hàng Mã', 'Phố Hàng Vải']","
+ Bán 60m² nhà mặt phố cổ, Hoàn Kiếm, giao cắt hàng Mã, Hàng Vải, Phùng Hưng, mặt tiền lý tưởng, 4 tầng, đủ nội thất, giá 9,9 tỷ!+ Bán 130m² nhà mặt phố cổ Hoàn Kiếm, MT 6m, 5 tầng, Khu vực Hàng Mã, Hàng Vải, giá 23,3 tỷ hoặc (nửa nhà) giá 11 tỷ!.+ Mặt phố cổ, ô tô đỗ cửa, giao cắt Hàng Mã, Hàng Vải, Phùng Hưng, kinh doanh homestay vô cùng đắc địa.+ Thửa đất 2 sổ hai nhà cạnh nhau thống nhất cùng bán.+ Hai nhà giống hệt nhau về thửa đất, 2 chủ tự xây khác nhau đều 4 tầng đẹp vô cùng chắc chắn, có thể sử dụng vào các mục đích khác nhau như vừa ở vừa cho thuê hoặc xây lại thành toà nhà 7 - 8 tầng thì rất tuyệt.+ HoaLinh NhàĐất: Đảm bảo cung cấp thông tin trung thực, chính xác, hỗ trợ pháp lý, rút ngắn thời gian tìm nhà của khách, miễn phí 100% cho khách mua. Chủ, khách làm việc trực tiếp và được hỗ trợ thương lượng giá tốt nhất. Liên hệ ngay: Ms Hoa.            ",60 m²,9.9 tỷ,7 phòng,,,19/11/2022,29/11/2022,Tin Vip 3,35887007,batdongsan_com_vn_35887007,,,,4 tầng,4 phòng,
"['Hà Nội', 'Hoài Đức', 'Xã Di Trạch', 'Đường Quốc lộ 32', 'Dự án Hinode Royal Park']","
Bán quỹ căn liền kề giá rẻ dự án Hinode Kim Chung giá đầu tư cực rẻ và an toàn.Giá đang ở một mức rất thấp - LK, BT ngang nhau với chung cư.Diện tích 95 - 100m².+ Căn nhìn vườn hoa chỉ hơn 6 tỷ đến hơn 7 tỷ.+ Các căn phố đi bộ - giá chỉ 6x triệu/m² (8 tỷ nhỉnh).+ Căn góc phố đi bộ - 13, x tỷ.+ Các căn đường 12m - giá chỉ 4x triệu/m².+ Các căn đường 17m - giá 55 đến - 60 triệu/m².+ Các căn đường 30m: Giá chỉ nhỉnh 10 tỷ.+ Khu shophouse mặt tiền 7.5m - chỉ 13, x tỷ.* Giá thương lượng thực tế...Dòng liền kề, shophouse tại dự án kim chung hoài đức đang ở một mức giá đầu tư bắt đáy cực hời so với thị trường liền kề, biệt thự lân cận, và thị trường đất nền, đất dịch vụ, đất đấu giá lân cận - Do ảnh hưởng chung thị trường và tâm lý.* Vậy còn tiềm năng nào trong trung, dài hạn?+ Vị trí dự án: Dự án nằm ở nút giao QL 32 và có trục vành đai 3,5 rộng 60m chạy qua, đang ở giai đoạn cuối hoàn thiện (mới duyệt nút giao vành đai 3,5 X đại lộ thăng long 2450 tỷ).Và đang làm nốt đoạn nối ra phía QL 32.+ Hoài Đức đang đẩy mạnh các chỉ tiêu hạ tầng lên quận, nên áp lực xây dựng trục huyết mạch 3.5 + KĐT Kim Chung.+ Dự án sát 2 tuyến metro số 3 và số 7.+ Dự án gần ngay trục đường Trần Hữu Dực - Trịnh Văn Bô kết nối với vành đai 3,5.+ Quy mô dự án tổng thể đồng bộ: Gồm các khu tiện ích đồng bộ (khu hồ và khu clubhouse, công viên rộng 6ha đang thi công).+ Quy mô gồm nhiều khối chung cư và văn phòng dọc theo trục vành đai 3,5 (Cuối 2022 sẽ bắt đầu mở bán chung cư).+ Quỹ đất phúc lợi, trung tâm thương mại, trường học, bệnh viện lớn: Tạo yếu tố đồng bộ tiện ích nội về lâu dài...* Giá bán đang ở vùng trũng: So với các dự án và dịch vụ xung quanh - .+ Đường nội khu dự án giá 4x tr/ đất dịch vụ 7 - 8x tr.+ Đường trục chính 30m giá 7x tr/ đất dịch vụ - 120 - 130 tr/m².* Liên hệ mua và đàm phán chính chủ: 0912 595 *** ",100 m²,Thỏa thuận,,Hợp đồng mua bán,,24/11/2022,01/12/2022,Tin Vip 3,35403048,batdongsan_com_vn_35403048,,,,,,12 m
