address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc']","
Nhà mới đón Tết, ô tô qua nhà, ngõ thông các ngả, DT 32m² x 5T, MT 4m, nhỉnh 3 tỷ.Bán nhà chính chủ xây mới với các thông số sau:* Ngõ thông các ngả, ô tô 7 chỗ qua nhà.* Vài bước chân ra đường lớn sầm uất, thuận tiện đi sân bay và đường Vành Đai 3, ngay sát là trường học, chợ, gần kề là KĐT Ciputra, cầu Thăng Long.* Gần các trường Đại học, bệnh viện Nam Thăng Long.* Phong thủy tốt, hút tài lộc.* Sổ đỏ vuông đẹp, pháp lý chuẩn, sẵn sàng gia dịch ngay và luôn.* Giá bán: Nhỉnh 3 tỷ (có thương lượng).Liên hệ Mr. Linh 0914 035 *** chuyên môi giới, tư vấn và hỗ trợ thủ tục pháp lý, hỗ trợ tài chính.            ",32 m²,Thỏa thuận,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,30/11/2022,07/12/2022,Tin thường,35988288,batdongsan_com_vn_35988288,,,,
"['Hà Nội', 'Sơn Tây', 'Xã Cổ Đông']","
Ngay trung tâm xã, siêu thị Lan Chi, Điện Máy Xanh, Media Mark.Sát quốc lộ 21A, đang chuẩn bị mở rộng lên 80m.Gần sân golf Đồng Mô, ngay sát trục Hồ Tây Ba Vì.Chỉ 10 phút vào khu CNC Hoà Lạc.10 phút đi xe tới khu tổ hợp các trường ĐHQG.Tiện giao thông vào khu nghỉ dưỡng và các trường đại học.            ",65 m²,Thỏa thuận,,,,Sổ đỏ/ Sổ hồng,,29/11/2022,09/12/2022,Tin thường,35859767,batdongsan_com_vn_35859767,,,,
"['Hà Nội', 'Mê Linh', 'Thị trấn Quang Minh', 'Tổ 9']","
Cần Tiền bán gấp lô đất rìa làng tổ 9 Mê Linh.Mảnh đất 92m².Mặt tiền 5.34m đường ô tô chạy thoải mái.Đối diện khu quy hoạch là vườn hoa và dự án mới đang quy hoạch, đối diện KĐT Cienco Mê Linh.Bên cạnh là quy hoạch trường KTKT 11 ha.Cách Khu công nghiệp Quang Minh khoảng 500m.Giá bán: 2.5 tỷ.Khách hàng quan tâm liên hệ ngay: 0911 736 *** ",92 m²,2.5 tỷ,,,,Sổ đỏ/ Sổ hồng,,25/11/2022,02/12/2022,Tin thường,35946460,batdongsan_com_vn_35946460,5.34 m,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường Tố Hữu', 'Dự án Roman Plaza']","
Cần bán gấp sàn văn phòng Roman Plaza Hà Đông, căn lô góc đẹp nhất tòa nhà LH: 0362 664 ***Dự án Roman Plaza mặt đường Tố Hữu, quận Hà Đông, Hà Nội, chủ thứ cấp cần bán nhanh sàn văn phòng hơn 200m², lô góc vị trí đẹp nhất của tòa nhà, nhìn ra mặt đường lớn Tố Hữu, giá siêu rẻ chỉ có hơn 30 triệu/m² đã gồm thuế VAT. Khách hàng có thể nhận mặt bằng ngay, bàn giao nguyên trạng từ chủ đầu tư.Vị trí giao thông thuận tiện, nằm trên trục đường giao thông lớn nối liền quận Nam Từ Liêm - Hà Đông và Thanh Xuân, hạ tầng tiện ích đồng bộ: Bể bơi, trường mầm non, nhà hàng, trung tâm thương mại... Tòa nhà được xây dựng với quy mô 2 tòa tháp cao 25 tầng nối với nhau bởi khối đế 6 tầng và 3 tầng hầm.Tiện ích ngoại khu: Xung quanh tòa nhà là hàng loạt các nhà hàng ăn uống, café giải trí, siêu thị, ngân hàng, trung tâm ngoại ngữ.Thông tin tư vấn văn phòng, vui lòng liên hệ: Ms Phương SĐT: 0362 664 ***Xin chân thành cảm ơn!            ",220 m²,30 triệu/m²,,,,,,30/11/2022,07/12/2022,Tin thường,35914470,batdongsan_com_vn_35914470,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Phạm Văn Đồng', '232', 'An Bình City']","
- Do nhu cầu chuyển đổi Gia Đình cần bán nhanh trong tháng 11 căn hộ chung cư An Bình City. Khu đô thị thành phố giao lưu.- Địa chỉ: Số 232 Phạm Văn Đồng Khu đô thị thành phố giao lưu.- Diện tích: 112,7m². Căn góc hoa hậu thiết kế 3 phòng ngủ, 2wc, khu bếp phòng khách rộng, 2 ban công. Tầng cao thoáng mát View công viên hồ điều hoà.- Căn hộ đã được trang bị đầy đủ tiện nghi.- Sổ đỏ chính chủ. Sẵn giao dịch.- Giá bán: 4,6 tỷ.- Liên hệ xem nhà Mr Thuận: 0937 466 ***zalo/call).            ",112.7 m²,4.6 tỷ,,3 phòng,2 phòng,Đã có sổ,"Đầy đủ đồ nội thất: Tivi, tủ lạnh, máy giặt, điều hòa, giường, tủ áo, tủ giày, ga, sofa, tủ bếp, bàn ăn, nóng lạnh, sàn gỗ cao cấp, trần thạch cao...",29/11/2022,06/12/2022,Tin thường,34450865,batdongsan_com_vn_34450865,,,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hoàng Cầu', 'Dự án Hoàng Cầu Skyline']","
Chính chủ gửi bán 1 số căn hộ tại tòa Hoàng Cầu Skyline - 36 Hoàng Cầu. Thông tin căn hộ bán như sau:- Căn hộ diện tích 68m², thiết kế 2PN, 2VS, full đồ đẹp, giá 4 tỷ.- Căn hộ diện tích 68m², thiết kế 2PN, 2VS, full đồ đẹp, giá 4,1 tỷ.- Căn hộ diện tích 83m², thiết kế 2PN, 2VS, giá 5.2 tỷ.- Căn hộ diện tích 83m², thiết kế 2PN, 2VS, full đồ đẹp, giá 5.4 tỷ.- Căn hộ diện tích 93m², thiết kế 2PN, 2VS, đồ cơ bản, giá 5.5 tỷ.- Căn hộ diện tích 93m², thiết kế 2PN, 2VS, full đồ đẹp, giá 5.8 tỷ.- Căn hộ diện tích 112m², thiết kế 3PN, 2VS, nguyên bản, giá 6 tỷ.- Căn hộ diện tích 112m², thiết kế 3PN, 2VS, full đồ đẹp, giá 6.2 tỷ.Các tiện ích của dự án: Nằm trong khu vực trung tâm và sầm uất bậc nhất của thành phố giao thông thuận tiện, cạnh hồ Hoàng Cầu, cạnh nhiều trường học, trung tâm giải trí mua sắm, bể bơi bốn mùa, spa & gym, siêu thị...Liên hệ hotline để được nhận bảng hàng đầy đủ các căn.0987.975.976.            ",68 m²,4.1 tỷ,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Full nội thất,30/11/2022,10/12/2022,Tin thường,35513299,batdongsan_com_vn_35513299,,,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Em Biên PKD D/A Chung cư Vinhomes Ocean Park SĐT 0988 963 *** xin giới thiệu đến Quý khách quỹ căn độc quyền đẹp nhất dự án tại tòa P3 Pavilion Premium - Vinhome Ocean Park.A) Căn studio P3 Premium.1) Căn Studio số 08.- DT 33,1 m².- Thiết kế 01PK, 1PN, Bếp, 01WC vuông vắn.- View hồ nước cảnh quan, vườn thực vật Botanic Gardent rất đẹp và thoáng.- Giá Gốc CĐT 1,404 tỷ.+ P/A TT theo tiến độ: 1,382 tỷ.+ P/A vay 70%, HTLS 0% 18T: 1,405 tỷ.+ P/A vay 80%, HTLS 0% 24T: 1,480 tỷ.Tặng thêm VC Vinfast 70tr.B) Căn 1PN P3 Premium.2) Căn 1PN.- DT 45,2 m².- Thiết kế 01PK, 1PN, Bếp, 01WC VÀ KHU + ĐA NĂNG vuông vắn.- View thành phố thoáng mát.- Giá Gốc CĐT 1,808 tỷ.+ P/A TT theo tiến độ: 1,780 tỷ.+ P/A vay 70%, HTLS 0% 18T: 1,810 tỷ.+ P/A vay 80%, HTLS 0% 24T: 1,907 tỷ.Tặng thêm VC Vinfast 70tr.C) Căn 2PN P3 Premium.3) Căn 2PN (DT từ 53,3m² - 67,6m²).- DT 53,3 m².- Thiết kế 01PK, 2PN, Bếp, 02WC vuông vắn.- View ngoại khu rất thoáng và mát.- Giá Gốc CĐT 2,140 tỷ.+ P/A TT theo tiến độ: 2,107 tỷ.+ P/A vay 70%, HTLS 0% 18T: 2,142 tỷ.+ P/A vay 80%, HTLS 0% 24T: 2,257 tỷ.Tặng thêm VC Vinfast 150tr.4) Căn 2PN (DT từ 53,3m² - 67,6m²).- DT 62,4 m².- Thiết kế 01PK, 2PN, Bếp, 02WC vuông vắn.- View ngoại khu rất thoáng và mát.- Giá Gốc CĐT 2,532 tỷ.+ P/A TT theo tiến độ: 2,494 tỷ.+ P/A vay 70%, HTLS 0% 18T: 2,534 tỷ.+ P/A vay 80%, HTLS 0% 24T: 2,670 tỷ.Tặng thêm VC Vinfast 150tr.D) Căn 3PN P3 Premium.1) Căn P3XX01.- DT 87,1 m².- Thiết kế 01PK, 3PN, Bếp, 02WC vuông vắn.- View HỒ CẢNH QUAN, vườn BOTANIC GARDENT.- Giá Gốc CĐT 3,749 tỷ.+ P/A TT theo tiến độ: 3,692 tỷ.+ P/A vay 70%, HTLS 0% 18T: 3,753 tỷ.+ P/A vay 80%, HTLS 0% 24T: 3,954 tỷ.Tặng thêm VC Vinfast 200tr.Với ưu thế số 1 về nghỉ dưỡng CHUẨN KHÁCH SẠN 5* đầu tiên tại Vinhomes Ocean Park, trang bị hàng loạt tiện ích độc quyền cực VIP như:- Zacuzzi spa bốn mùa.- Gym Club.- Sport Hub.- Kids Heaven.- Trung tâm làm việc Working Space.- NỘI ngoại thất sang trong bậc nhất, hoành tráng nhất Vinhomes Ocean park, chưa kể đến toàn bộ các căn hộ đều được trang bị Smart Home thông minh và 2 tầng hầm gửi xe thoải mái. Hệ thống tiện ích xung quanh hoành trang như Quảng Trường nhạc nước 15000 m²..Với chính sách CK siêu khủng, quà tặng cực Hot từ Chương trình Mini Concert Lễ Hội Mùa Xuân kết hợp với việc chỉ cần trả 10% ban đầu, hỗ trợ LS 0% và ân hạn nợ gốc đến T2/2025 thời gian thanh toán cực kỳ linh hoạt đã và đang tạo ra cơn sốt cháy hàng chưa từng có, là sản phẩm cực kỳ xứng đáng để quý khách sở hữu để ở nghỉ dưỡng hoặc đầu tư cho tệp khách hàng cao cấp thuê sinh lời.Nhấc máy và liên hệ ngay em Biên 0988 963 *** để chọn căn đẹp nhất.* Ưu đãi độc quyền.- Hỗ trợ 24/24 từ khi quan tâm dự án, xem nhà mẫu, các thủ tục ký cọc, HĐMB.- Hỗ trợ tư vấn và phân tích các khoản vay NH tốt nhất.Xin cảm ơn quý khách!            ",87.1 m²,3.692 tỷ,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cao cấp nhất tại Vinhomes Ocean Park.,30/11/2022,07/12/2022,Tin thường,35228674,batdongsan_com_vn_35228674,,,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Hoàng Như Tiếp']","
Chính chủ quyết tâm bán: Biệt thự liền kề Minh Nhựa - Hoàng Như Tiếp.- Khu vip nhất quận Long Biên, nhiều khách săn lùng.- Bt thô 120m² x 7 tầng (6 nổi + 1 hầm).- Nằm trên mặt phố Hoàng Như Tiếp, kinh doanh sầm uất.- Vị trí đắc địa, cực hiếm, không có nhà bán luôn.- Giá 43 tỷ - có thương lượng.            ",120 m²,43 tỷ,7 tầng,10 phòng,10 phòng,Sổ đỏ/ Sổ hồng.,,26/11/2022,06/12/2022,Tin thường,35289431,batdongsan_com_vn_35289431,8 m,30 m,Đông,Đông
"['Hà Nội', 'Thạch Thất', 'Xã Tân Xã', 'Đường 420']","
Ở đây có bán đất nền full thổ cư, sổ sách đầy đủ, sang tên trong ngày.Vị trí: Ngay gần đại học FPT, đại học Quốc Gia, CNC Hòa Lạc.Diện tích: Từ 65m² trở lên.Giá thỏa thuận.Tiềm năng, tiện ích:- Cách quốc lộ 21A (đang chuẩn bị mở rộng 80m) chưa đến 300m.- Ngay sát trục giao thông Ba Vì - Hồ Tây.- Di chuyển 5' là đến trung tâm thị xã, bênh viện đa khoa, khu trung tâm hành chính thị xã.- Dân cư tập trung đông đúc, ngay gần đh FPT, Quốc gia, có thể xây nhà trọ kinh doanh.Liên hệ 0388 555 *** để biết thêm thông tin cụ thể và xem sổ từng lô đất.            ",65 m²,Thỏa thuận,,,,Sổ đỏ/ Sổ hồng,,29/11/2022,09/12/2022,Tin thường,35852566,batdongsan_com_vn_35852566,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'Đường Phạm Văn Đồng', 'Dự án Sunshine City']","
- Do nhu cầu chuyển đổi. Cần bán gấp 2 căn duplex tại dự án Sunshine City, Ciputra.- Căn 1: Mẫu căn 156m² view sông Hồng. Full nội thất mới giá bán 9 tỷ. Bao phí.- Căn 2: Mẫu căn 190m²(trục căn góc). View sông hồng, full nội thất mới giá bán 11 tỷ.- Thiện chí bán, sổ chính chủ sẵn giao dịch.- Liên hệ xem nhà Mr Thuận: 0937 466 ***zalo/call).            ",190 m²,11 tỷ,,4 phòng,3 phòng,Đã có sổ,"Đầy đủ đồ nội thất: Tivi, tủ lạnh, máy giặt, điều hòa, giường, tủ áo, tủ giày, ga, sofa, tủ bếp, bàn ăn, nóng lạnh, sàn gỗ cao cấp, trần thạch cao...",24/11/2022,04/12/2022,Tin thường,34206202,batdongsan_com_vn_34206202,,,,
