address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Mặt tiền,Hướng nhà,Hướng ban công,Đường vào
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hoàng Cầu', 'Dự án D’. Le Pont D’or - Hoàng Cầu']","
Khách hàng gửi bán 1 số căn hộ tại tòa D'. Le Pont D'or Tân Hoàng Minh - 36 Hoàng Cầu. Gồm các loại diện tích từ 2 đến 4 phòng ngủ với nhiều diện tích.- DT: 68m², 2PN full đồ view check hồ giá inbox.* DT: 93m² - 2 ngủ, 2vs, 2 ban công đồ cơ bản 4.4 tỷ tầng 4 - đã bán.- DT: 93m² - 2 ngủ + 1, 2vs, 2 ban công, tầng trung. Giá 4,8 tỷ - check.- DT: 93m², 2 ngủ, 2 vs, 2 ban công tầng trung full đồ thiết kế hiện đại giá 5.350 tỷ.- DT: 99m², 2 ngủ, 2 vs, 2 ban công, ban công view hồ tầng cao, thoáng, full đồ thiết kế tân cổ điển giá 5.6 tỷ.* DT 104m²: 2 ngủ, 2vs, hướng đông nam tầng cao ban công view vườn hoa, view hồ giá 6.5 tỷ.- DT 104m², 2 ngủ, 2 vs tầng thấp, view thoáng full đồ giá 7 tỷ.* DT: 121m², 3 ngủ, 2 vs full đồ liền tường giá 6 tỷ (có TL).- DT: 115m², 2 ngủ, 2 vs, full đồ, đồ tầng trung giá 6 tỷ.* DT: 117m², 3 ngủ, 2 vs full đồ thiết kế tân cổ điển giá 6.8 tỷ.* DT 142m² 4PN, 2 wc. Giá 7,86 tỷ.* DT: 151m², 3 ngủ, 3vs, phòng ngủ vew hồ, phòng khách ban công Đông Nam, đồ cơ bản giá: 7 tỷ.- DT: 151m², 3 ngủ, 3vs, tầng cao view thoáng full đồ nhập khẩu giá 8.6 tỷ.* Căn penthouse DT từ 380 - 430m tầng 22, thiết kế 2 tầng thông nhau, trần cao 6m view hồ Hoàng Cầu, công viên, thiết kế thành các biệt thự trên cao, đáp ứng không gian cho các khách hàng vip. Giá 25 tỷ.* Tiện ích:- Nằm trong khu vực trung tâm và sầm uất, tiện cho giao thông đi lại. Dịch vụ tòa nhà rất tốt, bao gồm: Bể bơi 4 mùa, siêu thị Vinmart, spa, gym, trường mầm non quốc tế mua sắm, Chợ dân sinh cách 50m và nhiều tiện ích.            ",93 m²,4.8 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,FULL NỘI THẤT,30/11/2022,10/12/2022,Tin thường,35513806,batdongsan_com_vn_35513806,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Tô Vĩnh Diện']","
Bán nhà ngõ Tô Vĩnh Diện 61/65m², 7.45 tỷ Thanh Xuân, Hà Nội.+ Vị trí cực đẹp, ngõ phân lô vỉa hè ôtô tránh.+ Thiết kế mỗi tầng 2 phòng, tổng 4 PN, phòng thờ sân phơi.+ Có hầm để xe hơi. Xây mới vài năm.+ Nhà nằm ở trung tâm quận Thanh Xuân giáp với quận Đống Đa, quận Hoàng Mai, thông ra nhiều tuyến đường như Lê Trọng Tấn, Thanh Xuân.Gần trường cấp 1,2, gần chợ, giao thông thuận tiện, nhiêu tiện ích.Sổ đỏ chính chủ, nở hậu.Giá chào còn thương lượng là 7,45 tỷ.Hình ảnh chuẩn.* Liên hệ: Mr. Hách 0975 043 *** chuyên nhà đất thổ cư quận Thanh Xuân Đống Đa Cầu Giấy.- Đa dạng nguồn hàng, phong phú phân khúc. Nguồn nhà đẹp, có tính thanh khoản cao, vị trí đẹp.- Hỗ trợ các thủ tục sang tên, công chứng, quy hoạch, vay vốn ngân hàng, tư vấn phong thủy.Trân trọng!            ",61 m²,7.45 tỷ,4 phòng,,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,35401003,batdongsan_com_vn_35401003,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Cù Chính Lan']","
Bán nhà mặt ngõ Cù Chính Lan 62m² x 5 tầng.Mặt ngõ to như phố nhà đẹp mới lung linh ô tô 7 chỗ để trong nhà.Thiết kế:Tầng 1: Gara + bếp.Tầng 2: Phòng khách rộng + VS.Tầng 3.4: 2 ngủ + VS.Tầng 5: Phòng thờ - sân phơi.Sổ đỏ chính chủ, sẵn sàng giao dịch.* Liên hệ: Mr. Hách 0975 043 *** chuyên nhà đất thổ cư quận Thanh Xuân Đống Đa Cầu Giấy.- Đa dạng nguồn hàng, phong phú phân khúc. Nguồn nhà đẹp, có tính thanh khoản cao, vị trí đẹp.- Hỗ trợ các thủ tục sang tên, công chứng, quy hoạch, vay vốn ngân hàng, tư vấn phong thủy.Trân trọng!            ",62 m²,7.69 tỷ,,,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,35517062,batdongsan_com_vn_35517062,5 tầng,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Tô Vĩnh Diện', 'Ngõ 86']","
Bán nhà thanh xuân ngõ 86 Tô Vĩnh Diện 12,4tỷ, 68m², MT 5m, phân lô, ô tô, nhà thoáng trước sau.+ Trung tâm Thanh Xuân quận, Ngã Tư Sở, vị trí đỉnh, đi đâu cũng tiện.+ Nhà năm trong khu phân lô Tô Vĩnh Diện, 2 thoáng trước sau.+ Ngõ rộng ô tô tải vào nhà.+ Nhà tự xây cực kì tâm huyết, cẩn thận vô cùng.- Tầng 1: Gara, bếp.- Tầng 2: Bếp, phòng khách, tiểu cảnh.- Tầng 3, 4: Mỗi tầng 2 ngủ, vệ sinh.- Tầng 5: 1 ngủ, phòng thờ, chỗ giặt giũ, sân phơi.* Sổ đỏ chính chủ, công chứng sang tên luôn.- Chủ nhà đang rất cần bán.* Bán 12,4 tỷ, có thương lượng.            ",68 m²,12.4 tỷ,5 phòng,,Sổ đỏ chính chủ.,,29/11/2022,06/12/2022,Tin thường,35570736,batdongsan_com_vn_35570736,,5 m,,,
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Hà', 'Đường Hoàng Hoa Thám']","
Sổ đỏ chính chủ, vuông đẹp. Đường vào rộng rãi thoải mái, hai ô tô tránh nhau, thông Đội Cấn, Ngọc Hà, Hoàng Hoa Thám. Nằm ở khu vị trí đắc địa, dân trí cao, tiện ích, gần chợ, trường học, ngay gần Lăng Chủ Tịch.            ",45 m²,12.8 tỷ,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,30/11/2022,10/12/2022,Tin thường,35981157,batdongsan_com_vn_35981157,7 tầng,,,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường Đông Dư', 'Dự án The Zenpark']","
Sở hữu ngay căn hộ 1PN view hồ cá Koi và vườn Nhật với ưu đãi cực khủng sau:- Quà tặng nội thất: 255 triệu.- CK 10% giá bán (trước VAT + BT) hoặc Thanh toán 30% - nhận nhà ở ngay miễn lãi lên tới 18 tháng.- CK 0.5% online.- Tặng VC mua ô tô VinFast 150tr.Theo đó Giá căn 1PN Zenpark giá gốc CĐT 2,224 tỷ sau khi trừ quà tặng và chiết khấu sẽ chỉ còn khoảng 1,68 tỷ cho căn hộ 41,2m view cực đẹp.Về thiết kế:- Căn 1PN có 1PK 1PN 1 bếp 1WC cực kỳ rộng rãi, Phòng ngủ riêng biệt với phòng khách.- DT rộng hơn tới 15m so với căn Studio mà giá chỉ nhỉnh hơn chút.- Bàn giao full tủ bếp, hút mùi, sàn gỗ, điều hòa âm trần, tủ quần áo âm tường, tủ lavabo, tủ kính.- Các phòng thiết kế vuông vắn, bố trí logic tối ưu diện tích sử dụng.- Các thiết bị nội thất cao cấp sang trọng nhập khẩu từ Châu Âu như Grohe, Kohler, Gorenji sang trọng.Về tiện ích.- Đẳng cấp nhất tại Vinhomes Ocean Park.- Sở hữu vườn Nhật Hồ Cá Koi độc đáo.- Sảnh Louge và sảnh lễ tân sang trọng.- Bể bơi 4 mùa tiêu chuẩn Olympic.- Phòng tập gym miễn phí, sân chơi trẻ em, sân thể thao, vườn dạo bộ.Quả thật với chính sách vô cùng tốt của CĐT dành cho căn 1PN Zenpark thì Quý vị không nên bỏ lỡ cơ hội có 1 - 0 - 2 này.Nếu quý vị thấy bài viết hay, hãy để lại SĐT liên hệ hoặc gọi ngay 0988 963 *** để được tư vấn tốt nhất.Tôi xin cảm ơn!            ",41 m²,Thỏa thuận,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,,30/11/2022,07/12/2022,Tin thường,35816441,batdongsan_com_vn_35816441,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Vương Thừa Vũ']","
Bán gấp nhà Vương Thừa Vũ, Thanh Xuân, ô tô kinh doanh gần phố, nhà đẹp long lanh, thang máy, 68m² x 5T, giá 11.9 tỷ.Vị trí: Nhà mình bán vài bước chân ra phố lớn, khu vực phân lô dân trí cao, trước nhà thoáng sáng vô cùng, xung quanh tiện ích vô cùng, nằm giữa trung tâm Quận Thanh Xuân, đất mặt tiền rộng thông thoáng, cơ sở hạ tầng phát triển, nhà gần các nhà hàng tạp hóa rất tiện ích, an ninh đảm bảo tuyệt đối, nhà kết nối với nhiều tuyến phố lớn, Trường Chinh, Ngã Tư Sở, Tây Sơn, Thượng Đình...- Thiết kế: Tầng 1 gara + bếp + wc.- Tầng 2 khách + 1 ngủ khép kín.- Tầng 3.4 mỗi tầng 2 phòng + wc.- Tầng 5 phòng thờ + sân phơi.* Liên hệ: Mr. Hách 0975 043 *** chuyên nhà đất thổ cư quận Thanh Xuân, Đống Đa, Cầu Giấy.- Đa dạng nguồn hàng, phong phú phân khúc. Nguồn nhà đẹp, có tính thanh khoản cao, vị trí đẹp.- Hỗ trợ các thủ tục sang tên, công chứng, quy hoạch, vay vốn ngân hàng, tư vấn phong thủy.Trân trọng!            ",68 m²,11.9 tỷ,,,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,35470044,batdongsan_com_vn_35470044,5 tầng,,,,
"['Hà Nội', 'Ba Đình', 'Phường Kim Mã', 'Đường Núi Trúc']","
Chính Chủ bán căn hộ phố Núi Trúc, Kim Mã, Ba Đình, 136m², 3 ngủ, 2wc giá 3,8tỷ. (bao phí).- Vị trí trung tâm Quận.- Nội Thất: Sàn gỗ, tủ bếp, trần thạch cao, thiết bị vệ sinh, bình nóng lạnh, đèn Led...- Tòa nhà thiết kế tầng hầm để xe rộng, 2 thang máy nhập khẩu, 2 thang bộ, phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp 24/24.- Pháp Lý: Sổ hồng riêng từng căn vĩnh viễn, hợp đồng công chứng nhà nước.Lh em Sủng: 0988 876 *** ",136 m²,3.8 tỷ,3 phòng,,,,30/11/2022,07/12/2022,Tin thường,35988045,batdongsan_com_vn_35988045,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Phố Ngụy Như Kon Tum']","
Gia đình bán gấp nhà phố Ngụy Như Kon Tum, quận Thanh Xuân vị trí cực đẹp nằm trong khu phân lô cao cấp, trước nhà là vườn hoa rộng thênh thang đường hai ôtô tránh nhau, ở hay kinh doanh đều rất phù hợp. Diện tích 55m² vuông xây 5 tầng hiện đại và chắc chắn với mỗi tầng 2 phòng rộng thoáng với đầy đủ tiện nghi, xung quanh rất nhiều tiện ích như trường học, bệnh viện các trung tâm thương mại.. Khu dân trí cao an ninh đảm bảo. Sổ đỏ phân lô giao dịch ngay.* Liên hệ: Mr. Hách 0975 043 *** chuyên nhà đất thổ cư quận Thanh Xuân Đống Đa Cầu Giấy.- Đa dạng nguồn hàng, phong phú phân khúc. Nguồn nhà đẹp, có tính thanh khoản cao, vị trí đẹp.- Hỗ trợ các thủ tục sang tên, công chứng, quy hoạch, vay vốn ngân hàng, tư vấn phong thủy.Trân trọng!            ",55 m²,15.3 tỷ,,,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,35273050,batdongsan_com_vn_35273050,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Phố Lê Văn Thiêm', 'Dự án Stellar Garden']","
Bán chung cư Stellar Garden Lê Văn Thiêm, Thanh Xuân Trung, Thanh Xuân, Hà Nội căn góc 3PN đẹp nhất toà.Diện tích 113m² tầng trung thuộc tháp B.Căn lô góc đẹp nhất dự án, view bể bơi, không gian thoáng.Được thiết kế trang thiết bị nội thất cao cấp.Ban công hướng Đông Nam cực mát mẻ, gia đình cần bán.Giá bán Thỏa Thuận.Liên hệ: 0912 998 *** ",113 m²,Thỏa thuận,3 phòng,2 phòng,Hợp đồng mua bán,,30/11/2022,08/12/2022,Tin thường,35796676,batdongsan_com_vn_35796676,,,Đông - Bắc,Đông - Nam,
