address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Mặt tiền,Đường vào,Số tầng
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Trần Đăng Ninh', 'Dự án Làng Quốc tế Thăng Long']","
Chính chủ bán gấp CHCC trung tâm quận Cầu Giấy - con học trường điểm - tiện ích tuyệt đối.Vị trí không thể tuyệt vời hơn, trung tâm Cầu Giấy, chợ, trường cấp 1.2.3...Diện tích 101m², 3 PN, 2 VS, 2 ban công, lô góc đón ánh sáng tuyệt đẹp.PN nào cũng có ánh sáng và view, 4 điều hoà, gỗ xịn.Gía bán: 3,7 tỷ (Có thương lượng cho KH thiện chí mua).Liên hệ: Chị Lan Anh 0988 890 *** ",101 m²,3.7 tỷ,Đông,Tây - Nam,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,34559303,batdongsan_com_vn_34559303,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Trung Văn', 'Đường Tố Hữu', 'Dự án C14 - Bộ Công An']","
Không có nhu cầu sử dụng và cho thuê nên tôi bán căn hộ tại chung cư C14 Bắc Hà - Bộ Công An mặt đường Tố Hữu.- Căn hộ diện tích 134m², thiết kế 3PN - 3WC.- Tầng trung, hướng cửa Đông Nam, ban công Tây Bắc, view đường Tố Hữu.- Sổ đỏ chính chủ sẵn sàng giao dịch.- Đầy đủ nội thất mới - xịn - đẹp.- Giá bán 3.2 tỷ.Liên hệ 0967 986 *** ",134 m²,3.2 tỷ,Đông - Nam,Tây - Bắc,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,28/11/2022,05/12/2022,Tin thường,35970393,batdongsan_com_vn_35970393,Nội thất đầy đủ.,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án Văn Khê']","
Do chuyển công tác gấp, cần ổn định công việc sớm trong tuần nên mình cần bán nhanh, rất gấp trong ngày 30 và 31 CHCC Văn Khê 110 m² rất rộng có 3PN là căn góc, view nội khu, trên trục đường Tố Hữu, Lê Văn Lương kéo dài, đi lại thuận tiện phù hợp gia đình đang công tác khu vực Hà Đông.* Thiết kế căn hộ: Căn góc, 110m² nhà có: 3PN, 2WC.Đặc biệt nhà mình trước được mua suất ngoại giao, nên nhà là căn góc, ban công đông nam, rất mát và thoáng, các phòng đều đón ánh sáng trực tiếp, không như các căn thường rất ít ánh sáng, phòng khách cực rộng, thoáng mát và vuông, có logia sân vườn, tạo cảm giác lên thơ và đáng sống sau một ngày làm việc vất vả, rất phù hợp với các bạn trẻ ưu cuộc sống năng động, sáng tạo thích không gian vui nhộn.Nội thất nhà mình có. Sàn gỗ các phòng, trần thạch cao giật cấp, hệ thống đèn led, trang trí, tủ bếp, bếp, sofa, bộ bàn ăn, tivi, kệ tivi, kệ tủ lạnh, tủ giầy, giường tủ quần áo các phòng, rèm, lưới an toàn, thiết bị vệ sinh có vách kính, chủ mới về ơ luôn để chuyển bị đón tết, không mất thời gian sửa chữa, vì nhà mình còn mới chưa ở, đang đóng cửa để không.Vị trí: Dễ dàng kết nối các tuyến đường huyết mạch: Lê Văn Lương, Khuất Duy Tiến, Lê Trọng Tấn, Lê Quang Đạo, Nguyễn Trãi, Tây Mỗ, Lam Từ Liêm, Mỗ Lao, Đại học An Ninh, kiến trúc trên dưới 5Km, có tuyến bus BRT nhanh trước mặt, cách 5Km chạm đến nội thành. Gần trường học quốc tế Nhật Bản, trường cấp 1,2 Lê Quý Đôn, An Hưng, trường cấp 3 chuyên Nguyễn Huệ các khu vui chơi, bệnh viện quốc tế hay TTTM Aeon rộng 13ha, hồ điều hòa Nam Cường,...Giá: 2.25 tỷ. Giá trên mình cần bán gấp cho khách thiện chí. Trung gian, quảng cáo và khách không có nhu cầu không gọi làm phiền.Liên hệ chủ nhà: C. Minh: 0385 508 *** ",110 m²,2.25 tỷ,Đông - Bắc,Đông - Nam,3 phòng,2 phòng,,30/11/2022,07/12/2022,Tin thường,35988149,batdongsan_com_vn_35988149,"Sàn gỗ, trần thạch cao giật cấp các phòng, tủ bếp, bếp, hút mùi, tủ quần áo, tủ giày, kệ tivi, 4 điều hòa, nóng lạnh, rèm, lưới an toàn...",,,
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Đường Thạch Bàn', 'Ngõ 134m']","
Cần bán lô đất đối diện dự án Him Lam, ngõ 134 Thạch Bàn, Long Biên.+ Diện tích đất 65,5m² hướng đất chính Tây.+ Mặt tiền và mặt hậu rộng 4,1m vuông vắn.+ Đất có hai mặt đường trước sau ô tô đều ra vào thoải mái.+ Vị trí đất nằm trong ngõ 134m Thạch Bàn trục đường nối thông sang phố Huỳnh Tấn Phát. Xung quanh đông dân an ninh tốt, giao thông thuận lợi tiện ích dịch vụ cơ bản đầy đủ.+ Tương lai quy hoạch mở rộng đường 13m trước đất, đối diện là dự án khu liền kề chung cư Him Lam Thạch Bàn rất đẹp. Mua đầu tư tiềm năng tăng giá rất cao..+ Pháp lý: Quy hoạch rõ ràng - sổ đỏ chính chủ.+ Giá bán: 130 triệu/m² (8 tỷ 515 triệu - thương lượng thoải mái).Liên hệ ngay: 0971 413 ***Chuyên bán đất đẹp - miễn phí môi giới - Hỗ trợ sang tên vay vốn ngân hàng).            ",66 m²,8.5 tỷ,Tây - Nam,,,,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35834230,batdongsan_com_vn_35834230,,4 m,4 m,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Đường Phú Đô']","
Bán nhà mới tại Phú Đô, Mỹ Đình, Nam Từ Liêm, Hà Nội.- Diện tích 35m², xây mới 5 tầng, nhà 2 mặt thoáng, nhà đầy đủ nội thất. Ô tô đỗ cách nhà 20m, gần đường đua F1, sân VĐ Mỹ Đình.* Thiết kế Tân Cổ Điển sang trọng, đẳng cấp:- Tầng 1: Phòng khách, phòng bếp, vệ sịnh phụ.- Tầng 2,3,4: Mỗi tầng 1 phòng ngủ rộng, vệ sinh khép kín.- Tầng 5: Phòng thờ và sân phơi.* Nhà được hoàn thiện đầy đủ nội thất cao cấp, cửa gỗ Lim khối, sàn gỗ Malaysia, hệ thống điện nước an toàn và có sơ đồ bản vẽ chi tiết, thiết bị vệ sinh cao cấp Inax, dây điện Trần phú, hệ thống chiếu sáng đèn Led an toàn và tiết kiệm điện.* Vị trí, giao thông đi lại vô cùng thuận tiện:- Gần đường đua F1; SVĐ quốc gia Mỹ Đìn, Gần trường cấp 1,2 Phú Đô, gần các đường lớn Đại Lộ Thăng Long, Lê Quang Đạo, Lê Đức Thọ, Mỹ Đình...- Hỗ trợ miễn phí mọi thủ tục mua bán, pháp lý, ngân hàng.Giá 3,5 tỷ (có thương lượng cho khách thiện chí).Ngay bây giờ hay gọi cho tôi Mr Lương: 0879 383 ***Để được tư vấn miễn phí, chuyên nghiệp, nhiệt tình và mua được nhà ưng ý.            ",35 m²,3.5 tỷ,,,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35987765,batdongsan_com_vn_35987765,Đầy đủ,,,5 tầng
"['Hà Nội', 'Hà Đông', 'Phường Phú Lãm', 'Đường Thanh Lãm']","
Cần bán gấp mảnh đất nằm tổ 2 phường Phú Lãm, Hà Đông. Ô tô đỗ gần.Diện tích 49m². Hướng Đông Nam.Ngõ trước nhà 2m4. Cách đường ô tô 30m.Vị trí nằm gần trường chợ rất thuận tiện cho đi lại và sinh hoạt.Liên hệ xem đất. Sđt 096925105.            ",49 m²,2.35 tỷ,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,30/11/2022,10/12/2022,Tin thường,34993317,batdongsan_com_vn_34993317,,4 m,2.4 m,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Ngô Thì Nhậm', 'Dự án Ngô Thì Nhậm']","
Gia đình chuyển nhà cần bán gấp trong năm căn hộ vị trí tại tòa CT2 Ngô Thì Nhậm - Hà Đông - Hà Nội. Vị trí trung tâm, giao thông đi lại thuận lợi, gần các cơ quan hành chính quận Hà Đông. Gần bệnh viện, trường học.Thông tin căn hộ:Diện tích: 135m².Hướng cửa: Hướng ban công:Thiết kế căn hộ: 3 phòng ngủ, 2 vệ sinh, 1 ban công.Nội thất: Đã bao gồm nội thất cơ bản.Giá: 3.2 tỷ (Có thương lượng mạnh và gia lộc).Pháp lý: Sổ hồng chính chủ.Liên hệ: 0374 393 *** ",135 m²,3.2 tỷ,Đông - Nam,Tây - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,30/11/2022,10/12/2022,Tin thường,35860420,batdongsan_com_vn_35860420,Nội thất cơ bản,,,
"['Hà Nội', 'Gia Lâm', 'Thị trấn Trâu Quỳ', 'Phố Nguyễn Khiêm Ích']","
Cần bán gấp lô đất mặt trục chính phố Nguyễn Khiêm Ích khu 31ha Trâu Quỳ, Gia Lâm.+ Diện tích 140m² mặt tiền rộng 7m dài 20m vuông vắn.+ Đường trước nhà rộng 15m vỉa hè rộng 5m.+ Vị trí nằm mặt trục chính phố Nguyễn Khiêm Ích đối diện quận ủy Gia Lâm mới. Khu vực kinh doanh buôn bán đông đúc không gian rộng thoáng mua đầu tư lâu dài làm văn phòng hoặc kinh doanh cafe nhà hàng rất đẹp.+ Sổ đỏ cầm tay - giao dịch chính chủ.+ Giá bán: 175 triệu/m² (24.5 tỷ - thương lượng thoải mái).Liên hệ ngay: 0971 413 ***Chuyên bán đất đẹp - miễn phí môi giới - Hỗ trợ sang tên vay vốn ngân hàng).https://phulam.vn/ - Kênh thông tin mua bán nhà đất Số 1 Gia Lâm.            ",140 m²,175 triệu/m²,Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35822824,batdongsan_com_vn_35822824,,7 m,15 m,
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Đường Đức Giang']","
- Bán nhà Đức Giang, Long Biên, Hà Nội 83m²* 4T 5.5 tỷ. Nhà đẹp công năng siêu vip, ô tô CRV đỗ cửa.- Nhà cực thoáng đẹp, thiết kế rất hợp lý. Khu vực dân trí vip của Long Biên. Trước nhà hai ô tô 7 chỗ đỗ cửa, đường thông, thoáng đẹp.- Sổ đỏ chính chủ, sang tên trong ngày.- Giá: 5.5 tỷ (thiện chí thương lượng).- Liên hệ: Mr Thành 0936 002 ***miễn trung gian, quảng cáo).            ",83 m²,5.5 tỷ,,,6 phòng,6 phòng,Sổ đỏ.,30/11/2022,07/12/2022,Tin thường,32906801,batdongsan_com_vn_32906801,,,,4 tầng
"['Hà Nội', 'Gia Lâm', 'Xã Kim Sơn']","
Chị tôi cần tiền lo cho công việc cần bán gấp lô đất tại Giao Tất A - Kim Sơn:- Diện tích 43m².- Mặt tiền hơn 4m, nở hậu siêu lộc.- Tiện ích: Xung quanh đầy đủ các tiện ích, gần trường học các cấp, gần chợ Keo kinh doanh buôn bán sầm uất, gần Phố Keo kinh doanh đầy đủ các mặt hàng, nằm trên đường Quốc lộ 17, các tiện ích nằm tập trung hết 1 khu, UBND, Trạm Y tế xã, trường mầm non, cấp 1,2, Bưu Cục,...- Sổ đỏ chính chủ, pháp lí rõ ràng.Giá bán: 1.1 tỷ (có gia lộc cho khách thiện chí).Liên hệ: Em Thăng 0982 029 *** để được tư vấn miễn phí.            ",43 m²,1.1 tỷ,,,,,Sổ đỏ,30/11/2022,07/12/2022,Tin thường,34016414,batdongsan_com_vn_34016414,,,,
