address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Hoàng Ngân', 'Dự án Trung Hòa Nhân Chính']","
Bán nhà mặt phố khu Trung Hòa Nhân Chính, quận Cầu Giấy:- Diện tích 230m² x 9 tầng(có hầm), thang máy nhập khẩu. Mặt tiền 15m. SĐCC.- Mặt phố rộng, KD sầm uất. 2 mặt thoáng trước và sau.- Phố thông từ Lê Văn Lương vào, Nguyễn Thị Định, Hoàng Đạo Thúy, Trần Duy Hưng... Ngay KĐT Trung Hòa Nhân Chính.- Cho thuê đạt 350tr/th.- Giá bán 145 tỷ.+ LH: 0988 077 *** + 0917 197 ***- Cảm ơn đã đọc tin!            ",230 m²,145 tỷ,15 m,15 m,Tây - Nam,9 tầng,15 phòng,10 phòng,Sổ đỏ/ Sổ hồng,Full nội thất,30/11/2022,07/12/2022,Tin thường,34117794,batdongsan_com_vn_34117794,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', 'Dự án Ciputra Hà Nội']","
Bán biệt thự C2 Ciputra.Diện tích 126m².Căn hộ có thiết kế hiện đại, tiện nghi.Nội thất sang trọng, phù hợp với thiết kế căn hộ và công năng sử dụng.Vị trí đắc địa, di chuyển thuận lợi nhanh chóng.Tiện ích xung quanh đa dạng, hiện đại, đáp ứng nhu cầu vui chơi giải trí của cư dân.Giá bán: Thỏa thuận.Khách hàng quan tâm tham khảo: khudothiciputra.com hoặc canhociputra.comLiên hệ: 0989 734 *** ",126 m²,Thỏa thuận,,,,,,,Sổ đỏ/ Sổ hồng,,30/11/2022,07/12/2022,Tin thường,35630100,batdongsan_com_vn_35630100,
"['Hà Nội', 'Đống Đa', 'Phường Quốc Tử Giám', 'Phố Tôn Đức Thắng', 'Ngõ Thông Phong']","
Trung tâm Đống Đa cần bán gấp nhà ngõ Thông Phong - nhà mới - lô góc mặt tiền rộng 7,5m - tổng 5 ngủ cửa sổ thênh thang.- Ngõ Thông Phong 54m² x 5 tầng, mặt tiền 7,5m giá chào 6,4 tỷ.- Nhà vị trí đẹp, lô góc 2 mặt thoáng, đi theo ngõ Thông Phong vào rất đẹp cách ô tô 20m mặt ngách trước nhà có thể kinh doanh nhỏ, xung quanh tiện ích đầy đủ.- Nhà mới với mặt tiền siêu rộng và thêm yếu tố lô góc căn nhà thiết kế rất thoáng với công năng sử dụng 5 ngủ.- Vị trí trung tâm Đống Đa từ nhà ra phố Tôn Đức Thắng chỉ 300m di chuyển rất thuận tiện, tiện ích không thiếu thứ gì.Thiết kế:- Tầng 1: Phòng khách, bếp.- Tầng 2: Phòng sinh hoạt rộng, WC.- Tầng 3, 4: Tổng 4 phòng ngủ, WC.- Tầng 5: Sân phơi, khu để máy giặt.- Sổ đỏ chính chủ, nở hậu sẵn sàng giao dịch.            ",54 m²,6.4 tỷ,7.5 m,2 m,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Bàn giao nội thất cơ bản,28/11/2022,05/12/2022,Tin thường,34952779,batdongsan_com_vn_34952779,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Nhân Hòa']","
Bán nhà mặt phố Nhân Hòa, Thanh Xuân, Hà Nội.Diện tích 63m² xây dựng 6 tầng, thiết kế tầng 2 phòng kép kín.Vị trí kinh doanh sầm uất, tuyến phố nhộn nhip, gần nhiều trường học, dịch vụ xung quanh đầy đủ, khu an sinh tốt.Liên hệ xem nhà 0982 226 *** ",63 m²,18.5 tỷ,,,,,,,,,30/11/2022,07/12/2022,Tin thường,35743809,batdongsan_com_vn_35743809,
"['Hà Nội', 'Thạch Thất', 'Xã Tiến Xuân', 'Đường Bãi Dài']","
Mình đang có 3 lô đất tại cánh chủ và đồi sen diện tích 83m² sẵn sổ ký công chứng ngay trong tuần. Giá chỉ 18tr/m.Đây là vị trí đẹp nhất từ trước đến nay tại Hòa Lạc.Tại đây các nhà đầu tư đang tập trung xây nhà trọ rất nhiều giá phòng trọ tăng 30% trong 2 tháng qua.Giao thông thuận lợi.300m ra đường 420.1km ra Đại Học FPT, Trường ĐH Khoa Học Công Nghệ.1km ra trường Kiểm Toán Nhà Nước, Trung Tâm Giáo Dục Bộ Quốc Phòng.5 phút ra chợ trung tâm Hòa Lạc.5 phút ra đường Hồ Tây Ba Vì.Khu vực hót nhất hiện nay được các nhà đầu tư săn đón.Sát khu tổ hợp đại học Quốc Gia.Gần trường kiểm toán nhà nước, Đại Học FPT.Đầu tư hay xây nhà trọ kinh doanh khai thác dòng tiền thì nhất quả đất luôn.Bác nào quan tâm gọi em ngay 0941 302 *** ",60 m²,Thỏa thuận,,,,,,,Sổ đỏ/ Sổ hồng,,24/11/2022,01/12/2022,Tin thường,35287984,batdongsan_com_vn_35287984,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trần Duy Hưng', ""Dự án Vinhomes D'Capitale""]","
Bán căn hộ cao cấp tầng cao tòa C1 Vinhome D'Capitale Trần Duy Hưng:+ DT 100m², 3PN, 2VS. Căn góc, full nội thất xịn. View công viên Thanh Xuân - hồ điều hòa.+ Tòa chung cư cao cấp đối diện Big C. Bên dưới là siêu thị Winmart lớn. Tòa nhà có đầy đủ dịch vụ cao cấp, an ninh cực tốt. Phù hợp với cuộc sống của những quý tộc... + Ban công Đông Nam, Tây Nam, cửa Tây Bắc.+ Hiện đang cho thuê 30tr/th.+ Giá 6,5 tỷ có thương lượng.+ LH: 0988 077 *** + 0917 197 *** ",100 m²,6.5 tỷ,,,Tây - Bắc,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Full nội thất xịn.,30/11/2022,07/12/2022,Tin thường,33690514,batdongsan_com_vn_33690514,Đông - Nam
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc', 'Đường Tố Hữu']","
Bán gấp nhà Vạn Phúc 50m², 5 tầng, mt 5m - thang máy - kinh doanh - chỉ 8,2 tỷ sau Him Lam Vạn Phúc - nhà đẹp về ở ngay.Dv Vạn Phúc - phân lô - giáp ranh himlam kinh doanh - trung tâm Hà Đông - giao thông kết nối - full tiện ích.Vị trí: Nhà nằm tại vị đẹp khu đất dịch vụ Vạn Phúc, ngay sau là dãy shophouse Him Lam Vạn Phúc sầm uất nhiều tiện ích gồm các trường tiểu học Vạn Bảo, tiểu học Vạn Phúc, trường Quốc Tế Nhật Bản...- Vị trí giao thông thuận tiện kết nối các ngả đường Nguyễn Thanh Bình, Vạn Phúc, Trần Phú, khu Đô thị Văn Khê...- Vị trí đẹp có thể dễ dàng cho thuê làm Văn Phòng.Thiết Kế: 4 Tầng 1 Tum - Ô chờ thang máy chủ nhà xây tâm huyết để vừa ở vừa làm Văn Phòng.- Tầng 1 + 2: Thông sàn KD văn phòng + gara + Bếp ăn + Wc.- Tầng 3 + 4: Mỗi tầng 2 ngủ + WC.- Tầng 5: Máy giặt - Sân phơi - Vườn trồng rau.Sổ đỏ vuông vắn - không lỗi phong thủy.Sổ đỏ chính chủ - giao dịch ngay.Liên hệ 0978 957 *** để được tư vấn và xem nhà ngay.            ",50 m²,8.2 tỷ,5 m,10 m,Đông - Nam,5 tầng,4 phòng,4 phòng,Sổ đỏ,Đầy đủ,28/11/2022,05/12/2022,Tin thường,35973343,batdongsan_com_vn_35973343,
"['Hà Nội', 'Đống Đa', 'Phường Thịnh Quang', 'Đường Đặng Tiến Đông']","
Trung tâm Đống Đa chính chủ cần bán nhà mới 8 tầng - gara ô tô - thang máy giá chỉ 14,9 tỷ.Mặt ngõ Đặng Tiến Đông 50m² x 8 tầng.Mặt tiền rộng 7,1m. Giá chào 14,9 tỷ.- Nhà xây mới 8 tầng, thang máy nhập ngoại, gara ô tô, mặt tiền 7m rộng hiếm có, 10m ra mặt phố Đặng Tiến Đông, ngõ thông, ra vào từ nhiều ngả.- Nhà thiết kế hiện đại phù hợp kinh doanh kết hợp ở cho gia đình 4 người thoải mái.- Vị trí vô cùng đẹp và thoáng ngõ trước nhà 4m ô tô 7 chỗ 1 đỏ vào nhà.- Nhà cách mặt phố 10m là ra tới Hồ Hoàng Cầu vị trí quá tuyệt vời.THIẾT KẾ:- Tầng 1: Gara Ô tô, WC.- Tầng 2, 3: Thông sàn kinh doanh.- Tầng 4: 2 phòng ngủ.- Tầng 5: Phòng khách.- Tầng 6: Phòng ăn và bếp.- Tầng 7: 2 phòng (tùy gia chủ sắp đặt).- Tầng 8: 1 phòng và sân phơi.+ Sổ đỏ chính chủ siêu đẹp, cất kết, giao dịch ngay.            ",50 m²,14.9 tỷ,7.1 m,5 m,,8 tầng,7 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Bàn giao nội thất cơ bản,28/11/2022,05/12/2022,Tin thường,35739572,batdongsan_com_vn_35739572,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Hoàng Mai', '279', 'Feliz Homes']","
Dự án Feliz Homes 279 Hoàng Mai:Nhận rút 60 căn hộ đẹp dự án Feliz Homes Hoàng Mai giá chuẩn CĐT.Nội thất: Full thiết bị vệ sinh, sàn gạch phòng khách, sàn gỗ phòng ngủ, điều hòa âm trần, trần thạch cao, cửa khóa thông minh chống cháy 3 lớp.Ban công: Đông Nam thiết kế rộng.Tặng 2% kinh phí bảo trì.Tặng 01 năm phí quản lý dịch vụ.* Ân hạn nợ gốc và hỗ trợ lãi suất 0% tới 18 tháng.* Ngoài ra khi mua nhà còn có cơ hội bốc thăm trúng nhiều giải thưởng có giá trị.1 giải đặc biệt: Căn hộ mã ZA0905 trị giá 2,012 tỷ đồng.1 giải nhì: Xe máy SH trị giá 90 triệu đồng.2 giải ba: Xe máy SH Mode trị giá 60 triệu đồng.3 giải ba: Tủ lạnh Side by Side trị giá 25 triệu đồng.https://felizhoangmai.net/            ",91 m²,3.9 tỷ,,,Nam,,3 phòng,2 phòng,,Cơ bản.,30/11/2022,07/12/2022,Tin thường,35300419,batdongsan_com_vn_35300419,Đông - Bắc
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Mạc Thái Tổ']","
Bán nhà phân lô phố Mạc Thái Tổ, Yên Hòa, Cầu Giấy, Hà Nội.Diện tích 40m², mặt tiền 5m, nhà xây 5 tầng, mỗi tầng chia 2 phòng.Vị trí tuyến phố trung tâm, gần nhiều trường học, tiện đầy đủ xung quanh, vị trí an sinh tốt.Liên hệ xem nhà SĐT: 0982 226 *** ",40 m²,8.5 tỷ,5 m,,,5 tầng,,,,,30/11/2022,07/12/2022,Tin thường,35743995,batdongsan_com_vn_35743995,
