address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Nội thất,Mặt tiền,Đường vào,Số tầng
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', '136 Đường Hồ Tùng Mậu', 'Dự án Goldmark City']","
0936 198 *** tôi là Khôi 36 tuổi giám đốc sàn Thanh Phat chuyên bán chuyển nhượng căn hộ Goldmark City (3 năm kinh nghiệm). Được các chủ nhà tin tưởng và gửi bán gấp 299 căn hộ giá tốt với các diện tích như sau: 68m² - 79m² - 87m² - 94m² - 105m² - 116m² - 130m² - 160m². Pháp lý minh bạch, nhà đã có sổ đỏ. Xin vui lòng liên hệ để được cập nhật giá thường xuyên.* Căn 3 PN - 2 VS diện tích đa dạng từ căn góc 94m² - 105m² - 110 - 116m² - 128 - 135m² đa dạng các tòa giá dao động từ 2,8 tỷ đến 3,3 tỷ nhà đã làm đủ nội thất.- Căn 93m² - tòa S3, S4, R2, R3 có các tầng 02, 03, 05, tầng 08, 09, 11, 12, tầng 14, 17, 19, 20, tầng 21, 22, 27, tầng 28, 30, 31, tầng 33, 34, 36, tầng 39, 40. Giá từ 2,8 tỷ.- Căn 104 - 129 - 135 tòa R1 có các tầng 03, 04, 10, tầng 11, 12, 16, tầng 28, 32, tầng 36, 39, 40. Giá từ 3,2 tỷ - 4,2 tỷ.Riêng R4 thiết kế 2 phân khu R4a và R4B có bể bơi trong diện tích 3 ngủ đa dạng diện. Đến 130 m² các tầng 06, 08, 09, tầng 10, 12, 15, tầng 16, 28, 29 nhà thiết kế rất hợp lý view đẹp đã có nội thất và sổ đỏ. Giá bán từ 3.1 tỷ..* Căn hộ 2 ngủ tòa Ruby 2, Ruby 3, Saphia 3, Sapphire 4.- Căn số 01 DT: 75m² tim tường 68 m² thông thủy ban công, một mặt sàn 1 căn hộ, thiết kế căn 2 ngủ có 2 ban công. View nội khu và bể bơi.+ Tòa S3 và S4, có tầng 03, 05, 11, 22, 25, tầng 18, 29, 33, 35 bán giá 2,4 tỷ nhà mới đủ nội thất chủ đầu tư, (cửa Đông Nam ban công Tây Bắc)đủ đồ giá 2,5 tỷ.+ Tòa R2, và R3 cửa Đông bắc ban công tây nam, có các tầng 02, 04, 05, 06, 08, tầng 9, 11, 22, tầng 25, 28, 29.31.32.35.36. T37.39.40 Giá 2.5 tỷ - 2.6 tỷ.- Căn số 84m² tim tường 78m² thông thủy, thiết kế căn 2 ngủ có 2 vệ sinh 1 lô gia View nội khu và bể bơi. Mặt sàn 9 căn/ 1 tầng.Căn số 04, 05, 06, tầng 07, 08, 09, tầng 11, 12, tầng 12A, 16, 17: Diện tích 84m² tim tường - 78m² thông thủy, căn 2 ngủ thiết kế các phòng khách và phòng ngủ tối ưu diện tích. Đa dạng chọn lựa giá cả hợp lý từ 29 - 33 tr/m².Tòa S3, S4 cửa Tây Nam và Đông bắc phù hợp người hợp mệnh tây tứ trạch)các tầng. 02,03, 05, tầng 08, 10, 11, tầng 12, 27, 18, tầng 21, 26, 27, tầng 29, 32, tầng 33, 40 gửi bán Nhà làm đủ nội thất Giá từ 33tr/m².Tòa R2, R3: Tòa thiết kế có 2 ngủ cho người Đông tứ trạch cửa Đông Nam ban công Tây bắc có các tầng 02, 04, 06, tầng 08, 10, 11, 12, tầng 25, 27, 35, tầng 36, 37 giá chỉ từ 27 tr/m² căn hộ nhiều nhà ở muốn chuyển đổi đồ làm rất cẩn thận và giá trị, giá dao động tầm 2,4 tỷ đến 2,6 tỷ.* Đặc biệt căn góc số 10 2 phòng ngủ rộng nhất, Diện tích 93m² tim tường - 87 thông thủy. Thiết kế các phòng để sáng, ban công Đông nam.Tòa R2, R3, S3, S4 có các tầng 02, 03, 05, 11, tầng 22, 25, 29, 31, 32 giá dao động từ 2,4 tỷ đến 2,6tỷ nhà rất mới đã có sổ đỏ.* Căn góc 4 phòng ngủ 160m² có tầng 03, 04, 07, tầng 08, 09, 10, tầng 22, 25, tầng 26, 27 giá bán từ 4 tỷ/căn hộ.Goldmark City - 136 Hồ Tùng Mậu tiện ích khép kín, bể bơi.Liên hệ: 0936 198 *** - 0984 371 ***.Thông tin pháp lý: Đã có sổ đỏ. Hỗ trợ vay ngân hàng, tư vấn thủ tục sang tên chính chủ.            ",78 m²,2.4 tỷ,Đông - Nam,Đông - Nam,3 phòng,2 phòng,23/11/2022,03/12/2022,Tin Vip 3,31738913,batdongsan_com_vn_31738913,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Đồng Tâm', 'Đường Giải Phóng']","
Chính chủ - bán chung cư A5 Giải Phóng - Phố Vọng - sông sét 35 - 55m², full nội thất, giảm 50tr căn, ở ngay.1. Vị trí.Gần các tuyến đường lớn trung tâm: Giải Phóng, Phố Vọng, Bờ Sông Sét, Giáp Bát, Pham Đình Giót...Tiện ích công cộng gần trường cấp 1 cấp 2 giáp bát.Cách 500 mét là Công an phường, gần công viên lơn, các trường đại học kinh tế quốc dân, bách khoa, xây dựng...2. Giá bán.+ Căn 35 - 40m²: Giá từ 600tr - 650tr 750tr.+ Căn 42 - 55m²: Giá từ 900 tr 950tr hơn 1 tỷ.- Đặc biệt chiết khấu ngay 50tr mỗi căn.3. Nội thất.Sàn gỗ, trần thạch cao, tủ bếp trên dưới, bếp từ, hút mùi, nóng lạnh, thiết bị vệ sinh đầy đủ, các đèn điện chiếu sáng và trang trí tuyệt đẹp, đầu chờ internet, truyền hình cáp...Thông tin liên hệ xem nhà 24/24.Hotline CĐT: 0971 044 ***Mr Kiên).            ",40 m²,600 triệu,Tây,Bắc,2 phòng,1 phòng,23/11/2022,03/12/2022,Tin Vip 3,35796930,batdongsan_com_vn_35796930,Sổ đỏ/ Sổ hồng.,"Sàn gỗ, trần thạch cao, tủ bếp trên dưới, bếp từ, hút mùi, nóng lạnh, thiết bị vệ sinh đầy đủ, các đèn điện chiếu sáng và trang trí tuyệt đẹp, đầu chờ internet, truyền hình cáp...",,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Hoa Bằng', 'Ngõ 133']","
Cần bán nhà phố Hoa Bằng, nhà chủ xây tâm huyết khung cột bê tông, gần chợ.+ Nhà mới đẹp lung linh, gara ô tô,+ Ngõ 133 rộng ô tô tránh vài xe máy, khu cán bộ, lãnh đạo, dân trí cao, 3 bước ra phố, Tiện ích đủ thứ. Ở yên tĩnh cực thích.+ Nhà còn rất mới. Mặt tiền rộng, ôtô vào nhà được 2 chiếc luôn.- Tầng 1: Gara + VS.- Tầng 2: Phòng khách rộng + bếp.- Tầng 3 + 4: Gồm 4 PN tiện nghi + VS.- Tầng 5: 1PN + sân phơi rất rộng, có thể làm thêm phòng.+ Sổ vuông vức, cất két.L/H em Học 0707 177 *** để xem nhà miễn phí.            ",54 m²,7.35 tỷ,,,5 phòng,4 phòng,23/11/2022,03/12/2022,Tin Vip 3,35935161,batdongsan_com_vn_35935161,Sổ đỏ/ Sổ hồng,Đầy đủ,5.5 m,4.3 m,5 tầng
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Ngô Gia Tự']","
Tôi chính chủ cần bán căn nhà tại phố Ngô Gia Tự - thông ra Ngô Thì Nhậm Hà Đông. Vỉa hè và đường trước nhà là 11m giá 7,9 tỉ. Thông tin chi tiết như sau:1. Diện tích sổ đỏ 42m² (mặt tiền 5,76m nở hậu 4cm), thực tế sử dụng là 51m² do có 9m² đất lưu không. Nhà 2 mặt thoáng nên các phòng đều có ánh sáng, thoáng mát.2. Mô tả qua ngôi nhà:- Tầng 1: Khách + bếp + để xe + vườn hoa và không gian sinh hoạt sau nhà - Tầng 1 cũng có 2 mặt thoáng.- Tầng 2: Ngủ lớn và khu làm việc + WC + Ngủ nhỏ. Phòng nào cũng tràn ngập ánh sáng tự nhiên.- Tầng 3: Ngủ lớn và khu làm việc + WC + Ngủ nhỏ. Phòng nào cũng tràn ngập ánh sáng tự nhiên.- Tầng 4: Phòng thờ + Khu giặt là + Vườn cà phê mang phong cách Hội An.- 2 vợ chồng chủ là giá viên, sổ đỏ cất két, sẵn sàng giao dịch.- Giá 7.9 tỷ có thương lượng, gia lộc.            ",51 m²,7.9 tỷ,,,4 phòng,4 phòng,23/11/2022,30/11/2022,Tin Vip 3,35935100,batdongsan_com_vn_35935100,Sổ đỏ/ Sổ hồng,Đầy đủ,6 m,11 m,4 tầng
"['Hà Nội', 'Long Biên', 'Dự án Vinhomes The Harmony']","
- Thông tin các căn bán lại siêu đẹp dự án KĐT sinh thái Vinhomes Riverside.* Diện tích nhỏ hơn 200m².AD05 - 03 TN 161m², hoàn thiện view vườn hoa.AD06 - 08 B 161m², xây thô view vườn hoa.AD03 - 04 ĐB 161m², xây thô.AD07 - 22 TN 161m², hoàn thiện.* Diện tích 200 - 250m².AD10 - 01 ĐN - TN 224m², lô góc, hoàn thiện đẹp.HS01 - 24 ĐN 201m², hoàn thiện cơ bản.HS02 - 03 TB 212m², view vườn hoa.AD05 - 16 ĐB 250m², view vườn hoa.HS07 - 25 ĐN 225m², xây thô.HP04 - 22 ĐB 210m², hoàn thiện cơ bản.HP06 - 26 TB 218m², hoàn thiện.HL05 - 34 ĐN 225m², hoàn thiện.HL06 - 29 ĐN 219m², hoàn thiện đẹp.HP08 - 42 TN 225m², hoàn thiện đẹp.* Diện tích 250 - 300m².HS05 - 48A ĐB 250m², xây thô.HS06 - 02 ĐN 270m², hoàn thiện.HS06 - 37 ĐN 250m², hoàn thiện.HL03 - 14 TN 250m², hoàn thiện đẹp.HP06 - 15 lô góc TB - TN 260m², xây thô.HP08 - 07 shophouse ĐN 275m², xây thô.HS03 - 24 đơn lập TB 250m², xây thô.HS06 - 14 TB 275m², xây thô.HP07 - 16 TN 288m², xây thô view 2 ngã 3 sông.HS08 - 04 TB 270m², xây thô.HS10 - 51 ĐN 275m², hoàn thiện cơ bản.* Diện tích 300 - 500m².HS05 - 24 lô góc TB - TN 315m², xây thô.HS03 - 34 TN 356m², hoàn thiện cơ bản.HS08 - 34 ĐN 315m², xây thô.HL08 - 14 TB 383m², xây thô.HL08 - 17 ĐB 308m², xây thô.AD09 - 20 ĐB 363m², hoàn thiện đẹp.HS01 - 07 ĐB 397m², hoàn thiện cơ bản.HS03 - 54 ĐN 276m², hoàn thiện cơ bản.HS05 - 44 TB 315m², hoàn thiện đẹp.HS05 - 45 TB 318m², xây thô.HS07 - 07 TB 405m², xây thô.HP01 - 05 ĐN 383m², xây thô.HP03 - 19 TN 400m², xây thô.HP03 - 44 TB 380m², hoàn thiện đẹp.HP06 - 01 ĐN 362m², hoàn thiện.HS06 - 01 ĐN 395m², xây thô.HS06 - 38 ĐN 368m², xây thô.* Diện tích 500m² - 1000m².HS08 - 16 TB 507m², xây thô.HS08 - 18 ĐB 500m², hoàn thiện đẹp.HP01 - 53 ĐB 620m², hoàn thiện cơ bản.HP02 - 22 TB 567m², hoàn thiện đẹp.HP04 - Lô 39, lô 40, lô 41, ĐN tổng 1279m², siêu biệt thự sông siêu đẹp.HS10 - 14 TB 520m², hoàn thiện cơ bản, sông siêu đẹp.BL01 - 05 Nam 600m², xây thô, ngã 3 sông.BL09 - 0x Đông Nam, 500m², Xây thô.BL02 - 06 ĐN 505m², hoàn thiện đẹp.BL06 - 03 ĐN 600m², hoàn thiện đẹp.Khách có duyên liên hệ: 0948 138 *** ",200 m²,Thỏa thuận,Đông - Nam,Tây - Bắc,,,23/11/2022,03/12/2022,Tin Vip 3,35669937,batdongsan_com_vn_35669937,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Kim Liên', 'Đường Hồ Ba Mẫu']","
Bán CCMN lô góc xây mới gần Hồ Ba Mẫu, cách hồ 100m, cách hồ Hoàn Kiếm 2km, ngõ thông 6.5 tầng thang máy, lô góc diện tích 45m², mặt tiền 10m, mỗi tầng 2 phòng khép kín ban công, tầng 1, ngõ thông kinh doanh tốt. Giá 7.85 tỷ. Sổ đỏ chính chủ.LH 0966 519 *** ",45 m²,7.85 tỷ,,,11 phòng,,23/11/2022,30/11/2022,Tin Vip 3,35839713,batdongsan_com_vn_35839713,,,,,7 tầng
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Thụy Phương', 'Đường Thụy Phương']","
Nhà mặt ngõ 2 mặt tiền tại Thụy Phương, Bắc Từ Liêm, diện tích 60.6m², mặt tiền 15m, nhà xây 5 tầng Hướng: Tây Bắc và Đông Bắc- lô góc - kinh doanh - ngõ thông oto- Bãi oto đỗ cách nhà 50m- view sân bóng thoáng vĩnh viễnThiết kế 5 tầng: Tầng 1 kinh doanh + 6 ngủ + wc + phòng thờ + sân phơiKhu vực dân trí cao, tiện kinh doanh, an ninh đảm bảo.Gía bán: 5.68 tỷLiên hệ: Mr Phong 032727811'1LH 032727811'1            ",60.6 m²,5.68 tỷ,,,6 phòng,,23/11/2022,03/12/2022,Tin Vip 3,35934845,batdongsan_com_vn_35934845,,,15 m,,5 tầng
"['Hà Nội', 'Hoài Đức', 'Xã Kim Chung', 'Đường Yên Vĩnh']","
Diện tích 35,2m², ngõ trước rộng 2m, cách đường ô tô 40m, bán kính 100m ra trường học, 200m ra khu đô thị Hindo Royal Park.            ",35.2 m²,1.75 tỷ,Đông - Nam,,,,23/11/2022,30/11/2022,Tin Vip 3,35934756,batdongsan_com_vn_35934756,Sổ đỏ/ Sổ hồng,,2 m,2 m,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Lê Trọng Tấn', 'Dự án ParkCity Hà Nội']","
Bán shophouse 2 mặt tiền tại khu đô thị Park City Hà Nội vị trí ngay ngã tư Lê Trọng Tấn và Nguyễn Văn Trác. PKD: 0906 223 ***Căn 150m² mặt đường Lê Trọng Tấn rộng 60m.- Diện tích: 134 - 150m², 2 mặt tiền DTXD: 850m², căn góc DTXD 1300m², mặt tiền rộng từ 8m, xây 5 tầng và có hầm chung rất rộng.- Căn góc: Diện tích từ 175m² - 229m². Tặng miễn phí trọn đời mỗi căn 2 - 3 xe ô tô.- Tiến độ thanh toán: Dự án Arkadia Square.Đặt cọc: 500tr.Ký quỹ: TT 10% sau 14 ngày đặt cọc.Đợt 1: TT 5 % Kí HĐMB (Sau 8 tháng kể từ khi đặt cọc).Đợt 2: TT 10% sau 3 tháng kí hđmb.Đợt 3: TT 12,5% sau 6 tháng kí hđmb.Đợt 4: TT 12,5% sau 9 tháng kí hđmb (Dự kiến T12/2024).Đợt 5: 45% khi có thông báo nhận bàn giao nhà.Chiết khấu căn thường 2%, căn góc 3%.- Tổng số 92 căn, xây 5 tầng và hầm thông nhau 4,5ha, có 12 tháng máy, 6 thang cuốn và 6 thang hàng. Xây dựng mô hình trung tâm thương mại lấy ý tưởng từ Plaza Arkadia Malaysia về Việt Nam.- Hầm rộng để được 1000m chỗ ô tô và 1400 chỗ để xe máy.- Thanh toán tiến độ cực GIãn, nhiều chính sách ưu đãi.Khu phức hợp Arkadia Park City thiết kế giống trung tâm thương mại có thang máy, tháng cuốn phục vụ khách hàng đến vui chơi mua sắm. Tại đây hứa hẹn sẽ có 1 trung tâm mua sắm sầm uất, tổ chức các sự kiện ca nhạc hội chợ đông đúc.Phân phối bởi Cenland.Anh chị quan tâm đến phân khu mới tại khu đô thị Park City vui lòng liên hệ PKD: 0906 223 *** em hiệu để đặt lịch đi xem và nhận thông tin mới nhất.            ",150 m²,Thỏa thuận,Đông - Nam,Đông - Nam,4 phòng,5 phòng,23/11/2022,30/11/2022,Tin Vip 3,35934638,batdongsan_com_vn_35934638,Sổ đỏ/ Sổ hồng,,8.1 m,60 m,5 tầng
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Lê Trọng Tấn', 'Dự án Geleximco Lê Trọng Tấn']","
Tôi bán một căn duy nhất C8 Geleximco - Lê Trọng Tấn - Hà Đông.Mặt đường đi Aone Hà đông (20,5m).Diện tích 95m², mặt tiền 5m, gần tổ hợp trường học đẹp nhất khu, từ mầm non đến cấp 3.Gần tổ hợp chung cư lớn nhất dự án, bệnh viện đa khoa quốc tế, gần công viên hồ điều hòa Thiên Văn Học, Nam Cường.Tầng 1 đang cho thuê 15tr, điện nước đầy đủ.Sổ đỏ cất két, hỗ trợ bank tối đa.Trước kia đã có người trả 8 tỷ, nay cần tiền định cư nên bán nhanh 6 tỷ cả đất và nhà.            ",95 m²,6 tỷ,Đông - Nam,,,,23/11/2022,30/11/2022,Tin Vip 3,35934631,batdongsan_com_vn_35934631,Sổ đỏ/ Sổ hồng,,5 m,17 m,
