address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Nội thất,Mặt tiền,Đường vào
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Lê Trọng Tấn', 'Dự án Geleximco Lê Trọng Tấn']","
Hiện tại em đang có quỹ căn giá rất rẻ tại Geleximco Lê Trọng Tấn cần bán, chủ nhà thiện chí, giá giảm kịch sàn, thương lượng thoải mái.Liên hệ em Hoa: 0963 410 *** - 092 303 2222 để được tư vấn.Khu A Geleximco hiện đang hạ ngầm đường điện, dự kiến thông xe sang Vinsmart city vào tháng 1/2023, các căn liền kề, biệt thự tại khu A đang có giá rất tốt:- A24 Đông Nam, gần ALPHA school, 120m², giá chỉ 12 tỷ. Bao phí sang tên. Sổ đỏ.- A33 Đông Nam, ngay sau trục thông Vin, 114m², giá 11. X tỷ. Sổ đỏ.- A19 Đông Bắc, 120m², giá 11, x tỷ. Sổ đỏ.- A18 biệt thự song lập 240m², giá 25 tỷ cả nhà và đất.- A42 căn góc, cạnh vườn hoa, 120m², giá chỉ 12. X tỷ cả nhà. Sổ đỏ.Khu B:- B50 trục chính, giá 9. X tỷ, gần Lê Trọng Tấn, kinh doanh tốt.- B43 nhìn trường học, đang xây.- B46 DT 75m², MT 5m, giá nhỉnh 7 tỷ.Khu C:- C10 trục chính thông Aeon, giá chỉ 15. X tỷ cả nhà và đất.- C25 Trục chính, thông Aeon, giá chỉ 90tr/m² đất, đường 20m.- C11, c16, c22 DT 160m², MT 8m, giá chỉ từ 15.5 tỷ cả nhà và đất.- C38, 39, 40, 51 trục chính, 114m², giá chỉ 14. X tỷ cả nhà và đất.- C2 DT 120M2, Gía 11 tỷ.- C16 shophouse Lê Trọng Tấn, giá chỉ 30 tỷ 160m², 5 tầng.Khu D:- DT 120m², Mặt tiền 6m, trục đường 16.5m giá 9.7 tỷ.- DT 114m², MT 6m, đường 13,5m giá nhỉnh 9 tỷ.- DT 120m², MT 6m, đường 13,5m, sổ đỏ. Nhỉnh 10 tỷ.- DT 144m², MT 6m, shophouse trục chính 25m, giá nhỉnh 15 tỷ cả nhà và đất. Sổ đỏ.Đây là một số căn giá rẻ nổi bật tại các khu A B C D, anh chị quan tâm liên hệ em Hoa: 0963 410 *** để xem nhà.Cam kết các căn không lỗi phong thủy, nhà đẹp.Thông tin mua bán chính chủ, thiện chí giao dịch nhanh chóng.Pháp lý chuẩn chỉ, sẵn sàng sang tên.Hotline: 0963 410 *** - 0923 032 ***.Add: C8/27 Khu C, Geleximco Lê Trọng Tấn, Dương NỘI, Hà Đông, Hà Nội.Web: nhadatmetro.com.vn            ",120 m²,9 tỷ,Nam,4 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,22/11/2022,02/12/2022,Tin Vip đặc biệt,35918486,batdongsan_com_vn_35918486,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Huy Tưởng', 'Dự án Imperia Garden']","
Căn penthouse ở chung cư cao cấp Imperia Garden Nguyễn Huy Tưởng, Hà nội.DT 168m² thông thủy, cửa Tây Bắc ban công Đông Nam và Đông Bắc, 3 phòng ngủ và 1 phòng làm việc có giường phụ cho khách.- Nội thất: Full nội thất đẹp tiện nghi cao cấp, hiện đại, thiết bị điện tử của Bosch, và Nhật. Thiết bị nhà vệ sinh Toto... Phù hợp gia đình thích không gian rộng.- Tòa chung cư có vị trí đẹp gần đường Nguyễn Trãi, Nguỵ Như Kon Tum, Lê Văn Lương, Hoàng Minh Giám..- Giao thông thuận tiện, khu vực nhiều tiện ích.- Sổ đỏ chính chủ.- Giá bán: Giá 11 tỷ (miễn trung gian).- Liên hệ ngay chính chủ: 0913 591 *** ",168 m²,11 tỷ,Tây - Bắc,,3 phòng,,Sổ đỏ chính chủ.,22/11/2022,02/12/2022,Tin Vip đặc biệt,35675490,batdongsan_com_vn_35675490,Đông - Nam,"Full nội thất đẹp tiện nghi cao cấp, hiện đại, thiết bị điện tử của Bosch, và Nhật. Thiết bị nhà vệ sinh Toto...a",,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Cập nhật quỹ căn Vinhomes Ocean Park Gia Lâm.Xin gửi tới anh/chị đang quan tâm căn hộ chung cư Vinhomes Ocean Park danh sách căn hộ bán mới giá tốt nhất tháng 11/2022.Căn Studio:+ 31m², toà S2.12, S2.18 giá từ 930tr.+ 36m², toà S2.15 giá từ 910Tr.+ 38m², toà S1.01, S1.06 giá từ 920Tr.Căn 1 phòng ngủ:+ 45m², tòa S2.01, S2.05, S1.08 giá từ 1,350 tỷ.+ 46m² toà S2.11, S1.12 giá từ giá từ 1,300tỷ.Căn 2 phòng ngủ, 1 phòng vệ sinh.+ 58m² tòa S2.12, S2.02 giá từ 1,650 tỷ.+ 66m² tòa S2.10, S1.01 giá từ 1,750 tỷ.Căn 2 phòng ngủ, 2 phòng vệ sinh.+ 69m² tòa S1.01, S1.03 giá từ 2.100 tỷ.+ 70m² tòa S. 209, S216 giá từ 2.050 tỷ.* Căn 3 phòng ngủ:+ 80m² tòa S2.18 giá từ 2,4 tỷ.+ 83m² toà S2.06, S2.08 giá 2,480 - 2,550 tỷ.+ 106m² tòa S1.08, toà S1.09 giá từ 3.7 tỷ.Các tiện ích cư dân được hưởng: Nướng BBQ, bể bơi, sân tennis, sân cầu lông,..., dịch vụ nhà 5 sao, bệnh viện Vinmec, siêu thị Vinmart, gần trường học Vinshool, tiệm salon, nhà thuốc, ăn sáng, cafe ngay nhà.- Thủ tục pháp lý sang tên căn hộ nhanh gọn, đảm bảo cho khách hàng.- Mọi thông tin quý khách vui lòng liên hệ trực tiếp để được tư vấn miễn phí.- Hỗ trợ vay ngân hàng tới 70%.            ",69 m²,2.1 tỷ,,,2 phòng,2 phòng,,22/11/2022,02/12/2022,Tin Vip đặc biệt,35917618,batdongsan_com_vn_35917618,,Nội thất đầy đủ.,,
"['Hà Nội', 'Hà Đông', 'Phường Biên Giang', 'Đường Biên Giang']","
* Vị trí:Cách bến xe Yên Nghĩa 3km.Cách cầu Mai Lĩnh của Phường Biên Giang - Hà Đông 1km.Cạnh ngay đại học Thể dục Thể Thao.Ô tô Morning đỗ cửa, xe 7 chỗ cách 5m, bãi đỗ xe của nhà văn hoá cách 10m (để được 20 xe ô tô).Nhà xây 3 tầng có 3 ngủ và 2WC.Diện tích đất 30m².* Hoàn thiện nội thất đẹp như hình, chỉ mang đồ về ở.* Nội thất:Cầu thang gỗ lim.Cửa thông phòng gỗ. Tủ bếp hiện đại.Cửa nhôm chất lượng, cửa chính gỗ Lim cực sang trọng.Thiết bị vệ sinh cao cấp, trần thạch cao sáng đẹp.Sơn cao cấp. Bồn nước Sơn Hà. Máy bơm nước tiện lợi.Dây điện Trần Phú, ống nhựa Tiền Phong bền bỉ chất lượng.Đá ốp cầu thang hoa cương tự nhiên.* Sổ đỏ đầy đủ, pháp lý minh bạch rõ ràng.Hỗ trợ ngân hàng tối đa 70% giá trị cho khách có nhu cầu vay vốn. Chỉ cần có từ 400 - 500tr có thể mua được nhà.* Giá.Giá nhỉnh 1 tỷ 300 triệu (giá xây thô 3 tầng).Giá hoàn thiện như hình về ở ngay là 1 tỷ 430 triệu.Sổ đỏ tên của tôi.0901 723 489.            ",30 m²,Thỏa thuận,Đông - Nam,3 tầng,3 phòng,2 phòng,Sổ đỏ,22/11/2022,02/12/2022,Tin Vip đặc biệt,35666602,batdongsan_com_vn_35666602,Đông - Nam,,4 m,3 m
"['Hà Nội', 'Gia Lâm', 'Xã Đa Tốn', 'Đường Đa Tốn']","
- Mặt tiền 4m hậu 4.02m nở hậu vuông vắn.- Đường hai ô tô tránh nhau.- Khu dân cư đông đúc hàng xóm thân thiện, đầy đủ tiện ích: Trường mầm non, chợ Bún, trạm y tế, bến xe bus, Winmart. Cách Vinhomes Ocean Park 500m, cách Ecopark 800m.- Giao thông thuận tiện: Gần đường Lý Thánh Tông kết nối vinhomes ocean park, đường 379 Hà Nội - Ecopark.- Pháp lý sổ đỏ chính chủ.- Giá bán: 52tr/m².            ",52 m²,2.704 tỷ,Đông - Nam,,,,Sổ đỏ/ Sổ hồng.,22/11/2022,02/12/2022,Tin Vip đặc biệt,35913773,batdongsan_com_vn_35913773,,,4 m,5 m
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Linh Đàm']","
LH: 0978 946 ***. Gia đình tôi cần bán căn chung cư Linh Đàm, 82m², đầy đủ 3PN, 2WC, vuông vắn, nội thất cẩn thận hiện đại, thiết kế hợp lý, đủ công năng cho cả gia đình. Sổ đỏ chính chủ, sẵn sàng giao dịch. Diện tích rộng thoáng, Tất cả các phòng ngủ, khách, bếp, ban công đều rộng tràn ngập không khí và ánh sáng tự nhiên, thiết kế hợp lý đế từng khoảng không gian.Đặc biệt ban công được trồng rất nhiều cây hoa, rau sạch làm nơi relax cafe tuyệt vời cho cả gia đình. Nhà sạch đẹp thoáng mát, có thể ở luôn đón tết.Khu vực khuôn viên xanh mát quanh năm, nhiều tiện ích, có sân thể dục thể thao, sân vui chơi cho trẻ em, đủ các loại hình dịch vụ: Trường học, chợ, siêu thị, nhà hàng, bể bơi, rạp chiếu phim, cafe,... Gần các trục đường chính giao thông chính, giao thương thuận tiện.LH: Nhung 0978 946 ***Miễn TG & MG, chỉ gặp khách mua trực tiếp).            ",82 m²,2.38 tỷ,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,21/11/2022,02/12/2022,Tin Vip đặc biệt,35914241,batdongsan_com_vn_35914241,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Imperia Sky Garden']","
Quỹ căn hộ chuyển nhượng Imperia Sky Garden Minh Khai giá tốt nhất thị trường.- Loại 58m² (2PN, 1WC): Giá dao động 3tỷ050 - 3tỷ2.- Loại 74 - 78m² (2pn, 2wc): Giá dao động 3tỷ730 - 4tỷ.- Loại 82m² (2PN, 2WC): Giá dao động: 4tỷ - 4tỷ6.- Loại 86 - 88m² (3PN, 2WC): Giá dao động 4tỷ750 - 4tỷ850.- Loại 98m² (3pn, 2wc, căn góc): Giá dao động 5tỷ3 - 5tỷ5.- Loại 103 - 105m² (3PN, 2WC, Căn góc): Giá dao động: 5tỷ8 - 6tỷ5.(Phụ thuộc vào tầng, căn, hướng, nội thất nên giá sẽ dao động).Khách hàng vui lòng liên hệ em Cường 0976 044 *** để em tư vấn cụ thể ạ.Cam kết:- Hỗ trợ thủ tục từ A - Z.- Báo căn chuẩn, giá chuẩn tránh mất thời gian của khách đi lại.            ",74 m²,3.73 tỷ,,,2 phòng,2 phòng,,21/11/2022,01/12/2022,Tin Vip đặc biệt,35913382,batdongsan_com_vn_35913382,,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Phố 72']","
Xin chào bạn! Sổ đỏ chính chủ tên tôi (rất vui khi được hợp tác nhờ ae môi giới bán giúp) hay bán trực tiếp khách hàng. Tôi cần bán vài căn nhà với thông tin chính xác 100% như sau (không quảng cáo màu mè):Bán nhà khu phố đường 72 Ngãi Cầu An Khánh sầm uất Ngày Đêm rất hợp để ở lâu dài vì tiện ích đầy đủ như trong phố, dân cư đông đúc đủ các loại dịch vụ và an ninh xã hội tốt, phát triển tương lai con em, khoảng cách chỉ 900m ra đường Lê Trọng Tấn hà đông và Vinhome Tây Mỗ.- 1: Tôi cần bán 5 căn nhà 3 tầng, (hoặc 4 tầng) thuộc khu phố 72, sát cạnh phố ngãi cầu an khánh giá chỉ 1 tỷ 850 triệu mà lại thuộc khu phố sầm uất cả ngày đêm, sát cạnh vinhome tây mỗ, aone mall hà đông, điều quan trọng hơn nữa là dân trí cao, hạ tầng phát triển, đầy đủ các tiện ích phố xá, chợ, trường, bệnh viện, học viện, trà chanh, cafe, kraoke, sân bóng. Vì là khu vực sầm uất phát triển bậc nhất khu đường lê trọng tấn hà đông. Chứ không hoang vắng thiếu thốn như 1 số khu vực khác.- 2: Tôi cần bán căn nhà 4 tầng diện tích sử dụng sổ đỏ 52m² thuộc khu phố sầm uất ngày đêm, không chung đụng, trong đó bao gồm 35m² xây nhà và 17m² sân ngõ đi riêng sử dụng đi riêng của nhà. Ô tô đỗ cách nhà 20m. Chợ, sân thể thao, uỷ ban phường cách nhà 100m, khu phố sầm uất đủ các loại dịch vụ cửa hàng cách 100m, giá yêu thương!- Nhà tôi đang xây mới 100% tường móng riêng biệt, kết cấu vững trắc có bản vẽ thiết kế kiến trúc đầy đủ, sổ đỏ đã có sẵn sang tên được luôn. Nhà đầy đủ nội thất hàng xịn cam kết bảo hành theo chính hãng, xây kiên cố chắc chắn chịu lực 6 tầng. Giá trên đã đầy đủ nội thất liền tường nhà cơ bản. Có bảo hành nhà thời hạn cho khách,- Vị trí căn nhà gần ngay khu phố Ngãi Cầu phố đường 72 sầm uất ngay cạnh đường Lê Trọng Tấn Hà Đông, gần ngay khu đô thị vinhome smar city tây mỗ, và vin home thăng long An Khánh.- Giá bán xây 3,4 tầng hỗ trợ vay vốn ngân hàng 70% giá trị căn nhà. Chỉ có duy nhất 1 căn thôi ạ. Rất vui khi được tiếp khách!            ",33 m²,1.85 tỷ,,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,20/11/2022,30/11/2022,Tin Vip đặc biệt,35276359,batdongsan_com_vn_35276359,,Đầy đủ nội thất mới,5 m,3 m
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Trung Văn', 'Đường Tố Hữu', '29', 'MHD Trung Văn']","
VICLand đơn vị phân phối chính thức dự án chung cư cao cấp MHD Trung sở hữu không gian sống đẳng cấp với chính sách mua đặc biệt từ CĐT đảm bảo giải pháp An tâm về tài chính trong giai đoạn hiện nay.Liên hệ hotline 0971 074 *** để được tư vấn và tham quan dự án.PKD Vicland: Sảnh khách sạn dự án MHD Trung Văn 29 Tố Hữu - Trung Văn - Nam Từ Liêm.Lý do lựa chọn Dự án chung cư cao cấp MHD Trung Văn.A. Vị trí đắc địa - Kết nối các KĐT Văn minh, khả năng tăng giá trong tương lai.- Nhu cầu lựa chọn không gian sống rộng rãi, riêng tư, tiện ích đang là xu hướng.- Hệ thống giao thông hiện đại, hệ thống gáo dục danh giá.- Điểm hẹn giao thoa tri thức: Kế bên Liền kề Trung văn khu dân trí cao, vài phút di chuyển tới BigC Thăng Long, THPT Amsterdam, BV Y học cổ truyền, trung tâm hội nghị Quốc Gia, ĐH Kiến Trúc.- Liền kề trường quốc tế Olympia, tiếp giáp trường THCS, THPT Trung Văn.- Nằm trong KĐT Trung Văn phía sau là khung liền kề Trung Văn không gian yên tĩnh nhiều cây xanh, yên tĩnh, không khí trong lành, gần kề ngay công viên hồ điều hòa Trung Văn, Công viên Phùng Khoang mật độ câu xanh lớn.- Gần kề các trung tâm thương mại lớn như Big C, Vincom Trần Duy Hưng, Aeon mall Hà Đông. Đặc biệt hầm chui nút giao Lê Văn Lương, Khuất Duy Tiến sắp hoàn thành và thông đường.B. Tiện ích đẳng cấp tiêu chuẩn 5*.- Bể bơi trên cao rộng 350m².- GYM, Yoga, nhà hang ẩm thực.- Tổ hợp trung tâm thương mại, văn phòng,- Hàng rao an ninh 3 lớp, an toàn, không gian riêng cho từng căn hộ.Siêu hiếm! Đẳng cấp 5 sao dự án hiếm có với mật độ chỉ 8 căn/1 mặt sàn, 1 tòa 7 thang máy hạng sang.Hướng tới cuộc sống thịnh vượng, cuộc sống thượng lưu, không chỉ là nơi an cư mà còn là nơi khẳng định cá tính riêng của chủ nhân.+ Tòa nhà 39 tầng, 4 tầng TTTM, 3 tầng hầm lớn, cam kết 01 chỗ để ô tô và 02 xe máy cho mỗi hộ trên HĐMB.+ Diện tích: 105.5m², 106.5m², 123m², 123,8m², 135.9m², 136m² thiết kế 3PN, phòng bếp logia, 2WC.+ Giá bán chỉ từ: 42tr/2 giá vô cùng tốt so với các dự án tương tự.C. Chính sách bán hàng đặc biệt.Hỗ trợ vay vốn ngân hàng 80% GTCH, lãi suất 8.5% trong 2 năm (Cam kết đủ room cho 100% căn hộ).CĐT hỗ trợ trả góp 50%, đảm bảo an toàn tài chính cho cư dân trong giai đoạn hiện nay.- Đặc biệt, chiết khấu ngay 130 - 180 triệu đồng trừ trực tiếp vào HĐMB.- Chiết khấu gói nội thất trị giá 250 triệu đồng.- Thanh toán 30% GTCH ký HĐMB.+ Pháp lý: Sổ hồng riêng từng căn, sở hữu lâu dài.+ Căn hộ đã hoàn thiện, dự kiến bàn giao Quý II/2023.Liên hệ hotline PKD Vicland 0971 074 *** (24/7).Để được tham quan triển nghiệm và tư vấn cụ thể trước khi chọn căn ưng ý.Vicland trân trọng hợp tác!            ",105.5 m²,42 triệu/m²,Tây - Bắc,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,21/11/2022,01/12/2022,Tin Vip đặc biệt,35898311,batdongsan_com_vn_35898311,Đông - Bắc,Đầy đủ.,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Masteri West Heights']","
Vốn ban đầu chỉ 700tr - sở hữu căn 2PN.Vốn ban đầu chỉ 500tr - sở hữu căn 1PN.- Hotline: 0368 828 ***Masteri West Heights tọa lạc ngay tại vị trí đắc địa nhất của khu đại đô thị Vinhomes Smart City - Tây Mỗ - Năm Từ Liêm - Hà Nội.Tầm view toàn cảnh đẹp nhất khu đô thị Smart City.22 tiện ích đặc quyền chuẩn quốc tế, dịch vụ 24/7.Nhà bàn giao full nội thất liền tường (Điều hoà, tủ bếp, thiết bị vệ sinh).+ ) Khóa của thông minh Hafele - Đức.+ ) Thiết bị vệ sinh Kohler - Mỹ.+ ) Điều Hòa âm trần Daikin.+ ) Kính full trần sàn Low - E (kính tiết kiệm năng lượng tốt nhất).---------------------------Chính sách bán hàng vô cùng hấp dẫn:Vay ngân hàng đến 80%: Lãi suất 0%, ân hạn gốc đến 31/8/2024.Quà tặng đến 70 triệu đồng/căn trừ thẳng vào giá.Miễn phí 03 năm phí dịch vụ quản lý căn hộ.Thanh toán theo tiến độ: Chiết khấu 7 %.Thanh toán sớm: Chiết khấu 13,5%.Không nhận BLNH: Chiết khấu 0.3%.----------------------------Căn hộ đa dạng thiết kế tối ưu.Studio: 27,2 - 35,2 m².1PN: 41,8 - 42,1 m².2PN - 1WC: 54,2 - 60,1 m².2PN - 2WC: 61,7 - 62,9 m².3PN: 72,8 - 80,1m².Duplex: 84,2 - 127,7 m².---------------------------Vị trí Kim Cương giữ long khu đô thị Vinhomes SmartCity, P. Tây Mỗ - Nam Từ Liêm, HN.Hotline: 0368 828 *** để đăng ký tham quan phòng mẫu hoàn toàn miễn phí.            ",60 m²,Thỏa thuận,Đông,,2 phòng,2 phòng,Hợp đồng mua bán,21/11/2022,01/12/2022,Tin Vip đặc biệt,35893736,batdongsan_com_vn_35893736,Đông - Nam,Cơ bản,,
