address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Đại Từ', '32', 'Eco Lake View']","
Bán căn hộ HH03B Eco lake View, tòa được săn đón bậc nhất Hoàng Mai.Eco Lake View tọa lạc tại 32 phố Đại Từ, phường Đại Kim, quận Hoàng Mai, Hà Nội, có vị trí gần 3 hồ: Hồ Linh Đàm, hồ Định Công, hồ Đầm Đỗimang đến tầm nhìn thoáng đạt, không gian trong lành cho cư dân.Diện tích: 75m² thông thủy. 80 m² tim tường.Sổ đó chính chủ sẵn sàng giao dịch.Thiết kế: 2 ngủ, 2vs.Hướng: Cửa Đông Nam, ban công Tây Bắc.Nội thất: Sàn gỗ, trần thạch cao, nóng lạnh, điều hòa, tủ bếp, tivi, full đồ chỉ xách vali đến ở cực kì tiện.Giá bán tốt nhất chỉ 2,6tỷ (có thương lượng).Lh xem nhà các ngày trong tuần: Mr. Tú 0868 708 *** ",80 m²,2.6 tỷ,Đông - Nam,Tây - Bắc,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Full nội thất để lại chỉ đến ở thôi.,28/11/2022,05/12/2022,Tin thường,35968280,batdongsan_com_vn_35968280,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Đường Hoàng Quốc Việt']","
Bán nhà phố Hoàng Quốc Việt, phường Nghĩa Tân, quận Cầu Giấy, Hà Nội.Nhà có diện tích 80m² xây 7 tầng thang máy cực Vip, đường trước nhà to như phố, ôtô tránh nhau có vỉa hè, vị trí cực đẹp, khu vực kinh doanh sầm uất, thiết kế hiện đại phù hợp vừa ở vừa kinh doanh:- Tầng 1,2,3: Thông sàn + Điều hòa âm trần.- Tầng 4,5: Mỗi tầng 2 phòng ngủ cực rộng, vệ sinh khép kín.- Tầng 6: Phòng khách và bếp ăn sang trọng.- Tầng 7: Phòng thờ + sân rộng view đẹp.+ Nội thất cao cấp nhập khẩu, thang máy tốc độ cao, thiết bị vệ sinh Inax, bình nóng lạnh, vách kính, full điều hòa âm trần các phòng, tủ bếp, bếp từ và máy hút mùi cao cấp.+ Vị trí đẹp, trung tâm Quận Cầu Giấy, giao thông đi lại thuận tiện, gần Khu Đô thị Nam Cường, Ngoại Giao Đoàn, Tây Hồ Tây.Sổ đỏ chính chủ, pháp lý rõ ràng, quy hoạch ổn định.Giá bán: 30 tỷ (Có thương lượng).Liên hệ chính chủ: Mr Thanh 0906 599 *** ",80 m²,30 tỷ,,,4 phòng,,Sổ đỏ,"Nội thất cao cấp nhập khẩu, thang máy tốc độ cao, thiết bị vệ sinh Inax, bình nóng lạnh, vách kính, full điều hòa âm trần các phòng, tủ bếp, bếp từ và máy hút mùi cao cấp.",30/11/2022,07/12/2022,Tin thường,33237358,batdongsan_com_vn_33237358,5 m,7 tầng
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'đường Nguyễn Hoàng Tôn', 'Dự án The Link 345-CT1']","
Bán căn hộ chung cư cao cấp tại The Link 345 - Khu đô thị quốc tế Ciputra Hà Nội.Quỹ căn cuối cùng từ chủ đầu tư Ciputra, ký hợp đồng trực tiếp, cam kết không bán chênh, chỉ từ 3,4 tỷ sở hữu căn hộ 2PN, 2WC thông thủy 85m²/căn thường hoặc 70m²/căn góc.5,4 tỷ sở hữu căn hộ 3PN 115m².Liên hệ phòng kinh doanh CĐT xem thực tế căn hộ: 0839 454 ***em Hoàng).2/ Nội thất bàn giao cơ bản:- Trần thạch cao, phòng khách sàn gạch, phòng ngủ sàn gỗ cao cấp, thiết bị vệ sinh đầy đủ theo tiêu chuẩn Mỹ, sen vòi nóng lạnh, đầu chờ điều hòa, đường điện, cáp mạng, hệ thống cửa, kính cường lực...3/ Tiện ích đỉnh cao từ KĐT Quốc Tế Ciputra:- Thừa hưởng lợi thế nằm ngay cổng chính Phạm Văn Đồng, kế bên sân tập golf, tổ hợp thể thao, giải trí và ẩm thực Ciputra Club, cùng tầm nhìn độc đáo hướng ra công viên lõi xanh 25ha.- Mang trọn vẹn phong cách sống xanh trên cao với hệ thống căn hộ hiện đại, tận hưởng tiện ích chung của cả khu.- Mật độ xây dựng thấp, đảm bảo mỗi căn hộ đều ngập tràn ánh sáng tự nhiên với công năng sử dụng tối ưu.- Cảm nhận chất sống văn minh, hiện đại từ môi trường sống trong lành, ngập tràn màu xanh.- Đặc quyền tiện ích nội khu cao cấp: Bể bơi, sân tennis, phòng tập, công viên, sân chơi trẻ em cho cuộc sống tiện nghi hơn, chất lượng hơn.LH em Hoàng để xem CH: 0839 454 *** ",115 m²,5.4 tỷ,,Tây - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,30/11/2022,07/12/2022,Tin thường,31749251,batdongsan_com_vn_31749251,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hoàng Cầu', '36', 'Hoàng Cầu Skyline']","
Chính chủ chuyển mục đích sử dụng nên cần bán căn hộ chung cư cao cấp Tân Hoàng Minh - 36 Hoàng Cầu.Căn hộ với vị trí vàng sát trung tâm, dịch vụ tiện ích chuẩn 5 sao, cực đáng sống.Căn hộ có diện tích 109m², thiết kế 2 phòng ngủ và 1 đa năng (có thể sửa thành 1PN nếu cần) và 2 vệ sinh, full nội thất.02 Ban công rộng thoáng, view trực diện hồ, tất cả các phòng đều có ánh sáng, nhà phong thủy cực tốt.Giá bán căn hộ: 7,2 tỷ.Liên hệ xem nhà: 0906 961 *** ",109 m²,7.2 tỷ,Tây - Bắc,Đông - Nam,3 phòng,2 phòng,,Full nội thất ,30/11/2022,07/12/2022,Tin thường,35670228,batdongsan_com_vn_35670228,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án The Zei Mỹ Đình']","
Em đang có sẵn giỏ hàng căn 3 phòng ngủ hoa hậu ở The Zei Mỹ Đình, mua trực tiếp CĐT, được giảm sâu tới 21%, HTLS 70% trong 24 tháng 0 lãi.- Diện tích 108m², ban công Đông Nam - Tây Nam.- Tầng trung.- Ký HĐ trực tiếp với CĐT HD Mon Holding.Hotline: 0916 479 ***Website: https://www.zeimydinh.info/            ",108 m²,5.68 tỷ,,Đông - Nam,3 phòng,,,,29/11/2022,06/12/2022,Tin thường,35977659,batdongsan_com_vn_35977659,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', '677', 'Heritage Westlake']","
Siêu phẩm dự án chung cư hạng sang Heritage Westlake tọa lại tại vị trí đắc địa bậc nhất Tây Hồ - 677 Lạc Long Quân view trực diện Hồ Tây, sông Hồng, cầu Nhật Tân.Liên hệ để nhận thông tin mới nhất và cập nhật bảng hàng: 0839 454 ***em Hoàng).* Điểm nổi bật và khác biệt so với các dự án khác.- 100% căn hộ đều hướng view triệu đô: Hồ Tây, sông Hồng + cầu Nhật Tân.- Dự án hội tụ hàng loạt những thương hiệu nội thất cao cấp nổi tiếng thế giới như: Gaggenau, Gessi, Poggenpohl, Smeg và Villeroy & Boch.- Hơn 40 tiện ích nội khu tích hợp tính năng hiện đại.- Dự án tiên phong thiết kế sảnh thang máy riêng cho tất cả căn hộ.- Ra mắt hồ bơi vô cực nước nóng khoáng ngoài trời dài 50m trên cao tại Hà Nội.- Tiện ích đặc quyền: Bể bơi 4 mùa, bể sục Jacuzzi, thác tràn.- Tiêu chuẩn bàn giao: Cao cấp, thượng hạng dành cho giới thượng lưu.* Diện tích căn hộ:- Căn hộ 2PN: 92m².- Căn hộ 3PN: 145m².- Căn hộ 3PN: 180m².* Thông tin tổng quan dự án:Tên dự án: Heritage WestLake.Chủ đầu tư Capitaland Hiền Đức.Diện tích đất: 8.970 m².Số tầng: 25 tầng (không bao gồm 01 tầng kỹ thuật).Số tầng hầm: 4 tầng.Tầng hầm cho bãi đậu xe: 26.646 m².Tổng số căn: 173 căn hộ.Liên hệ hotline PKD để nhận cập nhật thêm thông tin về căn hộ Heritage Westlake.Hotline: 0839 454 ***em Hoàng).            ",145 m²,Thỏa thuận,Tây - Bắc,Đông - Nam,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp,30/11/2022,07/12/2022,Tin thường,32138718,batdongsan_com_vn_32138718,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'đường Mễ Trì', 'Dự án Sudico Mỹ Đình']","
Chính chủ cần bán CHCC KĐT Sudico Sông Đà, Nam Từ Liêm, Hà Nội.- DT: 85m².- Thiết kế: 2PN, 2PN (căn góc).- Nội thất bao gồm: Sàn gỗ, trần thạch cao, thiết bị vệ sinh, tủ bếp, điều hòa...- Giao thông thuận tiện nằm trên các trục đường chính như: Phạm Hùng, Mễ Trì, Lê Quang đạo.- Tiện ích xung quanh: Siêu thị, gym, spa, khu vui chơi giải trí...- Giá: 3,2 tỷ(có gia lộc cho khách thiện chí).- Liên hệ: E Trung 0866 688 *** ",85 m²,3.2 tỷ,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,"- Nội thất bao gồm: Sàn gỗ, trần thạch cao, thiết bị vệ sinh, tủ bếp, điều hòa...",30/11/2022,07/12/2022,Tin thường,35172164,batdongsan_com_vn_35172164,,
"['Hà Nội.', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hoàng Cầu', 'Dự án Hoàng Cầu Skyline']","
Chính chủ cần bán căn hộ tại Hoàng Cầu Skyline.Dt 72 m², 2 ngủ, 2 vệ sinh, 1 ban công.Nội thất đầy đủ hộ gia đình như điều hòa âm trần, sàn gỗ, hệ thống tủ bếp, bếp từ, hút mùi, giường tủ, bàn ăn, sofa... Đầy đủ nội thất đồng tông màu.Tiện ích: Tòa nhà có hệ thống an ninh tốt, có nhà hàng siêu thị, bể bơi bốn mùa, phòng tập...Giá bán: 4 tỷ.Lh: 0919 636 ***MG) - (Miễn phí cho khách xem).Cảm ơn các bạn đã đọc tin và MTG - QC.            ",72 m²,4 tỷ,Tây - Nam,Đông - Bắc,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,"Đẩy đủ nội thất cao cấp gắn tường Nội thất đầy đủ hộ gia đình như điều hòa âm trần, sàn gỗ, hệ thống tủ bếp, bếp từ, hút mùi, giường tủ, bàn ăn, sofa... Đầy đủ nội thất đồng tông màu.",30/11/2022,07/12/2022,Tin thường,33757958,batdongsan_com_vn_33757958,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai']","
Dọc con phố Minh Khai chắc là con đường giao thông thuận tiện, sạch sẽ, và kinh doanh nhất nhì quận Hai Bà Trưng, con đường vành đai chuẩn bị làm xong giá trị sẽ tăng cao.Nhà mình nằm ở đoạn đẹp nhất phố, kinh doanh sầm uất ngày đêm, cách Times City chỉ 200m.Nhà dân xây xác định vừa ở vừa kinh doanh nên vô cùng chắc chắn, hiện chủ đang cho thuê cả nhà giá hữu nghị 40tr/tháng.Chủ nhà sống bên Đức và đã định cư bên đấy nên nhờ e bán nhanh với giá rất rẻ để chuyển qua đấy ở luôn nên giá còn thương lượng mạnh.Sổ đỏ chính chủ giao dịch ngay.Chỉ cần anh chị thích chủ sẽ bay về làm việc nhanh.Liên hệ xem nhà ngay Tuấn: 0985 872 *** ",65 m²,12.8 tỷ,,,,,Sổ đỏ/ Sổ hồng,,30/11/2022,07/12/2022,Tin thường,35986809,batdongsan_com_vn_35986809,5 m,4 tầng
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phương Canh', 'đường Phương Canh']","
Bán nhà Phương Canh 40m², 5T, MT 4m, gara ô tô, kinh doanh, xách valy về ở ngay, giá 5 tỷ nhỉnh.Cực hiếm - kinh doanh - ô tô vào nhà - khách xem là chốt.+ Vị trí đẹp nhất khu vực, ô tô vào nhà, kinh doanh, nhà mới ở luôn.+ Ngõ thông ra đường Phương Canh, khu vực chợ Phương Canh, và gần trường học các cấp từ mầm non đến cấp 1,2,3. Xung quanh vô vàn tiện ích.+ Nhà 5 tầng thiết kế hiện đại, vô cùng đẹp.- Tầng 1 gara, kinh doanh.- Tầng 2,3,4 mỗi tầng 1 phòng khép kín rộng, sáng và rất thoáng.- Tầng 5 phòng thờ, sân phơi.+ Sổ đỏ sẵn sàng giao dịch luôn.+ Giá: 5 tỷ nhỉnh thương lượng.+ AC LH: 0982 665 *** Em Quyết để xem nhà 24/7.            ",40 m²,5 tỷ,,,,,Sổ đỏ,,30/11/2022,07/12/2022,Tin thường,35987153,batdongsan_com_vn_35987153,,
