address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng,Hướng nhà,Hướng ban công
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Căn siêu đẹp - giá cực tốt Vinhomes Smart City Tây Mỗ phân khu S3.Chủ nhà gửi bán căn 1 ngủ + 1 diện tích 45m² giá 1,73 tỷ có thương lượng.- Hướng Đông Nam mát mẻ.- Tầng đẹp., full nội thất chỉ cần xách quần áo vào ở.- Căn đẹp hoàn hảo không bị lỗi phong thủy gì, nhà ngập tràn ánh sáng, thoáng mát.- Đặc biệt giá cực cực tốt so với vị trí, căn hộ hội tụ mọi yếu tố của một căn hộ hoàn hảo!- Gần Vinschool, công viên trung tâm, vườn thể thao, bể bơi, nhà để xe.- Hưởng tất cả tiện ích khu đại đô thị, không cần phải đi đâu xa vì mọi tiện ích ngay dưới chân nhà!Liên hệ: Ms. Hương 0989 679 *** ",45 m²,1.73 tỷ,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Full nội thất,30/11/2022,07/12/2022,Tin thường,35986614,batdongsan_com_vn_35986614,,,,,
"['Hà Nội', 'Đông Anh', 'Xã Xuân Nộn', 'Đường Nhạn']","
Vị trí: Thôn Xuân Nộn - xã Xuân Nộn Đông Anh.Diện tích 40m².Mặt tiền 5.08m.Mặt hậu 5.08m.Đường trước đất rộng 2.5m đi 30m ra ngõ ô tô.Khu dân cư đông đúc, sắp tới có nhiều dự án vây quanh đặc biệt là khu công nghiệp rộng 300ha đối diện thôn Đình Trung đang được thành phố đẩy nhanh, tiềm năng tăng giá trong thời gian tiếp theo là chắc chắn, đường sá đi lại giao thông thuận tiện.Tiện ích.+ Cách trục chính kinh doanh 100m.+ UBND, trường học, trạm y tế, bán kính 1km.+ Cách đường Lê Hữu Tựu 1km.+ Cách đường Quốc Lộ 3 1,5km.+ Cách trung tâm huyện 2km.+ Cách công viên Kim Quy đi cầu Nhật Tân 5km.+ Cách sân bay Nội Bài 10p đi xe.+ Pháp lý sạch, sổ đỏ chính chủ sẵn sàng giao dịch.Có thương lượng với người thiện chí.Em có video quay đất thực tế anh chị kết bạn zalo em gửi ạ.Nhấc máy lên alo em luôn ạ.            ",40 m²,960 triệu,,,Sổ đỏ/ Sổ hồng,,30/11/2022,07/12/2022,Tin thường,35280114,batdongsan_com_vn_35280114,5 m,2.5 m,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Trung Yên']","
Cách phố 30m. Ô tô. KD.Nhà mới 7 tầng thang máy nhập. Ô tô vào nhà.Diện tích 60m² x 7 tầng. MT 4.5 m.Giá 10.45 tỷ (có thương lượng).Chủ rất cần tiền muốn thanh khoản nên vào việc rất nhanh.Sổ đỏ vuông A4. Chờ giao dịch.Gọi ngay cho em Nhàn: 0962 601 ***. Hỗ trợ cô - dì - chú - bác ACE miễn phí 24/24.            ",60 m²,10.45 tỷ,6 phòng,,Sổ đỏ,,30/11/2022,10/12/2022,Tin thường,35987136,batdongsan_com_vn_35987136,4.5 m,4 m,7 tầng,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Tân Xuân']","
Nhà đẹp, ở luôn, 10m ô tô, 20m ra phố, thiết kế hiện đại. Ở sướng vô cùng. Tặng toàn bộ nội thất. Tân Xuân 42m2x5T MT 3.2m 3.98 tỷ Bắc Từ Liêm.+ Vị trí đắc địa, ngõ phân lô, ô tô chạy vòng quanh, thông khắp ngả.+ Nhà chính chủ dân xây, cực kỳ kiên cố, chắc chắn rất đẹp, thoáng sáng trước sau, sàn gỗ quý lung linh.+ Thiết kế 5 tầng:- T1: Phòng Bếp, phòng ăn, để xe.- T2: Phòng Khách.- T3 + 4: 4 phòng ngủ.- T5: Phòng thờ, sân Phơi.* Sổ đỏ vuông đẹp, nở hậu. Sẵn sàng giao dịch.+ Liên hệ: Bích Hạnh BĐS Cao cấp 0356 965 *** ",42 m²,3.98 tỷ,4 phòng,,Sổ đỏ/ Sổ hồng,,30/11/2022,10/12/2022,Tin thường,35986621,batdongsan_com_vn_35986621,3.2 m,3 m,5 tầng,,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường Trần Phú', 'Dự án Grand Sunlake']","
Cần bán căn hộ 3PN tại Grand Sunlake Văn Quán, 96m² giá chỉ từ 3,3 tỷ.Chỉ từ 3,3 tỷ/ căn, bàn giao đầy đủ nội thất liền tường.- Diện tích: 95,9m².- Hướng ban công: Tây Bắc - Tây Nam.- Hướng cửa: Đông Bắc.- Căn hộ tầng 8 tòa 45 tầng.- Chung cư có các tiện ích như: Bể bơi, thư viện, nhà trẻ, TTTM,Liên hệ xem nhà trực tiếp 0356 088 *** ",96 m²,3.3 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Bàn giao full nội thất liền tường,30/11/2022,07/12/2022,Tin thường,35987719,batdongsan_com_vn_35987719,,,,Đông - Bắc,Tây - Nam
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Green Pearl 378 Minh Khai']","
Do nhu cầu gia đình cần chuyển lên căn hộ diện tích lớn hơn.+ Bán căn hộ ban công Đông Nam thoáng mát, cửa Tây Bắc.Diện tích 74m² giá 3 tỷ 2.+ Đã có sổ bao phí sang tên.+ Thiết kế 2PN, 2WC, 2 loga.+ Full nội thất.+ Chung cư có vị trí gần Times City, lại yên tĩnh, mật độ thấp, cách mặt đường 30m nên không bị ô nhiễm tiếng ồn, rất phù hợp cho các hộ gia đình sinh sống.LH: 0941 638 *** ",74 m²,3.2 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,30/11/2022,07/12/2022,Tin thường,35303883,batdongsan_com_vn_35303883,,,,Tây - Bắc,Đông - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Hoàng Văn Thái']","
Bán nhà phân lô phố Hoàng Văn Thái, diện tích 130m², xây dựng 4 tầng, mặt tiền rộng 5,5m, hướng Tây Nam, mặt sau hướng Đông Bắc, nhà trong khu phân lô, nhà thoáng, diện tích xây dựng 80 m² x 4 tầng, có vườn trước, sân sau, mặt đường trước nhà rộng 6 m, ô tô con tránh nhau, cuối ngõ có chỗ quay đầu xe, nhà 2 mặt thoáng mặt sau là bãi đỗ xe công, nên rất thoáng, mát, nhà khu an ninh tốt, sổ đỏ chính chủ, giá bán 18,5 tỷ, giá rẻ hơn thị trường, liên hệ: 0988 837 *** ",130 m²,18.5 tỷ,,,,,30/11/2022,07/12/2022,Tin thường,35986667,batdongsan_com_vn_35986667,5.5 m,6 m,4 tầng,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Lương', 'Đường Đê Trần Khát Chân']","
Bán nhà ngõ Đê Trần Khát Chân, HBT giá 3.5 tỷ, 32m2x4T, ảnh thật.Mô tả: Ảnh thật.Do không còn nhu cầu sử dụng nên gia đình bán nhà trong ngõ Đê Trần Khát Chân, phường Thanh Lương, quận HBT.Diện tích sử dụng là 32m². Nhà xây 3 tầng 1 tum khung bê tông. Mặt tiền rộng 3.4m. Hướng Tây Nam.Nhà thiết kế cơ bản, gồm 2 phòng ngủ, 3 nhà wc, đầy đủ khách bếp. Trước nhà lát gạch đỏ sạch sẽ.Gia đình xây ở nên rất giữ gìn, nhà còn tốt, hiện trạng nhà như ảnh mô tả. Chủ mới về sơn sửa vôi ve lại là có ngay nhà đẹp để ở.Pháp lý: Sổ đỏ.Giá 3.5 tỷ, có thương lượng.Liên hệ: 0888 638 *** 0931 866 ***.Miễn trung gian môi giới.            ",32 m²,3.5 tỷ,2 phòng,3 phòng,Sổ đỏ/ Sổ hồng,"Cơ bản, đầy đủ.",30/11/2022,07/12/2022,Tin thường,35987041,batdongsan_com_vn_35987041,,,4 tầng,Tây - Nam,
"['Hà Nội', 'Đông Anh', 'Xã Vân Nội', 'Đường Vân Trì']","
Đường thông thoáng ô tô đỗ cửa - cách đường Võ Nguyên Giáp 300m.Vị trí đất thôn Viên Nội - Xã Vân Nội - Đông Anh giá đầu tư.Diện tích trên sổ 72m² nhưng thực tế 68m² tính tiền theo diện tích thực tế.Mặt tiền 4,03m.Đường trước đất rộng hơn 3m ngõ thônh thoáng.Khu dân cư đông đúc, phát triển tốt, mảnh đất nằm giáp ranh với quy hoạch thành phố thông minh tiềm năng tăng giá theo thời gian, mua ngay thời điểm này giá đang tốt.+ Tiện ích giao thông.Bán kính 1km có đầy đủ trường cấp 1,2,3 trạm y tế, Vinmart, ubnd xã.Cách trục chính liên xã 100m.Cách đường gom Võ Nguyên Giáp 200m.Cách đường QL 5 500m.Cách Quốc Lộ 23B chỉ 500m.Cách dự án thành phố thông minh 1km.Nội thành Hà Nội đi cầu Nhật Tân chỉ 10p đi xe.            ",68 m²,2.006 tỷ,,,Sổ đỏ/ Sổ hồng,,30/11/2022,07/12/2022,Tin thường,35891686,batdongsan_com_vn_35891686,4.03 m,3 m,,,
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Khương Thượng']","
Chính chủ cần thanh lý tài sản về quê cùng con cháu nên cần bán lại căn nhà tại trung tâm quận Đống Đa, Phố Khương Thượng gần Đại Học Thủy Lợi.Nhà có thông tin chi tiết như sau:- Diện tích 28m².- Xây dựng 4 tầng, gồm 3PN, 2WC, phòng thờ, sân phơi, bếp, để xe đầy đủ công năng sử dụng.- Thiết kế theo phong cách hiện đại, các phòng đều ngập tràn ánh sáng tự nhiên.- Sổ đỏ chính chủ vuông đẹp sẵn sàng giao dịch.- Giá chào: 3.15 tỷ có thương lượng cho khách thiện chí.Khu vực Khương Thượng ngay gần Đại Học Thủy Lợi, thông với phố Tây Sơn, Tam Khương, Chùa Bộc, Tôn Thất Tùng, Trường Chinh, nơi đây là trung tâm của trung tâm Ngã Tư Sở như Trái tim trung tâm của Hà Nội nên đi đâu cũng thuận tiện. Quanh nhà tiện ích ngập tràn đẳng cấp từ bệnh viện: Viện ĐH Y, Bạch Mai, Lão Khoa, Da Liễu. Các Trường ĐH: ĐH Thủy Lợi, Ngân Hàng, Y, Công Đoàn. Trường mầm non: Mầm non ngã tư sở, ngôi sao, hoa mặt trời.. Vv. Trường tiểu học, THCS Khương Thượng - ngôi trường mơ ước của bao thế hệ phụ huynh, nơi bồi đắp nên các thế hệ con em Top1 Việt Nam, Siêu thị: Big C Lê Trọng Tấn, Fujimark. Trung tâm thương mại: Royal city, Lotte..Quá hiếm cho 1 căn nhà chỉ 3 tỷ khu vực trung tâm tiện ích đẳng cấp, ngõ lại nông đẹp nhà chắc chắn không có căn thứ 2.LH xem nhà: Ms Thu Phú Thọ 0914 566 *** ",28 m²,3.15 tỷ,3 phòng,3 phòng,,,30/11/2022,07/12/2022,Tin thường,35987714,batdongsan_com_vn_35987714,,,4 tầng,,
