address,gen_descrip,Diện tích,Mức giá,Đường vào,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Mặt tiền,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Lương', 'Phố 8/3']","
Vị trí giao thông thuận tiện, thông các ngả Kim Ngưu - Hồng Mai - Chùa Quỳnh...Trước nhà đường oto tránh thông thoáng sạch sẽ,Nhà không có gì ngoài diện tích rộng vừa ở vừa kinh doanh, giá nhà mặt phố mà rẻ như trong ngõ.Nhà dân xây rất chắc chắn, mua về lên thêm tầng làm thang máy rất tuyệt hoặc để vậy đã ở không hết.Chính chủ cần tiền bán gấp cuối năm nên giá đã rẻ mà còn thương lượng sâu.Liên hệ làm việc chính chủ: Tuấn 0985 872 *** ",100 m²,15.9 tỷ,6 m,4 tầng,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35986755,batdongsan_com_vn_35986755,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nghiêm Xuân Yêm', 'Dự án Kim Văn Kim Lũ']","
Nhà em đã mua được căn hộ mới trên phố nên muốn nhượng lại căn hộ 3PN tại CT12 KVKL. Nhà đã được sửa sang lại toàn bộ: Sàn nhà được thay bằng sàn gỗ Pơ Mu, vệ sinh Toto, đèn Led ốp trần...- Diện tích: 73,6m².- Thiết kế: 3 phòng ngủ, 2wc, phòng khách, bếp.- Nội thất: Sàn gỗ tủ bếp, bếp từ hút mùi, trần thạch cao, giường tủ đầy đủ các phòng, sofa, bàn ăn... Để lại toàn bộ.Giá bán giảm sâu chỉ 1.6tỷ (có gia Lộc thêm).Liên hệ xem nhà ngay: 0369 889 *** ",73.6 m²,1.6 tỷ,,,,30/11/2022,07/12/2022,Tin thường,35987667,batdongsan_com_vn_35987667,3 phòng,2 phòng,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Vũ Phạm Hàm']","
Bán tòa nhà văn phòng căn góc phố Vũ Phạm Hàm - Mạc Thái Tông, KĐT Nam Trung Yên, gần phố Nguyễn Chánh và trung tâm Hội Nghị Quốc Gia (sau siêu thị Big C Trần Duy Hưng), phường Trung Hòa, Cầu Giấy, Hà Nội.- Diện tích sổ đỏ: 265m², diện tích xây thực tế 280m² xây 8 tầng, căn góc hai mặt phố, mặt tiền 24m.- Nhà xây mới 100% thiết kế 7 tầng nổi và 1 tầng hầm. Mỗi tầng 1 sàn thông. Cầu thang và WC cuối nhà, hệ thống điều hoà âm trần, nhà hiện cho thuê 20 ngàn $/1 tháng hợp đồng ổn định, lâu dài.Đường và hè rộng 30m. Khu văn phòng đông đúc. Vị trí đắc địa, giao thông kết nối vùng rất thuận tiện.- Giá: 200 tỷ. Sổ đỏ lâu dài. Pháp lý chuẩn, nhà có GPXD và GPPC đầy đủ.            ",265 m²,200 tỷ,,8 tầng,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35986774,batdongsan_com_vn_35986774,5 phòng,9 phòng,,,,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường Chiến Thắng']","
Phân lô vỉa hè, phố thông hè thoáng, ô tô dừng đỗ ngày đêm, ở sướng, kinh doanh văn phòng tuyệt đỉnh, gần chợ, gần trường, tiện ích tuyệt vời kđt, sổ chuẩn a4, bán nhà kđt Văn Quán, Hà Đông 40m² - 6,2 tỷ.Nhà nằm vị trí trung tâm phát triển bậc nhất quận Hà Đông khu vực víp, hưởng trọn tiện ích kđt Văn Quán, giao thông đi lại thuận tiện, bán kính 400m, nhiều trường đại học lớn, TTTM, ga tàu điện, 3 bước ra hồ điều hoà Văn Quán.Tiện ích an sinh dân trí không phải bàn cãi.Đường thông rộng thoáng, ô tô dừng đỗ ngày đêm, an ninh an sinh tuyệt đỉnh.. Phù hợp vừa ở sướng vừa có thể KD văn phòng cty...Chủ nhà làm ăn có lộc nay bán để chuyển sang Liền Kề KĐT Định Công.Sổ đỏ chính chủ sẵn sàng giao dịch.Liên hệ ngay Mr Đạt để xem nhà miễn phí.            ",40 m²,6.2 tỷ,10 m,4 tầng,Sổ đỏ,28/11/2022,05/12/2022,Tin thường,35871234,batdongsan_com_vn_35871234,4 phòng,3 phòng,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Trường Chinh']","
Tướng cao cấp quân đội về hưu chuyển về quê ở, nay cần bán gấp nhà riêng phố Trường Chinh, Q. Thanh Xuân.+ Diện tích 45m², xây KCBT 5 tầng, 6 phòng ngủ rộng thoáng, nội thất sang trọng cao cấp.+ Nhà 3 mặt thoáng vĩnh viễn, yên tĩnh, tất cả các phòng ngủ, bếp, cầu thang đều tràn ngập ánh sáng tự nhiên.+ Ngõ trước nhà rộng thoáng, xe ba gác tránh xe máy, cách đường ô tô chỉ 30m.+ Vị trí vàng, giáp ranh với Quận Đống Đa, dân cư đông đúc, vô cùng sầm uất. Trong bán kính 1km bạt ngàn tiện ích: Sân tập thể thao, bệnh viện, trường học, chợ siêu thị. Vài bước chân ra Royal city, ngã tư Sở,..+ Nhà thuộc khu phân lô quân đội, hàng xóm toàn tướng tá, dân trí cao, an ninh cực kỳ đảm bảo.+ Sổ đỏ chính chủ, sẵn sàng giao dịch.+ Chủ cần bán gấp, giá chào chỉ 5.8 tỷ, có thương lượng.Liên hệ Mr Hưng để được hỗ trợ xem nhà.            ",45 m²,5.8 tỷ,3 m,5 tầng,Sổ đỏ/ Sổ hồng.,30/11/2022,07/12/2022,Tin thường,35987665,batdongsan_com_vn_35987665,6 phòng,5 phòng,4.5 m,Đầy đủ,,
"['Hà Nội', 'Thanh Xuân', 'Phường Kim Giang', 'Đường Hoàng Đạo Thành']","
Chính chủ cần bán nhanh nhà phân lô mặt ngõ kinh doanh tại Hoàng Đạo Thành, Thanh Xuân:+ Vị trí trung tâm Hoàng Đạo Thành, ngay cạnh các trường học lớn, ngõ thông Nguyễn Xiển, 460 Khương Đình ra hồ Hạ Đình, UBND phường Kim Giang.+ Nhà phân lô 60m² thiết kế 6 tầng hiện tại, có thang máy, vỉa hè kinh doanh. Trang bị đầy đủ nội thất.Chủ thiện chí bán, chào giá chỉ 10.5 tỷ. Sổ đỏ sang tên phút mốt.Liên hệ xem nhà: Mr Quyến 0364 901 *** ",60 m²,10.5 tỷ,10 m,6 tầng,Sổ đỏ.,30/11/2022,07/12/2022,Tin thường,35987341,batdongsan_com_vn_35987341,4 phòng,4 phòng,4.5 m,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Bắc', 'Đường Nguyễn Xiển', '214', 'KĐT Hạ Đình']","
* Độc quyền 10 suất ngoại giao liền kề - shophouse - biệt thự tại Legacy Garden 214 Nguyễn Xiển.Mọi thông tin liên hệ: 0981 155 *** - em Mai Hương để tư vấn trực tiếp.Vị trí dự án: Mặt đường Lương Thế Vinh kéo dài - Hà Nội.Chủ đầu tư: Liên doanh giữa Tổng Công ty Đầu tư phát triển hạ tầng đô thị UDIC và Công ty CP Xây dựng lắp máy điện nước Hà Nội Haweico.- Tổng diện tích: 14.863m².- Mật độ xây dựng: 40%.- Quy mô, sản phẩm: 118 lô gồm 48 lô liền kề nội khu và 70 lô shophouse mặt tiền đường + 2 block chung cư cao 30 tầng.Diện tích: 85m² - 93m² - 108m² - 115m² - 139m² - 147m² - 163m² với tỉ lệ xây dựng từ 80% - 90%.Thiết kế xây dựng: Số tầng: 5 tầng, mặt tiền: 2.- Thời gian bàn giao dự kiến: Quý I/2023.- Hình thức sở hữu: Sổ hồng vĩnh viễn.- Ngân hàng hỗ trợ: BIDV, MB Bank.- Tiện ích: Phòng khám, nhà thuốc, siêu thị mini, tiệm giặt là, nhà hàng, café, khu ẩm thực BBQ,.. Đầy đủ 45 tiện ích cao cấp.--------------------------------- Độc quyền 20 suất ngoại giao liền kề - shophouse - biệt thự tại Legacy Garden 214 Nguyễn Xiển.Mọi thông tin liên hệ: 0981 155 *** - em Mai Hương để tư vấn trực tiếp.            ",85 m²,Thỏa thuận,,,,30/11/2022,07/12/2022,Tin thường,32280531,batdongsan_com_vn_32280531,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường Trần Phú']","
Phân lô cán bộ, ô tô đỗ cửa đường thông tứ phía, 3 bước ra phố, tiện ích vây quanh, thoáng mát trong lành, sổ chuẩn A4, Trần Phú Hà Đông 40m² 4 tầng 4,95 tỷ.Vị trí trung tâm sầm uất bậc nhất Hà Đông, khu vực víp, giao thông đi lại thuận tiện, 3 bước ra phố Trần Phú, gần nhiều trường đại học lớn, TTTM, ga tầu điện, hồ điều hoà Văn Quán. Tiện ích an sinh dân trí không phải bàn cãi.Đường thông rộng thoáng, ô tô dừng đỗ ngày đêm, an ninh an sinh tuyệt đỉnh.. Phù hợp vừa ở sướng vừa có thể KD văn phòng cty...Nhà dân xây tâm huyết thiết kế 4 tầng đẹp lung linh với 4 ngủ đủ công năng.Chủ nhà làm ăn có lộc nay bán để chuyển sang liền kề Mộ Lao.Sổ đỏ chính chủ sẵn sang giao dịch.Liên hệ ngay Mr Đạt để xem nhà miễn phí!            ",40 m²,4.95 tỷ,5 m,4 tầng,Sổ đỏ chính chủ.,24/11/2022,01/12/2022,Tin thường,35937571,batdongsan_com_vn_35937571,4 phòng,3 phòng,4 m,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Tuân', '143', 'Imperia Garden']","
Tôi cần bán gấp căn hộ tại chung cư tại 143 Nguyễn Tuân, Hà Nội.- Căn hộ rộng 70m² được thiết kế riêng với 2 phòng ngủ, 2 nhà vệ sinh.- Cửa vào Đông Nam, ban công Tây Bắc.Tôi rất thiện chí bán nên cũng mong gặp khách có nhu cầu thực sự để làm việc.Giá mong muốn: 3.65 tỷ full đồ.Ảnh thật, giá thật. Liên hệ trực tiếp: 0392 161 *** Trang để xem nhà và thỏa thuận trực tiếp (Miễn trung gian, quảng cáo).            ",70 m²,3.65 tỷ,,,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35573040,batdongsan_com_vn_35573040,2 phòng,2 phòng,,,Đông - Nam,Tây - Bắc
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Nguyễn Ngọc Nại']","
+ Tôi cần bán gấp nhà tại phố Nguyễn Ngọc Nại, Thanh Xuân. Nhà nằm ở vị trí đẹp, ngõ ô tô, cách phố vài bước chân, tiện ích đầy đủ.+ Nhà thiết kế 4 tầng, có khe thoáng, ở cực sướng.+ Chủ nhà thiện chí bán, chỉ cần khách thích.+ LH Ms Thủy 0961 505 *** xem và gặp trực tiếp chủ nhà.Miễn MG và TG.            ",52 m²,6.5 tỷ,,4 tầng,,28/11/2022,05/12/2022,Tin thường,35967141,batdongsan_com_vn_35967141,,,,,,
