address,gen_descrip,Diện tích,Mức giá,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Pháp lý,Mặt tiền,Số tầng,Đường vào,Hướng nhà,Hướng ban công,Số toilet
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Hồ Mễ Trì', 'Dự án Trinity Tower']","
Hotline 0969 898 *** Mrs Hiệp.Dành riêng cho KH mua căn studio - đầu tư lợi nhuận từ 12% - vốn từ 1 tỷ.- Diện tích: 37m² - 42m² - 53m².- Tầng 5, 6, 19.- Hướng Đông Bắc.- Giá từ 1.2 tỷ - 1.6 tỷ.+ Mua; Để ở, làm văn phòng, cho thuê.+ Vị trí 4 mặt tiền đường lớn.+ Chỉ 15 căn/sàn với 100% các căn hộ view hồ.+ Tháng 12 nhận nhà dùng ngay.+ Đầu tư cho thuê lơi nhuận từ 10 - 12 %/ tháng.Chính sách đặc biệt tháng 11:+ Chiết khấu 1% cho 5 khách hàng đặt cọc sớm nhất.+ Chiết khấu thanh toán lên đến 7,7% cho khách hàng thanh toán nhanh 95%.+ Miễn 2 năm phí quản lý vận hành.Liên hệ Mrs Hiệp: 0969 898 ***.            ",44 m²,1.5 tỷ,Hoàn thiên cơ bản ,29/11/2022,06/12/2022,Tin thường,35797829,batdongsan_com_vn_35797829,,,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Thành Thái', 'Dự án ĐTM Dịch Vọng']","
Chung cư N06 khu đô thị mới Dịch Vọng.- Toà chung cư nằm ở vị trí tuyệt đẹp, hiếm có, ngay mặt đường Thành Thái, đi bộ sang đường là công viên Cầu Giấy, tương lai nối thẳng với đường Nguyễn Văn Huyên kéo dài. Hàng xóm xung quanh toàn Biệt thự đẳng cấp, Chung cư cao cấp. Hệ thống hạ tầng giao thông tốt, đường thoáng rộng, tiện ích nhiều, hàng quán nhộn nhịp ngày đêm.Tổng 2 phòng ngủ, phòng nào cũng có cửa sổ thoáng sáng. Nội thất tủ bếp, vệ sinh, sàn gỗ đầy đủ.Liên hệ xem nhà: 0988 803 *** ",63 m²,2.6 tỷ,,29/11/2022,06/12/2022,Tin thường,35986522,batdongsan_com_vn_35986522,2 phòng,Sổ đỏ/ Sổ hồng,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Mai', 'Đường Nguyễn Ngọc Nại']","
Bán nhà mặt phố Nguyễn Ngọc Nại, Thanh Xuân, Hà Nội.+ Diện tích 143m² xây 9 tầng + Hầm.+ Mặt tiền 6,2m, hậu 7,39m.+ Hiện tại đang cho thuê 200/tháng.+ Khu phố kinh doanh sầm uất.+ Giá 48,8 tỷ có bớt ít.+ Liên hệ: 0967 767 *** Mr. Thịnh.            ",143 m²,48.8 tỷ,,30/11/2022,07/12/2022,Tin thường,35777934,batdongsan_com_vn_35777934,,Sổ đỏ/ Sổ hồng,6.2 m,9 tầng,,,,
"['Hà Nội', 'Hoài Đức', 'Xã An Khánh', 'Đường Lê Trọng Tấn']","
Cần bán gấp liền kề Geleximco Lê Trọng Tấn 76m², vỉa hè, view thoáng giá 8.5 tỷ.Nhà được thiết kế theo phong cách hiện đại, nội thất đẹp, xung quanh nhiều tiện ích.Nhà ở trong khu đô thị vip nằm trên mặt đường Lê Trọng Tấn khu đô thị Geleximco, an ninh cực đỉnh, giao thông thuận tiện, sát với Thiên Đường Bảo Sơn, khu vui chơi đẳng cấp bậc nhất Hà Nội.Sổ đỏ vuông tờ A4, pháp lý sạch, sẵn sàng giao dịch.Liên hệ tôi Hậu để xem nhà.            ",76 m²,8.5 tỷ,,30/11/2022,07/12/2022,Tin thường,35986307,batdongsan_com_vn_35986307,,,,,,,,
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Đường Cổ Linh']","
Bán biệt thự liền kề Phố Cổ Linh, Phường Thạch Bàn, Ở Sướng, văn phòng kinh doanh siêu hợp Lý.Biệt thự tổng diện tích sàn 135m², thiết kế xây dựng 5 tầng thoáng sáng. Vỉa hè ô tô tránh, đỗ ngày đêm.Biệt thự nằm vị trí trung tâm Thạch Bàn, quận Long Biên, chỉ mất 5 phút lên cầu Vĩnh Tuy, cầu Thanh Trì di chuyển nội thành Hà Nội, 25 phút đến Sân Bay Nội Bài.Giao thông nối liền các tuyến đường huyết mạch quận Long Biên như Cổ Linh, Nguyễn Văn Cừ, Đường 5, Sài Đồng.Nhà chủ xây ở nên thiết kế tỉ mỉ, chắc chắn, nội thất sịn sò. Do nhu cầu thay đổi khu vực Công Tác nên rất thiện chí bán.Sổ hồng đẹp, lô góc, ba mặt thoáng.Liên hệ 0353 989 *** để được hướng dẫn xem vị trí và mua giá tốt nhất.            ",135 m²,18 tỷ,Xịn sò.,30/11/2022,10/12/2022,Tin thường,35987032,batdongsan_com_vn_35987032,6 phòng,Sổ đỏ/ Sổ hồng.,15 m,5 tầng,12 m,Đông - Nam,Đông - Nam,5 phòng
"['Hà Nội', 'Ba Đình', 'Phường Thành Công', 'Phố Láng Hạ', '16', 'Diamond Park Plaza']","
Còn duy nhất căn góc 3 phòng ngủ chung cư Diamond Park Plaza hướng hồ full nội thất:- Diện tích 125m², thiết kế 3 phòng ngủ, 2 vệ sinh, ban công.- Bàn giao full nội thất gắn tường: Sàn nhà, trần thạch cao, điều hòa âm trần, thiết bị bếp, tủ bếp trên, tủ bếp dưới, máy hút mùi, thiết bị vệ sinh...- Gía bán 13.8 tỷ trực tiếp cđt, giá sau chiết khấu 12.8 tỷ.* Chính sách bán hàng chung cư Diamond Park Plaza 16 Láng Hạ:- Tặng quà tân gia 380 triệu.- Chiết khấu 5% khi khách thanh toán sớm.- Chiết khấu 3% khi khách thanh toán theo tiến độ.- Hỗ trợ lãi suất ngân hàng 0% trong 1 năm.Liên hệ phòng bán hàng chung cư Diamond Park Plaza 16 Láng Hạ: 0986 314 *** ",125 m²,12.8 tỷ,Đầy đủ,29/11/2022,06/12/2022,Tin thường,35977714,batdongsan_com_vn_35977714,3 phòng,Hợp đồng mua bán,,,,,,2 phòng
"['Hà Nội', 'Thường Tín', 'Xã Thắng Lợi', 'Đường Quốc lộ 1A']","
Bán đất nhà xưởng khu công nghiệp Thường Tín, Hà Nội, 1000m², 2000m², 3000m². 0862 048 ***Chính chủ bán đất nhà xưởng, khu công nghiệp Thường Tín.Hà Nội, diện tích 540m², 1000m², 2000m², 4000m², 5000m².- Pháp lý chuẩn, xây 4 tầng luôn.- Khu Công nghiệp gần trung tâm Hà Nội, cách bến xe nước ngầm 15 km.- Nằm ngay mặt đường Quốc lộ, có các tuyến đường lớn đi qua, tiềm năng tăng giá rất cao.Giá bán 4,32 tỷ.Liên hệ chị Phương 0862 048 *** ",540 m²,8 triệu/m²,,28/11/2022,05/12/2022,Tin thường,35820807,batdongsan_com_vn_35820807,,,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Hoàng Ngân']","
Doanh thu 100 triệu/ tháng - tương lai ra mặt phố - đầu tư giữ tiền ổn định - thang máy.Phố hoàng ngân 130m², 8 tầng, giá 21 tỷ Thanh Xuân.- Mô tả:- Sổ vuông hình viên gạch.- Đầy đủ giấy phép.- Tổng 26 phòng hiện tại đang cho thuê full phòng khép kín.- Doanh thu một tháng 100 triệu/ tháng.- Khu vực xung quanh nhiều trường ĐH lớn như: ĐHHN, XHNV, ĐHXD, ĐHBCVT..., gần Ngã Tư Sở, lượng người đi làm có nhu cầu thuê rất nhiều nên lúc nào cũng full phòng.- Dự án đường Vành đai 2.5 đi qua nhà mình lúc đó nhà mình ra mặt phố và giá trị của bất động sản tăng lên nhiều lần.Lh: 0343 343 *** ",130 m²,21 tỷ,,30/11/2022,07/12/2022,Tin thường,30119574,batdongsan_com_vn_30119574,26 phòng,Sổ đỏ/ Sổ hồng,6 m,8 tầng,4 m,,,26 phòng
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Võ Chí Công', 'Dự án Ciputra Hà Nội']","
Siêu phẩm biệt thự Ciputra - mặt tiền rộng - vỉa hè rộng - thoáng mát - nội thất nhập khẩu đẹp đẳng cấp - khu vip Tây Hồ.+ Nhà nằm trong khu đô thị Ciputra, vị trí đẹp đường đôi, thông ra nhiều đường như Phạm Văn Đồng, Võ Chí Công, Nguyễn Hoàng Tôn, cách Hồ Tây mấy phút đi bộ, sân bay Nội Bài 20p, tiện ích không thiếu thứ gì, ở thì cực kỳ thoáng mát và đẳng cấp.+ Biệt thự siêu đẹp lung linh có sân vườn rộng, ban công thoáng, an sinh đỉnh, dịch vụ hoàn hảo: Gần bể bơi, trường học quốc tế UNIS, sân tennis, an ninh cực tốt.Biệt thự đẹp nhất khu xây 3 tầng đường đôi 40m, tiếp giáp với khu Sunshine Riverside, phòng khách rộng rãi. Các phòng ngủ thoáng sáng nhiều cửa sổ. Thiết bị vệ sinh hiện đại. Sân trước sân sau đều được lát gạch sạch sẽ và hoàn thiện với cây cối, tiểu cảnh, sân vườn tiền tỷ.+ Nhà thiết kế 3 tầng cực kỳ chắc, đẹp và hiện đại.- Tầng 1: Phòng khách, bếp sang trọng.- Tầng 2: 3 ngủ rộng.- Tầng 3: Phòng thờ, phòng ngủ, sân chơi.Sổ đỏ đẹp chính chủ.Giá: 75 tỷ.Liên hệ: 0979 335 *** ",180 m²,75 tỷ,,30/11/2022,10/12/2022,Tin thường,35987603,batdongsan_com_vn_35987603,4 phòng,Sổ đỏ/ Sổ hồng,,3 tầng,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Lạc Long Quân', 'Dự án Ciputra Hà Nội']","
Bán căn chung cư tòa P2 ban công Đông Bắc, dự án Ciputra Nam Thăng Long.- Diện tích: 145m².- Thiết kế: 3 phòng ngủ.- Nội thất đầy đủ, có thể dọn vào ở luôn.- Tiện ích:Kế cạnh Hồ Tây với diện tích mặt nước rộng lớn, tạo sự thông thoáng, tiện nghi cho cư dân.Dự án cách trung tâm thành phố 9 phút di chuyển.Chỉ mất 3 phút di chuyển đến khu công nghiệp Thăng Long, 15 phút di chuyển đến sân bay quốc tế Nội Bài.Đầy đủ tiện ích dịch vụ, bao gồm: Trường học quốc tế, sân golf, khu mua sắm, vui chơi giải trí, chăm sóc sắc đẹp, chăm sóc sức khỏe.Đặc biệt, trẻ em còn có khu vui chơi riêng, cùng khoảng không gian xanh mát, đường dạo bộ nội khu rộng thoáng.Giá: 5,7 tỷ.Liên hệ tư vấn: 0904 250 *** ",145 m²,5.7 tỷ,,28/11/2022,05/12/2022,Tin thường,33184966,batdongsan_com_vn_33184966,3 phòng,,,,,,Đông - Bắc,3 phòng
