address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Hoàng Cầu', 'Ngõ 75']","
Chính chủ bán nhà mặt ngõ 75 Hoàng Cầu DT 55 m² MT 5 m nhà xây 5,5 tầng khung bê tông kiên cố, móng ép cọc 19m.- Thiết kế thông sàn rất thuận lợi lên tầng cải tạo lắp thang máy.- Vị trí mặt ngõ cách phố 5 m dân trí tốt phù hợp ở KD..- SDCC 50m².- Giá 14,8 tỷ có bớt lộc.- LH; 0904 996 *** ",55 m²,14.8 tỷ,5 m,8 m,Nam,6 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,30/11/2022,10/12/2022,Tin thường,35466975,batdongsan_com_vn_35466975,
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Đường Đào Tấn']","
Cách mặt phố 50m, trung tâm quận Ba Đình. Lô góc, thang máy, gara oto, nở hậu, kinh doanh, ở sướng.Ngõ oto tránh ba gác, vị trí đẹp gần nhiều trung tâm thương mại như Daiwoo, Lotter, Vincom, đối diện công viên thủ lệ.Nhà xây mới, tặng full nội thất, chủ mới chỉ cần xách vali về ở, không tốn tiền sửa chữa gì nữa.Diện tích: 60m², 5 tầng mỗi tầng 2 ngủ.Giá tốt 19,7 tỷ.Sổ đẹp nở hậu, pháp lý sạch, giao dịch ngay.Liên hệ Ms Trang 0948 736 *** để xem nhà.            ",60 m²,19.7 tỷ,5.6 m,8 m,,5 tầng,,,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35781237,batdongsan_com_vn_35781237,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Nguyên Hồng']","
Bán căn nhà 4 tầng gần mặt phố Nguyên Hồng - P. Láng Hạ - Q. Đống Đa.Nhà nằm Ngã Tư Nguyên Hồng, Huỳnh Thúc Kháng, gần các con phố Thái Hà, Thái Thịnh, Láng Hạ, Hoàng Ngọc Phách...Xung quanh tiện ích trường học, bệnh viện, công viên, gần hồ Thành Công.Diện tích 48m², mặt tiền 4,2m nhà thuộc phân lô Quy hoạch ổn định.Vỉa hè 2 bên, trước mặt là công viên, đỗ ô tô 24/7.Sổ đỏ vuông vắn, sẵn giao dịch.Giá 12,9 tỷ có thương lượng.Làm việc chính chủ.            ",48 m²,12.9 tỷ,4.2 m,8 m,,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35118675,batdongsan_com_vn_35118675,
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'Đường Thụy Khuê']","
Mặt phố - Thuỵ Khuê - Quận Tây Hồ.Vỉa hè - ô tô tránh - kinh doanh sầm uất - nhà đẹp ở luôn có ô chờ thang máy.- 42m² - 5 tầng - sổ đỏ.- Giá 11,5 tỷ.+ Vị trí trung tâm gần bệnh viện Thu Cúc, vỉa hè, kinh doanh sầm uất, chủ xây tâm huyết để ở, sẵn ô chờ thang máy.+ Thiết kế nhà cơ bản:Tầng 1, 2: Thông sàn + wc.Tầng 3, 4: 4 ngủ + wc.Tầng 5: Phòng thờ + sân phơi (nếu muốn có thể thiết kế thêm 1 ngủ).- Sổ đỏ chính chủ nở hậu cực đẹp.- Liên hệ 0988 671 *** em Sơn.            ",42 m²,11.5 tỷ,4 m,10 m,,5 tầng,5 phòng,4 phòng,Sổ đỏ nở hậu,30/11/2022,07/12/2022,Tin thường,35985814,batdongsan_com_vn_35985814,Đầy đủ công năng
"['Hà Nội', 'Thanh Trì', 'Xã Ngọc Hồi']","
Vị trí nằm ngay trung tâm Ngọc Hồi, thuận tiện giao thông, gần Bệnh viện, Trường học, siêu thị.- Nhà xây KCBT chắc chắn, DT 55m2x3T, MT 4m. Tổng 6 phòng.- Sổ đỏ phân lô, sẵn sàng giao dịch cho A/C thiện chí.- Giá 2,95 tỷ có thương lượng.- LH em Hà. 0982 405 ***. Được tư vấn miễn phí 24/7.            ",55 m²,2.95 tỷ,4 m,,,3 tầng,,,Sổ đỏ/ Sổ hồng,30/11/2022,10/12/2022,Tin thường,35987296,batdongsan_com_vn_35987296,
"['Hà Nội', 'Ba Đình', 'Phường Giảng Võ', 'Phố Ngọc Khánh', 'Ngõ 18 ngõ 94/79']","
Chính chủ cần bán gấp nhà số 18 ngõ 94/79 Ngọc Khánh DT 35m² MT 3,5 m xây 4 tầng khung bê tông.Mỗi tầng 2 phòng ngủ, tổng 4 PN 3WC.Ngõ trước nhà rộng 3,5 m cách oto 50m.Vị trí thuận tiện, gần trường học, chợ, siêu thị.- SĐCC 30m². Giá 4,5 tỷ ctl.LH cô Ly.            ",30 m²,4.5 tỷ,,,Nam,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,30/11/2022,10/12/2022,Tin thường,35113317,batdongsan_com_vn_35113317,
"['Hà Nội', 'Hà Đông', 'Phường Yết Kiêu', 'Đường Chu Văn An', 'Dự án Samsora Premier']","
Chính chủ bán chung cư Samsora Chu Văn An, 70m², 2 ngủ, 2wc, sổ đỏ đầy đủ.- Mình chính chủ cần bán căn hộ chung cư Samsora tại số 105 Chu Văn An, phường Yết Kiêu, Quận Hà Đông.- Tòa chung cư ngay Cầu Am, gần Bưu Điện Hà Đông và Cầu Trắng.- Diện tích thông thủy: 67.5m². Diện tích tim tường 70m².- Nhà có 2 phòng ngủ, 2 vệ sinh, 1 ban công phòng khách và 1 lô gia để máy giặt và chỗ phơi quần áo.- Sổ đỏ chính chủ đầy đủ.- Giá bán: 2.75 tỷ (Có bớt cho khách thiên chí).- Liên hệ: 0913 034 *** ",70 m²,2.75 tỷ,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,30/11/2022,07/12/2022,Tin thường,35987565,batdongsan_com_vn_35987565,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Mai', 'Phố Bùi Ngọc Dương']","
Bán nhà phố Bùi Ngọc Dương, quận Hai Bà Trưng, nhà xây 5 tầng mặt tiền 4,5m, trước nhà ngõ rộng 4m. Nhà thiết kế thoáng trước sau, từ nhà ra mặt phố Bùi Ngọc Dương chỉ 5m, nhà thiết kế đẹp phù hợp để ở kiểu hộ gia đình. Nhà mới vừa hoàn thiện, thiết kế châu âu, chủ tặng toàn bộ nội thất. Nhà thiết kế 1 khách, 1 bếp, 4 ngủ, 1 phòng thờ, 1 sân phơi. Gần chợ, trường học, bệnh viện Mai Hương. Sổ đỏ chính chủ, pháp lý rõ ràng.Giá mong muốn 4,85 tỷ (có thương lượng).Liên hệ ngay Anh Tuyền 0987 327 *** để xem nhà và làm việc với chủ nhà.            ",42 m²,4.85 tỷ,4.5 m,4 m,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,30/11/2022,10/12/2022,Tin thường,35986504,batdongsan_com_vn_35986504,Đầy đủ
"['Hà Nội', 'Hoàn Kiếm', 'Phường Trần Hưng Đạo', 'Đường Hạ Hồi']","
Bán nhà Phố Hạ Hồi, Hoàn Kiếm, 28m2x6T, ngõ gần.Diện tích xây dựng 28m2x6 tầng đẹp tặng thêm 5 m nhà để xe riêng.Mặt tiền rộng 7m.Hướng Tây Bắc.Nhà xây 6 tầng chắc chắn, thiết kế hợp lí, gồm 4 phòng ngủ, 5 vệ sinh, khách, và + 5m² nhà để xe, đủ tiện nghi, nhà còn tốt sử dụng được luôn.Ngõ nông, gần đường lớn, xe máy tránh nhau thoải mái, đi bộ chục bước chân là ra tới phố chính.Vị trí đắc địa đi lại rất thuận tiện 5 phút đến hồ Hoàn Kiếm, là 1 trong những tuyến phố bậc nhất của Hà thành có cuộc sống lý tưởng thanh bình sinh hoạt tiện ích cách BV Việt Đức, phụ sản TW chỉ 1,5 km... Nhà thuộc khu phố cổ đông dân cư, người nước ngoài, có thể ở hoặc làm homestay..Pháp lí: SĐCC, công chứng nhanh chóng.Giá 7,35 tỷ, có thương lượng.LH; 0904 996 *** ",28 m²,7.35 tỷ,7 m,,Tây - Bắc,6 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,30/11/2022,10/12/2022,Tin thường,35859409,batdongsan_com_vn_35859409,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Phố Vũ Tông Phan']","
- Vị trí siêu đẹp, nhà nằm trên mặt ngõ thông kinh doanh, ô tô vào nhà, thoáng trước sau, dân xây chắc chắn, cách mặt phố Vũ Tông Phan chỉ 20m, tương lai quy hoạch sáng ngời.- Diện tích: 57m² 5 tầng, mặt tiền 4.4m, thông số quá lý tưởng, nhà đẹp, sạch sẽ, không một chút lỗi phong thủy, tìm đâu ra căn thứ 2 cùng phân khúc.- Khu vực dân trí cao, hàng xóm là cán bộ quân đội về hưu, tiện ích xung quanh bạt ngàn, gần trường học các cấp, chợ, trung tâm mua sắm, cách Ngã Tư Sở chỉ 2 phút.- Giao thông thuận tiện, dễ dàng di chuyển sang Khương Đình, Khương Trung, Khương Hạ, Nguyễn Trãi...- Sổ đỏ vuông vắn - sẵn sàng giao dịch.- Giá: 7.65 tỷ (thương lượng).- Liên hệ em Trung chuyên thổ cư Thanh Xuân để được tư vấn, hỗ trợ miễn phí 100%.            ",57 m²,7.65 tỷ,4.4 m,5 m,,5 tầng,4 phòng,,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35424944,batdongsan_com_vn_35424944,
