address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Nội thất,Đường vào,Hướng ban công
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Nguyễn Phong Sắc']","
Chính chủ cần bán gấp nhà mặt phố Nguyễn Phong Sắc 100m² mặt tiền 7.5m kinh doanh sầm uất giá 38 tỷ.Vị trí nhà phù hợp xây tòa nhà 8 tầng kinh doanh đa dạng hình: Kinh doanh nhà hàng, cửa hàng trưng bày giới thiệu sản phẩm, văn phòng đại diện...Vị trí nhà gần phố Tô Hiệu, Phố Trần Quốc Hoàn...Đường rộng thông thoáng đi lại thuận tiện.Sổ đỏ chính chủ, pháp lý sạch, sẵn sàng giao dịch.Liên hệ tôi Hoàng để xem nhà.            ",100 m²,38 tỷ,7.5 m,5 tầng,4 phòng,4 phòng,24/11/2022,01/12/2022,Tin thường,35935670,batdongsan_com_vn_35935670,,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Phố Chùa Láng']","
Chùa Láng mặt ngõ thông.Vị trí siêu đẹp, giá đầu tư.DT 42m² x 5 tầng, hơn 4 tỷ nhà đẹp ở luôn.- Vị trí quá đẹp khu vực chùa Láng. Ngõ rộng thoáng sáng thông ra Láng. Hàng xóm văn minh thân thiện. Cách trường đại học Ngoại Thương, học viện Quan Hệ Quốc Tế vài bước chân. Ngõ kinh doanh tấp lập.- Thiết kế: 42m² x 5 tầng. Tổng 3 ngủ khép kín. Cần chuyển đổi công năng thêm 3 phòng ngủ vẫn thoải mái. Có ô chờ thang máy.- Chủ cần thanh khoản gấp lên giá đã rất rẻ so với thị trường.- Sổ đỏ nở hậu sẵn sàng giao dịch.            ",42 m²,Thỏa thuận,,5 tầng,3 phòng,4 phòng,28/11/2022,05/12/2022,Tin thường,35960941,batdongsan_com_vn_35960941,Sổ đỏ/ Sổ hồng,Cơ bản,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Phố Trung Kính']","
- Nhà vị trí đẹp nhất nhì quận Cầu Giấy, giao thông thuận tiện giữa Vũ Phạm Hàm, Trần Kim Xuyến, Trung Kính to, Mạc Thái Tổ...- Phân lô ngõ to rộng thông thoáng, 2 xe 17 chỗ tránh nhau thoải mái, cách mặt phố to 30m, bàn cờ ô tô chạy vòng quanh, kinh doanh nhiều loại mặt hàng, vp, spa...- Thiết kế hiện đại, khung cột BTCT, 6 nổi 1 hầm, thang máy nhập khẩu.+ Tầng hầm: Để xe.+ Tầng 1,2,3: Thông sàn KD.+ Tầng 4,5,6; mỗi tầng 2 phòng khép kín.+ Tầng 7: Tum.- Sổ phân lô vuông thành sắc cạnh, pháp lý rõ ràng.- Liên hệ SĐT or zalo: 0985 791 *** ",70 m²,24 tỷ,5.1 m,7 tầng,6 phòng,6 phòng,30/11/2022,07/12/2022,Tin thường,35688774,batdongsan_com_vn_35688774,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Đống Đa', 'Phường Khâm Thiên', 'Phố Khâm Thiên']","
+ Vị trí gần trường chợ, bệnh viện, thông thương với phố Trung Phụng, Xã Đàn.+ Đường trước nhà 4 ô tô tránh, vỉa hè rộng, kinh doanh sầm uất.+ Nhà xây chắc chắn, sổ đỏ chính chủ vuông vắn, sẵn sàng giao dịch.            ",136 m²,29.3 tỷ,5 m,3 tầng,4 phòng,3 phòng,30/11/2022,07/12/2022,Tin thường,35987096,batdongsan_com_vn_35987096,Sổ đỏ/ Sổ hồng.,,20 m,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Phố Trần Cung', 'Ngõ 117']","
Nhà bán tại ngõ 117 Trần Cung, ngõ thông ô tô qua nhà - kinh doanh tốt - sát KĐT Nam Cường - khu vực phát triển mạnh.- Ngõ 117 Trần Cung thông tứ tung, kinh doanh sầm uất từ mặt phố Trần Cung vào.- Ngõ to rộng, đường trải nhựa sạch đẹp, sát khu đô thị Nam Cường. Ô tô vào thoải mái. Khu vực tiện ích, dân cư đông đúc, dân trí cao, gần BV E.- Diện tích 40m² x 4 tầng đầy đủ công năng, kinh doanh tầng 1 rất hợp lý.- Hàng xóm thân thiện, sống được lòng nhau, rất vui vẻ.- Tiện ích quanh nhà đầy đủ, từ nhà ra mặt phố chỉ vài bước chân.- Thông ra khu đô thị Nam Cường rất gần.- Gia đình chính chủ nay nhu cầu thay đổi nên bán đi. Rất thiện chí.- Giá bán: 7 tỷ. Có thương lượng.Liên hệ em Phượng xem nhà 0362 621 *** ",40 m²,7 tỷ,,4 tầng,4 phòng,3 phòng,25/11/2022,02/12/2022,Tin thường,35850102,batdongsan_com_vn_35850102,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,4 m,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Hoàng Mai', 'Ngõ 169']","
Bán nhà ngõ 169 Hoàng Mai, mặt ngõ thông, KD buôn bán, 37m² 5 tầng, lô góc 3 mặt thoáng, nhà xây mới, ô tô cách 30, bãi gửi ô tô cách nhà 150m.Thiết kế cụ thể như sau.- Tầng 1: Phòng khách, Bếp + Vệ sinh.- Tầng 2: Phòng ngủ + vệ sinh + Ban công.- Tầng 3: Phòng ngủ + vệ sinh + Ban công.- Tầng 4: Phòng ngủ + vệ sinh + Ban công.- Tầng 5: Phòng thờ, sân phơi.Mặt ngõ thông sang Gốc Đề, Trương Định, Mai Động, Minh Khai, khu vự dân trí cao, ô tô đỗ sát nhà, xây độc lập 1 căn, cách ĐH Bách Khoa 3,5 km.Giá bán 4,38 tỷ có thương lượng.LH xem nhà ngay: 0988 468 *** ",37 m²,4.38 tỷ,,5 tầng,,,30/11/2022,07/12/2022,Tin thường,35987108,batdongsan_com_vn_35987108,,,,
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Lê Trọng Tấn', 'Dự án La Casta Văn Phú']","
View công viên La Casta - hai mặt tiền ô tô tránh nhau - nhà thiết kế đẳng cấp - - nhà đẹp không tỳ vết - kinh doanh sầm uất.Mô tả:+ Nhà nằm vị trí đỉnh nhất khu la casta văn phú. View công viên la casta.+ 2 mặt đường. Đường trước nhà rộng 15m, vỉa hè 5m, ô tô tránh, ô tô dừng đỗ ngày đêm.+ Nhà thiết kế hiện đại, phù hợp với mô hình vừa ở vừa kinh doanh.+ Chủ nhà đang cho thuê dòng tiền 20tr/th tầng 1.+ View vườn hoa, vì nằm vị trí đẹp nên xung quanh nhà quán cafe mọc như nấm.+ Nhà đẹp tuyệt vời thiết kế đẳng cấp sang chảnh theo phong cách Châu Âu.- Tầng 1: Thông sàn kinh doanh đang cho thuê, WC.- Tầng 2: Phòng khách, phòng bếp, wc.- Tầng 3: 2 phòng ngủ wc khép kín.+ Tầng 4: 1 phòng ngủ, phòng thờ, khu giặt, phơi đồ.+ Sổ đỏ chính chủ, sẵn sàng Giao dịch.+ Diện tích: 88m².+ Mặt tiền: 5m.+ Giá bán: 16.5 tỷ có thương lượng.+ Liên hệ: Phạm Tuyên ĐT: 0989 012 *** ",88 m²,16.5 tỷ,5 m,5 tầng,4 phòng,6 phòng,30/11/2022,07/12/2022,Tin thường,35986475,batdongsan_com_vn_35986475,Sđcc,Đẹp không tỳ vết,16 m,
"['Hà Nội', 'Đống Đa', 'Phường Hàng Bột']","
Mặt phố 6 tầng - kinh doanh ngày đêm - ô tô vào nhà.Căn nhà mặt phố hiếm có vừa tầm tiền.Kinh doanh siêu đỉnh, mặt tiền 4m.Ô tô tải đỗ cửa, vào nhà.Cho thuê cả nhà không dưới 20tr/tháng.Giá bất chấp đầu tư.Liên hệ xem nhà:Em Thủy - Chuyên gia bất động sản mặt phố 0912 538 *** ",30 m²,4.9 tỷ,4 m,6 tầng,5 phòng,,30/11/2022,10/12/2022,Tin thường,35986650,batdongsan_com_vn_35986650,Sổ đỏ/ Sổ hồng,,15 m,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Hoàng Minh Giám', 'Dự án Mandarin Garden']","
Cần bán gấp căn 130m² ban công Đông Nam - CC Mandarin Garden - Hoàng Minh Giám.- 2 ngủ chính + 1 ngủ nhỏ.- 2 WC.- Đồ nội thất hiện đại, full đồ.- Hướng Đông Nam mát mẻ.- Sổ đỏ chính chủ sẵn sàng giao dịch.LH: 0912 464 *** ",130 m²,52 triệu/m²,,,3 phòng,,30/11/2022,07/12/2022,Tin thường,35986482,batdongsan_com_vn_35986482,Sổ đỏ,,,Đông - Nam
"['Hà Nội', 'Hoàng Mai', 'Phường Tương Mai', 'Đường Hoàng Mai', 'Ngõ 190']","
Gia đình chủ chuyển nhà ra mặt phố nên cần bán căn nhà chủ tự xây rất tâm huyết nên đẹp không thể chê vào đâu được. Khách mua Có thể chuyển đến ở luôn.- Sổ đỏ 47m², chính chủ. Nhà 4 tầng như mới.- Mặt ngõ trước cửa nhà rộng 3m. 10m ra ô tô đỗ. Mặt tiền rộng. Trước nhà sân rộng, thoáng vĩnh viễn.- Tầng 1: Sân để xe - Bếp - Phòng Khách - WC.- Tầng 2: 1 phòng ngủ - ban công rộng - WC.- Tầng 3: 2 phòng ngủ - WC.- Tầng 4: 1 phòng thờ rộng - 1 ban công lớn.Ngõ 190 Hoàng Mai khu vực phân lô ôtô đỗ ngày đêm, đi thông sang các phố Nguyễn Đức Cảnh, Gốc Đề, Hồ Đền Lừ gần ngay chợ Hoàng Mai, trường Cấp 1 & 2, an sinh tuyệt đẹp, cho thuê rất hiệu quả.- Tặng lại hết đồ nội thất cho khách.Liên hệ Tôi Tuyên để được tư vấn và hỗ trợ mua nhà tốt nhất.            ",47 m²,4.2 tỷ,5 m,4 tầng,3 phòng,3 phòng,30/11/2022,07/12/2022,Tin thường,35986822,batdongsan_com_vn_35986822,Sổ đỏ.,"Nhập khẩu sang trọng, đầy đủ.",3 m,
