address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Phú Thượng']","
+ Vị trí trước đất đẹp, ô tô tránh, mặt tiền khủng.+ Gần phố Phú Thượng, Phú Xá, ngõ thông khắp ngả.+ Chợ trường học các cấp.+ View sông Hồng đất phù sa, phong thuỷ tốt.+ Phú Thượng tiềm năng đang phát triển từng ngày.+ Xây lên chung cư mini, thang máy 7 tầng thì hết ý.+ DT 128m², giá chào 13 tỷ.            ",128 m²,13 tỷ,7.05 m,6 m,Sổ đỏ/ Sổ hồng,30/11/2022,08/12/2022,Tin thường,35986270,batdongsan_com_vn_35986270,,,,,,
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Phố Việt Hưng', 'Dự án Việt Hưng']","
Bán biệt thự mặt phố KĐT Việt Hưng 180 m², 4 tầng, mặt tiền 10 m, giá 2x tỷ.+ Mặt phố Kinh doanh đỉnh chóp, cảnh quan đẹp, ở sướng, tiện ít đầy đủ, giao thông thuận tiện, đường xá sạch sẽ thoáng mát, dân trí cùng đẳng cấp.+ Nhà biệt thự song lập hoàn thiện đẹp, 5 ngủ rộng rãi full đồ nội thất.+ Thích hợp: Ở sướng, kinh doanh nhà hàng, thẩm mỹ viện, văn phòng đại diện, cho thuê dòng tiền, tích sản,...+ Pháp lý: Sổ cất két, chủ thiện chí bán lộc lá hiền hoà.+ Hình ảnh minh hoạ cho sản phẩm.Liên hệ Nguyễn Thủy 0979 120 *** để sở hữu biệt thự Đẳng cấp.            ",180 m²,20 tỷ,10 m,,Sổ đỏ/ Sổ hồng.,30/11/2022,07/12/2022,Tin thường,35985653,batdongsan_com_vn_35985653,4 tầng,5 phòng,,,,
"['Hà Nội', 'Ba Đình', 'Phường Vĩnh Phúc', 'Đường Vĩnh Phúc']","
Bán Nhà Mặt phố Vĩnh Phúc - quận Ba Đình. Nhà vị trí đẹp, kinh doanh cửa hàng, văn phòng đều thuận tiện. Giá 15 tỷ (có thương lượng).+ Nhà xây 8 tầng, thang máy trên diện tích 48m². Thiết kế hiện đại, đầy đủ công năng.+ Vị trí đẹp, gần trường học, bệnh viện, chợ...+ Sổ đỏ chính chủ, pháp lý chuẩn.Liên hệ: Anh Tú, 0349 157 ***. Miễn trung gian.Trân trọng!            ",48 m²,15 tỷ,4.5 m,,,30/11/2022,08/12/2022,Tin thường,35796256,batdongsan_com_vn_35796256,8 tầng,6 phòng,6 phòng,Đầy đủ,,
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Khánh', 'Phố Kim Mã']","
Bán nhà Phố Kim Mã, phường Ngọc Khánh, Ba Đình. Giá 6,9 tỷ (có thương lượng).+ Diện tích 34m² x 6 tầng, đầy đủ công năng. Nhà có mặt tiền rộng, lô góc 2 mặt thoáng. Ô tô đỗ cửa.+ Ngõ ô tô tránh, thông đường La Thành. Gần công viên Thủ Lệ, hồ Ngọc Khánh và nhiều tiện ích khác.+ Sổ đẹp, pháp lý chuẩn.Liên hệ: Anh Tú. Tel: 0349 157 ***. Miễn trung gian.Trân trọng!            ",34 m²,6.9 tỷ,7.5 m,6 m,"Sổ đẹp, pháp lý chuẩn.",30/11/2022,08/12/2022,Tin thường,34165987,batdongsan_com_vn_34165987,6 tầng,6 phòng,5 phòng,Đầy đủ nội thất.,,
"['Hà Nội', 'Hoàng Mai', 'Phường Lĩnh Nam', 'Đường Nam Dư']","
+ Vị trí đẹp, ngõ to rộng, ô tô đỗ cổng, vài bước ra mặt phố, xung quanh tiện ích ngập tràn.+ Thiết kế: Nhà đẹp, tổng 3 Phòng ngủ, không gian thoáng sáng.+ Chủ ở có lộc, bán để mua nhà trên phố.+ Giá bán có thương lượng cho khách thiện chí.+ Sổ đỏ chính chủ, sẵn sàng sang tên.            ",34 m²,2.9 tỷ,3.5 m,5 m,Sổ đỏ/ Sổ hồng.,30/11/2022,10/12/2022,Tin thường,35986619,batdongsan_com_vn_35986619,6 tầng,3 phòng,4 phòng,Nội thất cao cấp.,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Phố Mai Dịch']","
- Diện tích trên sổ 32m², thực tế 35m², lô góc rất đẹp.- Tầng 1: Kinh doanh, bếp, WC.- Tầng 2: 1 phòng ngủ, WC.- Tầng 3: 1 phòng ngủ, WC.- Sổ đỏ chính chủ, giao dịch ngay.- Vị trí: Đường trước nhà ô tô tránh - lô góc 2 mặt thoáng - cách mặt phố Mai Dịch 30m - hiện đang kinh doanh bán quần áo.- Hiện tại nhà mình bán là 2,5 tầng, chủ mới mua về cho thuê tiếp hoặc xây nhà 6 tầng thì đẹp nhất phố luôn.Nhà gần đường Hồ Tùng Mậu, đường Phạm Văn Đồng, gần trạm y tế phường, gần chợ dân sinh, ĐH Thương Mại, ĐH Ngoại Thương, học viện Tư Pháp, cao đẳng Cơ Điện, ĐH Điện Lực, là khu dân trí cao ngõ thông thoáng, an sinh tốt.- Sổ đỏ chính chủ, giao dịch ngay.Liên hệ Thanh Nhà Đẹp; pháp lý chuẩn; 0348 016 *** ",32 m²,6.9 tỷ,,4 m,Sổ đỏ,30/11/2022,10/12/2022,Tin thường,35986033,batdongsan_com_vn_35986033,3 tầng,2 phòng,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Mai', 'Phố Bạch Mai']","
- Dân đt bán gấp nhà mặt ngõ ô tô đỗ cửa kd.- Vị trí ngay ngã tư phố Huế - Trần Khắc Chân.- Nhà dân xây sửa mới đẹp về ở ngay.- Thiết kế mặt tiền rộng 10m kinh doanh đỉnh.- Đầy đủ công năng sử dụng 6 phòng ngủ.- Sổ đỏ chính chủ.- Lh cho tôi Hoa xem nhà.            ",45 m²,Thỏa thuận,10 m,4 m,Sổ đỏ,30/11/2022,10/12/2022,Tin thường,35781560,batdongsan_com_vn_35781560,4 tầng,6 phòng,4 phòng,,Tây - Nam,Tây - Nam
"['Hà Nội', 'Long Biên', 'Phường Phúc Đồng']","
Bán gấP.Bán nhà Phúc Đồng.40m² x 5 tầng, MT 4,5m, giá nhỉnh 5 tỷ.Nhà lô góc 3 mặt thoáng, gần mặt phố Nguyễn Văn Linh - Hồ Phúc Đồng.Nhà mới 5 tầng, ô tô cất trong nhà.Vị trí trung tâm, gần chợ, siêu thị, trường học _ sân golf, Cầu Vĩnh tuy giao thông đi lại thuận tiện.Sổ đỏ chính chủ sẵn sàng sang tên.LH E Hiệu 0988 830 *** xem nhà mua luôn.            ",40 m²,5.3 tỷ,,,Sổ đỏ/ Sổ hồng,30/11/2022,10/12/2022,Tin thường,35985549,batdongsan_com_vn_35985549,5 tầng,3 phòng,4 phòng,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường La Nội']","
- Gia đình có việc cần bán nhanh Lô đất dịch vụ Dương Nội, Hà Đông.- Vị trí trung tâm, trục chính của dự án, sát trục đường 25m sầm uất nối Tố Hữu với VinSmart City, cách TTTM Aeon Mall 50m.- Diện tích 50m², view vườn hoa dự án, không lỗi phong thủy, hướng Đông Nam thoáng mát.- Sổ đỏ chính chủ, pháp lý chuẩn, sẵn sàng giao dịch.Liên hệ: 0967 154 *** - Mr Sơn.            ",50 m²,Thỏa thuận,4 m,15 m,Sổ đỏ,22/11/2022,02/12/2022,Tin thường,34161001,batdongsan_com_vn_34161001,,,,,Đông - Nam,
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Phố Ngọc Trì']","
Bán nhà 41m² xây mới 6 tầng, ô tô đỗ cửa ngay Cổ Linh, Thạch Bàn, Long Biên chỉ 5.18 tỷ.* Diện tích: 41m²; mặt tiền 4m đất vuông vắn.* Hướng nhà: Đông Bắc.* Nhà tại phố Ngọc Trì, Thạch Bàn, cách mặt phố Cổ Linh 15m, ô tô đỗ cửa, tiện ích cuộc sống ngập tràn.* Nhà kết cấu móng cọc ép BTCT, chắc chắn, tiện lợi khi sử dụng, nhà gồm:- Tầng 1: Để xe, bếp, phòng ăn, vệ sinh.- Tầng 2: Phòng khách rộng.- Tầng 3,4,5: Mỗi tầng 1 phòng ngủ rộng, vệ sinh khép kín.- Tầng 6: Phòng thờ, khu máy giặt, sân phơi rộng.* Nhà ngay gần cấp 2 Thạch Bàn, chợ, chỉ 1km ra TTTM Aeon Long Biên, giao thông thuận tiện.* Pháp lý: SĐCC - Giấy phép xây dựng - Bản vẽ thiết kế.* Giá bán: 5.18 tỷ (có thương lượng).* Hỗ trợ vay NH từ 1 - 20 năm.* LH em Hoàn 0978 993 *** ",41 m²,5.18 tỷ,4 m,3 m,Sổ đỏ/ Sổ hồng.,30/11/2022,07/12/2022,Tin thường,35579516,batdongsan_com_vn_35579516,6 tầng,3 phòng,4 phòng,Đầy đủ nội thất cơ bản.,Đông - Bắc,Đông - Bắc
