address,gen_descrip,Diện tích,Mức giá,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Hướng nhà,Hướng ban công
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Cầu Giấy']","
Bán nhà mặt phố Cầu Giấy - quận Cầu Giấy. Giá nhỉnh 7 tỷ (có thương lượng).+ Diện tích 36m², đầy đủ công năng, phù hợp để ở kết hợp kinh doanh.+ Vị trí đẹp, vỉa hè rộng, kinh doanh sầm uất. Khu vực hiếm nhà bán.Liên hệ: Anh Tú, 0349 157 ***miễn trung gian).Trân trọng!            ",36 m²,7.5 tỷ,20 m,5 tầng,4 phòng,3 phòng,"Sổ đỏ chính chủ, giao dịch ngay.",Sang trọng.,30/11/2022,08/12/2022,Tin thường,34863613,batdongsan_com_vn_34863613,,,
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Khánh', 'Đường Nguyễn Công Hoan']","
Nhà chủ tự xây - 1 mặt phố và 1 mặt ngõ sau - ô tô kinh doanh - vỉa hè phố chính tiện ích cao -.Mô tả:Nhà mặt phố kinh doanh sầm uất.Nhà có 4 ngủ.+ Gần các trường mầm non, đại học, đi bộ ra chợ tiện ích cao. Gần vườn hoa siêu thị chung cư, chợ, Bể bơi bốn mùa...+ Đường trước nhà rộng rãi, ô tô đỗ cổng.Thiết kế. Nhà chủ tự xây.+ Tầng 1: Kinh doanh khủng bếp WC.+ Tầng 2: - 2 Phòng ngủ - WC.+ Tầng 3,4: Mỗi tầng 2 ngủ - WC.+ Tầng 5: Tầng thờ sân phơi.Giá 24,5 tỷ QK quan tâm vui lòng LH Mr Tập. ĐT: 0972 586 *** ",55 m²,24.5 tỷ,,5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,30/11/2022,07/12/2022,Tin thường,35624583,batdongsan_com_vn_35624583,,,
"['Hà Nội', 'Ba Đình', 'Phường Kim Mã', 'Đường Giang Văn Minh']","
Bán nhà phố Giang Văn Minh - quận Ba Đình. Mặt phố mới, vỉa hè rộng thênh thang, kinh doanh sầm uất. Giá 19,8 tỷ (có thương lượng).+ Diện tích thực tế 56m², xây 5 tầng, thiết kế thông sàn, thuận tiện kinh doanh.+ Vị trí đẹp, mặt tiền rộng, vỉa hè thênh thang.+ Sổ đẹp, pháp lý chuẩn.Liên hệ: Anh Tú, Tel: 0349 157 ***. Miễn trung gian.Trân trọng!            ",56 m²,19.8 tỷ,20 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất sang trọng,30/11/2022,08/12/2022,Tin thường,34957551,batdongsan_com_vn_34957551,4.6 m,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Phố Hoàng Sâm']","
Bán nhà mặt phố Hoàng Sâm gần phố Hoàng Quốc Việt, DT 38m² MT 3,5m đường hè 15m 2 xe 45 chỗ tránh nhau, nhà thiết kế khung bê tông xây 5 tầng mỗi tầng 1 phòng rộng thích hợp kinh doanh cho thuê làm VP, Cty, giá chào 10,6 tỷ có TL. LH: 0972 586 *** ",36 m²,10.6 tỷ,,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,30/11/2022,07/12/2022,Tin thường,35554403,batdongsan_com_vn_35554403,,,
"['Hà Nội', 'Đông Anh', 'Xã Xuân Nộn', 'Đường Nhạn']","
Chính chủ cần bán gấp.- Thông tin lô đất:- Diện tích: 67.5m².- Cách bìa Bắc 30m đường trước đất ô tô 7 chỗ chạy thoải mái.- Cách 100m ra đường trục chính liên thôn, liên xã rộng 10m có vỉa hè.- Lô bên cạnh hàng xóm mới giao dịch 35tr/m².- Giá đầu tư cho anh chị em 30tr/m².- Ngõ thông.Lh 0385 859 *** ",67.5 m²,30 triệu/m²,4.5 m,,,,Sổ đỏ/ Sổ hồng,,26/11/2022,11/12/2022,Tin thường,35460927,batdongsan_com_vn_35460927,3.75 m,,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Đường 422B', 'Dự án Khu đô thị Vân Canh']","
Vị trí đẹp - hiếm - kinh doanh đẹp nhất KĐT - 3 thoáng full nội thất - vừa ở vừa cho thuê.Vị trí: Nhà bán thuộc trục chính KĐT mới Vân Canh, đường, vỉa hè rộng 17,5 mết kinh doanh sầm uất, đầy đủ tiện ích.- Hiện đang cho hệ thống Vinmart thuê hợp đồng lâu dài ổn định 12triệu/tháng.- Khu vực hạ tầng đang hoàn thiện, phát triển từng ngày - giao thông kết nối các tuyến đường 70, Trịnh Văn Bô, Vành đai 3,5, tỉnh lộ 422B - tiếp giáp các khu đô thị Xuân Phương Foresa, khu đô thị An Lạc Green Symphony, Hateco... Ngay sau là trường học các cấp, ủy ban Nhân dân Vân Canh,Thiết kế: 4 tầng - 3 thoáng diện tích và mặt tiền rộng, đã hoàn thiện nội thất đẹp - vừa ở cừa cho thuê, có nối đi riêng.Tầng 1: Thông sàn - cho thuê kinh doanh.Tầng 2: Khách + Bếp + WC.Tầng 3 + 4: 4 Phòng ngủ + WC.Bùi Thảo: 0985 710 *** tư vấn và xem nhà 24/7 (miễn trung gian).            ",140 m²,Thỏa thuận,,,,,,,30/11/2022,07/12/2022,Tin thường,35985792,batdongsan_com_vn_35985792,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Trần Quốc Hoàn']","
Bán gấp mảnh đất phân lô của ĐHSP phố Trần Quốc Hoàn, DT 36m² 2 mặt ngõ ôtô đỗ, mảnh đất nằm ngay cổng sau của ĐHSP khu toàn cán bộ sinh viên của trường, thích hợp mua xây ơi cho con đi học gần nhiều trường cấp 1 - 2 Nguyễn Tất Thành - Nguyễn Bỉnh Khiêm... Giá nhỉnh 7 tỷ. QK quan tâm LH: 0972 586 *** ",36 m²,7.2 tỷ,,,,,Sổ đỏ/ Sổ hồng,,30/11/2022,07/12/2022,Tin thường,35569264,batdongsan_com_vn_35569264,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Nguyễn Chí Thanh']","
Bán nhà mặt phố Nguyễn Chí Thanh, quận Đống Đa. Vị trí đẹp, kinh doanh sầm uất. Giá 16,6 tỷ (có thương lượng).+ Nhà mặt phố, 2 thoáng, khu vực kinh doanh sầm uất.+ Diện tích 42m² x 5 tầng, mặt tiền đẹp, vỉa hè rộng, thuận tiện kinh doanh.+ Sổ đẹp, pháp lý chuẩn.Liên hệ: Anh Tú, Tel: 0349 157 ***. Miễn trung gian.Trân trọng!            ",42 m²,16.6 tỷ,20 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Nội thất sang trọng.,30/11/2022,08/12/2022,Tin thường,34933355,batdongsan_com_vn_34933355,4 m,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Láng Hạ', 'Dự án Green Diamond 93 Láng Hạ']","
Phòng kinh doanh chủ đầu tư Vinaconex dự án Green Diamond số 93 Láng Hạ xin gửi tới quý nhà đầu tư thông tin vô cùng hiếm hoi:Hiện tại chúng tôi đang còn duy nhất 2 lô Sàn văn phòng:- Tầng 3.- S sàn xây dựng: 538 và 414m².- Rất thích hợp mở văn phòng công ty lớn hoặc trung tâm giáo dục trẻ em...- Giá cực kỳ ưu đãi: 62 - 63tr/m² (đã bao gồm VAT).- Hỗ trợ vào tên trực tiếp ưu đãi từ Chủ đầu tư.Nhanh tay liên hệ để sở hữu sớm nhất: 0983 463 **** Lưu ý: Không làm việc với môi giới!            ",538 m²,62 triệu/m²,,,,,Sổ đỏ/ Sổ hồng,Không nội thất,30/11/2022,07/12/2022,Tin thường,35986492,batdongsan_com_vn_35986492,,,
"['Hà Nội', 'Tây Hồ', 'Phường Tứ Liên', 'Đường Tứ Liên', 'Ngõ 28']","
Khu vực vip Tây nhiều hơn ta - vài bước chân ra mặt ngõ ô tô - an sinh tuyệt đỉnh - dọn về ở ngay đón tết sum vầy.- Vị trí cực đẹp 10m ra phố Tứ Liên ô tô chạy, 10 phút vào phố cổ, 5 phút ra Hồ Tây.- Thiết kế 4 tầng cầu thang giữa, chắc chắn chủ nhà mới sơn sửa trong ngoài tường trần còn sạch tinh tươm. Phòng ốc đầy đủ công năng, ban công, giếng trời.- Tầng 1: Để xe, phòng khách, bếp, WC.- Tầng 2 + 3: Mỗi tầng 2 phòng ngủ rộng, WC.- Tầng 4: Phòng thờ, sân phơi.- Khu vực dân trí cao, an sinh đỉnh.- Sổ đỏ chuẩn chính chủ, tiền hậu như nhau đất đúng chữ nhật vuông vức như A4, cất két chờ khách công chứng.- Chủ thiện chí bán, giá còn giảm qua thương lượng.LH 0906 002 *** - Thanh Hà 1982 nhà đất Tây Hồ.Khách có nhu cầu muốn thuê hoặc mua nhà đất, căn hộ sẽ được phục vụ nhiệt tình - tận tâm 24/7 và không mất khoản phí nào. Xin cám ơn.            ",47 m²,5.5 tỷ,,4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,30/11/2022,10/12/2022,Tin thường,35986737,batdongsan_com_vn_35986737,,,
