address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng,Pháp lý,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Dự án N03-T3&T4 Ngoại Giao Đoàn']","
Bán căn N03 Ngoại Giao Đoàn, view hồ và nội khu giá 42 - 46 triệu/m².- Khối N03T3.- N03T3 - 5T3A, diện tích 130 m².- N03T3 - 4T3B, diện tích 111,8 m².Viu hồ Ngoại Giao Đoàn.- N03T3 - 4T3A, diện tích 119m².View nội khu.- Khối N03T4.- N03T4 - 5T4, diện tích 130 m².- N03T4 - 1T4, diện tích 130,9 m².Khách hàng quan tâm xem căn hộ xin liên hệ: 0919 871 *** ",130 m²,46 triệu/m²,3 phòng,2 phòng,30/11/2022,10/12/2022,Tin thường,35428268,batdongsan_com_vn_35428268,,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Đường Hoàng Quốc Việt', 'Ngõ 106']","
Do chuyển vào Nam sinh sống cùng con cái nên gia đình mong muốn bán ngôi nhà tại ngõ 106 Hoàng Quốc Việt. Phân lô ôtô tránh, gara ôtô. Tận 2 mặt ngõ ôtô. Vùng đất ở vượng sinh khí tốt.- Hiện trạng nhà 60m² 4 tầng xây hơn chục năm, đầy đủ công năng.- Vị trí: Ngay gần KS Hòa Bình, 3 bước ra mặt phố HQV, chợ siêu thị, trường cấp 1 - 2 Nghĩa Tân...- Khu an ninh tốt, dân trí cao, hàng xóm thân thiện.Giá 15 tỷ có thương lượng.LH em Hiển.            ",60 m²,15 tỷ,6 phòng,4 phòng,24/11/2022,01/12/2022,Tin thường,35837392,batdongsan_com_vn_35837392,4.3 m,5 m,4 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,
"['Hà Nội', 'Đống Đa', 'Phường Trung Liệt', 'Phố Thái Hà']","
Do chủ nhà muốn về ở cùng các con lên muốn bán nhanh căn nhà nhiều lộc cho khách thiện chí giá ưu đãi.- Nhà nằm vị trí TT quận tiện ích không thiếu thứ gì gần TT thương mại, siêu thị, bệnh viện, nhiều trường ĐH lớn. Giao thông kết nối thuận tiện với nhiều hướng đường của TP. Nhà cách phố 40m, trước nhà có khoảng sân rộng để được rất nhiều xe và sáng thoáng.- Nhà xây dựng 4 tầng khung cột chắc chắn, thiết kế hiện đại.+ Tầng 1: Phòng khách, bếp.+ Tầng 2,3,4: Tổng 3 ngủ.- Nhà nằm trong khu dân trí cao an ninh tốt.- Sổ đỏ chính chủ, pháp lý chuẩn (giá có thương lượng).Liên hệ E Tuyến 0969 023 ***miễn phí môi giới).            ",48 m²,5.85 tỷ,4 phòng,3 phòng,30/11/2022,07/12/2022,Tin thường,35986746,batdongsan_com_vn_35986746,5 m,2 m,4 tầng,Sổ đỏ/ Sổ hồng,Nội thất đẹp.,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Phạm Hùng', 'Dự án Nam Trung Yên']","
Bán căn hộ A6D Nam Trung Yên, Cầu Giấy, Hà Nội, tầng trung đẹp.- Dt: 56,27m², 2NG, 1WC, nhà để lại đồ cơ bản.- Cửa chính Đông Bắc, ban công Tây Nam.- Giá 35tr/m², có thương lượng.- Bao sang sổ đỏ.LH: 0986 170 *** ",56.27 m²,35 triệu/m²,2 phòng,1 phòng,30/11/2022,07/12/2022,Tin thường,35985531,batdongsan_com_vn_35985531,,,,Sổ đỏ,Đồ cơ bản,Đông - Bắc,Tây - Nam
"['Hà Nội', 'Tây Hồ', 'Phường Nhật Tân', 'Đường Âu Cơ']","
- Nhà nằm vị trí gần đường ô tô tránh. Gần chợ. Rất thuận tiện.- Hiện trạng nhà 3 tầng còn mới. Có thể chuyển về ở được ngay.- Sổ đỏ chính chủ.- Giá: 0385 159 *** ",32 m²,3.2 tỷ,,,30/11/2022,07/12/2022,Tin thường,35784869,batdongsan_com_vn_35784869,,,3 tầng,Sổ đỏ chính chủ,,,
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Khánh', 'Đường Núi Trúc']","
Chính chủ bán căn hộ phố Núi Trúc, Kim Mã, siêu rẻ 136m², 3 ngủ, 3,7 tỷ (bao phí).Nguyên bản chủ đầu tư, sổ đỏ lâu dài, dịch vụ, an ninh tốt.LH em Sủng: 0988 876 *** ",136 m²,3.7 tỷ,3 phòng,2 phòng,30/11/2022,07/12/2022,Tin thường,35878073,batdongsan_com_vn_35878073,,,,Sổ đỏ.,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Xuân Thủy']","
- Nằm ở vị trí trung tâm quận, cách ô tô chỉ 15m, ngõ thông thoáng, sạch, giao thông di chuyển thuận lợi đi các Quận Đống Đa, Tây Hồ, Thanh Xuân, Bắc Nam Từ Liêm.- Nhà xây vẫn còn mới gồm 5 tầng móng cọc khung cột chắc chắn, diện tích 52m², thiết kế hiện đại. Chủ xây tâm huyết nên từng chi tiết trong và ngoài nhà được làm công phu, tỉ mỉ, hài hòa, nhiều phòng phù hợp với cả gia đình 2 thế hệ. Đặc biệt nhà lô góc 2 thoáng, tràn ngập ánh sáng tự nhiên, nội thất sang trọng.- Gần các trường C12 Dịch Vọng Hậu, trường C23 Nguyễn Tất Thành, Đại học lớn (Quốc gia, Sư phạm, Báo chí, Thương mại, Tài chính - Ngân hàng), Công viên Cầu Giấy, bệnh viện 19 - 8, Bến xe Mỹ Đình.- Chủ tặng toàn bộ nội thất cho khách thiện chí, khách chỉ việc xách vali về ở.- Sổ đỏ chính chủ, sang tên ngay.- Giá bán (có thương lượng): 6,59 tỷ.- Liên hệ xem nhà Mr Kiên 0972 192 *** ",52 m²,6.59 tỷ,5 phòng,4 phòng,25/11/2022,02/12/2022,Tin thường,35947427,batdongsan_com_vn_35947427,,,5 tầng,Sổ đỏ,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Võ Chí Công']","
+ Chính chủ cần bán nhà lô góc 3 mặt thoáng mặt phố Võ Chí Công vị trí đẹp kinh doanh sầm uất vỉa hè rộng.Mô tả:Nhà với diện tích 150m², mặt tiền 6m, xây 7 tầng, giá bán 75 tỷ có thương lượng.Nhà thiết kế từ tầng 1 đến tầng 7 đều thông sàn.Đường trước nhà 3 ô tô tránh nhau, vỉa hè rộng có thể đá bóng được.Nhà gần tám sở ban ngành gần Hồ Tây, gần Lotte Lạc Long Quân, xung quanh dân trí cao phát triển kinh doanh sầm uất.Anh chị em quan tâm liên hệ 0889 764 *** hoặc 0912 612 *** ",150 m²,75 tỷ,6 phòng,7 phòng,30/11/2022,07/12/2022,Tin thường,35637900,batdongsan_com_vn_35637900,6 m,12 m,7 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Trần Quốc Vượng']","
- Vị trí đẹp: Nhà cách ô tô 25m, ngõ thông, sạch đẹp, giao thông di chuyển thuận lợi đi Hồ Tùng Mậu, Phạm Hùng, Phạm Văn Đồng, Cầu Giấy, Kim Mã, Bưởi, Láng...- Nhà dân xây 57m², móng ép cọc bê tông, khung cột vững chắc, thiết kế hiện đại, lô góc 2 thoáng, tràn ngập ánh sáng tự nhiên, nội thất sang, xịn.- Gần các trường C12 Dịch Vọng Hậu, trường C23 Nguyễn Tất Thành, Đại học lớn (Quốc gia, Sư phạm, Báo chí, Thương mại), Công viên Cầu Giấy, Bệnh viện 19 - 8, bến xe Mỹ Đình.- Tặng toàn bộ nội thất cho khách thiện chí, sẵn tài chính giao dịch ngay.- Giá bán 6,9 tỷ (có thương lượng).- Liên hệ xem nhà Mr Kiên 0972 192 *** ",57 m²,6.9 tỷ,5 phòng,4 phòng,26/11/2022,03/12/2022,Tin thường,35956300,batdongsan_com_vn_35956300,,,5 tầng,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Quảng An', 'Đường Tô Ngọc Vân']","
Bán nhà 7 tầng ở Tô Ngọc Vân diện tích 98m², xây 7 tầng, mặt tiền 6m, giá 18.5 tỷ có thương lượng(Tây Hồ).Homestay đẳng cấp - khu phố của giới thượng lưu - an sinh tuyệt đối - ngõ thông - ôtô cách nhà 30m.Mô tả.- Vị trí căn hộ cách mặt phố 40m, ngõ thông, đường trước nhà rộng ô tô cách 30m.- Khu phố của giới thượng lưu và người nước ngoài sinh sống.- Căn hộ gồm 12 phòng khép kín, doanh thu 80tr/ tháng.- Hiện trạng đã và đang cho người nước ngoài thuê Full kín các phòng.- Sổ đỏ cất két sẵn sàng giao dịch.- Liên hệ 0889 764 *** hoặc 0912 612 *** xin cảm ơn.            ",98 m²,18.5 tỷ,12 phòng,12 phòng,30/11/2022,07/12/2022,Tin thường,35635741,batdongsan_com_vn_35635741,6 m,2.5 m,7 tầng,Sổ đỏ/ Sổ hồng,Đầy đủ,,
