address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Nội thất
"['Hà Nội', 'Hà Đông', 'Phường La Khê']","
- Bán đất tặng nhà 2 tầng khu vực trung tâm quận Hà Đông, dân trí cao, gần chợ La khê, bia bà, khu đô thị Packcity, Phan Đình Giót, Ngô Thì Nhậm, Quang Trung, Lê Trọng Tấn, Lê Văn Lương.- Diện tích 40m² vuông vắn như tờ A4.- Ngõ rộng, ô tô đỗ cửa gần.- Giá rẻ nhất nội quận Hà Đông: 79tr/m².- Nhà có thể ở luôn và xây mới 5 tầng thì qua tuyệt.- Tương lai giá trị tăng cao 100tr/m².- Sổ đỏ chính chủ.- Hướng Đông Nam mát quanh năm.- Gọi ngay em Tuân: 0868 758 *** tư vấn miễn phí 24/7.Cam kết nhà chuẩn 100%.            ",40 m²,3.15 tỷ,4 m,3 m,Đông - Nam,2 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,21/11/2022,01/12/2022,Tin thường,34957387,batdongsan_com_vn_34957387,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Chùa Láng']","
Bán nhà khu phân lô giáo viên ĐH Ngoại Thương. Đường Chùa Láng. Cạnh học viện Ngoại giao, trường cán bộ đoàn. DT 60m². Nhà 5 tầng nội thất hiện đại, mới hợp xu thế. Đường thông thoáng oto vào tận nơi. Thoáng trước thoáng sau. Khu phân lô đường sá thuận tiện. Sổ đỏ chính chủ. Giá 11,5 tỷ có Thương Lượng. LH 0816 669 *** ",60 m²,11.5 tỷ,4.1 m,,,5 tầng,,,Sổ đỏ,30/11/2022,07/12/2022,Tin thường,34219397,batdongsan_com_vn_34219397,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Trần Hữu Dực', '30', 'Iris Garden']","
Cập nhật quỹ căn hộ giá tốt nhất tại căn hộ chung cư Iris Garden - 30 Trần Hữu Dực.Em nguyên ở tại dự án Iris Garden chuyên nhận ký gửi, mua bán, cho thuê được nhiều cư dân tin tưởng nhờ bán lại một số căn hộ giá tốt.Em có sẵn khóa nên khách hàng không cần hẹn trước, đi xem nhà 24/7 lúc nào cũng được.* Quỹ căn 2PN (60 - 61m² thông thủy), 2WC 2 logia.+ Căn 2PN nguyên bản: 2 tỷ.+ Căn 2PN full nội thất: Giá từ 2.3 tỷ.* Quỹ căn góc 3PN (103m² thông thủy), 2WC 3 logia 3 mặt thoáng.+ Căn 3PN, 2WC, nguyên bản: Giá từ 3,3 tỷ.+ Căn 3PN full đồ: Giá từ 3,7 tỷ.* Quỹ căn góc 3PN (135m² thông thuỷ), 2WC 3 logia 3 mặt thoáng.+ Căn 3PN nguyên bản: 4,2 tỷ.+ Căn 3PN full đồ: 4,4 tỷ.(Giá 100% căn hộ, đã có VAT, bao sang tên, nếu ưng có thể thương lượng về giá).Các căn hộ ở Iris chủ yếu đã có sổ rồi, khách hàng có thể vay ngân hàng được.* Ngoài em ra còn quỹ căn cho thuê:* Shophouse làm mặt bằng kinh doanh hoặc văn phòng giá rẻ từ 10tr/tháng ở tầng 1.* Căn 2 ngủ. 3 ngủ từ cơ bản đến full đồ giá từ 8 triệu/tháng.Liên hệ để xem nhà, gặp trực tiếp chủ nhà và hỗ trợ thủ tục pháp lý.LHe nguyên 0976 647 *** ",59.5 m²,2.5 tỷ,,,Tây - Bắc,,2 phòng,2 phòng,Hợp đồng mua bán,28/11/2022,05/12/2022,Tin thường,33767863,batdongsan_com_vn_33767863,Đông - Nam,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án An Hưng']","
Bán gấp tòa nhà VPKD An Hưng, 160m2x5T, mặt chợ KD sầm uất ngày đêm, giá 25 tỷ, cho thuê 40tr/th.Thông tin mô tả.Gia đình cần tiền đầu tư lớn hơn nên bán toà nhà VPKD (lô góc 2 mặt phố) 5 tầng diện tích XD 450m² vị trí đắc địa trong khu đô thị An Hưng, Hà Đông, có ô thang máy... Thiết kế mỗi sàn 2 phòng lớn, mặt tiền 16 m, đường trước nhà là đường trục chính 18m kết nối giữa các tòa chung cư, vỉa hè 4m, đối diện là mặt thoáng công viên cây xanh, hưởng trọn vẹn 2 bên vỉa hè, 3 hướng Đông Nam, Đông, Đông Bắc, bán kính 300m là 12 toà chung cư san sát, chủ nhà đang kinh doanh làm Trường mầm non chất lượng cao hoạt động ổn định rất uy tín đông học sinh, do cần tiền đầu tư, nên nhượng lại nhà đất và cam kết thuê lại để tiếp tục kinh doanh.- Đất 160m², diện tích xây dựng 450m², giá 25 tỷ có TL.- Sổ đỏ cất két chờ giao dịch.- Nhờ anh, chị, em VP có khách bán giúp.Miễn báo mạng, QC làm phiền.- LH Mr Tình.            ",160 m²,25 tỷ,5.5 m,17 m,Đông - Nam,5 tầng,6 phòng,6 phòng,Sổ đỏ,26/11/2022,03/12/2022,Tin thường,33575596,batdongsan_com_vn_33575596,Tây - Bắc,Nội thất theo ý chủ mới...
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án An Hưng']","
Bán nhà mặt phố phường La Khê Hà Đông, VPKD 160m² tại khu đô thị An Hưng, đang cho thuê 60tr/tháng.Gia đình cần tiền đầu tư lớn hơn nên bán toà nhà VPKD (lô góc 2 mặt phố) 5 tầng diện tích XD 450m² vị trí đắc địa trong khu đô thị An Hưng, Hà Đông, có ô thang máy... Thiết kế mỗi sàn 2 phòng lớn, mặt tiền 16 m, đường trước nhà là đường trục chính 18m kết nối giữa các tòa chung cư, vỉa hè 4m, đối diện là mặt thoáng công viên cây xanh, hưởng trọn vẹn 2 bên vỉa hè, 3hướng Đông Nam, Đông, Đông Bắc, bán kính 300m là 12 toà chung cư san sát, chủ nhà đang kinh doanh làm Trường mầm non chất lượng cao hoạt động ổn định rất uy tín đông học sinh, do cần tiền đầu tư, nên nhượng lại nhà đất và cam kết thuê lại để tiếp tục kinh doanh.- Đất 160m², diện tích xây dựng 450m², giá 25tỷ có TL.- Sổ đỏ chính chủ.- Nhờ anh, chị, em VP có khách bán giúp.Miễn báo mạng, QC làm phiền.- LH Mr Tình: 0906 195 *** ",160 m²,25 tỷ,,,Đông - Nam,5 tầng,10 phòng,10 phòng,Sổ đỏ,28/11/2022,05/12/2022,Tin thường,35251720,batdongsan_com_vn_35251720,Đông - Nam,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Nam', 'Đường Triều Khúc', 'Ngõ 42']","
+ Nằm tại mặt ngõ 42 Triều Khúc, tầng 1 thông sàn kinh doanh spa tóc cực đông khách, tầng 2,3 mỗi tầng 2 phòng ngủ nội thất đẹp, thiết kế hiện đại.+ Gia chủ xây dựng để ở, cực kỳ tâm huyết, nay do điều kiện chồng chuyển công tác nên mục đích chuyển đổi.+ Hiếm có - mặt ngõ ô tô - kinh doanh hàng tóc spa cực đông khách - hàng xóm Pandora - tương lai mặt phố - hộ khẩu Thanh Xuân.+ Gọi ngay: 0979 223 ***+ Trân trọng! (miễn trung gian).            ",42 m²,5.95 tỷ,,8 m,,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,35946526,batdongsan_com_vn_35946526,,Nội thất đẹp.
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án An Hưng']","
Thông tin mô tả:Gia đình cần tiền sang Đức định cư nên bán toà nhà VPKD (lô góc 2 mặt phố) 5 tầng diện tích XD 450m² Vị trí tuyệt đẹp, đẳng cấp nhà phân lô cao cấp, kinh doanh tuyệt đỉnh trong khu đô thị An Hưng, Hà Đông, có ô thang máy... Thiết kế mỗi sàn 2 phòng lớn, mặt tiền 16m, đường trước nhà là đường trục chính 18m kết nối giữa các KĐT mới An Hưng, KĐT Nam Cường, các tòa nhà chung The Pride City, Anland LakeView... Dân cư buôn bán, kinh doanh cà phê, ăn uống, văn phòng, các ngân hàng, nhà trẻ, siêu thị... Rất sầm uất, dân trí cao, giao thông đi lại thuận tiện. Vỉa hè 4m, đối diện là mặt thoáng công viên cây xanh, hưởng trọn vẹn 2 bên vỉa hè, 3 hướng Đông Nam, Đông, Đông Bắc, bán kính 300m là 12 toà chung cư san sát, nhà đang kinh doanh làm Trường mầm non chất lượng cao hoạt động ổn định rất uy tín đông học sinh, mỗi tháng thu nhập 120triệu. Do cần tiền xang Đức định cư, nên nhượng lại nhà đất và cam kết thuê lại để tiếp tục kinh doanh. Khách mua có thể vừa ở vừa kinh doanh, cho thuê. Hiệu suất cho thuê cực cao.- Đất 160m², diện tích xây dựng 450m², giá 25 tỷ có thương lượng.- Sổ đỏ chính chủ, luôn sẵn sàng giao dịch.- Anh chị xem nhà gọi ngay: 0906 195 *** M Tình.            ",160 m²,25 tỷ,,,Đông - Nam,5 tầng,8 phòng,10 phòng,Sổ đỏ/ Sổ hồng,26/11/2022,03/12/2022,Tin thường,35794997,batdongsan_com_vn_35794997,Đông - Bắc,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường Lương Ngọc Quyến']","
+ Mặt ngõ ô tô vào ra thoải mái, nhà ngay đầu ngõ phố Lương Ngọc Quyến Hà Đông, cách đường Nguyễn Trãi 35m.+ Nhà 5 tầng chờ thang máy, ô tô ra vào.- Tầng 1,2,3 thông sàn, wc.- Tầng 2 ngủ, wc.- Tầng 5 phòng thờ, sân phơi, bếp.+ Sổ đỏ chính chủ sẵn sàng sang tên.+ Gọi ngay: 0979 223 *** ",52 m²,6 tỷ,4 m,5 m,,5 tầng,2 phòng,4 phòng,Sổ đỏ/ Sổ hồng,28/11/2022,05/12/2022,Tin thường,35967462,batdongsan_com_vn_35967462,,Nội thất theo nhà.
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Phương Canh', 'Đường Trịnh Văn Bô']","
Cần tiền gia đình bán lô đất đấu giá đối diện Công viên quy hoạch Nam Từ Liêm.- Diện tích 88m², MT 10m- Đường trước nhà 24m.- Hướng nhà: Tây Bắc.- Vị trí trung tâm quận Nam Từ Liêm, đây là khu đất đấu giá, phân lô duy nhất tại đường Trịnh Văn Bô.Lô đất nằm đối diện công viên quy hoạch, cách Aeon Mall Bắc Từ Liêm khoảng 100m, sát đoạn đường Văn Tiến Dũng.- Pháp lý: Sổ đỏ đầy đủ.Chi tiết liên hệ: 0979 190 ***, miễn trung gian và quảng cáo.            ",88 m²,Thỏa thuận,,24 m,Tây - Bắc,,,,Sổ đỏ/ Sổ hồng.,30/11/2022,07/12/2022,Tin thường,31219477,batdongsan_com_vn_31219477,,
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Văn Phú']","
- Kinh doanh tạp hóa, quầy thuốc, văn phòng cực đẹp...- 5 tầng, đường trước nhà 12m.- Tiện ích bao quanh nhà: Bệnh viện, trung tâm huấn luyện Bộ Công An, siêu thị Melinh plaza, trung tâm quận ủy cách vài bước chân...- Nhà dân xây mới được 2 năm.- Sổ đỏ chuẩn.- Giá 7, x tỷ có thương lượng.Gọi ngay em Tuân call/zalo: 0986 951 *** / 0868 758 *** ",50 m²,7.3 tỷ,5 m,12 m,,5 tầng,4 phòng,5 phòng,Sổ đỏ,28/11/2022,08/12/2022,Tin thường,35387917,batdongsan_com_vn_35387917,,Đầy đủ
