address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Số phòng ngủ,Số toilet,Hướng nhà,Hướng ban công,Nội thất
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Trần Quốc Hoàn']","
Siêu phẩm mặt phố Trần Quốc Hoàn, Dịch Vọng Hậu.Một mặt phố 2 mặt ngõ ô tô tránh - thích hợp xây tòa nhà 9 tầng, có hầm, thang máy kinh doanh, cho thuê.+ Vị trí đắc địa, mặt phố đường đôi trần Quốc Hoàn, ngã tư Phan Văn Trường, Phạm Tuấn Tài, bán kính 0,5km là các trường đại học danh tiếng như đại học Ngoại ngữ, Quốc gia, Sư phạm Hà Nội, Học viện Báo chí tuyên truyền, công viên Nghĩa đô...+ Khu vực tập trung nhiều các văn phòng hạng A và người nước ngoài sinh sống nên rất phù hợp xây toà nhà văn phòng, nhà hàng, khách sạn...+ Hiện trạng nhà 4 tầng, 2 mặt thoáng, 1 mặt phố, 1 mặt ngõ vỉa hè, ô tô tránh, kinh doanh buôn bán sầm uất.+ Sổ đỏ chính chủ, vuông đẹp, thửa đất đẹp 1055m² MT 8,5m, xây building quá tuyệt vời.+ Liên hệ trực tiếp gặp chủ nhà: Hùng, 0903 784 *** ",105 m²,Thỏa thuận,7.5 m,4 tầng,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35790318,batdongsan_com_vn_35790318,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Đường Xa La']","
- 50m², mặt tiền 5m, thiết kế hiện đại, dân xây.- Tầng 2 phòng, cầu thang giữa.- Quý Ac lưu tâm, giá rất tốt rồi.- LH 0325 905 *** ",50 m²,6.6 tỷ,5 m,5 tầng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,34502568,batdongsan_com_vn_34502568,8 m,5 phòng,5 phòng,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Hoàng Quốc Việt']","
Phố vip, nhà mới, lô góc kinh doanh sầm uất, bất chấp mọi thể loại.Thiết kế 9 tầng: 8 nổi thông sàn, 1 hầm nhà mới tinh vừa hoàn thiện.Sổ đỏ cất két.Liên hệ Tùng.            ",141 m²,50 tỷ,,9 tầng,,30/11/2022,07/12/2022,Tin thường,35987348,batdongsan_com_vn_35987348,,8 phòng,,,,
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Đường Yên Phúc']","
- Quý Anh Chị nhanh nhé, 1 căn duy nhất, 5 tầng, sân trước nhà rộng để 10 xe máy.- Chủ bán gấp, thiện chí.- LH 0325 905 *** ",33 m²,2.88 tỷ,4 m,5 tầng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,34669175,batdongsan_com_vn_34669175,4 m,3 phòng,4 phòng,,,
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc', 'Đường Đại Mỗ']","
- Ô tô vào nhà, lô góc, văn hóa công sở, Tố Hữu, Vạn Phúc 300m.- Đông Nam, mặt tiền rộng, đón mở đường Đại Mỗ, Vạn Phúc.- Chủ thiện chí bán, sổ đỏ sẵn sàng.- LH 0325 905 *** ",46 m²,4.6 tỷ,5 m,5 tầng,,25/11/2022,02/12/2022,Tin thường,34481476,batdongsan_com_vn_34481476,5 m,4 phòng,4 phòng,Đông - Nam,,
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng', 'Đường Mậu Lương']","
Vị trí: Nhà thuộc khu đất Dịch vụ Đìa Lão phường Kiến Hưng Hà Đông, đường nội khu 8m, vỉa hè 2 bên mỗi bên rộng 2.5m, Tiện ích ngập tràn, tiềm năng tăng giá cao trong tương lai.Tiện ích: Hàng xóm Mipec, cách KĐT Xala 1,5km, cách viện 103 khoảng 2km, gần chợ và trường mầm non, cấp 1,2 trong bán kính 300m.Thích hợp làm văn phòng kết hợp ở, dân trí cao đa phần là những người trí thức có thu nhập.Thiết kế: Nhà 50m 6 tầng thang máy mặt tiền 4m.- Tầng 1: Thông sàn kinh doanh văn phòng hoặc làm gara ô tô + Wc và cầu thang + thang máy.- Tầng 2: Phòng khách + bếp + WC.- Tầng 3,4,5: Mỗi tầng 2 phòng ngủ + WC.- Tầng 6: Phòng thờ + sân phơi rộng.Hướng nhà: Đông Nam.Sổ đỏ chính chủ sẵn sàng giao dịch.Giá chào bán: 8.4tỷ (có thương lượng).Liên hệ: E. Thuyên 1982 quê Nam Định, sinh sống tại KĐT Thanh Hà để xem nhà.            ",50 m²,8.4 tỷ,4 m,6 tầng,Sổ đỏ/ Sổ hồng,21/11/2022,01/12/2022,Tin thường,35712802,batdongsan_com_vn_35712802,8 m,6 phòng,4 phòng,Đông - Nam,Đông - Nam,Cơ bản 
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Dự án An Phú Shop Villa']","
- Cần bán gấp căn biệt thự An Phú mặt đường 27m, đường sau nhà 5m, vỉa hè 6,5m.- Khu đô thị Dương Nội, chủ đầu tư Nam Cường.- Dãy shophouse đắt khách nhất khu đô thị Dương Nội.- Mặt B04 diện tích 202,5m², mặt tiền 9m.- Mặt tiền 9m, xây 3,5 tầng, diện tích sàn xây dựng 360m.- Phù hợp kinh doanh, làm văn phòng công ty, cho thuê có dòng tiền, tăng lãi vốn sinh lời 40%/năm.- Sổ đỏ chính chủ, xây thô hoàn thiện mặt ngoài giá 35 tỷ.- Liên hệ: 0985 914 *** ",202.5 m²,35 tỷ,9 m,4 tầng,Sổ đỏ,29/11/2022,06/12/2022,Tin thường,35977103,batdongsan_com_vn_35977103,27 m,6 phòng,6 phòng,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Văn Thụ', 'Đường Hoàng Mai']","
Nhà mới đón tết hộ khẩu Hoàng Mai 48m² x 5 tầng MT 4m nhỉnh 5tỷ gần hồ Đền Lừ.+ Vị trí nhà bán tại ngõ đường Hoàng Mai gần hồ Đền Lừ, khu vực phát triển, đầy đủ tiện ích, ngõ rộng xe ba gác chạy ầm ầm.+ Thông số đẹp chủ xây 5 tầng long lanh đón tết.+ Ngõ rộng rãi gần hồ, đường vào 3 gác.+ Chủ xây hơn 40m², còn lại để làm sân.+ Thiết kế:- Tầng 1: Khách bếp.- Tầng 2, 3, 4: Mỗi tầng 2 ngủ, vệ sinh giữa.- Tầng 5: Phòng thờ sân phơi.+ Sổ đỏ nở hậu, sẵn sàng giao dịch.+ Giá chào bán: 5,3 tỷ có thương lượng.Liên hệ: Mr Thuyên để xem nhà.            ",48 m²,5.3 tỷ,4 m,5 tầng,Sổ đỏ/ Sổ hồng.,28/11/2022,08/12/2022,Tin thường,35966902,batdongsan_com_vn_35966902,2 m,6 phòng,4 phòng,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường La Nội']","
Bán nhà La Nội - Hà Đông - 36m² - 2. X tỷ - 3 tầng - 3 phòng ngủ rộng - tự xây.Nhà đẹp ở luôn, gia đình tự xây tâm huyết để ở nên rất chắc chắn, nhà 2 thoáng trước sau nên phòng nào cũng tràn ngập không khí và ánh sáng tự nhiên.Vị trí gần Aeon Hà Đông, gần Lê Trọng Tấn, Geleximco khu C, KĐT Nam Cường, trường học công lập và quốc tế xung quanh...Giá bán: 2. X tỷ (Có thương lượng).Liên hệ mua nhà: Ms. Thơm 0971 607 *** ",36 m²,2.95 tỷ,,,Sổ đỏ/ Sổ hồng.,30/11/2022,07/12/2022,Tin thường,35987344,batdongsan_com_vn_35987344,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Minh Khai', 'Đường Minh Khai']","
Cần bán nhà phố Minh Khai, Hai Bà Trưng, Hà Nội.Diện tích 30m² xây 4 tầng, lô góc 3 mặt thoáng, ô tô đỗ cửa, cách mặt phố 15m. Ngõ nông rộng, thông khắp ngả.Nhà chủ xây cực kỳ tâm huyết, trung tâm quận Hai Bà Trưng, gần TimeCity đầy đủ của mọi tiện ích, trường học các cấp, bệnh viện, công viên.+ Tầng 1: Phòng khách + bếp + để xe.+ Tầng 2,3: Mỗi tầng 1 ngủ + Wc.+ Tầng 4: Phòng thờ, sân phơi.Sổ đỏ vuông đét, chính chủ, sẵn sàng giao dịch.Giá: 4,25 tỷ(có thương lượng).Liên hệ: 0963 849 ***miễn trung gian).            ",30 m²,4.25 tỷ,,4 tầng,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,34292392,batdongsan_com_vn_34292392,,2 phòng,3 phòng,,,
