address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Nội thất
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Vĩnh Tuy']","
- Bán nhà phố Vĩnh Tuy, Hai Bà Trưng, Hà Nội. Ô tô vào nhà.- Nhà diện tích 75m² xây 4 tầng gồm: Phòng khách, bếp, 6 phòng ngủ và WC.- Vị trí đẹp, giao thông thuận tiện đi lại: Gần trường, chợ, khu mua sắm, thuộc khu dân cư an ninh tốt, dân trí cao.- Thích hợp để ở hoặc làm văn phòng.Gía: 11 tỷ(có thương lượng).Liên hệ: 0963 849 ***miễn trung gian).            ",75 m²,11 tỷ,4 tầng,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,21/11/2022,01/12/2022,Tin thường,35485637,batdongsan_com_vn_35485637,,,,,
"['Hà Nội', 'Long Biên', 'Phường Thượng Thanh', 'Đường Đặng Vũ Hỷ']","
Bán đất đấu giá LK khu TĐC Xóm Lò, Thượng Thanh.DT 109,76 m, MT 9,5m đỉnh cao, đường to khổng lồ vỉa hè rộng rãi, tiện ích đầy đủ chợ, trường học các cấp.Giá bán: 148 tr/m² có thoả thuận. Lh0372 818 *** ",109.76 m²,16.244 tỷ,,,,Sổ đỏ/ Sổ hồng.,28/11/2022,08/12/2022,Tin thường,32845097,batdongsan_com_vn_32845097,9.5 m,21 m,Đông - Nam,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Vũ Phạm Hàm']","
Chủ gửi bán lô đất lô góc 2 mặt đường rộng ô tô tránh kinh doanh 15m ra ngã tư cầu 361 đoạn đẹp nhất phố kinh doanh sầm uất, gần nhiều trường đại học lớn, bệnh viện, siêu thị trường học các cấp tốt nhất quận Cầu Giấy.Phù hợp xây toà nhà văn phòng 8 tầng.- Sổ đỏ phân lô vuông đẹp nở hậu nhẹ cất két sẵn sàng giao.- Liên hệ Mr Lợi 0967 027 *** hoặc 0942 065 *** để biết thông tin chi tiết và xem nhà miễn phí.            ",95 m²,19.9 tỷ,,,,Sổ đỏ,30/11/2022,07/12/2022,Tin thường,35832873,batdongsan_com_vn_35832873,5 m,6 m,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Dương Khuê']","
Bán tòa nhà văn phòng phố Dương Khuê Diện tích 110 m² mặt tiền 9 mét X 8 tầng tòa nhà thiết kế hiện Đại Đường trước nhà nhà 20 mét có vĩa hè.Khu Dân trí cao tòa nhà thiết kế cao cấp có tầng hầm 1,2,3,4,5,6,7, thông sàn tầng 8 chia phòng tòa nhà nhà thiết kế nội thất cao cấp thang máy Nhập khẩu Điều hòa Đai kin cao cấp âm trần thiết Bị ánh sáng nhập Khẩu giây Điện trần phú cao cấp Bình nóng lạnh cao cấp thiết Bị vs tô tô Gạch lát sàn vs cao cấp tòa nhà thiết kế măt tiền kính hiện Đại mặt tiền.Tòa nhà ốp Đá tự nhiên nhà năm ở vị trí Đẹp tòa nhà phù hợp làm văn Phòng hội sở ngân hàng trung tâm tiếng anh spa mua cho thuê được giá cao nhà Đầy Đủ hồ sơ giấy phép Đủ sổ Đỏ chính chủ.Giá 36,5 tỷ Lh Mr Minh 0989 154 *** ",110 m²,36.5 tỷ,8 tầng,,,,29/11/2022,06/12/2022,Tin thường,35486284,batdongsan_com_vn_35486284,9 m,30 m,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Vĩnh Hưng', 'Đường Đông Thiên']","
Cần bán đất có nhà cấp 4 phố Đông Thiên, phường Vĩnh Hưng, Hoàng Mai, Hà Nội.Diện tích 60m², mặt tiền 4m sổ vuông vắn.Vị trí thuận tiện, mặt ngõ to, kinh doanh đỉnh, cạnh ngay trường cấp 2 Vĩnh Hưng. Trường mầm non, cấp 1 Vĩnh Hưng; gần chợ, UBND/ CA Phường Vĩnh Hưng, Trạm Y tế; cách Times City 1km; gần các trường Đại học như Kinh Tế Kỹ Thuật Công Nghiệp, Kinh Doanh Công Nghệ, Bộ Công Thương...Giá 6,6 tỷ (có thương lượng).Liên hệ: 0963 849 ***miễn trung gian).            ",60 m²,6.6 tỷ,,,,Sổ đỏ/ Sổ hồng.,30/11/2022,07/12/2022,Tin thường,33382290,batdongsan_com_vn_33382290,4 m,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Nguyễn Khang', 'Ngõ 115']","
Bán nhà phân lô xây mới ngõ 115 phố nguyễn khang Diện tích.80m² mặt tiền 4,5 mét x 7 tầng nhà ngõ hai ô tô tránh nhau.Nhà thiết kế hiện đại nội thất cao cấp thang máy Mitsubitsi điều hòa âm trần Đai kin thiết Bị vệ sinh tô tô gạch lát sàn vs cao cấp.Thiết bị điện nhập khẩu cửa phòng các tầng gỗ lim tự nhiên mặt tiền trước nhà cửa kính nhập khẩu tầng 1 ốp đá tự nhiên cao cấp.Nhà ở khu dân trí cao an ninh tốt nhà kết nối nhiều tuyết phố lớn.Nhà phù hợp ở làm văn phòng spa phòng khám mua cho thuê.Được giá cao Hồ sơ giấy phép thiết kế Đủ sổ Đỏ chính chủ.Giá 21,3 tỷ có thương lượng LH Mr Minh 0989 154 *** ",80 m²,21.3 tỷ,7 tầng,,,,29/11/2022,06/12/2022,Tin thường,35915259,batdongsan_com_vn_35915259,4.5 m,20 m,,,
"['Hà Nội', 'Thanh Trì', 'Hữu Hòa']","
Chính chủ bán nhà ngõ ô tô ra vào - ô tô có slot đỗ ngay cửa - nhà dân xây chắc chắn và hiện đại.Nhà Hữu Thanh Oai, Hữu Hòa 55m² xây 3 tầng 2.7 tỷ (cần bán gấp).+ Vị trí đắc địa: Ngõ đẹp rộng hơn 3m, xe ô tô ra vào, lưu ý: Bãi đỗ xe gồm nhiều xe ngày đêm đỗ cửa nhà (không lo mưa nắng hay để ô tô vào nhà), nhà vuông vắn không lỗi phong thủy, khu vực ở rất an ninh và yên tĩnh, hơn trăm mét ra trung tâm ủy ban, trường mầm non, tiểu học Hữu Hòa.+ Nhà xây kiên cố: Nhà hướng chính tây xây 3 tầng BTCT tường dày cửa chắc chắn, mặt tiền 4m có giếng trời thoáng cả 3 tầng, tôi rất tâm huyết và chăm chút nên nhà gần như mới. Do đi làm quá xa nhà nên bắt buộc phải chuyển nhà.- Tầng 1: Sân xe máy, Phòng khách, bếp và vệ sinh.- Tầng 2: Hai phòng ngủ, ban công, vệ sinh.- Tầng 3: Phòng thờ, kho (có thể cải tạo thêm phòng ngủ) và sân phơi.+ Tiện ích hiện đại: Bàn giao lại toàn bộ nội thất hiện đại mới sắm chỉ về là ở ngay bao gồm: Máy rửa bát Eurosun từ Đức, Bếp điện và Hút mùi Bauer từ Đức đều mới kích hoạt bảo hành T3.2022, Lò vi sóng, Tivi 50inch, tủ lạnh Samsung, nội thất phòng khách và phòng bếp hiện đại, phòng ngủ tân cổ điển, hệ thống camera quanh nhà.+ Giấy tờ pháp lý đầy đủ: Sổ đỏ kèm giấy tờ pháp lý cất két, tổng sử dụng 55m/sàn, sẵn sàng giao dịch ngay.+ Liên hệ chủ nhà: 0961 464 *** để đặt lịch xem nhà (gọi điện trực tiếp để đặt lịch xem do nhiều người nhắn tin quá).Nhà mua ở thì nhanh tay nhé!            ",55 m²,2.7 tỷ,3 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,30/11/2022,07/12/2022,Tin thường,35387547,batdongsan_com_vn_35387547,4 m,3 m,Tây,Tây,Đầy đủ nội thất mới mua đầu năm nay
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Nguyễn Chánh']","
Bán tòa nhà đất phân lô phố Nguyễn Chánh khu nhiều tòa nhà văn phòng.Diện tích 80 m², mặt tiền 4,2 mét x 8 tầng nhà thiết kế hiện đại nội thất.Cao cấp 1,2,3,4,5, thông sàn 6 7 8 ở phòng thờ sân phơi phòng khách.Nội thất tòa nhà sàn gỗ tự nhiên thang máy Mitsubishi điều hòa Daikin âm trần, gạch lát sàn vệ sinh cao cấp vệ sinh tô tô vòi sen nhập khẩu Đức, dây điện Trần Phú, thiết bị ánh sáng nhập khẩu cầu thang bộ gỗ Lim.Đá ốp mặt tiền đá tự nhiên cao cấp tòa nhà thiết kế kính dựng cao cấp.Tòa nhà thiết kế hiện đại nhất 2022 nhà xây mới móng ép cọc BT sâu.Nhà nằm ở vị trí đẹp đường rộng 3 ô tô tránh nhau có vỉa hè đường thông.Kết nối nhiều tuyến phố lớn trần Duy hưng hoang Đạo thúy Vũ Phạm Hàm.Nhà gần hai trung tâm thương mại lớn Vincom Trần Duy Hưng, trường học AM và nhiều trường điểm cao cấp nhà nằm ở khu phố phố thương mại, tòa nhà phù hợp khách mua làm văn phòng ở làm spa, phòng khám mua cho thuê được giá cao hồ sơ giấy phép đủ.Sổ đỏ chính chủ, giá 26,5 tỷ có thương Lượng.LH Mr Minh 0989 154 *** ",80 m²,26.5 tỷ,8 tầng,,,Sổ đỏ,25/11/2022,02/12/2022,Tin thường,35448331,batdongsan_com_vn_35448331,4.2 m,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Đô', 'Đường Hoàng Quốc Việt']","
Bán tòa nhà mặt ngõ 210 phố Hoàng Quốc Việt diện tích 85 m².Mặt tiền 5 mét x 8 tầng nhà xây mới nhà cách mặt phố Hoàng Quốc Việt 30 mét ngõ rộng 3 ô tô tránh nhau có vỉa hè khu dân trí cao an ninh tốt nhà thiết kế hiện Đại 1,2,3 4 thông sàn 5,6,7,8 chia phòng khách phòng ngủ phòng thờ sân phơi nhà thiết kế nội thất cao cấp thang máy nhập khẩu sàn gỗ tự nhiên thiết Bị vệ sinh cao cấp điều hòa âm trần Đai kin thiết bị điện nhập khẩu cao cấp nhà đủ giấy phép hồ sơ thiết kế sổ đỏ chính chủ.Giá 29,7 tỷ.LH Mr Minh 0989 154 *** ",85 m²,29.7 tỷ,8 tầng,,,,29/11/2022,06/12/2022,Tin thường,35822303,batdongsan_com_vn_35822303,5 m,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Nguyễn Khang', 'Ngõ 315']","
Bán nhà ngõ 315 phố Nguyễn Khang, diện tích 50m² mặt tiền 5m.Lô góc x 6 tầng nhà thiết kế hiện Đại nội thất cao cấp thang máy thiết.Bị vệ sinh cao cấp thiết Bị Điện nhập khẩu Điều hòa âm trần Đai kin.Nhà thiết kế thông sàn nhà ở khu Dân trí cao an ninh Điện nước tốt.Ngõ trước nhà 3 mét nhà gần trường cấp 1,2,3 yên hòa siêu thị chợ.Nhà kết nối nhiều tuyến phố lớn Vũ Phạm Hàm Đường láng trung hòa.Trần Duy Hưng nhà hồ sơ giấy phép Đủ giá 7 tỷ có thương lượng.LH Mr Minh 0989 154 *** ",50 m²,7 tỷ,6 tầng,,,,29/11/2022,06/12/2022,Tin thường,35981010,batdongsan_com_vn_35981010,5 m,4 m,,,
