address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Nguyễn Chí Thanh']","
Trung tâm Đống Đa - ô tô tránh - 2 mặt thoáng - ô tô dừng đỗ ngày đêm - nhà đẹp - ở luôn - tặng nội thất tt - vuông vắn.Mô tả:+ Toạ lạc tại vị trí tương đối đẹp, vài bước chân ra mặt đường Nguyễn Chí Thanh, xung quanh công năng tiện ích ngập tràn không thiếu thứ gì Vincom, bệnh viện, trường học, tòa nhà văn phòng...+ Trước nhà rộng rãi, ô tô tránh dừng đỗ thoải mái, cực kỳ sáng thoáng.+ Nhà xây 5 tầng còn mới đã full nội thất đẹp chỉ về việc ở ngay. Khu dân trí cao, an sinh đỉnh.- T1: Gara + Phòng bếp + Wc.- T2: Phòng khách + Wc.- T3: 2 Phòng ngủ + Wc.- T4: 1 Phòng ngủ Master + Wc.- T5: Sân phơi + Tiểu cảnh.+ Sổ đỏ đẹp, nở hậu.Chủ nhà đang cần bán, chuyển sang Mỹ định cư.Liên hệ xem nhà miễn phí: 0911 554 *** ",52 m²,10.8 tỷ,4.8 m,9 m,5 tầng,4 phòng,4 phòng,30/11/2022,07/12/2022,Tin thường,35821451,batdongsan_com_vn_35821451,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Ngụy Như Kon Tum']","
Vị trí cực hiếm - cực vip - lô góc - 2 mặt ngõ phân lô - ngõ to như phố - kinh doanh sầm uất ngày đêm - vỉa hè - ô tô tránh - ô tô chạy vòng quanh - 3 bước ra phố.+ DT: 115m² x 8 tầng.+ Vị trí không phải đẹp mà là quá đẹp.+ Nhà cách phố chỉ khoảng 30m, ngõ to như phố, vỉa hè 2 bên, để xe thoải mái hai bên, ô tô dừng đỗ ngày đêm, an ninh đảm bảo tuyệt đối.+ Mặt ngõ kinh doanh đa dạng mọi loại hình hoặc làm văn phòng đều oki ô tô tải vào tận cửa, ngõ thông tứ tung.+ Thiết kế 8 tầng, 1 tầng hầm, 7 tầng nổi:+ Tầng hầm: Gara, phòng bảo vệ.+ Tầng 2,3,4 thông sàn.+ Tầng 5,6: 2 phòng ngủ rộng, VS khép kín.+ Tầng 7: Phòng khách, bếp, phòng ăn, VS.+ Sổ đỏ đẹp, giao dịch trong ngày.+ Liên hệ: 0911 051 ***miễn trung gian).            ",115 m²,Thỏa thuận,16 m,,,,,30/11/2022,07/12/2022,Tin thường,35050870,batdongsan_com_vn_35050870,Sổ đỏ.,,,
"['Hà Nội', 'Long Biên', 'Phường Gia Thụy', 'Đường Nguyễn Văn Cừ']","
Do chuyển công tác chính chủ cần bán nhà Nguyễn Văn Cừ - Gia Thuỵ ngõ ô tô thông các ngả Nguyễn Sơn, Hoàng Minh Đạo, gần toà nhà Plaschem tower. Giao thông cực thuận tiện đi các ngả Việt Hưng, Ngô Gia Tự, Sài Đồng, Ngọc Lâm...+ Nhà gần ngay trường Gia Thuỵ, công viên, UBND, Chợ, Big C, các siêu thị gara ô tô ở cực sướng.Thiết kế BTCT 5 tầng chắc chắn:- Tầng 1: PK, bếp, VS.- Tầng 2,3,4: Tổng 3PN Rộng, khép kín.- Tầng 5: 1 phòng chức năng + Sân phơi.Sổ đỏ chính chủ sang tên nhanh.Lh e Tâm 0916 122 *** để xem nhà.            ",35 m²,3.8 tỷ,4 m,4 m,5 tầng,4 phòng,,30/11/2022,07/12/2022,Tin thường,35987203,batdongsan_com_vn_35987203,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Phố Lạc Trung']","
Cần bán gấp nhà phân lô ô tô tránh: 65m2x4 tầng đẹp MT: 5m - phố Lạc Trung - Hai Bà Trưng.- Đầu tư để ở - kinh doanh - cho thuê rất hót.- Nằm vị trí đẹp trung tâm quận Hai Bà Trưng, khu toàn CB ở, an ninh cực tốt, nơi hiếm nhà bán. Gần Time City giao các phố Minh Khai - Kim Ngưu - Lạc Trung - Thanh Nhàn... Gần các trường ĐH Kinh Tế, Bách Khoa, Xây Dựng, các bệnh viện lớn như Bạch Mai, Tai mũi Họng TW, Việt Nhật, Việt Pháp, Thanh Nhàn....- Nằm khu văn minh văn hóa đẹp hiện đại đẳng cấp nhất Hà Thành - nơi linh khí hội tụ - ở vượng lộc.- Nhà ở vị trí cực đẹp lô góc gần chợ, trường học các cấp, giao thông thuận lợi vô cùng, an sinh cực đỉnh, nơi đáng sống nhất.Sổ đỏ đẹp chính chủ giao dịch nhanh.            ",65 m²,13.2 tỷ,5 m,8 m,4 tầng,4 phòng,4 phòng,30/11/2022,09/12/2022,Tin thường,35987200,batdongsan_com_vn_35987200,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Tân Triều']","
Ngân hàng hỗ trợ vay 70% giá trị.- Vị trí trung tâm giáp danh 3 quận Thanh Xuân, Hà Đông, Từ Liêm.- Bán kính 200 gần chục trường ĐH lớn nhất cả nước.- Phòng cho thuê luôn luôn kín. Doanh thu hàng tháng 36tr.- Chủ lắp đặt full nội thất giường tủ điều hòa nóng lạnh, cửa khóa vân tay.- SĐCC vuông đẹp. Cất két chờ giao dịch.            ",33 m²,3.7 tỷ,3.5 m,2.5 m,5 tầng,3 phòng,4 phòng,30/11/2022,07/12/2022,Tin thường,35987198,batdongsan_com_vn_35987198,Sổ đỏ/ Sổ hồng.,"Đầy đủ full nội thất giường tủ điều hòa nóng lạnh, cửa khóa vân tay.",,
"['Hà Nội', 'Thanh Trì', 'Xã Tứ Hiệp', 'Đường Đồng Trì']","
Bán đất mặt đường Đồng Trì - Tứ Hiệp - Thanh Trì. Diện tích: 175 m². Mặt tiền: 9.89m, đường thoáng thông rộng: 4m. Đất 3 mặt thoáng. Sổ đỏ. Giá: 60 triệu/m². Có thương lượng.Liên hệ: C. Hương - ĐT: 0978 733 *** ",175 m²,60 triệu/m²,9.89 m,4 m,,,,30/11/2022,10/12/2022,Tin thường,35682211,batdongsan_com_vn_35682211,,,Đông - Nam,
"['Hà Nội', 'Hoàng Mai', 'Phường Tương Mai', 'Đường Nguyễn Đức Cảnh', 'Dự án 130 Nguyễn Đức Cảnh']","
Chính chủ cần bán gấp CC 130 Nguyễn Đức Cảnh.Diện tích 91m², 2 ngủ, WC, phòng chứa đồ, phòng khách, bếp rộng.View nhìn sang hồ Đền Lừ.Giá chào 2.8 tỷ có thương lượng.Sổ đỏ chính chủ, sẵn sàng giao dịch trong phút mốt.Lh xem nhà: 0989 200 *** ",91 m²,2.8 tỷ,,,,2 phòng,,28/11/2022,05/12/2022,Tin thường,35961748,batdongsan_com_vn_35961748,Sổ đỏ.,Tặng nội thất.,,Đông
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Tảo', 'Đường Xuân La', '161', 'Kosmo Tây Hồ']","
Cần bán căn hộ đầy đủ đồ ở tòa Novo tầng cao view Hồ Tây tại chung cư cao cấp Kosmo 161 Xuân La, Tây Hồ, Hà Nội.Căn hộ diện tích 154m² thiết kế 3 phòng ngủ, 3 vệ sinh, các phòng có ban công, phòng khách và bếp rộng với không gian mở thoáng sáng đón gió tự nhiên.Căn hộ ở trên tòa nhà có đầy đủ các tiện ích như bể bơi, sân chơi, vườn nướng trên không, phòng tập gym, ngoài ra cong có nhà hàng, ngân hàng, siêu thị, trung tâm mua sắm, vv mỗi căn có xuất để ô tô riêng.Căn hộ đã có sổ đỏ chủ nhà cần bán gấp để lại toàn bộ nội thất cho người mua với giá 8,5 tỷ bao phí sang tên.LH Mr Quyền 0936 639 *** xem nhà trực tiếp nhận thông tin 24/7 với quỹ căn từ 2PN - 4PN.            ",154 m²,8.5 tỷ,,,,3 phòng,3 phòng,30/11/2022,07/12/2022,Tin thường,35810163,batdongsan_com_vn_35810163,Sổ đỏ/ Sổ hồng,Cao cấp - sang trọng.,Đông - Nam,
"['Hà Nội', 'Ba Đình', 'Phường Thành Công', 'Phố Láng Hạ', '16', 'BRG Grand Plaza']","
* Chỉ 10.6 tỷ sở hữu ngay căn 125m², thiết kế đẹp, vuông vắn 3PN, 2VS, với thiết kế trần cao 3.6m giúp cho căn hộ cực kì thoáng sáng, phòng nào cũng đón ánh sáng tự nhiên, phòng khách và tất cả phòng ngủ đều view trực diện hồ Thành Công.- Ban công phòng khách rộng rất thoải mái để đặt bàn trà ngắm cảnh hồ, phòng bếp có lô gia tránh mùi thức ăn trong nhà, khu giặt và phơi đồ kín đáo, riêng tư, chỗ đặt cục nóng điều hòa riêng không làm mất diện tích của ban công phòng khách.- Tiện ích đầy đủ như phòng tập Gym, Spa, trung tâm thương mại, sinh hoạt cộng đồng, văn phòng, family lounge...Liên hệ E. Loan nhận bảng giá và xem căn hộ thực tế: 0396 082 ***.1/ Chính sách bán hàng hấp dẫn:- Chiết khấu 3% cho KH thanh toán theo tiến độ.- Chiết khấu 5% cho KH thanh toán sớm 95%.- Tặng gói quà tặng nội thất trị giá 380tr (trừ trực tiếp vào giá).- Ngân hàng cho vay 45%, hỗ trợ lãi suất 0% trong vòng 12 tháng.- Tặng gói phí dịch vụ quản lý và Valet parking trong 12 tháng.2/ Tổng quan về dự án:- Tên dự án: Chung cư BRG Grand Plaza.- Địa chỉ: 16 Láng Hạ, Ba Đình, Hà Nội.- Chủ đầu tư: Công ty TNHH đầu tư và phát triển Phương Đông - tập đoàn BRG.- Đơn vị thiết kế: Công ty P&Tconsultants PTE ltd (Singapore).- Diện tích 8.152m², 4 tầng hầm, 18 tầng căn hộ, tầng mái là phòng gym, phòng đa năng và khu vực tiện ích phục vụ cư dân.* Quy mô dự án gồm:+ 01 tòa căn hộ cao cấp cao 19 tầng ở từ tầng 1 đến tầng 19.+ 03 căn biệt thự hạng sang.- Số tầng hầm: 4 hầm.- Số chỗ để xe máy: 2.147 xe.- Số chỗ để ô tô: 282 xe.- Tiêu chuẩn bàn giao: Nội thất liền tường cao cấp.3/ Ưu điểm dự án.- Chung cư 16 Láng Hạ là chung cư cao cấp nằm tại trung tâm thành phố Hà Nội, mảnh đất vàng của thủ đô.- Vị trí vô cùng thuận lợi khi được nằm gần rất nhiều địa điểm lớn của thành phố như: Rạp chiếu phim quốc gia, siêu thị FiviMart, chợ Láng Hạ, triển lãm Giảng Võ, siêu thị Big C cùng nhiều trường học, bệnh viện và trung tâm thương mại đáp ứng mọi nhu cầu thiết yếu cho các hộ gia đình.- Nằm trên khu đất vàng thành phố, chung cư 16 láng hạ là một trong số ít khu căn hộ hạng sang đầu tiên có giếng trời thông tầng và căn hộ có sân vườn riêng tại vị trí thủ đô Hà Nội.- Với các tiện ích đạt tiêu chuẩn Quốc tế, chung cư Dimond Park Plaza sẽ là không gian sống lý tưởng, mang tới cho cư dân một phong cách sống đẳng cấp giữa trung tâm thành phố nhộn nhịp và hiện đại.Liên hệ trực tiếp văn phòng bán hàng CĐT để xem căn hộ thực tế: 0396 082 *** (E. Loan).            ",125 m²,10.6 tỷ,,,,3 phòng,2 phòng,25/11/2022,02/12/2022,Tin thường,35785624,batdongsan_com_vn_35785624,Sổ đỏ/ Sổ hồng,Full nội thất cao cấp liền tường,,
"['Hà Nội', 'Ba Đình', 'Phường Kim Mã', 'Đường Nguyễn Thái Học']","
Nhà 3 tầng cũ xác định bán đất. Diện tích 110m², mặt tiền 4.6m. Đang cho thuê được 60tr/tháng.Nhà mặt phố Nguyễn Thái Học, vị trí đắc địa độc tôn, rất hiếm nhà bán, gần Lăng Bác, giao thương các tuyến phố chính Kim Mã, Tôn Đức Thắng, Điện Biên Phủ.Khu vực lõi của Thủ Đô, rất hiếm nhà bán, diện tích lớn giá tốt.Phù hợp xây khách sạn, tòa nhà 8 tầng thì thu bộn tiền.Pháp lý chuẩn, sổ đỏ nở hậu cầm tay.Giá bán 43 tỷ có thương lượng.Liên hệ: 0866 168 *** Tuấn mặt phố, dòng tiền, khách sạn, văn phòng.Chuyên bất động sản triệu đô Hà Nội.            ",110 m²,43 tỷ,4.6 m,20 m,3 tầng,3 phòng,3 phòng,25/11/2022,05/12/2022,Tin thường,35832569,batdongsan_com_vn_35832569,Sổ đỏ/ Sổ hồng.,Nội thất đầy đủ.,,
