address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Pháp lý,Số tầng,Hướng nhà,Hướng ban công
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Nguyễn Cảnh Dị', 'Dự án Thanh Bình Garden']","
* Do quen biết nên tôi có được suất ngoại giao tại dự án Thanh Bình Garden. Giờ chuyển công tác nên tôi cần bán suất ngoại giao đó.* Căn hộ 02 phòng ngủ tại chung cư Thanh Bình Garden đường Nguyễn Cảnh Dị, quận Hoàng Mai. Thuận tiện di chuyển gần các trường học, bến xe. View hồ 2ha cực đẹp cực thoáng.* Quy mô: 1 tòa nhà cao 21 tầng: 2 tầng hầm, 2 tầng sàn trung tâm thương mại, tầng 3 để xe ô tô, tầng 4 21 căn hộ để ở.Ai nhu cầu liên hệ em xem nhà trực tiếp 0964 425 ***. Không tiếp sales.            ",51 m²,1.9 tỷ,2 phòng,1 phòng,Nội thất đầy đủ.,22/11/2022,29/11/2022,Tin Vip 3,35723198,batdongsan_com_vn_35723198,,,,,,
"['Hà Nội', 'Huyện Gia Lâm', 'Xã Đặng Xá']","
- Diện tích 41m², mặt tiền 5m.- Đường trước đất 3m, ngõ ô tô chạy thông.- Giao thông đi lại thuận tiện, cách đường Ỷ Lan 150m, cách đường đê Hữu Đuống 300m, cách quốc lộ 17 500m.- Bán kính 500m đầy đủ các tiện ích thiết yếu: Trường học các cấp, uỷ ban, trạm y tế, chợ.- Sổ đỏ chính chủ pháp lý rõ ràng không tranh chấp quy hoạch.            ",41 m²,45 triệu/m²,,,,22/11/2022,29/11/2022,Tin Vip 3,35651449,batdongsan_com_vn_35651449,5 m,3 m,Sổ đỏ,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Tảo', 'Dự án N01-T5 Ngoại Giao Đoàn']","
Chủ nhà cần bán gấp căn 2 ngủ 2 vệ sinh full nội thất.View hồ điều hoà.Tại toà N01-T5 cần bán gấp.Đã có sổ đỏ.Vui lòng liên hệ mình Anh Dũng: 0976 944 *** ",87 m²,4.7 tỷ,2 phòng,2 phòng,,22/11/2022,29/11/2022,Tin Vip 3,35923196,batdongsan_com_vn_35923196,,,,,,
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Hà', 'Đường Đội Cấn']","
Chính chủ cần bán tòa nhà văn phòng phố Đội Cấn, Ba Đình, 100m², 10 tầng, gara 2 ô tô, vỉa hè 1m, dòng tiền 120 triệu/tháng, giá 40 tỷ.- Chính chủ cần bán tòa nhà văn phòng phố Đội Cấn để sang ở nhà bên cạnh.- Vị trí đẹp, trung tâm quận Ba Đình, giao thông thuận tiện chỉ vài phút đã lên khu phố cổ, trung tâm hành chính Hà Nội và trụ sở các ban ngành. Khu vực an ninh cực tốt, kinh doanh sầm uất và nơi đặt nhiều chi nhánh ngân hàng, công ty nước ngoài.- Diện tích 100m², mặt tiền 6m.- Nhà tự xây, thiết kế 10 tầng, có hoàn công.- Dòng tiền 120 triệu/tháng. Đang có đơn vị đến thuê mới.- Sổ đỏ chính chủ, sẵn sàng giao dịch.Liên hệ: Linh 0852 343 *** ",100 m²,40 tỷ,8 phòng,12 phòng,,22/11/2022,29/11/2022,Tin Vip 3,35923194,batdongsan_com_vn_35923194,6 m,8 m,Sổ đỏ,10 tầng,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Trần Thủ Độ', 'Dự án Pháp Vân Tứ Hiệp']","
Bán biệt thự mặt đường Trần Thủ Độ, 285m², hướng Tây, sổ đỏ chính chủ.- Diện tích: 285m², mặt tiền 13m.- Nhà xây hoàn thiện đẹp 3,5 tầng.- Hướng: Tây.- Sổ đỏ chính chủ.- Vị trí cực đẹp, sân vườn rộng.LH: 0896 636 *** ",285 m²,Thỏa thuận,,,,22/11/2022,29/11/2022,Tin Vip 3,35923140,batdongsan_com_vn_35923140,13 m,30 m,Sổ đỏ/ Sổ hồng,4 tầng,Tây,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường Đông Dư', 'Dự án The Zenpark']","
Bán nhanh căn 1PN + 1 Zenpark chỉ 1 tỷ 979tr liên hệ: Mr. Tuấn Vũ 0838 358 ***Vị trí: Giáp đường Lý Thánh Tông 6 làn xe và tuyến đường trục chính dự án, 4 tòa vị trí riêng biệt cạnh nhà để xe 5 tầng, view nội khu, sân thể thao.Là 1 trong 4 tòa căn hộ cao cấp tiêu chuẩn Ruby trong quần thể dự án Vinhomes Ocean Park 420ha.Tiện ích: Kế cận nhà để xe 5 tầng, 1 bước chân sang bể bơi 4 mùa, bấm thang máy xuống phòng gym miễn phí; lễ tân, bảo vệ phục vụ cư dân 24/7; vườn Nhật, hồ cá koi ngay dưới chân tòa nhà.Bàn giao nội thất cao cấp:- Toàn bộ sàn gỗ.- Điều hòa trung tâm âm trần, cho độ mát sâu và lọc sạch không khí.- Cửa kính chạm sàn cho tầm nhìn Panorama.- Hệ tủ bếp và tủ tường gỗ An Cường phủ Acrylic cực kỳ sang trọng.- Thiết bị bếp Gorenje.- Thiết bị phòng tắm Kohler.- Khóa cửa hiện đại 3 chức năng (khóa cơ, mật khẩu, vân tay).Nhận nhà chỉ việc xách vali về ở, cho thuê 10tr/tháng, homestay 900 nghìn - 1.500 tr/đêm.Mới khai trương 2 chợ đêm 24/7.Liên hệ xem nhà trực tiếp Mr. Tuấn Vũ 0838 358 *** ",55 m²,1.979 tỷ,1 phòng,1 phòng,Cao cấp.,22/11/2022,02/12/2022,Tin Vip 3,35923053,batdongsan_com_vn_35923053,,,Sổ đỏ/ Sổ hồng,,Tây - Nam,Đông - Bắc
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Nhàn', 'Đường Kim Ngưu']","
Trực tiếp chủ đầu tư mở bán chung cư mini Kim Ngưu - Trần Khát Chân - Đại học Kinh Tế Quốc Dân.Diện tích: 35m² - 46m² - 50m² - 55m²/ căn hộ vuông vắn thoáng đẹp, ngõ ôtô, sổ hồng vĩnh viễn.Liên hệ: 0965 951 ***.1. Vị trí trung tâm:- Tòa chung cư mini Kim Ngưu nằm ngay quận Hai Bà Trưng, khu vực dân trí cao, an ninh tốt, vị trí giao thông thuận tiện.- Toà nhà cách đường chính Kim Ngưu 20m, vị trí vô cùng đẹp, tiện đi lại sinh hoạt.2. Quy mô và thiết kế:- Tòa nhà 7 tầng thiết kế tầng 1 để xe, có đầy đủ thang máy và thang bộ hiện đại, hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp 24/24.- Nội thất căn hộ: Tủ bếp, hút mùi, bếp từ, chậu rửa, sàn gạch men cao cấp, trần thạch cao, bảo ôn điều hòa, thiết bị vệ sinh và bình nóng lạnh, mạng cáp quang, mạng wifi.3. Diện tích căn hộ và giá bán:+ Căn 30m² - 35m²: Gồm 1 phòng ngủ + 1 phòng khách liền bếp + 1WC.+ Căn 45m² - 50m²: Gồm 2 phòng ngủ + 1 phòng khách + bếp + 1 WC.+ Căn 60m² - 65m²: Gồm 3 phòng ngủ + 2 vệ sinh + bếp + 1 WC.- Giá bán: 900tr - 1.1 tỷ - 1,2 tỷ - 1,3 tỷ - 1,7 tỷ.Khách hàng thanh toán nhanh được chiết khấu cực cao.4. Pháp lý:Tách sổ hồng đồng sở hữu riêng theo Quy định nhà nước hiện hành.Liên hệ CĐT: 0965 951 *** để TV và xem nhà nhanh nhất.            ",35 m²,900 triệu,1 phòng,1 phòng,,22/11/2022,02/12/2022,Tin Vip 3,35922972,batdongsan_com_vn_35922972,,,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Tảo', 'Dự án N01-T1 Ngoại Giao Đoàn']","
- Gia đình chuyển công tác nên không có nhu cầu về ở cần bán căn hộ góc 01 tháp A tòa N01-T1 KĐT Ngoại Giao Đoàn, Xuân Tảo, Bắc Từ Liêm, HN. Căn hộ góc tầng trung nên rất thoáng view hồ đại sứ quán, công viên nội khu + công viên Hòa Bình rất đẹp.- Diện tích 133m² thiết kế 4PN + 3WC có thể cải tạo thành 5PN dành cho ai có nhu cầu ở 2 thế hệ hoặc yêu thích không gian rộng.- Nội thất: Sàn gỗ, trần thạch cao, tủ bếp, bếp, nóng lạnh điều hòa...- Giá bán 6.3 tỷ (không bao thuế phí).- Pháp lý: Đã cấp sổ hồng sẵn giao dịch.- Liên hệ: 0969 993 *** Mr Linh (để xem nhà và làm việc).            ",133 m²,6.3 tỷ,3 phòng,3 phòng,,22/11/2022,29/11/2022,Tin Vip 3,35922899,batdongsan_com_vn_35922899,,,Sổ đỏ/ Sổ hồng,,Đông,Tây - Bắc
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Phố Chùa Láng']","
Bán nhà phố Chùa Láng 75m² x 8 tầng 17 phòng khép kín - thang máy - lô góc - mới tinh - 2 mặt ngõ. Dòng khủng 130 tháng.Vị trí nhà ở trung tâm nhiều trường đại học lớn như: Học Viện Ngoại Giao, ĐH Ngoại Thương, học viện Hành Chính, GTVT... Khu vực hiếm nhà bán. Cho thuê luôn full phòng.Nhà 2 mặt ngõ, thoáng, Phòng nào cũng có gác xép và cửa sổ. Xây mới tinh, chắc chắn từ nền móng.Sổ đỏ vuông đẹp sẵn sàng giao dịch.Giá chào nhỉnh 10 tỷ.Liên hệ 0963 558 *** ",75 m²,Thỏa thuận,17 phòng,17 phòng,,22/11/2022,02/12/2022,Tin Vip 3,35922824,batdongsan_com_vn_35922824,,,,8 tầng,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 1', 'Đường Phạm Văn Đồng', 'Dự án An Bình City']","
0987 065 ***, gia đình em cần bán căn hộ 12, An Bình City.Căn hộ nhà em cần rao bán là căn hộ góc.Cửa chính Tây, ban công VIP Đông Nam.Lưng tựa núi mặt hướng hồ.3 mặt view thoáng, mát, quanh năm.Sử dụng khí tươi tự nhiên, trong lành, hiền hòa.Mà hình như không sử dụng điều hòa.Giá nhỉnh 4 tỷ/ full.Căn hộ rộng 83m² thông thủy(87m tim tường), gồm:3 ngủ, 2 vệ sinh.1 ban công trồng hoa và lấy khí tươi vào nhà., 1 logia phơi đồ.1 khu bếp riêng biệt.1 phòng khách và phòng ăn.Nhà full nội thất đẹp, về chỉ việc ở.Bàn ghế.Giường tủ.Tivi.Tủ lạnh, máy giặt, bình nóng lạnh, đèn sưởi.Bàn ăn, sofa, bàn trà.Tranh trang trí và decor gỗ.Rèm, cây cảnh.Bếp, tủ bếp, bếp từ, hút mùi, cùng vách kính ngăn.Sàn gỗ, trần thạch cao, nóng lạnh, cửa khóa từ, cửa thông các phòng.Nhà ở giữ gìn.Nhà đã có sổ đỏ rõ ràng.Và tiếp người thiện chí mua.Không tiếp MG và QC, GDMG.Alo/Zalo cho em 0987 065 ***Tiện ích khu rất rộng:1. Năm cửa ngõ phía Tây của Quận Bắc Từ Liêm, Hà Nội.2. Nằm trong khu đô thị Thành Phố Giao Lưu rộng 95ha, có hồ điều hòa An Bình rộng 15ha, khuôn viên cây xanh mát rượi thanh lọc không khí cả ngày 3. Khuôn viên nội khu rộng, mát cả ngày cho trẻ em, người lớn tuổi, người trung tuổi hoạt động vui chơi cả ngày + đài phun nước 7 sắc Cầu Vồng...4. 2 bể bơi ngoài trời, tha hồ cho các con bơi lội, và học bơi mà không phải đi xa.5. Các siêu thị, tiện ích nội khu: Trường học, phòng khám, spa, gym, câu lạc bộ bóng bàn, câu lạc bộ múa, câu lạc bộ yoga, câu lạc bộ khiêu vũ cho người cao tuổi, khu chơi cờ, bóng chuyền...6. Trường mầm non từ trung, cao cấp đầy đủ có sẵn tại khu đô thị Thành Phố Giao Lưu: Lớp thường, lớp hệ Montessori, lớp hệ amon, lớp hệ tiếng Nhật... Cạnh trường cấp 1 và 2 Cổ Nhuế, cạnh trường Newtown và Pascal...7. Có Vincom Plaza, Mega Maket Bắc từ liêm.8. Phố ăn uống, phố bia, phố nhậu quanh hồ điều hòa An Bình City, ti tỉ tì ty cái gì cũng có từ rẻ đến cao cấp xịn.9. Nơi câu cá lý tưởng của mỗi ngày: 250k/3h câu, cá câu rất to, dịch vụ thả mồi câu.10. 1 Đặc biệt mà nhiều khu không có tại Hà Nội đó là địa điểm checkin, sống ảo, quay video thoải thích vì nhiều hoa, khuôn viên và hồ rộng...11. Phí dịch vụ giá rẻ 6k/m thông thủy, dịch vụ thương mại 10k Phí gửi xe oto 1.200k/ chiếc đầu Phí gửi xe oto 1.800k/ chiếc thứ 2 An ninh đảm bảo, bảo vệ vòng ngoài và vòng trong 2 lớp Thang máy đi bằng thẻ gắn chíp, thang máy chạy ổn định, chất lượng...12. Khu chơi trẻ em, câu lạc bộ người cao tuổi, nơi chơi cờ, chơi bóng rổ, hoàn toàn miễn phí 100%.13. Có bể bơi ngoài trời 4 mùa ở giữa tòa A3 và A7.1 nơi đáng sống, phù hợp với giá tiền thực tế.Gọi em 0987 065 *** ",87 m²,Thỏa thuận,3 phòng,2 phòng,"Nội thất đầy đủ gồm: Sàn gỗ, nóng lạnh, sàn gỗ.",22/11/2022,02/12/2022,Tin Vip 3,33611832,batdongsan_com_vn_33611832,,,Sổ đỏ/ Sổ hồng,,Tây,Đông - Nam
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Pháp Vân', 'Dự án Gamuda Gardens']","
Chào mọi người.Chính chủ tôi cần sang nhượng căn nhà shophouse, mặt đường Pháp Vân nằm trong khu đô thị Gamuda Gardens, vị trí kinh doanh rất thuận lợi, thông thoáng cho việc đậu đỗ xe.Thông số căn shop:DT 132m² đất gồm 4 tầng, mặt tiền 5.5m, sâu 24m.87m²/1 sàn, đã hoàn thiện theo thiết kế văn phòng.Thiết kế: Mặt tiền có vỉa hè rộng rãi, thoáng, cửa sau nhà có sân ngồi cafe, view thoáng.Hiện tại, tôi đã thanh toán và đóng tiền đầy đủ, giá bán có thương lượng: 27.5 tỷ.Ai có nhu cầu xin liên hệ Mr Hiếu.Trân trọng.            ",132 m²,27.5 tỷ,3 phòng,4 phòng,Nội thất đầy đủ theo phong cách văn phòng.,22/11/2022,29/11/2022,Tin Vip 3,35602774,batdongsan_com_vn_35602774,5.5 m,13 m,,4 tầng,Đông - Nam,Đông - Nam
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Chủ nhà gửi bán căn 2n2 + 1 hướng Đông Nam view bể bơi hoa hậu cực đẹp.Đầy đủ nội thất xịn và đẹp.Giá bán: 2,63 tỷ.Sổ hồng cầm tay.Lh: 0961 773 *** em Minh để được tư vấn chi tiết về căn hộ.            ",64 m²,2.63 tỷ,2 phòng,2 phòng,Đầy đủ nội thất xịn và đẹp.,22/11/2022,02/12/2022,Tin Vip 3,35922704,batdongsan_com_vn_35922704,,,Sổ đỏ/ Sổ hồng.,,,Đông - Nam
