address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Đường Khương Đình', 'Ngõ 65']","
+ Nhà đẹp ngõ 65 Khương Đình, gần phố Thượng Đình, Nguyễn Trãi, Ngã Tư Sở, Royal City, Mipec Tây Sơn, gần nhiều trường mầm non cấp 1 12, gần đại học lớn như trường đại học KHTN, Khoa Học Xã Hội Và Nhân Văn, đại học Hà Nội, gần chợ, siêu thị, giao thông thuận lợi.+ Thiết kế nhà 3 tầng 2 phòng ngủ đầy đủ công năng.+ Sổ đỏ chính chủ sẵn sàng giao dịch.+ Giá 1,85 tỷ.+ Liên hệ Mr Sáng điện thoại Zalo 0778 488 *** để được xem nhà miễn phí 24/7.            ",25 m²,1.85 tỷ,3 m,3 m,3 tầng,2 phòng,3 phòng,Sổ đỏ chính chủ sẵn sàng giao dịch,Đầy đủ,29/11/2022,06/12/2022,Tin thường,35986810,batdongsan_com_vn_35986810,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án An Hưng']","
Cần bán nhà liền kề khu đô thị mới An Hưng.Nhà liền kề 82,5m² hướng ĐN nhà hoàn thiện full nội thất.Để lại đồ.Giấy tờ pháp lý sổ đỏ chính chủ.Giá bán TT.            ",82.5 m²,Thỏa thuận,,12 m,,,,Sổ đỏ,,29/11/2022,06/12/2022,Tin thường,31738248,batdongsan_com_vn_31738248,Đông - Nam
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bùi Thị Xuân', 'Đường Tuệ Tĩnh']","
+ Vị trí: Nhà phố cổ giá thị thương mại lớn, giao thông kết nối thuận tiện, không cần phải nói nhiều ạ. Nhà em trung tâm quận Hai Bà Trưng tiếp giáp Hoàn Kiếm.+ Nhà đẹp nhất phố, gần Triệu Việt Vương, Bùi Thị Xuân mặt tiền kinh doanh, hiện nhà đang kinh doanh spa, thẩm mỹ.Diện tích nhà 136m² x 6 tầng giá 56,8 tỷ.Liên hệ em Dương chuyên mặt phố, chỉ bán nhà đẹp, pháp lý chuẩn để xem nhà.            ",136 m²,56.8 tỷ,,,6 tầng,,,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,32882624,batdongsan_com_vn_32882624,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Đại Mỗ', 'Đường Đại Mỗ']","
Nhà Đại Mỗ - Nam Từ Liêm - ô tô đỗ cổng - tiện ích ngập tràn - giá tốt.Chính chủ gửi bán nhà đường Đại Mỗ, diên tích 33m², xây 4 tầng, giá 2,75 tỷ 0862 614 **** ) Mô tả:+ Vị trí đẹp, gần chợ, ô tô đỗ cổng, khu vực đông dân cư, an ninh tốt.+ Ngõ rộng, gần phố, khu vực trung tâm phường.+ Nhà xây 3 tầng, thiết kế cầu thang cuối.- Tầng 1: Khách, bếp, vs.- Tầng 2: 2 phòng, vs.- Tầng 3: 1 phòng, vs, sân phơi.- Tầng Tum: Chống nóng, trồng cây.* ) Sổ đỏ chính chủ, giao dịch luôn.* ) Liên hệ Trường Thổ: 0862 614 *** ",33 m²,2.75 tỷ,,3 m,4 tầng,3 phòng,,,,25/11/2022,25/12/2022,Tin thường,35945901,batdongsan_com_vn_35945901,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án An Hưng']","
Cần bán căn biệt thự khu đô thị An Hưng, Hà Đông.- Nhà biệt thự Dt 306m², đường 12m hướng ĐN.Nhà xây 3,5 tầng hoàn thiện mặt ngoài.MT 12m view dãy hồ, công viên vườn hoa.Giấy tờ pháp lý đã có sổ đỏ sang tên nhanh gọn.            ",306 m²,Thỏa thuận,,12 m,,,,Sổ đỏ,,29/11/2022,06/12/2022,Tin thường,31193860,batdongsan_com_vn_31193860,Đông - Nam
"['Hà Nội', 'Đông Anh', 'Xã Đông Hội', 'Thôn Đông Ngàn']","
+ Nhà riêng chính chủ sổ đỏ. 2.5 tầng mới xây kiên cố và tâm huyết để ở. Do chuyển công tác muốn sang nhượng.+ Nhà cách dự án cầu Tứ Liên 1,5km chuẩn bị thi công và kế hoạch lên quận ngay năm sau (2023).+ Tầng 1 gồm phòng khách, bếp, wc.+ Tầng 2 hai phòng ngủ, wc chung.+ Cầu thang lên sân thượng bắn tôn lạnh và kèo cột chắc chắn, giặt giũ phơi đồ, trồng cây hoa. Điện nước tầng 3 đã chờ sẵn (vì lúc mới xây định làm 3 tầng nhưng thôi nên để chờ).+ Cửa cuốn điều khiển bên ngoài. Cửa kính thủy lực bên trong. Các cửa sổ và cửa phòng đều nhôm hệ chắc chắn, cách âm.+ Nội thất, điện nước, công năng sử dụng đầy đủ.+ Tiện ích xung quanh bán kính 1,5km có chợ, trường mầm non cấp 1,2,3 view tầng 2 nhìn ra sông Đuống.+ Nhà xây cuối năm 2019 gần khu dự án vincom đang chuẩn bị thi công.+ Cách cầu Đông Trù khoảng 1km thuận tiện di chuyển sân bay 20' sang nội thành 20'.+ Sổ đỏ chính chủ sẵn sàng giao dịch.            ",40.5 m²,1.97 tỷ,4.8 m,2.5 m,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ công năng và tiện ích,29/11/2022,08/12/2022,Tin thường,35353619,batdongsan_com_vn_35353619,Tây - Bắc
"['Hà Nội', 'Hai Bà Trưng', 'Phường Cầu Dền', 'Phố Bạch Mai']","
Diện tích lớn - thông số vàng - tiện ích - sân để 10 xe máy thoải mái.Diện tích 53m², 5 tầng, MT 4.3m.+ Thiết kế:Tầng 1: Phòng khách rộng thênh thang, phòng bếp và Wc.Tầng 2: 1 Phòng ngủ cực rộng.Tầng 3: 1 Phòng ngủ và vệ sinh.Tầng 4: 1 phòng ngủ và vệ sinh.Tầng 5: Sân phơi, trồng cây cảnh cực rộng.Tầng nào cũng điều hoà (tổng 4 chiếc) để lại cho khách thiện trí.Sổ đỏ nở hậu, pháp lý rõ ràng.Giá: 3.3 tỷ.Nhấc máy gọi Nhật Anh (50 tuổi) 0988 452 *** ",53 m²,3.3 tỷ,4.3 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,35575344,batdongsan_com_vn_35575344,
"['Hà Nội', 'Nam Từ Liêm', 'Dự án Mon City - Hải Đăng City']","
Mở bán giai đoạn 1 biệt thự Giai đoạn 3 trong Khu đô thị rộng 401ha thuộc quận Tây Hồ. Đây là giai đoạn có vị trí đẹp nhất, gần hồ Tây và sông Hồng nhất. Giá bán 44.5 tỷThanh toán sớm chiết khấu 7%Nhận nhà ngay chiết khấu 3%Nhận nhà luôn. Tất cả các căn trong dự án đều đã có sổ hồng từng lôBiệt thự xây 3 tầng, 1 tum, có hầm rộngĐi vài bước chân ra đến Lotte và công viên 20ha Chuyên viên tư vấn Vân Trang: 0907 023 *** ",150 m²,44.5 tỷ,,,3 tầng,,,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,35986803,batdongsan_com_vn_35986803,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bách Khoa', 'Phố Bạch Mai']","
Trung tâm quận Hai Bà Trưng - mới koong - gần phố - ngõ thông.Mô tả:+ Nhà mới tinh, xây bằng vật liệu rất chất lượng, đẹp hơn khách sạn 5 sao, ở cực sướng.+ Nhà mặt ngõ thông sang ngõ 36 Lê Thanh Nghị.+ Trung tâm quận Hai Bà Trưng, gần phố, gần ô tô đỗ.+ Trung tâm thương mại, Hồ Gươm, chợ Mơ, trường cấp 1,2,3, ĐH Bách Khoa, Xây Dựng, Kinh Tế Quốc Dân, công viên Thống Nhất, Bệnh viện Bạch Mai, Thanh Nhàn nằm trong bán kính 1km, tiện ích nhiều vô kể, bạt ngàn dịch vụ, khu vực an ninh tốt.Thiết kế:+ Tầng 1: Sân để xe, phòng khách, phòng ăn, bếp, WC.+ Tầng 1: Phòng khách, phòng bếp, WC.+ Tầng 2: 2 phòng ngủ, WC.+ Tầng 3: 2 phòng ngủ, WC.+ Tầng 4: 2 phòng ngủ, WC.+ Tầng 5: Phòng thờ, sân phơi.Pháp lý: Sổ nở hậu, pháp lý rõ ràng.Giá 5.5 tỷ.            ",64 m²,5.5 tỷ,3.3 m,3 m,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,35573699,batdongsan_com_vn_35573699,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án Usilk City']","
Gia đình giảm giá, bán lỗ tiền tỷ để bán nhanh, cực gấp trong ngày, CHCC có 3PN cao cấp. Căn góc, có sân vườn, thiết kế hiện đại, đẳng cấp, theo phong cách Châu Âu bậc nhất so với các tòa lân cận trên trục đường Lê Văn Lương. Nhà mình bán giá cắt lỗ, nên đang có nhiều khách quan tâm. Vì vậy mình ưu tiên khách thiện chí chốt sớm. Căn hộ chung cư mang đậm phong cách Châu Âu, được thiết kế, bố trí khoa học, vuông vắn, đẹp, hiện đại, nhẹ nhàng, thanh lịch, có logia sân vườn, thông thoáng, đảm bảo 100% tất cả các phòng đều được đón gió và ánh sáng tự nhiên, phù hợp với gia đình cần không gian thoáng đãng, tràn ngập ánh sáng, ở lâu dài.Đặc biệt nhà mình căn góc, các phòng đều đón ánh sáng và gió trực tiếp, phòng khách vuông, rộng, thoáng, mát, có logia sân vườn, tạo cảm giác lên thơ và đáng sống sau một ngày làm việc vất vả, rất phù hợp với các bạn trẻ ưu cuộc sống năng động, sáng tạo, cần không gian thư giãn sau ngày làm việc căng thẳng.Nội thất nhà mình thuê thiết kế hoàn thiện đồng bộ, rất cẩn thận, hết 500 triệu, mục đích để ở, nên đã đi lại đường điện, nước, chống thấm nhà vệ sinh rất cẩn thận, nhà có. Sàn gỗ các phòng, trần thạch cao giật cấp, hệ thống đèn led, trang trí, 3 điều hòa, 2 nóng lạnh, tủ bếp có bếp hút mùi, 2 tủ âm tường, 2 giường, tủ giày, sofa, bộ bàn ăn, rèm cửa, lưới an toàn, thiết bị vệ sinh cao cấp có vách kính, chậu tắm cao cấp, cửa sổ là cửa kính window nhập khẩu, cách âm tốt không nghe thấy gì khi đóng cửa... Nội thất mới cứng 100%, nhà đang đóng cửa để không gia chủ về ở luôn để chuyển bị đón tết.Giá: 2.65 tỷ. Giá trên mình chỉ bán gấp trong tuần.Rất hân hạnh được đón tiếp và có thương lượng với khách thiện chí mua. Miễn trung gian, quảng cáo và khách không có nhu cầu gọi làm phiền.Liên hệ chủ nhà: C. Loan: 0349 442 *** ",117 m²,2.65 tỷ,,,,3 phòng,2 phòng,,,29/11/2022,06/12/2022,Tin thường,35986801,batdongsan_com_vn_35986801,
