address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Số phòng ngủ,Đường vào,Số toilet,Nội thất
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Phố Đỗ Nhuận']","
Quá rẻ! Bán đất phân lô - KĐT Ngoại Giao Đoàn - oto tránh vỉa hè 3m - kinh doanh - văn phòng cạnh DSQ Hàn Quốc.+ Vị trí đắc địa, khu phân lô VIP, gần công viên Hoà Bình và ĐSQ Hàn Quốc kinh doanh văn phòng quá tuyệt vời.+ Giao thông thuận tiện di chuyển: Nguyễn Xuân Khoát, Hoàng Minh Thảo, Xuân La, Phạm Văn Đồng. Sân Bay...+ DT 112m². Mặt tiền 8.3m.+ Phù hợp khách mua xây văn phòng kinh doanh hoặc xây biệt thự.+ Gia chủ là cán bộ cấp cao làm ăn phát lộc, bán đi mua biệt thự để ở, chủ mới nhờ lộc làm ăn phát tài.+ Nhà mình nằm trước khách sạn Frases Residence, tiện ích xung quanh ngập tràn, khu vực đang phát triển từng ngày.+ Sổ đỏ chính chủ, pháp lý chuẩn.Giá: 19 tỷ 900tr.Xem nhà và làm việc Chính chủ LH: 0917 158 ***Gọi ngay trước khi tôi bán xong.Miễn TG MG QC.            ",112 m²,19.9 tỷ,8.3 m,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35859808,batdongsan_com_vn_35859808,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Đường Đình Thôn']","
Toà CCMN Mỹ Đình - 10 tầng lô góc - thang máy - 30 phòng mặt ngõ - kinh doanh - ô tô - gà đẻ trứng vàng - tháng thu hơn 200 triệu.Mô tả.+ DTSD 100m2x10T. Mặt tiền 6.2m nở hậu cực đẹp. Có đầy đủ GPXD và PCCC.+ Tòa nhà có vị trí đẹp, lô góc, thông các ngả, Phạm Hùng, Thiên Hiền, Đình Thôn... Ô tô quay đầu, đi lại thuận tiện.* Khu vực cực kỳ phát triển, lượng người thuê đông đảo. Phòng luôn cháy. Khu vực nhiều người Hàn Quốc và các nước. Phòng cho người nước ngoài như nhà mình bán quanh khu vực tầm 7 triệu/phòng/tháng.+ Toà nhà 10 tầng: Gồm 30 phòng đầy đủ nội thất đang cho thuê kín.+ Dòng tiền hơn 200tr/th ~ 2,5 tỷ/năm. Hơn 10 năm là x2 tài sản.* Nhà xây tâm huyết, đẹp.Giá: 28,6 tỷ (CTL mạnh cho khách thiện chí).Xem nhà và làm việc Chính chủ: 0917 158 ***Gọi ngay trước khi tôi bán xong.Miễn tg mg qc.            ",100 m²,28.6 tỷ,6.2 m,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35620728,batdongsan_com_vn_35620728,10 tầng,30 phòng,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Xuân La']","
CCMN Xuân La - siêu hiếm - gara ô tô - lô góc - 3 thoáng - thang máy - dòng tiền 1 tỷ/năm - giáp đh nội vụ - máy in tiền hiệu suất cao.1. Lợi ích và sự khác biệt+ Nhà khu Phân lô. LÔ góc, 3 thoáng, dòng tiền 90 triệu/ tháng, xây kiên cố 7 tầng, một tum, tối ưu công năng sử dụng, các phòng sáng thoáng.+ DTSD 125 m2x 8 tầng. Mặt tiền 5m. Có thang máy.+ Khu vực nhiều Sinh viên và người đi làm ở, luôn full phòng, dòng tiền ổn định + Trước nhà 2 xe 7 chỗ tránh nhau, oto đậu đỗ ngày đêm, một căn duy nhất+ Thiết kế tổng 18 phòng cho thuê, có đầy đủ GPXD, PCCC+ Sổ đỏ chính chủ, pháp lý chuẩn.Giao dịch nhanh2. Vị trí và giá:+ Giá: 25 tỷ 500 (CTL).+ Ngõ 38 Xuân LaXem nhà 24/7 làm việc Chính Chủ: 0917 158 ***Gọi ngay trước khi tôi bán xong.Miễn Tg mg qc.            ",125 m²,25.5 tỷ,5 m,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35793222,batdongsan_com_vn_35793222,8 tầng,,,,
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Phố Linh Lang']","
Bán khách sạn 3* mặt phố Linh Lang - Ba Đình 250m2x9 tầng - mặt tiền 12m - 47 phòng - DT 5 tỷ/năm.Mô tả.+ Hợp Đồng 10 năm đã cho thuê được 3 năm.+ Tổng 47 Phòng, có hồ bơi ngoài trời, có Phòng Massage xông hơi.+ Khách sạn nằm tại con Phố Vip nhất Quận Ba Đình, nhiều khách nước, xung nhiều vô vàn các dịch vụ kèm theo.+ Gần trung tâm thương mại, Bệnh viện, Khu văn phòng. Ngân Hàng, Tài Chính như nấm xung quanh. PHỐ Linh Lang được ví như Phố Wall của Hà Nội.+ Pháp lý chuẩn mực. Sổ đỏ chính chủ, giao dịch nhanh.Giá: 110 tỷ. (CTL).Xem nhà và làm việc Chính chủ LH: 0917 158 ***Gọi ngay trước khi tôi bán xong.Miễn TG MG QC.            ",250 m²,110 tỷ,,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35881647,batdongsan_com_vn_35881647,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Võ Chí Công', 'Ngõ 123']","
Nhà đẹp Võ Chí Công 7 tầng thang máy sổ đỏ 65m² chính chủ - kinh doanh tốt - giá 8,5 tỷ.(150m ra mặt phố, Vinmart, Lotte, Hồ Tây. Khu vực hiếm nhà bán).1) Lợi ích, khác biệt:+ Sổ đỏ chính chủ, 65m² x 7T, mặt tiền gần 5m, phù hợp ở và làm văn phòng.+ Vị trí cực đẹp, tiện ích ngập tràn quanh nhà, gần trường chợ, kinh doanh tốt.+ Nhà chủ tự xây cực chắc chắn mới 5 - 6 năm, hiện chủ làm ăn tốt đã chuyển nhà mới, khách mua thêm thùng sơn là như mới.+ 100m ra Lotte Cimnema, Vinmart, Phòng khám Medlatec, bệnh viện Tim Hà Nội.+ 200m ra trường mầm non, cấp 1,2 Xuân La.Thiết kế:+ Tầng 1 thông sàn để xe, phòng ăn.+ Tầng 2 phòng khách rộng sang trọng.+ Tầng 3 và 5 với 4 phòng ngủ, vệ sinh.+ Tầng 4 thiết kế phòng ngủ rộng, đẹp lộng lẫy như khách sạn 5 sao.+ Tầng 6 phòng thờ và không gian đọc sách.+ Tầng 7 sân phơi rộng.+ Chủ là doanh nghiệp thành đạt, nay không có nhu cầu ở nên bán.+ Sổ đỏ vuông đẹp sẵn sàng giao dịch luôn.+ Đường Võ Chí Công cửa ngõ thủ đô 25 phút ra sân bay, 15 phút vào phố cổ, đi đâu cũng tiện.+ Khu vực đường xá hạ tầng rất tốt, không kẹt xe, ngập lụt.+ Ngân hàng cho vay 70%.2) vị trí và giá bán.+ Ngõ 123 Võ Chí Công.+ Giá bán: 8 tỷ 500 (CTL cho khách thiện chí).Gặp chủ nhà gọi ngay: 0917 158 ***Gọi ngay trước khi tôi bán xong.(Miễn trung gian môi giới QC).            ",65 m²,8.5 tỷ,,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,33594680,batdongsan_com_vn_33594680,7 tầng,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'Đường Trích Sài']","
Hiếm! Bán nhà Trích Sài 45m2x5 tầng - lô góc - 10m ra Hồ Tây lộng gió - trước nhà ô tô tránh - ở sướng - an sinh đỉnh.+ Vị trí đắc địa, cách mặt Hồ Tây chỉ 10m, ngõ đẹp, dân trí cao, an sinh cực đỉnh.+ Tiện ích xung quanh trường, chợ, bệnh viện không thiếu thứ gì.+ Nhà thiết kế 5 tầng, cầu thang giữa, mỗi tầng 2 phòng, tổng 6 phòng ngủ.+ Chủ đang cho thuê nhẹ nhàng 240 triệu/ năm.+ Phù hợp khách mua để ở. Làm văn phòng cty. Cửa hàng hoặc đầu tư giữ tiền.+ Sổ đỏ, pháp lý chuẩn sẵn sàng giao dịch ngay.+ Giá: 11 tỷ 800 (có TL).Xem nhà miễn phí & làm việc chính chủ: 0917 158 ***Miễn TG MG QC.            ",45 m²,11.8 tỷ,,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35921896,batdongsan_com_vn_35921896,5 tầng,6 phòng,,,
"['Hà Nội', 'Tây Hồ', 'Phường Quảng An', 'Đường Đặng Thai Mai']","
Đặng Thai Mai - phố Tây - 7 tầng 81m² thang máy - full nội thất - ô tô tránh - kinh doanh.Thiết kế:+ Tầng 1: Sân + gara + kho + khe thoáng.+ Tầng 2.3.4 mỗi tầng 2 phòng ngủ hoàn thiện full nội thất.+ Tầng 5: 1 phòng ngủ + phòng tắm xông hơi.+ Tầng 6: Phòng khách + phòng bếp.+ Tầng 7: Tum sân phơi.* Khu vực vip Quận Tây Hồ ngay sát khách sạn 5* Elegant, Đại sứ Quán Kazakhstan, Khách sạn Tây Hồ tập trung đông dân cư, khách nước ngoài sinh sống, làm việc.+ Phù hợp vừa ở vừa kinh doanh văn phòng, phòng khám, spa, cho khách nước ngoài thuê...+ Đường trước nhà ô tô tránh, ô tô vào nhà thông thoáng, bãi xe cách nhà 50m.+ Sổ đỏ chính chủ sẵn sàng giao dịch.Giá: 17 tỷ (CTL).Xem nhà 24/7 làm việc chính chủ: 0917 158 ***Miễn TG MG Qc.            ",81 m²,17 tỷ,,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35922144,batdongsan_com_vn_35922144,7 tầng,7 phòng,,,
"['Hà Nội.', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh']","
Quá rẻ! Bán đất phân lô - KDT Ngoại Giao Đoàn - ô tô tránh vỉa hè 3m - kinh doanh - văn phòng cạnh DSQ Hàn Quốc.1. Lợi ích và sự khác biệt:+ Vị trí đắc địa, khu phân lô vip, gần công viên Hoà Bình và ĐSQ Hàn Quốc kinh doanh văn phòng quá tuyệt vời.+ Giao thông thuận tiện di chuyển: Nguyễn Xuân Khoát, Hoàng Minh Thảo, Xuân La, Phạm Văn Đồng. Sân Bay...+ DTSD 112m². Mặt tiền 8.3m.+ Phù hợp khách mua xây văn phòng kinh doanh hoặc xây biệt thự, căn hộ cho thuê.+ Gia chủ là cán bộ cấp cao làm ăn phát lộc, bán đi mua biệt thự để ở, chủ mới nhờ lộc làm ăn phát tài.+ Nhà mình nằm trước khách sạn Frases Residence, tiện ích xung quanh ngập tràn, khu vực đang phát triển từng ngày.+ Hưởng trọn tiện ích các khu chung cư gần đó.+ Tài sản không tranh chấp, ko dính quy hoạch, pháp lý chuẩn, giao dịch nhanh.+ Sổ đỏ chính chủ, cất két sang tên luôn.2. Vị trí và giá.Giá: 19 tỷ 900.Xem nhà và làm việc Chính chủ LH: 0917 158 ***Gọi ngay trước khi tôi bán xong.Miễn TG MG Qc.            ",112 m²,19.9 tỷ,,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35838418,batdongsan_com_vn_35838418,,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Hữu Hòa', 'Đường Hữu Lê']","
Trung tâm quận - Thanh Trì - lô góc 3 thoáng - ngõ rộng - gần phố - gần ô tô - tiện ích bạt ngàn - 39m². 3 tầng. Giá chào 2.8 tỷ.+ Nhà rất đẹp, Hữu Lê rất rộng, vài bước ra phố, trường, chợ sát nhà. Tiện ích bạt ngàn. Trước nhà xe ba gác tránh nhau giao thông đi lại thuận tiện.+ Thiết kế:- Tầng 1: Phòng khách + bếp + WC.- Tầng 2: 2 ngủ + WC.- Tầng 3: Phòng thờ + sân phơi.+ Sổ đỏ vuông vắn.- LH Mr Trọng 0971 898 ***. Để xem nhà miễn phí.            ",39 m²,2.8 tỷ,4 m,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35986565,batdongsan_com_vn_35986565,3 tầng,2 phòng,6 m,2 phòng,Đầy đủ.
"['Hà Nội', 'Đống Đa', 'Phường Trung Tự', 'Đường Phạm Ngọc Thạch']","
Bán nhà riêng sát Phố Phạm Ngọc Thạch ô tô đỗ cổng ngày đêm 48m x 5 tầng full nội thất ở luôn chỉ 5.5 tỷ 0355 823 ***- Phố Phạm Ngọc Thạch nối liền với Tôn Thất Tùng, Xã Đàn, Chùa Bộc, Thái Hà, Đặng Văn Ngữ...- Vị trí cách mặt phố vỉa hè ô tô dừng đỗ chưa đầy 10m, gần vincom Phạm Ngọc Thạch, Bệnh viện đại học Y Hà Nội, Đại học Thủy Lợi, Công Đoàn... Gần hồ Xã Đàn.- Nhà 5 tầng thiết kế đầy đủ công năng sử dụng, có nhiều phòng ngủ, phù hợp gia đình sống nhiều thế hệ.- Sổ đỏ chính chủ.- Giá chỉ 5.5 tỷ thương lượng.- Liên hệ trực tiếp anh Bắc 0355 823 *** ",48 m²,5.5 tỷ,,,29/11/2022,06/12/2022,Tin thường,35795206,batdongsan_com_vn_35795206,,,,,
