address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Số tầng,Mặt tiền
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Bồ Đề', 'Ngõ 219']","
Bán nhà nhỏ đổi nhà to. Chủ cần bán ngay căn nhà 5 tầng xây tâm huyết. Chỉ xách valy về ở ngay.Mô tả:- Vị trí: Bồ Đề, ngõ thẳng thông đường Hồng Tiến. Nhà rất gần Hồ Bồ Đề.- Thiết kế 5 tầng, 4 phòng ngủ.- Diện tích 45m2- Sổ nở hậu nhẹ. Chính chủ, pháp lý chuẩn. Giá 3.6 tỷ.- Giao thông thuận lợi, vài phút vào trung tâm Hà Nội. Kết nối các phố Ái Mộ, Hồng Tiên, Lâm Hạ... 3 bước là ra BV Tâm Anh, trường quốc tế Well....LH: E Phương 0856 333 ***Chuyên mua - bán - kí gửi thổ cư - biệt thự - đất nền quận Long Biên.            ",45 m²,3.6 tỷ,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35800035,batdongsan_com_vn_35800035,,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Đường Nguyễn Chí Thanh', '8B']","
Chính chủ - bán chung cư 8B Nguyễn Chí Thanh - Đại Học Ngoại Thương - Học viện Ngoại Giao - Đống Đa. Full nội thất, ở ngay.Liên hệ chủ đầu tư Mr Chượng: 0962 963 ***Nhận bàn giao căn hộ luôn - căn hộ rất thoáng sáng.Ô tô đỗ trước cửa chung cư.Giá bán: 599tr - 755tr - 860tr - 900tr - 1,1 tỷ.Diện tích: 35m - 47m - 48m - 49m - 55m - 58m².Nội thất: Sàn gỗ, tủ bếp, trần thạch cao, thiết bị vệ sinh, bình nóng lạnh, đèn Led.Tòa nhà thiết kế tầng 1 để xe, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.Tôi là chủ: 0962 963 ***Liên hệ trực tiếp chủ đầu tư để mua nhà giá gốc - add Zalo để nhận video căn hộ.            ",35 m²,750 triệu,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35493913,batdongsan_com_vn_35493913,,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Xuân Phương', 'Dự án CT2 Xuân Phương']","
Do dùng không dùng đến 1 căn bên chung cư Xuân Phương Quốc Hội.Cần bán gấp căn 156m².Nhà mới sửa full nội thất gắn tường.Giá 4,1 tỷ bao phí có thương lượng.LH 0911 159 *** ",156 m²,4.1 tỷ,,29/11/2022,06/12/2022,Tin thường,35919892,batdongsan_com_vn_35919892,Tây - Nam,Đông - Bắc,4 phòng,3 phòng,Full nội thất gắn tường.,,
"['Hà Nội', 'Long Biên', 'Phường Gia Thụy', 'Đường Nguyễn Văn Cừ']","
Đất có lộc - Nhà vượng khí. Chủ nhà làm ăn phát đạt bán nhà nhỏ đổi nhà to.- Nhà chủ tự xây khoảng 5 - 7 năm. Cẩn thận và tâm huyết.- Vị trí đẹp, gần phố, ngõ rộng, vài bước ra ô tô tránh.- Khu vực dân trí cao, an ninh tốt, tương lai hàng xóm Vin Group.- Sổ phân lô sang tên ngay.ACE quan tâm liên hệ Em Phương 0856 333 *** để được hỗ trợ và tư vấn xem nhà hoàn tòan miễn phí.(Cam kết khách xem ưng nhà, ưng vị trí ngay lần đâu tiên).            ",48 m²,3.85 tỷ,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35635631,batdongsan_com_vn_35635631,,,4 phòng,,,5 tầng,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Phố Khương Hạ']","
Bán nhà Khương Hạ - Thanh Xuân - nhà mới ở luôn - full nội thất - công năng tuyệt vời - 48 m² - thiết kế 4 ngủ giá nhỉnh 4 tỷ.Mô tả:Tuyệt phẩm ngõ rộng, thoáng, gần hồ, khu vực dân trí cao, ăn sinh đẳng cấp.            ",48 m²,4.59 tỷ,,29/11/2022,07/12/2022,Tin thường,35570255,batdongsan_com_vn_35570255,,,4 phòng,,,,
"['Hà Nội', 'Long Biên', 'Phường Ngọc Lâm', 'Đường Ngọc Lâm', 'Ngõ 289']","
- Nhà tại vị trí rất đẹp, vài chục m ra mặt phố ngã tư Hồng Tiến - Nguyễn Văn Cừ.- Chủ xây chắc chắn tỉ mỉ.- Giao thông thuận tiện ra Nguyễn Văn Cừ, Hồng Tiến, Hoàng Như Tiếp, Ái Mộ, Bồ Đề... Rất tiện.- Sổ đỏ chính chủ.ACE quan tâm liên hệ Em Phương 0856 333 *** để được hỗ trợ và tư vấn xem nhà hoàn tòan miễn phí.(Cam kết khách xem ưng nhà, ưng vị trí ngay lần đầu tiên).            ",45 m²,3.6 tỷ,Sổ đỏ.,29/11/2022,06/12/2022,Tin thường,35636784,batdongsan_com_vn_35636784,,,,,,4 tầng,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Chính chủ cần chuyển nhượng căn 53m² tòa S1.03 chung cư Vinhomes Smart City.- Tầng cao.- Cửa: Đông Nam - ban công: Tây Bắc.- View nội khu cực đẹp.- Nhà đã sắm đầy đủ nội thất và đang cho thuê.- Giá chuyển nhượng: 2.1 tỷ.Liên hệ xem nhà miễn phí: Đặng Hải 0986 668 *** ",53 m²,2.1 tỷ,Sổ đỏ/ Sổ hồng.,28/11/2022,08/12/2022,Tin thường,35975018,batdongsan_com_vn_35975018,Đông - Nam,Tây - Bắc,2 phòng,1 phòng,Đầy đủ nội thất.,,
"['Hà Nội', 'Long Biên', 'Phường Ngọc Lâm', 'Đường Ngọc Lâm', 'Ngõ 66']","
Chủ nhiều nhà quản lý không xuể bán bớt.Mô tả:- Vị trí đắc địa, 3 bước ra ô tô, ngay đầu phố, gần cầu Long Biên, Chương Dương.- Diện tích 48m².- Thiết kế 4 tầng: Đủ công năng.- Sổ nở hậu nhẹ. Chính chủ, pháp lý chuẩn. Giá 3.75 tỷ.- Giao thông thuận lợi, vài phút vào trung tâm Hà Nội. Kết nối các phố Nguyễn Văn Cừ, Bồ Đề, Ái Mộ, Hồng Tiên, Lâm Hạ...LH: E Phương 0856 333 ***Chuyên mua - bán - kí gửi thổ cư - biệt thự - đất nền quận Long Biên.            ",48 m²,3.75 tỷ,Sổ đỏ.,29/11/2022,06/12/2022,Tin thường,35636123,batdongsan_com_vn_35636123,,,,,,4 tầng,
"['Hà Nội', 'Long Biên', 'Phường Ngọc Lâm', 'Đường Ngọc Lâm', 'Ngõ 24']","
- Vị trí đẹp, ngõ thông, cách mặt phố Ngọc Lâm 50m.- Nhà xây đủ công năng sử dụng.- Giao thông thuận tiện: Gần công viên, bên xe, chợ. Di chuyển Ngọc Lâm, Nguyễn Văn Cừ, Ngô Gia Tự, Hồng Tiến... Sang phố chỉ 10p.- Sổ đỏ đẹp chính chủ.ACE quan tâm liên hệ Em Phương 0856 333 *** để được hỗ trợ và tư vấn xem nhà hoàn toàn miễn phí.(Cam kết khách xem ưng nhà, ưng vị trí ngay lần đầu tiên).            ",55 m²,4.1 tỷ,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35636941,batdongsan_com_vn_35636941,,,,,,4 tầng,
"['Hà Nội', 'Long Biên', 'Phường Ngọc Lâm', 'Đường Ngọc Lâm']","
Chủ là cán bộ nông nghiệp về hưu cần bán chuyển về ở cùng con cháu.- Nhà ở vị trí trung tâm - 50m ra mặt phố.- Đường trước nhà rộng rãi, thông thoáng.- Giao thông thuận tiện chỉ 3p ra cầu Long Biên. Gần các tuyến phố ra Nguyễn Văn Cừ, Ngọc Thụy, Hồng Tiến, Bồ Đề, Hoàng Như Tiếp, Lâm Hạ, Ái Mộ...- Tiện ích không thiếu thứ gì.- Sổ đỏ chính chủ.- Vị trí đắc địa, 3 bước ra ô tô, ngay đầu phố, gần cầu Long Biên, Chương Dương, đi lại tiện lợi, hàng xóm Mipec, Ngọc Lâm khu phố cổ Long Biên. Tiện ích xung quanh bạt ngàn, an sinh đỉnh.LH: E Phương 0856 333 ***chuyên mua - bán - kí gửi thổ cư - biệt thự - đất nền quận Long Biên.            ",50 m²,4 tỷ,Sổ đỏ.,29/11/2022,06/12/2022,Tin thường,35635945,batdongsan_com_vn_35635945,,,,,,,
