address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Đường vào,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Hoàng Mai', 'Phường Tương Mai', 'Đường Trương Định']","
Nhà mới, ngõ 3 gác, diện tích xây dựng 40m² x 4T mặt tiền 4,6m.Thiết kế 4 tầng:T1: Phòng khách, bếp, để xe.T2,3: Phòng ngủ.T4: Phòng rộng đa chức năng.Sổ đỏ.            ",38 m²,4.9 tỷ,4.6 m,4 tầng,Sổ đỏ/ Sổ hồng,23/11/2022,03/12/2022,Tin thường,35927951,batdongsan_com_vn_35927951,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Tương Mai', 'Đường Nguyễn An Ninh']","
Nhà chủ xây chắc chắn, mua về ở luôn tầm giá thấp nhấp khu vục.Vị trí trung tâm gần các trường c1, c2, ĐH, mẫu giáo, bến xe, là con đường giao thông thuận lợi không tắc đường.Thiết kế 4 tầng đủ công năng:Tầng 1: Để xe, bếp, wc.Tầng 2,3: phòng ngủ + wc.Tầng 4: Sân phơi.Sổ đỏ chính chủ.            ",30 m²,3.55 tỷ,4 m,4 tầng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35884801,batdongsan_com_vn_35884801,2 phòng,3 phòng,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Mai Động', 'Đường Minh Khai']","
* Nhà mới trong ngõ thông, xe 3 gác đi thoải mái.* Vị trí thuận lợi nhiều tiện ích xung quanh, an ninh tốt, gần chợ, các trường học.* Thiết kế 4 tầng:- T1: Phòng khách, bếp.- T2,3: mỗi tầng 2 phòng ngủ, 1 wc.- T4: Phòng thờ, sân phơi.* Tay vịn cầu thang + tủ bếp gỗ sồi Nga, cửa thông phòng gỗ lim Nam Phi.* Có sổ đỏ đầy đủ.            ",41 m²,3.85 tỷ,,4 tầng,Sổ đỏ,24/11/2022,01/12/2022,Tin thường,35940867,batdongsan_com_vn_35940867,4 phòng,,,,,
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn']","
- Bán nhà dân xây chắc chắn, đầy đủ công năng Thạch Bàn, Long Biên. Nhà cũ còn mới, gia đình đang vẫn đang ở, nhiều lộc muốn mua nhà to hơn, 7m ra đường ô tô tránh, dừng đỗ. Ngõ 3 gác tránh xe SH, nông, thẳng, thoáng 4 bên, thông ra ngõ 537 Bát Khối, cách 300m ra Chợ Thạch Bàn và trường học Cấp 1, 2 Thạch Bàn. Khu vực an ninh tốt, hạ tầng đồng bộ, quy hoạch ổn định.- Sổ đỏ chính chủ.- Giá: 3.4 tỷ (Thiện chí thương lượng).- Liên hệ: Mr Tuấn 0936 165 ***Miễn TG, QC).            ",40 m²,3.4 tỷ,3.4 m,3 tầng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35914306,batdongsan_com_vn_35914306,3 phòng,2 phòng,3 m,,,
"['Hà Nội', 'Long Biên', 'Phường Long Biên', 'Đường Tư Đình']","
- Bán nhà dân xây chắc chắn phố Tư Đình, Long Biên. Ô tô đỗ cửa, vào nhà nếu muốn, nhà mới xây, chủ nhà thiết kế lệch tầng, hiện đại, đẹp. Ngõ thẳng, thoáng, đẹp, 40m ra đường ô tô tránh, cách Chợ Tư Đình khoảng 200m, khu vực an ninh tốt, hạ tầng đồng bộ, quy hoạch ổn định. Diện tích 45m mà nhìn như 50m.- Sổ đỏ chính chủ.- Giá: 4.7 tỷ (Thiện chí thương lượng).- Liên hệ: Mr Tuấn 0936 165 ***Miễn TG, QC).            ",45 m²,4.7 tỷ,3 m,5 tầng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35914391,batdongsan_com_vn_35914391,6 phòng,4 phòng,4 m,,,
"['Hà Nội', 'Quận Long Biên', 'Phường Đức Giang']","
- Bán nhà dân xây chắc chắn 2 thoáng trước sau Đức Giang, Long Biên. Gia đình mới xây được 1 - 2 năm, đang ở, còn mới 99%. Ngõ nông, thẳng, thoáng, 100m ra mặt phố Đức Giang, 10m ra đường ô tô tránh, dừng đỗ, 3 gác tránh xe SH. Khoảng 500m ra Chợ Đức Hòa và Trường cấp 1 Đức Giang. Khu vực an ninh tốt, hạ tầng đồng bộ, quy hoạch ổn định.- Sổ đỏ chính chủ.- Giá: 3.3 tỷ (Thiện chí thương lượng).- Liên hệ: Mr Tuấn 0936 165 ***Miễn TG, QC).            ",45 m²,3.3 tỷ,4 m,3 tầng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35914886,batdongsan_com_vn_35914886,3 phòng,3 phòng,3 m,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Đường Khương Đình']","
Hình ảnh thông tin thật.+ Chủ nhà cần bán gấp để luân chuyển công tác vào Nam.+ Vị trí đẹp, rất gần mặt phố. Cách Ngã Tư Sở chỉ hơn 1km.+ Đường trước nhà ba gác tránh xe máy thoải mái.+ Khu vực dân trí cao, an ninh tốt, an sinh tuyệt vời. Gần hồ, gần chợ, trường học, TTTM,...+ Nhà xây cực tâm huyết, nội thất thiết bị toàn hàng xịn sò. Chủ mới về ở luôn đón Tết.+ Thiết kế cầu thang giữa, mỗi tầng 2 phòng. Tổng 5 ngủ.+ Sổ đỏ phân lô, pháp lý rõ ràng.Liên hệ xem nhà: 0965 566 *** - Thành Đạt.            ",50 m²,6.8 tỷ,,,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35986231,batdongsan_com_vn_35986231,5 phòng,,,Đầy đủ,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Đường Hoàng Quốc Việt']","
+ Vị trí siêu đỉnh ở Hoàng Quốc Việt, Quận Cầu Giấy, nối liền các tuyến phố như: Phạm Tuấn Tài, Trần Cung, Phạm Văn Đồng, Mỹ Đình, Cầu Giấy đi lại vô cùng thuận tiện.+ Nhà 50m², nhà hiếm trong khu vực, thuộc khu phân lô cán bộ, ô tô chạy vòng quanh nhà, khách về ở hoặc làm văn phòng rất hợp.+ Nhà xây khung cột bê tông chắc chắn, thiết kế hợp lý, công năng, tiện ích đầy đủ.+ Chủ nhà Anh Tùng doanh nhân thành đạt, nhiều nhà quản lý không hết nên cần bán bớt.+ Pháp lý chuẩn, giao dịch luôn+ Giá 9.2 tỷ, có thương lượng+ Liên hệ: Em Hương 0862 566 *** chuyên nhà đẹp Cầu Giấy.            ",50 m²,9.2 tỷ,,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35736425,batdongsan_com_vn_35736425,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Tương Mai', 'Đường Nguyễn Đức Cảnh', 'Dự án Momota Nguyễn Đức Cảnh']","
- Do chuyển về gia lâm cùng gia đình và tiện gần bố mẹ, tiện con cái học hành, gia đình cần bán căn hộ Rất đẹp, gia đình vẫn đang ở, view Thành Phố, rất thoáng. 2 ban công, bếp, phòng khách.- Mật độ dân cư chỉ 16/ sàn, 5 thang máy missu, đi lại rất thuận tiện, 2 tầng hầm để xe miễn phí cho cư dân.- 4 Tầng trung tâm thương mại, vườn hoa, tầng 1 đầy đủ các dịch vụ như gym, siêu thị, spa, phục vụ khu dân cư.- Sổ đỏ chính chủ, gia đình cần bán gấp, giá có thương lượng, mong tiếp người thiện chí.- Để lại toàn bộ nội thất, bao phí sang tên sổ sách, LH Hoàng Hải để xem nhà miễn phí.            ",87 m²,2.55 tỷ,,,Sổ đỏ.,29/11/2022,06/12/2022,Tin thường,35986226,batdongsan_com_vn_35986226,2 phòng,2 phòng,,Đầy đủ.,,
"['Hà Nội', 'Long Biên', 'Phường Bồ Đề', 'Đường Nguyễn Văn Cừ', '390', 'Berriver Long Biên']","
Hiện tại Đơn vị CĐT chúng tôi bắt đầu mở bán mặt bằng các căn Shop chân đế tòa N02, N04, N05 Chung cư Berriver Jardin phố Nguyễn Văn Cừ Quận Long Biên, vỉa hè rộng.* Diện tích: 80.3m², 90.8m², 107.3m², 132m², 185m²,272m², 335m², 428m², 600m².* Dự án thuộc khu trung tâm quận Long Biên, Vị trí rất đẹp để mở Siêu thị, Nhà hàng, Quán Coffee hay Shop thời trang, Ngân hàng, Spa Nằm trong quần thể 5 tòa cao 20 và 25 tầng, gần trường quốc tế Wellspring, Bệnh viện Tâm Anh, trường học các cấp 200m thông ra Chung cư PHC 158 Nguyễn Sơn, Hoàng Như Tiếp.Với rất nhiều chính sách hỗ trợ các tổ chức, cá nhân doanh nghiệp hợp tác:+ Tặng chuyến du lịch Châu Âu cho 2 người trị giá 120tr khi mua Shop tầng 1.+ Tặng chuyến du lịch Dubai cho 2 người trị gái 60tr khi mua Shop tầng 2.+ Chiết khấu ngay 5% khi thanh toán sớm 95% GTCH.+ Chiết khấu ngay 4% khi thanh toán theo tiến độ thông thường.+ Ngân hàng hỗ trợ vay 70% GTCH, lãi suất 0% trong 12 tháng.+ Tặng ngay 18 tháng phí quản lý dịch vụ tòa nhà.+ Cùng nhiều quà tặng hấp dẫn khác cho khách đến thăm quan trực tiếp.- Giá dao động tùy vị trí và tầng: Từ 55tr/m² 220tr/m².- Thuận tiện di chuyển: Chỉ 5 phút sang phố cổ, khu trung tâm đưa đón khách du lịch trong và ngoài nước.Vị trí: 390 Nguyễn Văn Cừ, Phường Bồ Đề, Quận Long Biên, Hà Nội.Hotline PKD CĐT: Ms Huyền 0888 302 ***/ Mr Hòa 0374 562 ***Nhận báo giá: Zalo. Me/ 0888 302 ***.            ",80 m²,4.4 tỷ,,,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35798881,batdongsan_com_vn_35798881,1 phòng,1 phòng,,,,
