address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Pháp lý,Nội thất,Mặt tiền,Đường vào
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Lạc Long Quân']","
Oto tránh - nội thất lung linh - kinh doanh siêu đỉnh.Nhà nằm trên mặt đường thông Lạc Long Quân qua Võ Chí Công - 300m ra tới Hồ Tây lộng gió.Sau nhà có khoảng không, phòng nào cũng có cửa sổ, thoáng mát cả ngày. Tầng 1 chủ đang mở tạp hoá to nhất phố.Thiết kế:Tầng 1: Kinh doanh (gara oto), Wc.Tầng 2: Phòng khách, bếp.Tầng 3,4,5,6: Phòng ngủ, phòng thờ, sân phơi.Liên hệ: 0971 299 *** ",60 m²,13 tỷ,6 tầng,4 phòng,5 phòng,25/11/2022,02/12/2022,Tin thường,35534548,batdongsan_com_vn_35534548,,,,,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường Đông Dư', 'Dự án The Zenpark']","
Hot! Duy nhất tại Vinhomes Ocean.Căn 1PN + 1 phân khu cao cấp The Zenpark.Căn R1.02xx03.- Diện tích rộng nhất 58.4m² khu + 1 có thể thiết kế thành 1 phòng ngủ.- View hồ cá Koi.- Ban công Đông Bắc.- Giá thanh toán theo tiến độ chỉ 2ty1xx.* Chính sách siêu ưu đãi chỉ áp dụng cho phân khu The Zenpark.- Trả trước từ 30% - nhận nhà ngay.- Hỗ trợ vay 70% miễn trả gốc và lãi suất tới 12/2023.- CK 18.5% khi thanh toán bằng vốn tự có..* Quà tặng.- Tặng Voucher mua xe Vinfast trị giá lên đến150 - 200 triệu.- Tặng gói Smarthomes Gold khi nhận nhà.* Ưu điểm phân khu cao cấp Zenpark:Phân khu duy nhất có slot oto.- Bàn giao nội thất liền tường nhập khẩu cao cấp: Full sàn gỗ, tủ bếp trên, tủ bếp dưới, bếp điện từ, máy hút mùi, điều hoà âm trần, thiết bị vệ sinh đầy đủ, nhà tắm có vách kính kính, tủ quần áo,...- Nội khu đẳng cấp với vườn Nhật, hồ cá Koi, cạnh bể bơi mái kính 4 mùa.- Sảnh lễ tân.- Đặc quyền sử dụng miễn phí phòng tập gym, BBQ, bể bơi 4 mùa cùng nhiều tiện ích 5* khác.* Quyền lợi và cam kết khi khách hàng làm việc với em Chi 0977 965 ***.1. Tất cả các căn hộ đều mua trực tiếp từ giá gốc chủ đầu tư.2. Được hỗ trợ tận tình từ khi xem dự án, nhà mẫu đến khi đặt cọc mua nhà, nhận bàn giao, làm sổ đỏ, làm nội thất.3. Tất cả thông tin được cung cấp chính xác, nhanh chóng và đầy đủ nhất.- Bảng giá.- Chính sách, quà tặng siêu khủng cập nhật mới nhất.- Vị trí, thiết kế.- Dòng tiền thanh toán.            ",58.4 m²,2 tỷ,,1 phòng,1 phòng,29/11/2022,06/12/2022,Tin thường,35985560,batdongsan_com_vn_35985560,Tây - Nam,Đông - Bắc,Sổ đỏ/ Sổ hồng,Nội thất cao cấp chủ đầu tư.,,
"['Hà Nội', 'Ba Đình', 'Phường Đội Cấn', 'Đường Đội Cấn', '279']","
Diện tích xây dựng 50m² - mặt tiền 4,63m - nhà 7 tầng thang máy nhập khẩu.Giá: 12,7 tỷ.Vị trí gần công viên Bách Thảo, gần Lăng Bác. Chủ là người rất cẩn thận, nên từ bản thiết kế tới thi công đều rất tỉ mỉ. Nay chủ có điều kiện chuyển qua biệt thự ở nên cần bán. Mong muốn để lại cho chủ mới chút lộc, nên bán giá rất hợp lí.Thiết kế 7 tầng thang máy, gara oto, phòng ngủ khép kín.            ",50 m²,12.7 tỷ,7 tầng,4 phòng,4 phòng,25/11/2022,05/12/2022,Tin thường,35947118,batdongsan_com_vn_35947118,,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'Đường Thụy Khuê']","
Diện tích 65m² mặt tiền 5,5m.Giá: 17tỉ5.Nhà chủ thiết kế tầng 1 kinh doanh, các tầng trên để ở. Nhà chủ xây được 4 năm rất chắc chắn, cẩn thận.Tầng 1 kinh doanh mọi mặt hàng, cafe, quán ăn, quán nhậu... Thoải mái. 70m ra mặt Hồ Tây.            ",65 m²,17.5 tỷ,4 tầng,5 phòng,4 phòng,25/11/2022,05/12/2022,Tin thường,35947767,batdongsan_com_vn_35947767,,,,,5.5 m,
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'Đường Thụy Khuê']","
Ngõ trước nhà thông qua Trích Sài, ra hồ Tây rất gần.Chủ nhà mở rộng cty nên chuyển ra khu phân lô ở và làm văn phòng cho tiện nên muốn bán căn nhà tự xây tâm huyết.Thiết kế:+ Tầng 1: Phòng khách + phòng làm việc.+ Tầng 2 bếp + wc phòng chơi.+ Tầng 3, 4: 4 phòng ngủ.Tầng 5 là tum.Khách chỉ việc xách vali về ở.Lh: 0971 299 *** ",60 m²,6 tỷ,,4 phòng,4 phòng,25/11/2022,02/12/2022,Tin thường,34991488,batdongsan_com_vn_34991488,,,,,4.8 m,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Cầu Giấy']","
Mô tả:Diện tích 120m² mặt tiền 6,1m.Giá 19 tỉ...- Chung cư mini Cầu Giấy hội tụ đầy đủ các yếu tố khách săn tìm: Thang máy, dòng tiền cao, hai mặt thoáng, mặt tiền rộng, sổ vuông.Thiết kế:+ Tầng 1 thông sàn để xe thoải mái.+ Tầng 2 - 7: Mỗi tầng 5 phòng, cho thuê 5 triệu/ 1 tháng.- Tổng 30 phòng cao cấp khép kín, dòng tiền 150 triệu/ tháng.            ",120 m²,19 tỷ,7 tầng,30 phòng,30 phòng,25/11/2022,02/12/2022,Tin thường,35508420,batdongsan_com_vn_35508420,,,,,6.1 m,
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Đường Nguyễn Văn Lộc', 'Dự án Làng Việt Kiều Châu Âu Euroland']","
Bán biệt thự lô góc Nguyễn Văn Lộc, Mỗ Lao, Hà Đông. Diện tích 255m², mặt tiền đường 30m. Kinh doanh số 1 đường Nguyễn Văn Lộc.+ Biệt thự xây 3 tầng nội thất hiện đại theo phong cách Châu Âu. Nhà 8 phòng ngủ, 8 phòng vệ sinh, 1 phòng bếp, 1 phòng thờ.+ Nhà mặt phố kinh doanh đa dạng các mặt hàng: Trường học, nhà hàng, cafe, quán ăn, bia hơi, bệnh viện, phòng khám, nhà thuốc, spa, siêu thị, khách sạn, karaoke, bar...+ Giao thông thuận tiện nối Nguyễn Văn Lộc với các tuyến đường lân cận: Trần Phú, Tố Hữu, Quang Trung, Nguyễn Trãi, Nguyễn Khuyến, Nguyễn Xiển, An Hòa, Ao Sen...+ Liên hệ: Nguyễn Minh Anh 0969 950 *** để được tư vấn.            ",255 m²,32 tỷ,3 tầng,8 phòng,8 phòng,25/11/2022,02/12/2022,Tin thường,31286671,batdongsan_com_vn_31286671,Đông - Nam,Đông - Nam,Sổ đỏ chính chủ,Nội thất cơ bản,16 m,30 m
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Lê Quang Đạo', 'Dự án The Matrix One']","
Tôi chính chủ cần bán gấp căn hộ ở The Matrix One.Thiết kế 112m².3 ngủ 2 nhà vệ sinh.Cửa Tây tứ mệnh.Giá 6,35 tỷ.LH xem nhà 0961 899 *** ",112 m²,6.35 tỷ,,3 phòng,2 phòng,29/11/2022,06/12/2022,Tin thường,35985551,batdongsan_com_vn_35985551,,,Sổ đỏ/ Sổ hồng.,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Trung Văn', 'Đường Tố Hữu', 'Dự án MHD Trung Văn']","
Tôi muốn nhượng ngay căn hộ khách sạn ký hiệu CH16 tại Dự án MHD Trung văn 29 Tố Hữu.Thông tin căn hộ: Vị trí tầng trung view thoáng.DT 72m². Có thể thiết kế 2 - 3N, 2VS.Cửa: Tây Bắc.Logia: Đông Nam.Căn phòng ở hướng mát đón gió Đông Nam mát mẻ nhìn bể bơi.Khi mua mục đích để làm văn phòng nhưng do không có nhu cầu và cần tiền cho việc khác tôi nhượng lại.Giá nhượng: Thanh toán 1,8 tỷ. Có bớt cho ai làm việc nhanh gọn lẹ.Hiện tôi đã vào tiền 50%. Còn lại 50% nhận nhà thanh toán.Căn hộ bàn giao cuối 2022, bàn giao thô tự mình hoàn thiện nội thất.Hầm chui Lê Văn Lương đã hoàn thiện sử nên điều kiện giao thông khu vực cơ bản đã thuận lợi. DA vào giai đoạn bàn giao sẽ không có giá này.Hình thức căn hộ sở hữu 40 năm.Ký HĐ ủy quyền từ Chủ đầu tư.Liên hệ: 0878 547 *** ",72 m²,Thỏa thuận,,3 phòng,2 phòng,11/10/2022,09/01/2023,Tin thường,35444973,batdongsan_com_vn_35444973,Tây - Bắc,Đông - Nam,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Tứ Hiệp', 'Đường Quang Lai']","
Bán đất đấu giá Tứ Hiệp Thanh trì đầu tư siêu tốt.+ Đất thuộc khu đấu giá Tứ Hiệp - Ngũ Hiêp, sổ phân lô, ô tô tránh dừng đỗ ngày đêm, đường ô tô tránh, vỉa hè rộng.+ Diện tích 96,5m². MT 5,6m.+ Tiện ích: Nằm trong phần lõi huyện Thanh Trì. Hàng xóm khu đô thị Tecco.+ Nằm trung tâm huyện, trường học, bệnh viện, chợngập tràn tiện ích.+ Hiện trạng: Sổ đỏ chính chủ, sẵn sàng giao dịch.Liên hệ: Mr Tịnh 0936 039 *** ",95.6 m²,11.2 tỷ,,,,11/10/2022,09/01/2023,Tin thường,35448400,batdongsan_com_vn_35448400,,,Sổ đỏ/ Sổ hồng,,5.6 m,6 m
