address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số toilet,Pháp lý,Hướng nhà,Đường vào,Mặt tiền,Hướng ban công
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'đường Mỹ Đình']","
Bán nhà Mỹ Đình Lê Đức Thọ - 40m² Ngõ Ô tô nhỏ - 5 tầng 4.6 tỷ Nam Từ Liêm.Mô Tả:- Vị trí rất đẹp, ô tô matis nhỏ có thể lùi vào cửa được, ngõ thông khắp ngả, giao thông thuận tiện, tiện ích ngập tràn, trường học chợ dân sinh các hoạt động dịch vụ ngập tràn đi vài bước chân cái gì cũng có.Thiết Kế:+ Tầng 1: Để Xe + Phòng Khách + Bếp.+ Tầng 2 3 4: Mỗi Tầng 2 Phòng.+ Tầng 5: Phòng Giặt + Sân Phơi.Liên Hệ: Em Lê: 0862 828 *** ",40 m²,4.6 tỷ,5 tầng,6 phòng,Full,29/11/2022,06/12/2022,Tin thường,33778658,batdongsan_com_vn_33778658,,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Phố Cự Lộc']","
Bán căn hộ chung cư mini diện tích 53m², thiết kế: Phòng khách, bếp, 2 Ngủ, 2 wc. Ban công view Hồ Quan Nhân. Cửa sổ thoáng mát các phòng.+ Căn hộ tầng 8, toà nhà 11 tầng mặt hồ Quan Nhân, ngay ngã ba Cự Lộc giao Quan Nhân, Ô tô đỗ cửa toà nhà, thang máy êm ru.+ Vị trí trung tâm sát ngã Tư Sở, giao thông thuận lợi, tiện ích đầy đủ. Khu vực nhu cầu nhà ở rất cao. Toà nhà có tầng hầm để xe máy cho các hộ dân.+ Ban công hướng Nam thoáng mát.+ Pháp lý mua bán: Sổ đỏ chung cả toà nhà, mua bán CC vi bằng. Giá: 1,1 tỷ.Liên hệ: E Kiên để được tư vấn và xem nhà miễn phí.            ",53 m²,1.1 tỷ,,2 phòng,Nội thất đầy đủ,29/11/2022,06/12/2022,Tin thường,35985169,batdongsan_com_vn_35985169,2 phòng,Sổ đỏ/ Sổ hồng,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', 'Dự án Vinhomes Gardenia']","
Chiết khấu 20% (1,550 tỷ) căn hộ 5* vip nhất khu Cầu Giấy, Mỹ Đình.- Duy nhất căn góc 3 phòng ngủ và 2 vệ sinh - Nhận nhà ở ngay.- Diện tích thông thủy 108m².- Hướng Đông Nam đẹp nhất dự án.- Tầng trung view thành phố cực đẹp.- Bàn giao Full nội thất nhập khẩu cao cấp.(Em đang có suất nội bộ của CĐT) hỗ trợ vay 65% và lãi suất 0% trong 24 tháng.- Liên hệ em gửi thông tin chi tiết và xem căn hộ thực tế.            ",108 m²,Thỏa thuận,,3 phòng,,29/11/2022,06/12/2022,Tin thường,35985225,batdongsan_com_vn_35985225,2 phòng,,Đông - Nam,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Đình Thôn']","
Bán nhà Đình Thôn 40m² x 5 tầng ngõ rộng đẹp 6 ngủ - 4.8 tỷ Nam Từ Liêm.Mô tả:- Thiết kế:+ Tầng 1: Để xe, PK, bếp, WC.+ Tầng 2, 3: Mỗi tầng 1 PN, WC.+ Tầng 4: 1 phòng tập thể dục, phòng thờ.+ Tầng 5: 2 sân trước - sau.- Khu vực kinh doanh sầm uất, sinh viên đông đúc, ngõ cực nông và thoáng.Liên hệ: Em Lê: 0862 828 *** ",34 m²,4.8 tỷ,5 tầng,6 phòng,,29/11/2022,06/12/2022,Tin thường,33847064,batdongsan_com_vn_33847064,4 phòng,Sổ đỏ/ Sổ hồng.,,3 m,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Kim Giang']","
- Do chuyển công tác Gia Đình cần bán gấp căn nhà đường Kim Giang Hoàng Mai.- Vị trí ngay gần đường Kim Giang, ngõ rộng thông thoáng, ngay đối diện khu đô thị Linh Đàm và sau lưng không xa là tổ hợp LK - Shophouse của dự án The Manor sang chảnh giao thông rất thuận tiện.+ Nhà chủ tự xây được hơn năm gần như mới tinh Với 6 tầng đẹp, phong cách hiện đại, chủ tặng lại toàn bộ nội thất.+ DT 38m² * 6 tầng, Giá 3.75 tỷ(có thương lượng khách thiện chí).+ Sổ đỏ chính chủ vuông vắn, sẵn sàng giao dịch.* LH: Em Nhung 0973 833 *** chuyên nhà thổ cư.            ",38 m²,3.75 tỷ,6 tầng,3 phòng,,29/11/2022,06/12/2022,Tin thường,34591398,batdongsan_com_vn_34591398,4 phòng,Sổ đỏ/ Sổ hồng,,,,
"['Hà Nội', 'Sóc Sơn', 'Xã Tiên Dược', 'Đường 3']","
Em chính chủ bán 3200m² nghỉ dưỡng rẻ như bát bún giá tốt nhất chỉ 2. Xx triệu/1m² (đất ở giấy tờ cấp xã) quá bèo cho khu vực đầy tiềm năng.Tại Dược Hạ Tiên Dược Sóc Sơn Hà Nội.Cách cổng chính Dược Hạ 200m đường đi xe công vào.Mặt tiền 50m có đầy đủ nhà sàn, nhà ở công trình phụ vườn tược. Đất vuông vắn đẹp.Cách trung tâm thị trấn Sóc Sơn chưa đến 1 km.Trung tâm thành phố vệ tinh nghỉ dưỡng thì đẹp tuyệt vời.Khách đầu tư ACE VP có khách đầu tư alo em 0582 462 ***Giấy tờ ảnh chi tiết e để dưới cm.Lh em lấy khóa vào nhé.21 14'14.4""N 105 51'12.1""E.https://goo.gl/maps/XZeDgA1i1nAWqdfE6            ",3200 m²,Thỏa thuận,,,,29/11/2022,06/12/2022,Tin thường,32685379,batdongsan_com_vn_32685379,,Đã được phê duyệt.,Tây - Bắc,6 m,50 m,
"['Hà Nội', 'Hà Đông', 'Phường Phú Lương', 'Phố Phú Lương']","
* Thông số cơ bản như sau:- Diện tích: 45m².- Mặt tiền: 4m.- Hướng: Tây Bắc. (có căn Đông Nam).- Kết cấu nhà: Nhà được thiết kế chắc chắn, xây 4 tầng mang phong cách hiện đại.T1: Phòng khách, + phòng bếp, WC, sân để xe riêng.T2 + 3: Mỗi tầng 2 phòng ngủ rộng + WC.T4: Phòng thờ + sân phơi rộng.- Vị trí: Nhà thuộc tổ dân phố 8 Phú Lương, gần trường học, chợ đầu mối, nằm trong khu dân cư đông đúc, dân trí cao, an ninh cực tốt. Và gần trường ĐH Đại Nam, gần cầu sắt trên cao, gần chợ Xốm vô cùng sầm uất, thuận tiện di chuyển ra phố.- Nội thất: Được trang bị nội thất cơ bản: Tủ bếp gỗ tự nhiên, hệ thống cửa nhôm kính Việt Pháp cách âm cách nhiệt, cầu thang tay vịn gỗ, gạch chống xước, hệ thống đèn chiếu sáng trang trí hiện đại đẹp mắt, có sẵn đầu chờ internet, cáp, điều hòa.- Sổ đỏ chính chủ, pháp lí rõ ràng. Hỗ trợ vay ngân hàng 80%.- Giá bán: 2.48 tỷ (bao phí sang tên sổ đỏ).Liên Hệ: 0386 418 *** Em Phượng để xem nhà miễn phí!            ",45 m²,2.48 tỷ,4 tầng,4 phòng,Cơ bản,29/11/2022,06/12/2022,Tin thường,35985220,batdongsan_com_vn_35985220,3 phòng,Sổ đỏ/ Sổ hồng,,3 m,4 m,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Dự án Anland Complex']","
Chính chủ bán căn hộ 3PN 2VS 90m² toà Anland Complex, toà nhà đẹp nhất, chất lượng nhất trong 3 toà chung cư của Nam Cường Group. Căn hộ ban công Đông Nam siêu mát mẻ, tầng đẹp, để full nội thất như hình.Giá bán 3, x tỷ.Ace quan tâm liên hệ xem nhà 0356 285 *** ",90 m²,Thỏa thuận,,3 phòng,,29/11/2022,06/12/2022,Tin thường,35624670,batdongsan_com_vn_35624670,2 phòng,,,,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
+ Thuộc tòa S1.09 trung tâm dự án Vinhomes Ocean Park.+ Tầng trung, View bể bơi cá heo, tổ hợp sân chơi,...+ Nội thất: Nguyên bản chủ đầu tư có điều hòa.+ Giá chỉ: 970 triệu bao phí sang tên.- Liên hệ xem nhà trực tiếp: 0855 411 *** - Hà Diễm.* Ảnh căn hộ có cùng thiết kế đã hoàn thiện nội thất.            ",33.5 m²,970 triệu,,1 phòng,Nội thất nguyên bản chủ đầu tư.,29/11/2022,06/12/2022,Tin thường,35985218,batdongsan_com_vn_35985218,1 phòng,Sổ đỏ/ Sổ hồng,Tây - Nam,,,Tây - Nam
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án Anland Complex']","
Căn 54m² 2pn 1vs Anland, tầng đẹp, nhà đẹp full nội thất, mang đi đồ điện tử. Nhà đẹp, giữ gìn cẩn thận, muốn đổi sang căn to nên để lại giá tốt.            ",54 m²,Thỏa thuận,,2 phòng,,29/11/2022,06/12/2022,Tin thường,35684837,batdongsan_com_vn_35684837,1 phòng,,,,,
