address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Pháp lý,Nội thất,Hướng ban công,Đường vào
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Phạm Văn Đồng', 'Dự án The Nine']","
Giảm giá 20% (1,550 tỷ) căn hộ 5* VIP nhất Cầu Giấy, Mỹ Đình.- Duy nhất căn góc 3 phòng ngủ và 2 vệ sinh - Nhận nhà ở ngay.- Diện tích thông thủy 108m².- Hướng Đông Nam đẹp nhất dự án.- Tầng trung view thành phố cực đẹp.- Bàn giao Full nội thất nhập khẩu cao cấp.(Em đang có suất nội bộ của CĐT) hỗ trợ vay 65% và lãi suất 0% trong 24 tháng.- Liên hệ em gửi thông tin chi tiết và xem căn hộ thực tế.            ",108 m²,Thỏa thuận,Đông - Nam,3 phòng,2 phòng,29/11/2022,06/12/2022,Tin thường,35985197,batdongsan_com_vn_35985197,,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Times City - Park Hill']","
Gia đình tôi cần bán căn 4PN. DT 130m² tại tòa Park Hill giá 9,2 tỷ.Thông tin căn hộ:- Diện tích 130 m² thuộc tòa Park Hill, căn hộ 4PN, 3 ban công vô cùng thoáng mát, hướng mát view đẹp.- Pháp lý: Sổ đỏ chính chủ.- Giá bán: 9,2 tỷ full đồ, có suất để xe.Mọi thông tin liên hệ: 0348 315 ***viber, zalo, message).Email: lientrinh@bdsnhamoi.vn ",130 m²,9.2 tỷ,,,,28/11/2022,08/12/2022,Tin thường,35972230,batdongsan_com_vn_35972230,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Dương Quảng Hàm']","
Bán nhà riêng phố Dương Quảng Hàm, Phường Quan Hoa, Quận Cầu Giấy HN. Nhà phân lô, ô tô dể 2 chiếc, nhà mới, ở ngay.+ Diện tích 60/66 m².+ Nhà thiết kế 5 tầng.+ Sổ đỏ chính chủ, pháp lý rõ ràng.+ Nội thất nhập khẩu, cực đẹp.+ Giá 12,8 tỷ có thương lượng cho người mua thiện trí.- Vị trí Trung Tâm Quận Cầu Giấy, giao thông thuận lợi, di chuyển dễ dàng tới các Quận khác...- Tiện ích cực tốt, gần Chợ, Siêu Thị, các Trường Học cấp 1,2,3 và các Trường Đại Học, Cao Đẳng danh tiếng. Kết nối với các Tuyến Đường huyết mạch, xuyên tâm như: Cầu Giấy, Nguyễn Văn Huyên, Nguyễn Khánh Toàn, Bưởi, Đào Tấn...* Xem nhà và gặp chính chủ liên hệ Long ĐT 0376 795 *** ",60 m²,12.8 tỷ,,5 phòng,4 phòng,29/11/2022,06/12/2022,Tin thường,35985194,batdongsan_com_vn_35985194,5.9 m,5 tầng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường Đông Dư', 'Dự án The Zenpark']","
Chính chủ thay đổi nhu cầu gửi bán căn 1PN tòa R1.02 Vinhomes Ocean Park.+ Diện tích: 45.8m²/40.8m².+ Hướng ban công Đông Nam thoáng mát, view hồ cá koi, tổ hợp sân chơi và cảnh quan vườn Nhật.+ Thiết kế: Tối ưu diện tích căn hộ.+ Nội thất: Bàn giao nội thất liền tường cao cấp.+ Pháp lý: Sổ đỏ chính chủ.+ Giá bán: 1.75 tỷ bao phí sang tên.+ Liên hệ: 0855 411 *** - Hà Diễm.* Ảnh thật căn hộ.            ",45.8 m²,1.75 tỷ,Đông - Nam,1 phòng,1 phòng,29/11/2022,06/12/2022,Tin thường,35985193,batdongsan_com_vn_35985193,,,Sổ đỏ chính chủ.,Nội thất đầy đủ.,Đông - Nam,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Times City - Park Hill']","
Gia đình cần tài chính gấp muốn bán nhanh căn hộ 2 PN. DT 95m² tại, giá bán 4,4 tỷ.Bán nhanh căn hộ 3 phòng ngủ, view thoáng, tại Time city, giá bán nhanh 4,4 tỷ - Diện tích căn hộ: 95m².- Thiết kế căn hộ gồm 2 phòng ngủ, 1logia, 2 WC, 1 bếp, view vô cùng thoáng đãng.- Nội thất đầy đủ gia đình đã đầu tư sửa chữa nên rất đẹp: Sàn gỗ, trần thạch cao, điều hòa, tủ âm tường, tủ bếp, thiết bị vệ sinh cao cấp,- Căn hộ đã có sổ đỏ chính chủ.- Giá bán căn hộ: 4,4 tỷ.- Email: lientrinh@bdsnhamoi.vnLiên hệ xem nhà: 0348 315 ***facebook, zalo, viber, message).            ",95 m²,4.4 tỷ,,3 phòng,,28/11/2022,08/12/2022,Tin thường,35972555,batdongsan_com_vn_35972555,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Phạm Văn Đồng', 'số 9', 'The Nine']","
- Thiết kế căn hộ theo kiến trúc Mỹ.+ Căn hộ 3 ngủ, 2 WC, 2 ban công, 1 bếp, 1 phòng khách.+ Ban công hướng Đông tạo sự thoáng mát cho căn hộ.+ Với thiết kế kính 2 lớp fun toàn bộ cho căn hộ 1 tầm nhìn toàn cảnh hướng trung tâm Hà Nội.- Đặc biệt giá chỉ hơn 5,5 tỷ khi sở hữu 1 căn hộ hiện đại & đẳng cấp tại Q. Cầu Giấy (tặng ngay 3 năm phí dịch căn hộ + 1 thẻ tập Gym + hỗ trợ vay ngân hàng lãi suất ưu đãi tại BIDV, hoặc nhận chiết khấu lên tới 2% giá trị căn hộ.- Căn hộ được bàn giao toàn nội thất nhập khẩu cao cấp.- Tòa nhà: 30 tầng + 3 tầng hầm trong đó có 6 tầng thương mại.- An ninh 3 lớp, dịch vụ tối ưu, bãi đỗ xe thông minh, tầng văn phòng hạn A hiện đại.- Khu sinh hoạt cộng đồng, phòng tập Gym, sân chơi trên cao, vườn treo, khu đọc sách, trường mầm non quốc tế, siêu thị Aeon, nhà hàng cao cấp, khu vui chơi trẻ em, trung tâm thương mại, sân bóng rổ, bể sục thư giãn được tích hợp ngay trong tòa nhà giúp cư dân trải nghiệm tiện ích mà không cần phải đi bất cứ đâu.- Dự án đã hoàn thiện 100% nhận nhà ở ngay, sổ đỏ liền tay, Yên tâm sở hữu.- Liên hệ tư vấn và xem nhà mẫu: Long Tứ 0964 111 *** ",100.1 m²,Thỏa thuận,,3 phòng,2 phòng,29/11/2022,06/12/2022,Tin thường,35985082,batdongsan_com_vn_35985082,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Ngọc Hồi', 'Dự án Rose Town']","
Giá chỉ từ 2.6 tỷ/ căn 2PN, 3 tỷ / căn 3PN nhận nhà quý 3 năm 2023.* Thiết kế sang trọng, hiện đại:- Căn 2 PN: 70 - 79m².- 3PN: 89 - 104m². Căn góc.Cập nhật bảng hàng và chính sách mới nhất dự án Rose Town - 79 Ngọc Hồi.- Hỗ trợ vay trả góp 65% lãi suất 0% + ân hạn gốc trong vòng 15th.- Chiết khấu 12 % cho khách hàng thanh toán sớm.- Quà tặng tân gia 50 triệu (trừ thẳng vào giá).* Dự án tọa lạc tại 79 Ngọc Hồi, Hoàng Liệt, Hoàng Mai, mặt đường Giải Phóng, 1 mặt đường Trần Thủ Độ, cách Bến xe Nước Ngầm 400m.+ Vị trí vô cùng thuận lợi cho khách hàng vào khu vực trung tâm Hà Nội qua trục Giải Phòng.+ Dự án có quy mô, quần thể chung cư, liền kề, biệt thự, trường học với đầy đủ tiện ích: Bể bơi trong nhà, trung tâm thương mại, phòng tập gym, spa.+ Mật độ xậy dựng rất thấp 33%. Khuôn viên cây xanh nhiều, nội khu rộng rãi.+ Dự án đã hoàn thiện đầy đủ pháp lý, sổ hồng lâu dài.+ Dự án được phát triển bởi Xuân Mai Corp đơn vị phát triển bất động sản hàng đầu trên thị trường BĐS Hà Nội.* Nội thất bàn giao:- Đầy đủ tủ bếp trên, tủ bếp dưới, chậu rửa...- Sàn gỗ công nghiệp cao cấp, sàn gạch Ceramic phòng khách, cao cấp.- Hệ thống khóa Aldel tích hợp mã số thẻ từ.- Thiết bị vệ sinh thương hiệu Toto.- Hệ thống đèn chiếu sang, trần thạch cao có giật cấp,.- Đèn Led Downlight âm trần.* Liên hệ để cập nhật căn và giá chi tiết: 0358 237 *** ",71 m²,3 tỷ,Đông,2 phòng,2 phòng,29/11/2022,06/12/2022,Tin thường,35920043,batdongsan_com_vn_35920043,,,Sổ đỏ/ Sổ hồng,Thông minh,Tây - Bắc,
"['Hà Nội.', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Cầu Diễn']","
Cần bán gấp trong tuần.Mặt kinh doanh khu vực Cầu Diễn, Nam Từ Liêm Hà Nội, ngõ thông khắp ngả đi Văn Trì, Ngoạ Long, ĐH Công Nghiệp Hà Nội.Lợi thế lô góc, thoáng sáng, vừa ở vừa kinh doanh thoải mái, đa dạng mặt hàng kinh doanh. Vị trí nằm trong khu vực tập trung rất nhiều sinh viên, buôn bán sầm uất. Xây dựng 3 tầng chắc chắn, khách mua về chồng tầng thoải mái.Diện tích: 32m² x 3 tầng.Mặt tiền: 4m.Giá rẻ nhất khu vực: 3.5 tỷ (có thương lượng cho khách thực sự thiện chí).Sổ đỏ pháp lý rõ ràng, sẵn sàng giao dịch.Liên hệ em Linh thổ cư: 0329 833 ***Chuyên hàng hiếm đẹp. Hỗ trợ khách từ A - Z, miễn phí 100% phí dịch vụ từ khi xem nhà đến khi mua được nhà.            ",32 m²,3.5 tỷ,,2 phòng,3 phòng,28/11/2022,07/12/2022,Tin thường,35963923,batdongsan_com_vn_35963923,4 m,3 tầng,Đã có sổ,Đầy đủ.,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Lê Trọng Tấn']","
Sổ đỏ chính chủ nhà đất tên tôi như ảnh sổ đỏ ở tin đăng: Phạm Thu Trang, không tiếp môi giới.* Chỉ 1,4 tỷ có sổ đỏ bao cả sang tên có ngay căn nhà xây mới 3 tầng.- Vị trí tại trung tâm thành phố mới của quận Hà Đông, cạnh quốc lộ 6.- Nằm giữa các khu đô thị mới, được thừa hưởng đầy đủ dịch vụ và tiện ích ăn theo đô thị đã đi vào hoạt động sầm uất.- Gần trường, chợ, bệnh viện. Nơi gửi xe ô tô, an ninh tốt, người dân thân thiện.* Mô tả nhà:- Nhà xây 3 tầng, diện tích đất 33m², có 3 phòng ngủ, 1 phòng khách, 1 phòng bếp, 2 vệ sinh và sân phơi.- Nhà thiết kế móng chịu lực 5 tầng, móng riêng, tường riêng, cột riêng - nhà thiết kế có bể nước ngầm và téc nước dự trữ.* Nội thất điện nước đầy đủ chỉ về ở.1. Cầu thang gỗ Lim.2. Thiết bị vệ sinh Inax, trần thạch cao.3. Cửa Chính có 2 lớp cửa hiện đại và an toàn, Cửa nhôm kính Việt Pháp và cửa inox an toàn phía ngoài.4. Cửa thông phòng gỗ Chò, tủ bếp gỗ tự nhiên, trần thạch cao.5. Sơn cao cấp Jotun, bồn nước Sơn Hà. Máy bơm nước.6. Dây điện Trần Phú, ống nhựa Tiền Phong.7. Đá ốp cầu thang hoa cương tự nhiên.- Sổ đỏ chính chủ, bao sang tên sổ đỏ.- Nhà xây như hình ảnh đính kèm.- Ngân hàng hỗ trợ cho vay 60 - 70%.- Giá bán: 1,4 tỷ bao cả sang tên sổ đỏ.096 997 8480            ",33 m²,1.4 tỷ,Đông - Nam,3 phòng,2 phòng,29/11/2022,27/02/2023,Tin thường,26565047,batdongsan_com_vn_26565047,4 m,3 tầng,Sổ đỏ,"1. Cầu thang gỗ Lim. 2. Thiết bị vệ sinh Inax, trần thạch cao. 3. Cửa Chính có 2 lớp cửa hiện đại và an toàn, Cửa nhôm kính Việt Pháp và cửa inox an toàn phía ngoài.",Đông - Nam,3 m
"['Hà Nội', 'Ba Đình', 'Phường Giảng Võ', 'Đường Núi Trúc', '20', 'Lancaster Hà Nội']","
Chính chủ cần bán gấp căn hộ Lancaster 20 Núi Trúc, diện tích 125m².Do chuyển công tác và định cư tại Sài Gòn nên tôi chính chủ cần chuyển nhượng lại căn hộ Lancaster Hà Nội, dự án do chủ đầu tư tập đoàn Trung Thủy làm chủ đầu tư.- Căn hộ có diện tích 125m².- Thiết kế: 3 phòng ngủ 3 vệ sinh. Tất cả các phòng ngủ và phòng khách đều có ánh sáng và ban công rất đẹp.- Căn hộ full nội thất chỉ cần về ở.- Sổ đỏ đã đứng tên chính chủ chỉ cần công chứng sang tên.- Giá bán: 7.2 tỷ.- Liên hệ chính chủ: 0985 878 *** ",125 m²,7.2 tỷ,,3 phòng,2 phòng,24/11/2022,01/12/2022,Tin thường,31379452,batdongsan_com_vn_31379452,,,,,,
