address,gen_descrip,Diện tích,Mức giá,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Hướng nhà,Hướng ban công,Nội thất
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Trần Thái Tông']","
Chính chủ cần bán gấp 186m² đất mặt tiền 8m, mặt phố Trần Thái Tông, giá 90 tỷ.Vị trí nhà phù hợp xây tòa nhà 9 tầng.Vị trí nhà gần phố Duy Tân, phố Khúc Thừa Dụ, phố Dịch Vọng Hậu, đường Cầu Giấy... Đường rộng thông thoáng đi lại thuận tiện...Vị trí nhà phù hợp kinh doanh đa dạng hình: Kinh doanh nhà hàng, cửa hàng trưng bày giới thiệu sản phẩm, văn phòng đại diện, thẩm mỹ viện spa...Sổ đỏ chính chủ pháp lý sạch, sẵn sàng giao dịch.Liên hệ tôi Hoàng để xem đất.            ",186 m²,90 tỷ,29/11/2022,06/12/2022,Tin thường,35984981,batdongsan_com_vn_35984981,,,,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Tân Mai', 'Đường Đền Lừ']","
Chủ cần tiền bán gấp.Nhà nằm ở vị trí đắc địa ô tô đỗ cửa vào nhà, kinh doanh.Từ nhà ra mặt phố 20m.Nhà nằm ở gần các trung tâm thương mại lớn dân trí cao, hàng xóm thân thiện.Chủ tự tay xây tâm huyết căn nhà 5 tầng thông số vàng 40m.Giá 5.29 tỷ (có thương lượng).Liên hệ em Sang: 0327 626 *** ",40 m²,5.29 tỷ,29/11/2022,07/12/2022,Tin thường,35984722,batdongsan_com_vn_35984722,5 m,4 m,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Pháp Vân', 'Dự án Gamuda Gardens']","
Bán liền kề Botanic full đồ, xây dựng rộng lh: 0948 857 ***Do gia đình không tiện đưa đón con đi học căn liền kề Botanic.- Diện tích: 118m².- Diện tích xây dựng: 85m²/sàn.- Mặt tiền: 5.5m.- Hướng Đông Tứ Trạch.- Nhà full đồ đẹp, nội thất hiện đại, chỉ việc xách vali về ở.- Nhà đã có sổ đỏ, sẵn sàng giao dịch.LH: 0948 857 *** ",118 m²,23 tỷ,29/11/2022,06/12/2022,Tin thường,35984496,batdongsan_com_vn_35984496,5.5 m,13 m,,3 phòng,4 phòng,Đã có sổ đỏ.,Nam,Đông - Nam,
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Phố Ngọc Trì', 'Ngách 318/160']","
Chính chủ cần bán 41.1m² ô tô vào đất, ngách 318/160 Ngọc Trì (Tổ 9 Thạch Bàn) - Thạch Bàn - Long Biên - HN.- Mặt tiền 4.04m.- Hướng Đông Nam.- Trước nhà ô tô quay đầu, Ngõ nông 2,3m(cách 30m đường ô tô tránh).- Bán kính chưa đầy 1km vô vàn tiện ích, gần hồ công viên, trường học cấp 1,2,3 - .Gần chợ, siêu thị Aeon Long Biên.- Giá 3.150 tỷ (Có ra lộc cho khách thiện trí).LL: Anh Hải 0987 846 *** ",41.1 m²,3.15 tỷ,29/11/2022,09/12/2022,Tin thường,35984730,batdongsan_com_vn_35984730,4.04 m,,,,,,Đông - Nam,,
"['Hà Nội', 'Sơn Tây', 'Phường Sơn Lộc', 'phố Chùa Thông']","
Gia đình cần bán đất tại mặt phố Chùa Thông, thị xã Sơn Tây khu phố sầm uất nhất thị xã sơn tây, Hà Nội.Diện tích 115,2m². Nằm trong khu đất dành cho cán bộ nên an ninh đảm bảo.Gần bến xe Sơn Tây, Viện 105, khu phố ngân hàng sầm uất buôn bán kinh doanh gì đều được. Các thương hiệu lớn đang đổ về nên cho thuê mặt bằng rất dễ, hàng tháng rẻ cũng phải hàng trăm triệu đồng. Khu cửa hàng lương thực sơn lộc được ủy ban nhân dân thị xã sơn tây công nhận trúng đấu giá với giá niêm yết 172 triệu/m². Cùng với chủ trương đẩy nhanh tiến độ xây dựng thành phố vệ tinh, giá đất ko ngừng tăng, đây là thời điểm vàng để đầu tư. Cần tiền đầu tư kinh doanh nên cần bán gấp, cho người thiện trí.Giá bán: 135 triệu/m² (có thỏa thuận).Liên hệ xem đất: 0876 535 *** ",115.2 m²,15.552 tỷ,29/11/2022,06/12/2022,Tin thường,34585679,batdongsan_com_vn_34585679,,,,,,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Hoài Đức', 'Nam An Khánh']","
Gia đình cần bán tòa văn phòng hạng A KĐT Nam An Khánh - Hoài Đức. Đang cho thuê 220tr/tháng, mặt đường đôi, lô góc.Diện tích sổ 291m² x 6 tầng nổi, 1 hầm, 2 mặt tiền 33m, hệ thống PCCC đạt chuẩn đã được phòng cảnh sát PCCC nghiệm thu, có 2 thang thoát hiểm.Sổ đỏ chính chủ, sẵn sàng giao dịch.Giá chào chuẩn: 100 tỷ có thương lượng cho khách thiện chí.LH: 0387 866 *** ",291 m²,100 tỷ,29/11/2022,06/12/2022,Tin thường,35984969,batdongsan_com_vn_35984969,33 m,40 m,7 tầng,7 phòng,7 phòng,Đã có sổ đỏ,,,
"['Hà Nội', 'Thanh Oai', 'Xã Kim Thư', 'Thôn Kim Châu']","
Địa chỉ: Thôn Kim Châu, Xã Kim Thư, Huyện Thanh Oai, Hà Nội.Diện tích: 127,3m².Đầy đủ tiện ích xung quanh, gần chợ, trường học, quốc lộ, giao thông thuận lợi.Giá: 13tr/m².Liên hệ: Anh Đạt 0989 929 *** ",127.3 m²,13 triệu/m²,29/11/2022,13/12/2022,Tin thường,35984503,batdongsan_com_vn_35984503,,,,,,,,,
"['Hà Nội', 'Long Biên', 'Đường Tulip 7', 'Dự án Vinhomes The Harmony']","
Chính chủ gửi bản biệt thự song lập Tulip 7 Vinhomes Riverside The Harmony - Long Biên - HN.- Dạng biệt thự song lập.- DT 168m².- Hướng ĐN.- XD 85m²/sàn /3.5 tầng.- Hoàn thiện phong cách Đông Dương.* Ưu điểm:1. Kế hồ điều hòa.2. Phân khu có mật độ xây dựng thấp nhật dự án Vinhomes The Harmony.3. Gần khu phức hợp thể thao: Sân tập golf, tennis, bóng rổ...4. Gần công viên trung tâm.* Pháp lý: Sổ đỏ chính chủ.* GIÁ: 4x tỷ.- Liên hệ: 0931 031 *** ",168 m²,47 tỷ,29/11/2022,06/12/2022,Tin thường,35984686,batdongsan_com_vn_35984686,8 m,15 m,4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Đông - Nam,Đông - Nam,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phú Đô', 'Dự án Mỹ Đình Pearl']","
Chủ đầu tư Mỹ Đình Pearl cập nhật quỹ căn hộ bán chuyển nhượng tại Mỹ Đình Pearl giai đoạn 1.- Căn hộ 1 ngủ 50m² giá chỉ 2.65 tỷ đồng, bao gồm đầy đủ tiền thuế phí sang tên người mua mới.Căn hộ được cho thuê ổn định giá 12 - 14 triệu/m².Liên hệ xem nhà 0938 332 *** ",50 m²,2.65 tỷ,29/11/2022,06/12/2022,Tin thường,35599143,batdongsan_com_vn_35599143,,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Hàng Bài', 'Đường Trần Quốc Toản']","
Mô tả:+ Vị trí mặt ngõ to, gần phố lớn tập nập thuận tiện các ngả phố Cổ, Hồ Gươm sầm uất. Nhà thuộc trung tâm quận Hoàn Kiếm phố kết nối như bàn cờ gồm phố Huế, Trần Quốc Toản, Bà Triệu, tiện ích vô vàn, sinh cực tốt, kinh doanh bạt ngàn, trường trạm vô kể.+ Hiện nhà cho thuê kinh doanh Homestay rất tiện ra vào, luôn kín khách.+ Nhà thiết kế hiện đại, phòng xin sò đẳng cấp:- T1: Bếp, wc.- T2: Phòng khách.- T3,4,5: 6 phòng khép kín.- T6: Phòng thờ, sân phơi.+ LH Thái Tín - ĐT.Nhiều nhà đẹp giá tốt, hỗ trợ khách chủ mua bán nhanh.            ",27 m²,5.6 tỷ,29/11/2022,06/12/2022,Tin thường,35770555,batdongsan_com_vn_35770555,,,6 tầng,4 phòng,,,,,
