address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án The Zei Mỹ Đình']","
Bắt đáy bất động sản The Zei - Mỹ Đình. Căn hộ 2PN hàng hiếm vào tên trực tiếp, nhận nhà ngay, sổ đỏ liền tay.- Căn hộ 84m² tầng 16, ban công Đông Nam view thành phố.- Căn 92m² tầng 38 ban công Tây Bắc, view thành phố.- Nội thất bàn giao: Full đồ liền tường cao cấp: Thiết bị vệ sinh, điều hòa âm trần, bếp, tủ bếp...- KHách hàng vào tên trực tiếp, hỗ trợ ngân hàng lãi suất 0% hoặc nhận chiết khấu.LH nhận thêm thông tin: 0911 452 ***để xem thực tế).            ",92 m²,Thỏa thuận,Tây - Bắc,Tây - Bắc,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,29/11/2022,06/12/2022,Tin thường,35983707,batdongsan_com_vn_35983707,,,
"['Hà Nội', 'Hoài Đức', 'Xã Đông La']","
Bán gấp lô đất đấu giá X2 Đông La Hoài Đức. Diện tích 65m²; hướng Đông Nam. Vị trí đẹp không vướng gì. Gần trường mầm non, cấp 1,2, gần chợ. Cách công viên Cây Đàn Đô Nghĩa Hà Đông 500m. SĐCC, giá 64 triệu/m².LH trực tiếp 0945 556 *** ",65 m²,64 triệu/m²,Đông - Nam,,,,Có sổ.,,29/11/2022,06/12/2022,Tin thường,29791888,batdongsan_com_vn_29791888,,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Dự án Sunshine Riverside']","
1. Bán căn hộ tòa R2 DT 82m², có 2 ngủ và 2 vệ sinh, đủ đồ, đang cho thuê có dòng tiền về.Nội thất đủ đồ, view toàn bộ sông Hồng và cầu Nhật Tân. Tầng cao view thoáng, dịch vụ tòa nhà cao cấp.- Giá bán: 3,9 tỷ VNĐ.2. Bán căn hộ 100m², có 3 ngủ và 2 vệ sinh, nhà đủ đồ. View thoáng cầu Nhật Tân và Hồ Tây. Nội thất xịn cao cấp ở được luôn. Hoặc cho thuê có dòng tiền luôn. Giá bán: 4 tỷ VNĐ.3. Bán căn hộ 59m², có 2 ngủ và 1 vệ sinh, ban công view nội khu, bể bơi và dịch vụ trường học, siêu thị, phòng gym... Giá bán: 2,6 tỷ.3. Bán căn hộ 115m², tầng trung view cầu Nhật Tân và sông Hồng, có các phòng đều thoáng. Nội thất có đủ rồi, ai mua về ở được ngay. Căn 09 này được coi căn hoa hậu của tòa nhà SS hiện nay. Giá bán: 5,7 tỷ VNĐ.LH xem nhà: 0988 154 ***Website: http://minhvietland.com/            ",82 m²,3.9 tỷ,Nam,Bắc,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,29/11/2022,09/12/2022,Tin thường,35769597,batdongsan_com_vn_35769597,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Dự án Sông Đà 7']","
Bán CHCC Viện Chiến Lược Khoa Học Bộ Công An, Trung Hòa, Cầu Giấy, Hà Nội. DT: 115m². Giá: 4 tỷ.Căn hộ thiết kế đẹp 3PN 2WC, Ban công thoáng mát.Xung quanh nhiều tiện ích: Big C, Vincom, trường học...Sổ đỏ chính chủ sẵn sàng giao dịch.Liên hệ xem nhà: 0988 606 *** ",115 m²,4 tỷ,,,3 phòng,2 phòng,Sổ đỏ,,29/11/2022,06/12/2022,Tin thường,35868131,batdongsan_com_vn_35868131,,,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Đường An Trai', 'Dự án An Lạc Green Symphony']","
Gia đình có việc có việc cần bán gấp căn biệt thự An Lạc Green Symphony. Đã nhận nhà vào ở ngay.Món quà riêu rẻ cho khách hàng, biệt thự, liền kề mặt kênh, vị trí cực đẹp trung tâm nhất của dự án. Cho thuê kinh doanh tạo dòng tiền.Diện tích 135m².Hướng Đông Nam.Giá bán: 17.5 tỷ. Vào việc thủ tục nhanh gọn.Ai có nhu cầu liên hệ trực tiếp em Công: Nhân kết hợp môi giới. 0946 387 *** ",135 m²,17.5 tỷ,Đông - Nam,,4 phòng,,,,29/11/2022,06/12/2022,Tin thường,35750602,batdongsan_com_vn_35750602,,,
"['Hà Nội', 'Đông Anh', 'Xã Xuân Nộn']","
Bán gấp lô góc 69m² Lương Quy trục chính kinh doanh đỉnh.- Mặt tiền 4m.- Chiều dài 17m khổ đất đẹp.- Đường trước đất 6m trục chính làng.- Cách trung tâm huyện 3km.- Cách bệnh viện Bắc Thăng Long 1.5km.- Cách bệnh đa khoa Đông Anh 3.6km.- Cách đoạn đường ẩm thực Đản Dị 1.5km.Gần sát dự án khu công nghiệp Đông Anh tại Xuân Nộn.Đất đẹp đã có sổ, không tranh chấp, Cam kết không dính quy hoạch có thể kinh doanh nhỏ hoặc mua ở.Liên hệ e 0818 461 *** ngay để đi xem đất và mua được giá tốt nhất.            ",69 m²,Thỏa thuận,,,,,Đã có sổ,,29/11/2022,06/12/2022,Tin thường,34347393,batdongsan_com_vn_34347393,4 m,5 m,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường An Phú']","
Cần bán gấp 50m² đất dịch vụ Dương Nội tại khu 16,17,18.Lô đất ở vị trí đẹp, kinh doanh được mấy bước chân ra siêu thị Aeon mall. Đường rộng 11,5m, mặt tiền 4m, hướng Tây Bắc giá rẻ nhất khu 5,9 tỷ.Liên hệ: Trực tiếp: 0945 556 *** hoặc 0932 366 *** ",50 m²,5.9 tỷ,Tây - Bắc,,,,,,29/11/2022,06/12/2022,Tin thường,30570984,batdongsan_com_vn_30570984,4 m,,
"['Hà Nội', 'Sóc Sơn', 'Xã Quang Tiến', 'Đường 131']","
Chính chủ gửi bán đất Đông Sơn - Quang Tiến - Sóc Sơn giá rẻ cho khách đầu tư nhanh tay liên hệ.- Diện tích 90m².- Mặt tiền 4,5m thửa đất vuông vắn.- Đường trước mặt rộng 10m ô tô tránh nhau.- Nằm ở khu dân cư đông đúc tiện ích đầy đủ, dân trí cao, giao thông hạ tầng tốt.- Pháp lí sạch sổ đỏ rõ ràng giao dịch được ngay.- Cách đường quốc lộ 50m.- Cách trung tâm huyện 10p đi xe máy.- Cách các dự án lớn 500m.Giá bán rẻ nhất thị trường.Liên hệ em để làm việc với chính chủ mua giá tốt nhất.            ",90 m²,Thỏa thuận,Tây - Bắc,,,,,,25/11/2022,02/12/2022,Tin thường,35602329,batdongsan_com_vn_35602329,4.5 m,8 m,
"['Hà Nội', 'Đông Anh', 'Xã Bắc Hồng', 'Đường Võ Nguyên Giáp']","
Chính chủ em bán gấp 54,6m² tại Mỹ Nội, Bắc Hồng, Đông Anh, Hà Nội.Đường ô tô tránh nhau tầm 7m.Giá siêu đầu tư cho anh chị.- Diện tích 54.6m².- Mặt tiền 4.5m khổ đất vuông vắn.Dân cư sầm uất, hàng xóm thân thiện.5 phút di chuyển xe là ra đến trung tâm chợ trường học đủ tiện ích.Cách đường Võ Nguyên Giáp 700m.15p đi sân bay Nội Bài và sang nội thành Hà Nội.Anh chị quan tâm liên hệ em 0818 461 *** để làm việc và gặp chính chủ.            ",54.6 m²,Thỏa thuận,,,,,Đã có sổ,,25/11/2022,02/12/2022,Tin thường,34659761,batdongsan_com_vn_34659761,4.5 m,6 m,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Đường Đê La Thành', 'Dự án 170 Đê La Thành - GP Building']","
- CĂn hộ 102m² thiết kế 3PN 2WC 3 Ban công rất thoáng và mát. Sổ đỏ chính chủ, Giá Bán: 4,25 tỷ TL-Bán căn PenHouse 170 Đê La Thành - GP Invest, P. Ô Chợ Dừa, Đống Đa, Hà Nội. DT: 200m². Giá: 6,6 tỷ.Căn hộ thiết kế 3PN 2Wc, ban công thoáng mát.Sổ đỏ chính chủ. Giá: 6,6 tỷ TL.Liên hệ xem nhà: 0988 606 *** ",102 m²,4.25 tỷ,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,35866330,batdongsan_com_vn_35866330,,,
