address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Hướng nhà,Hướng ban công,Pháp lý,Nội thất
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Phố Liễu Giai', '19']","
Gia đình cần bán 1 nhà hoặc cho thuê 1 nhà phố Liễu Giai kinh doanh tốt.Diện tích 162 m² mặt tiền 8.6 m xây chia thành 2 nhà 5 tầng nay gia đình cần bán một nhà diện tích 76 m² mặt tiền 4.3 m giá 270tr/1 m² mặt ngõ 19 Liễu Giai. Còn nhà bên cạnh gia đình cho thuê cả nhà là 26 triệu 1 tháng. Ai có nhu cầu mua và thuê liên hệ.LH 0914 710 *** anh Tuân không tiếp trung gian.Tiện ích ngõ trước nhà rông 2 ô tô tránh, cách phố 1 nhà. Ngõ thông Vạn Phúc, Vạn Bảo, Đội Cấn.Gần Đại Sứ Quán Nhật Bản. Gần trường học, TTTM Lotte.            ",76 m²,270 triệu/m²,4.3 m,5 tầng,8 phòng,8 phòng,29/11/2022,06/12/2022,Tin thường,35613052,batdongsan_com_vn_35613052,,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bùi Thị Xuân', 'Đường Triệu Việt Vương']","
Tìm kiếm ngay bên mua thích hợp muốn mua ngay toà nhà Căn hộ dịch vụ + Khách sạn + Văn phòng 450m² x 10 tầng đường Triệu Việt Vương gần ngã tư Nguyễn Du - phố Huế quận Hai Bà Trưng - Hà Nội.Hiện Tòa nhà đang cho thuê giá xấp xỉ 1tỷ/tháng. Hoạt động theo Mô hình cho thuê căn hộ dịch vụ cao cấp cho người nước ngoài!Đã có sổ hồng 50 năm và bàn giao cho bên mua được ngay. Bàn giao cả hợp đồng thuê!Mời bạn quan tâm mua liên hệ: Công ty TNHH Sơn Nguyễn 0903 234 ***/ Call/Zalo/Inbox! Xin cảm ơn.            ",450 m²,180 tỷ,15 m,10 tầng,,,29/11/2022,06/12/2022,Tin thường,35138786,batdongsan_com_vn_35138786,15 m,Tây,Tây,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Đan Phượng', 'Xã Thượng Mỗ', 'Đường N1']","
Bán đất khu Đầm Lính, Thượng Mỗ, Đan Phượng:+ Diện tích: 67.5m².+ Mặt tiền = hậu 4.50m vuông đẹp.+ Vị trí siêu đẹp, kinh doanh buôn bán sầm uất.+ Chạy xe 5 phút ra khu Đồng Ông, khu đô thị Hồng Thái...+ Sổ đỏ, pháp lý đầy đủ.+ Giá 4.151 tỷ.Liên hệ: Hà 0961 000 *** ",67.5 m²,61.5 triệu/m²,4.5 m,,,,29/11/2022,06/12/2022,Tin thường,35289691,batdongsan_com_vn_35289691,6 m,Tây - Nam,,Sổ đỏ,
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Đường Vạn Bảo', 'Ngõ 65']","
Gia đình cần bán nhà nhà khu phân lô ngõ 65 Vạn Bảo kinh doanh tốt.Diện tích 57 m² nhà xây 3 tầng mặt tiền 5.6 m.Nhà xây 3 tầng xác định bán đất tặng lại nhà. Hiện trạng nhà đang cho thuê 22 triệu 1 tháng. Nhà gần phố. Ngõ thông khu phân lô cán bộ cao cấp quận Ba Đình.Tiện ích ngập tràn giao thông thuận tiện.Giá 11.5 tỷ có thương lượng.Đt Lh 0914 710 *** anh Tuân.            ",57 m²,11.5 tỷ,5.6 m,3 tầng,4 phòng,4 phòng,29/11/2022,06/12/2022,Tin thường,35720780,batdongsan_com_vn_35720780,6 m,,,,
"['Hà Nội', 'Hoài Đức', 'Xã Di Trạch', 'Đường 32']","
Bán nhà vị trí đẹp ở Di Trạch:+ Lô góc, 2 mặt tiền.+ Đường 2 xe con tránh nhau.+ Vị trí trung tâm ra đường 32 hoặc 422 chỉ 5 phút chạy xe.Diện tích 39m².4 tầng, 4 ngủ, 3 VS, bếp, giàn phơi, phòng thờ. Nội thất như hình tủ bếp, tủ quần áo... (ảnh thực tế).Sổ đỏ đầy đủ, bank 70%.Giá 3,898 tỷ.Liên hệ em Hà 0961 000 *** ",39 m²,3.898 tỷ,,4 tầng,4 phòng,3 phòng,29/11/2022,06/12/2022,Tin thường,35606223,batdongsan_com_vn_35606223,,,,Sổ đỏ,Full
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Hà', 'Đường Ngọc Hà', 'Số 29B Ngõ 158']","
Gia đình cần bán nhà ngõ 158 Ngọc Hà ngõ thông nhiều phố.Diện tích 45 m² nhà xây 5 tầng mặt tiền 4 m.Nhà xây thiết kế mỗi tầng 2 phòng. Cầu thang giữa. Nhà 2 mặt thoáng.Vị trí trước nhà rộng. Ngõ thông nhiều phố. Đội cấn. Hoàng hoa thám.Tiện ích gần trường học. Gần Lăng Bác. Gần Hồ 135 Đội Cấn..Giá 5.7 tỷ có thương lượng.Đt Lh 0914 710 *** anh Tuân.            ",45 m²,5.7 tỷ,4 m,5 tầng,6 phòng,6 phòng,29/11/2022,06/12/2022,Tin thường,35705404,batdongsan_com_vn_35705404,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Đường Huỳnh Thúc Kháng', 'Dự án Hateco Laroma']","
Nằm tại vị trí huyết mạch nối tuyến đường Huỳnh Thúc Kháng kéo dài với đường Nguyễn Chí Thanh. Hateco La Roma sẽ là giao điểm nói các tuyến đường trục chính của quận Đống Đa.Hateco La Roma khẳng định đẳng cấp châu Âu giữa lòng Hà Nội.- 4 tầng hầm với công nghệ đỗ xe thông minh.- 6 tầng khối đế với TTTM, văn phòng và dịch vụ tiện ích đẳng cấp.- 24 tầng nổi với thiết kế sang trọng và đẳng cấp.- Hành lang rộng 2m với hệ thống cấp khí tươi trực tiếp.- Thiết kế căn theo phong cách tân cổ điểm, giúp chủ nhân thỏa sức sáng tạo không gian sống của riêng mình.- Bàn giao full nội thất gỗ và thiết bị vệ sinh cao cấp.Với việc chủ đầu từ Hateco lựa chọn Savills Việt Nam là đơn vị quản lý và vận hành tòa nhà sẽ mang lại cho cư dân dịch vụ, tiện nghi mang đẳng cấp 6*.--------------------------------------------* Hỗ trợ lãi suất 0%, quà tân gia lên tới 650 triệu đồng.* Chiết khấu ngay 5%, tặng quà tân gia trị giá 145 triệu.* Miễn phí 2 - 3 năm phí dịch vụ.* Cam kết mỗi căn 1 chỗ đỗ xe ô tô.Sự lựa chọn duy nhất và đẹp nhất tại trung tâm quận Đống Đa. Liên hệ ngay để được tư vấn và tham quan căn hộ mẫu.Hotline 24/7: 0382 861 *** ",113 m²,8.1 tỷ,,,3 phòng,2 phòng,24/11/2022,04/12/2022,Tin thường,35828475,batdongsan_com_vn_35828475,,Đông,Tây,Sổ đỏ/ Sổ hồng,Đầy đủ.
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Hà', 'Đường Giang Văn Minh', '73']","
Bán nhà xây mới ngõ 73 Giang Văn Minh nhà mới vào ở ngay giá 5.7 tỷ.Chính chủ cần bán nhà mới xây cách 1 nhà ra bãi gửi ô tô ngày đêm.Diện tích 42 m² nhà xây 5 tầng mặt tiền 3.9 m.Nhà xây khung cột chắc chắn. Thiết kế thông sàn. Nội thất sang trọng.Nhà vị trí đẹp ngõ trước nhà rộng 3 m nhà cách bãi gủi ô tô 1 nhà.Tiện ích gần trường học. Công viên. TTTM. Bệnh viện.Sổ đỏ chính chủ sẵn sàng giao dịch.Giá 5.7 tỷ có thương lượng cho khách hàng có nhu cầu.ĐT Lh 0914 710 *** anh Tuân.            ",42 m²,5.7 tỷ,3.9 m,5 tầng,4 phòng,5 phòng,29/11/2022,06/12/2022,Tin thường,35920760,batdongsan_com_vn_35920760,3 m,,,Sổ đỏ,
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi']","
Chủ đầu tư mở bán trực tiếp dự án chung cư H6 Nguyễn Trãi - Ngã Tư Sở - ô tô đỗ tới cửa.* Căn hộ đã hoàn thiện xong, giao nhà ngay.* Thiết kế sang trọng hiện đại, nhiều ánh sáng tự nhiên.* Vị trí cạnh nhiều trường đại học như: ĐH Hà Nội, ĐH Xã Hội và Nhân Văn, Đại Nam, Phương Đông, Học viện Cảnh Sát...- Giá bán: 520tr - 650tr - 745tr - 850tr - hơn 1 tỷ / căn.- Diện tích: 30m² - 35m² - 42m² - 45m² - 48m² - 55m² - 61m².* Thiết kế 1 đến 2 ngủ + khách + bếp + ban công thoáng. Nội thất: Sàn gỗ, tủ bếp, trần thạch cao, thiết bị vệ sinh, bình nóng lạnh, đèn led. Tòa nhà thiết kế tầng 1 để xe, tầng trên cùng là tầng tum sân phơi chung còn lại là các tầng căn hộ, có đầy đủ hệ thống phòng cháy chữa cháy tự động, an ninh tòa nhà bảo vệ chuyên nghiệp.* Giấy tờ pháp lý: Khách hàng mua căn hộ nhận được sổ hồng vĩnh viễn từng căn riêng, hợp đồng mua bán công chứng.            ",35 m²,650 triệu,,,2 phòng,1 phòng,22/11/2022,02/12/2022,Tin thường,33075485,batdongsan_com_vn_33075485,,,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Đường Huỳnh Thúc Kháng', '4A', 'Hateco Laroma']","
Chủ đầu tư: Công ty CP Hateco Thăng Long.Đơn vị thiết kế: Finenco Architects (Italia).Đơn vị thi công: Hòa Bình Corporations.Đơn vị quản lý: CBRE Mỹ.Vị trí: Lô 4A - Huỳnh Thúc Kháng kéo dài, P. Láng Thượng, Q. Đống Đa, Hà Nội.Diện tích lô đất: 3.153m. Diện tích xây dựng: 1.787m.Số căn hộ: Tổng 281 căn trong đó 5 căn Penthouse, 12 căn Duplex và 264 căn hộ cao cấp.--------Quy mô dự án.30 tầng nổi (6 tầng TMDV, 24 tầng căn hộ), 4 tầng hầm.Hầm B1: Hầm rượu & Nhà hàng Á - Âu.Hầm B2: Xe máy.Hầm B3 & B4: Xe oto (hơn 300 chỗ đỗ xe).Tầng 1 - 2: TTTM thang cuốn.Tầng 3 - 4: Văn phòng, 02 thang máy riêng.Tầng 5: Nhà hàng.Tầng 6: Dịch vụ tiện ích: Gym, spa vip, phòng sinh hoạt cộng đồng, bể bơi 4 mùa 700 m,...Tầng 7 - 28: Căn hộ chung cư cao cấp.Tầng 29: Duplex.Tầng 30: Penthouse.---------Công nghệ 4.0.- Áp dụng công nghệ quản lý thông minh 4.0 vào quản lý toà nhà đảm bảo độ an toàn tuyệt đối cho cư dân: Hệ thống quản lý cơ điện BMS, các đầu báo cháy có tích hợp đầu báo cháy địa chỉ sẽ cho biết chính xác vị trí đám cháy khi xảy ra sự cố, có hệ thống báo khói và báo cháy ở các phòng ngủ, phòng khách, phòng bếp, vòi chữa cháy ở cửa ra vào, phòng khách và phòng bếp.- Hệ thống door phone thông minh nhận diện khuôn mặt khách đến chơi nhà ở các lớp gốp các tầng hầm, sảnh lễ tân và trước cửa căn hộ, đảm bảo an ninh tuyệt đối.---------Diện tích căn hộ.- Căn 2PN: 81m - 87m - 95m - 96m - 100m².- Căn 3PN: 103m - 111m - 113m - 120m - 137m² - 138m.--------Nội thất bàn giao.- Khoá cửa thông minh Hafele 4 chức năng.- Tủ bếp trên dưới, bếp từ, hút mùi và hệ thống chậu rửa vòi rửa, phụ kiện bếp hafele, Tủ quần áo, Tủ giày,...- Thiết bị vệ sinh Bravat.- Điều hoà âm trần công nghệ Multi.---------Chính sách bán hàng và thanh toán linh hoạt.Liên hệ tư vấn.Hotline: 0382 861 *** ",81 m²,6.8 tỷ,,,2 phòng,2 phòng,24/11/2022,04/12/2022,Tin thường,35843392,batdongsan_com_vn_35843392,,Tây,Đông,Sổ đỏ/ Sổ hồng,Đầy đủ.
