address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng ban công,Mặt tiền,Đường vào,Số tầng,Nội thất,Hướng nhà
"['Hà Nội.', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Nguyễn Trãi']","
Chủ đầu tư trực tiếp bán tòa chung cư mini.Ở Nguyễn Trãi - cự lộc - ngã tư sở - full nội thất.Vị trí cách Royal City khoảng 200m - ngay gần chợ ngã tư sở.1: Loại hình căn hộ.- Căn 1 ngủ - 1 WC.- Căn 2 ngủ - 1 WC.- Căn 2 ngủ - 2 WC.2: Diện tích - giá bán.DT: 33m² - 38m² - 46m² - 48m² - 52m² - 55m² - 60m².Giá: Từ 600tr - 750tr - 950tr - 1tỷ 150 - 1tỷ 2 đến 1 tỷ 3.3: Pháp lý.- Ký hợp đồng trực tiếp chủ đầu tư.- Nhận sổ hồng từng căn riêng biệt.* Nội thất cơ bản đầy đủ - bảo vệ an ninh 24/24.Liên hệ để nhận thông tin cụ thể và video căn hộ.            ",33 m²,600 triệu,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,25/11/2022,05/12/2022,Tin thường,35177374,batdongsan_com_vn_35177374,,,,,,
"['Hà Nội', 'Đan Phượng', 'Xã Tân Lập', 'Đường Quốc lộ 32', 'Dự án Tân Tây Đô']","
Tôi chính chủ cần bán căn chung cư Tân Tây đô diện tích sử dụng 75 m. Hướng đông nam tầng 16. Vị trí đẹp tôi đang ở hoàn thiện đẹp như hình ảnh tôi đăng là nhà tôi đang ở. Ai muốn mua về ở tôi bán lại cho. 0989 699 *** ",75 m²,Thỏa thuận,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35984309,batdongsan_com_vn_35984309,Đông - Nam,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Kim Giang', 'Ngõ 168']","
+ Nhà trong ngõ 168 Kim Giang, trước nhà rộng 3m, lô góc thoáng sáng, cách mặt ngõ ô tô tránh 10m.+ Ngõ 168 to như phố, thông ra tứ tung, ra vành đai Nguyễn Xiển đi lại thuận tiện.+ Tiện ích xung quanh đầy đủ không thiếu thứ gì, vài bước ra khu đô thị Đại Kim.+ Nhà xây khung cột chắc chắn, các phòng đều có cửa sổ thoáng mát.+ DT 42m² 5 tầng, MT 5.5m, giá 4.8 tỷ (có thương lượng).- Tầng 1: Phòng khách + bếp + WC.- Tầng 2,3,4: 3 ngủ to rộng rãi + WC.- Tầng 5: Phòng thờ + sân phơi.+ Sổ đỏ nở hậu, giao dịch ngay.* LH: Em Nhung 0973 833 *** chuyên nhà thổ cư.            ",42 m²,4.8 tỷ,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,34745284,batdongsan_com_vn_34745284,,5.5 m,3 m,5 tầng,,
"['Hà Nội.', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hàm Nghi', 'Dự án Vinhomes Gardenia']","
- Căn hộ 53m² tòa A2 view bể bơi nội khu rất đẹp, có giếng trời rộng ngoài diện tích sổ làm tăng diện tích sử dụng của căn hộ, bán để lại đầy đủ nội thất.Giá từ 2.6 tỷ.- Căn hộ 74m² tòa A1 - A3 view nội khu - bể bơi, đầy đủ nội thất.Giá từ 3.4 tỷ.- Căn hộ 78 - 80m² tòa A1 - A2 hướng TB view nội khu, hướng ĐN thoáng xuôi ngã tu Nguyễn Cơ Thạch, nhà sạch sẽ gọn gàng.Giá bán từ 3.8 tỷ.- Căn hộ 77m² tòa A3 hướng TN view thoáng Vinaconex7, hướng ĐB view bể bơi khuôn viên nội khu - liền kề Hàm Nghi rất đẹp.Giá từ 3.55 tỷ.- Căn hộ A1 - A2 diện tích 74m² có 1 ban công, 82m² có 2 ban công, nhà vuông vức hướng ĐB view thoáng nhìn trực diện khu liền kề.Giá từ 4.05 tỷ.Các căn hộ đều đã có sổ đỏ, pháp lý minh bạch, sẵn sàng giao dịch.---------------------------------------------Chính chủ tin tưởng gửi bán các căn hộ Vinhomes Gardenia giá hợp lý, nhà đẹp.Anh chị quan tâm vui lòng liên hệ Minh Thắng: 0988 751 *** ",54 m²,2.6 tỷ,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,30930473,batdongsan_com_vn_30930473,,,,,Đầy đủ,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Nguyễn Hoàng', 'Dự án Mỹ Đình Plaza 2']","
Thông tin mô tả: (Căn góc).Diện tích: 104m².Số phòng ngủ: 3.Số phòng tắm: 2.Hướng ban công: Nam.Trang bị nội thất: Đầy đủ.Giá bán nhanh - Thương lượng.Liên hệ xem nhà: 0962 377 *** ",104 m²,3.9 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,34136741,batdongsan_com_vn_34136741,Đông - Nam,,,,Full.,
"['Hà Nội', 'Đan Phượng', 'Xã Phương Đình', 'Đường Tỉnh lộ 417']","
Tôi cần bán đất mặt đường ở Phương Đình, Đan Phượng+ Diện tích; 50m2+ Mặt tiền 3.93m, 2 mặt tiền. Mặt trước: mặt đường 417 (24m) kinh doanh buôn bán sầm uất, mặt sau quay ra đường dân sinh nhỏ+ Trên đất có nhà cấp 4+ Sổ đỏ lâu dài, sang tên chính chủ nhanh chóng+ Giá 3.4 tỷ, có thương lượng nhẹ, gia lộc cho khách thiện chí.LIên hệ: Em Hà 0961 000 ***zalo)            ",50 m²,68 triệu/m²,,,Sổ đỏ/ Sổ hồng,25/11/2022,02/12/2022,Tin thường,35288232,batdongsan_com_vn_35288232,,3.93 m,24 m,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Phạm Hùng', 'Dự án FLC Complex Phạm Hùng']","
Bán nhanh CHCC FLC Complex, diện tích 98m², thiết kế 3PN, giá bán nhanh.Mô tả:Diện tích sử dụng: 98m².Số phòng ngủ: 03 phòng.Số phòng tắm: 02 phòng.Trang thiết bị nội thất: Full đồ.Giá bán nhanh - thương lượng.Liên hệ: 0962 377 *** ",98 m²,3.4 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,24700390,batdongsan_com_vn_24700390,Nam,,,,Full.,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Phạm Hùng', '36', 'FLC Complex Phạm Hùng']","
Cập nhật quỹ căn hiện tại.Thông tin căn hộ:Diện tích 54m² - 56m², 2PN - 1WC. Giá 2tỷ2.Diện tích 70m², 2PN, 2WC, Ban công đông nam. Giá 2tỷ7 (duy nhất 1 căn giá này, ngoài ra còn những căn khác 3tỷ).Diện tích 93m² - 98m², 3PN - 2WC. Giá từ 3tỷ4.Anh chị xem nhà vui lòng liên hệ SDT: 0962 377 *** ",70 m²,2.7 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,31360912,batdongsan_com_vn_31360912,Đông - Nam,,,,Full,
"['Hà Nội', 'Tây Hồ', 'Phường Bưởi', 'đường Võng Thị', 'Số 14/9H/8']","
Tôi chính chủ cần bán căn nhà số 14/9H/8 Võng Thị Tây Hồ.Nhà 4 tầng, ô tô đỗ cửa, ngõ thông, thoáng, ô tô nhỏ vào nhà, kinh doanh nhỏ.Rất gần hồ, rất gần chợ. Thuận tiện giao thông ra các trục đường chính Trích Sài, Lạc Long Quân, Võ Chí Công, Thụy Khuê.Sổ đỏ chính chủ, nở hậu.Giá: 6.85 tỷ.Liên hệ chính chủ: C Phương 0981 080 *** xem nhà vào sau giờ hành chính hoặc thứ 7, chủ Nhật.(xin lỗi: Trung gian& quảng cáo không làm phiền).            ",50 m²,6.85 tỷ,,,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,34212131,batdongsan_com_vn_34212131,,,14 m,,,
"['Hà Nội', 'Đống Đa', 'Phường Quốc Tử Giám', 'Đường Cát Linh']","
Cửa nhà ngõ rộng - khu văn minh - tiện ích vô vàn - giá tốt.- Nhà phố Cát Linh, Đống Đa: 45m², 3 tầng, cầu thang giữa, thoáng trước sau, 4 ngủ đều thoáng sáng. Hiện trạng nhà đã lắp 3 điều hoà, nóng lạnh, sàn gỗ. Khách chỉ việc về ở.- Khu dân trí cao, ngõ rộng ba gác tránh, cách 50m là mặt phố Cát Linh, đầu ngõ kinh doanh sầm uất.- Nhà tự xây khung cột chắc chắn, thiết kế hiện đại, sổ đỏ vuông đét.- Liên hệ Mr Cường để được tư vấn giá tốt nhất.            ",45 m²,5.55 tỷ,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35983593,batdongsan_com_vn_35983593,,,,3 tầng,,
