address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Đường vào
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Mạc Thái Tông', 'Dự án Nam Trung Yên']","
Tìm bên mua mua để sử dụng cả tòa nhà 250m² x 8 tầng mặt tiền 30m tại Nam Trung Yên - Cầu Giấy.Có thang máy và các tầng thông suốt kiểu văn phòng chuyên nghiệp. Tầng 1 là lễ tân và có 1 hầm để xe.Sổ đỏ đất sở hữu lâu dài.Bàn giao sử dụng luôn.Giá: Mời Inbox hoặc điện thoại trực tiếp cho Công ty BĐS Sơn Nguyễn.0903 - 234 - 760! Xin cảm ơn!            ",250 m²,Thỏa thuận,30 m,8 tầng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35984627,batdongsan_com_vn_35984627,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Pháp Vân', 'Dự án The Zen Residence']","
Chính chủ cần bán gấp CH bên The Zen Gamuda vì thừa nhà không ở tới, chủ nhà đang ở biệt thự.Diện tích: 54m².Phòng ngủ: 1.Vệ sinh: 1.Hướng ban công: ĐN.Hướng cửa: TB.Nội thất: Tivi, tủ lạnh, giường, tủ quần áo, bàn ghế, kệ tivi, máy giặt,...Giá bán: 2 tỷ.Pháp lý: Có sổ.Căn hộ bên The Zen Gamuda ai cần mua liên hệ em:LH: 0385 095 *** ",54 m²,2 tỷ,,,Sổ đỏ/ Sổ hồng.,24/11/2022,01/12/2022,Tin thường,35848733,batdongsan_com_vn_35848733,Tây - Bắc,Đông - Nam,1 phòng,1 phòng,"Tivi, tủ lạnh, giường, tủ quần áo, bàn ghế, kệ tivi, máy giặt,...",
"['Hà Nội', 'Chương Mỹ', 'Xã Thuỷ Xuân Tiên', 'Đường 6']","
Chính chủ bán đất dự án 201m² lô 2 mặt tiền tại Thủy Xuân Tiên.DT: 201m².Đất nở hậu MT 9,9m. Đất 2 mặt tiền.Gần trường học, gần chợ, gần ngã 3 liên xã.Từ QL6 vào là 200m, đường vào ô tô tránh nhau thoải mái.Khu vực đông dân cư, an ninh tốt.Liên hệ: 0989 929 *** Anh Đạt.            ",201 m²,3.05 tỷ,16 m,,Sổ đỏ/ Sổ hồng,29/11/2022,13/12/2022,Tin thường,35984333,batdongsan_com_vn_35984333,Nam,,,,,7 m
"['Hà Nội', 'Quốc Oai', 'Thị trấn Quốc Oai', 'Đường Đại lộ Thăng Long']","
Chính chủ: Bán kho xưởng khu công nghiệp Thạch Thất - đại lộ Thăng Long - pháp lý chuẩn dòng tiền cho thuê tốt.- Diện tích 10359 m².- Mặt tiền 45m.- 2 mặt đường lớn khu công nghiệp, vỉa hè vuông vắn, thuận tiện đi lại di chuyển.- Nhà xưởng mới dễ cho thuê, dòng tiền tốt gồm 2 khối bê tông 4 tầng và khung sắt.- Sổ đỏ, pháp lý chuẩn, giao dịch ngay.Liên hệ em Hương Ly: 0778 568 *** để xem thực tế.            ",10359 m²,89.9 tỷ,45 m,4 tầng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35984684,batdongsan_com_vn_35984684,,,1 phòng,1 phòng,,32 m
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Định Công', '176', 'Sky Central']","
Chính chủ cần bán ch 3PN bên Sky Central 176 Định Công:Diện tích: 93m².Nội thất: Full đồ.Giá: 3,8 tỷ.Pháp lý: Có sổ.Sang tên: Bao phí.Ai quan tâm liên hệ em ạ: 0385 095 *** ",93 m²,3.8 tỷ,,,Có sổ.,24/11/2022,01/12/2022,Tin thường,35852423,batdongsan_com_vn_35852423,Tây - Bắc,Đông - Bắc,3 phòng,2 phòng,Full đồ.,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội']","
Bán lô CL18 đất dịch vụ Đồng Đế, Dương Nội, cạnh Aeon Mall Hà Đông.- Dt 50m², mt 4m, hướng TB, đã có nhà cấp 4.- Vị trí đẹp, trục thông, đường rộng thông thoáng. Bên cạnh là Aeon Hà Đông, dự án Bệnh viện đa khoa Quốc tế, trường đại học, chung cư nên vô cùng tiềm năng.- Sđcc, pháp lý sạch, được xây 6 tầng 1 tum.Giá 5.75 tỷ có thương lượng nhẹ.Lh 0945 556 *** ",50 m²,5.75 tỷ,4 m,,Sđcc,29/11/2022,06/12/2022,Tin thường,34366521,batdongsan_com_vn_34366521,Tây - Bắc,,,,,12 m
"['Hà Nội', 'Quận Tây Hồ', 'Phường Quảng An', 'Đường Đặng Thai Mai']","
Mô tả:+ Nhà Đặng Thai Mai, Tây Hồ 52m², 4 tầng, nhỉnh 11 tỷ, lô góc 3 mặt ngõ ô tô dừng đỗ thoải mái. Ngõ trải nhựa sạch sẽ, kinh doanh đỉnh.+ Vị trí hiếm trong khu vực, ô tô ra vào thoải mái. Phố Đặng Thai Mai thuộc phường Quảng An của quận Tây Hồ, được bao quanh bởi Hồ Tây nên khu vực trông như 1 bán đảo. Cũng vì vậy mà khu vực cực trong lành bởi có nhiều cây xanh và Hồ Tây lộng gió, kéo theo nhiều khách sạn, nhà khách hay những dự án nghỉ dưỡng như: InterContinental Hà Nội Westlake, Sheraton Hanoi, D. Le Roi Soleil của Tân Hoàng Minh...+ Nhà tự xây 10 năm vẫn cực đẹp, thiết kế mỗi tầng 2 phòng. Chủ đã mua biệt thự Ciputra nên cần bán.+ Sổ đỏ chính chủ, liên hệ em Tình 0983 053 *** ",52 m²,11.5 tỷ,4 m,4 tầng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35983750,batdongsan_com_vn_35983750,,,6 phòng,5 phòng,,6 m
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường An Phú', 'Dự án An Vượng Villa']","
Biệt thự An Vượng, Dương Nội gần hồ và công viên. Trước mặt có vườn hoa nhỏ giá 23.5 tỷ.Diện tích đất 180m². Xây 3 tầng 1 tum hoàn thiện mặt ngoài theo kiến trúc hiện đại, nhiều ánh sáng. 3 mặt thoáng với nhiều cửa kính. Mặt tiền 9m, gara có thể để được 2 ô tô.Biệt thự cách hồ và công viên thiên văn học chỉ khoảng 200m, cách đường Lê Quang Đạo kéo dài khoảng 200m, ngay cạnh đường Ngô Thì Nhậm kéo dài đi ra Aeon Mall Hà Đông.Giá bán: 23.5 tỷ.Liên hệ: 0945 556 *** ",180 m²,23.5 tỷ,,3 tầng,,29/11/2022,06/12/2022,Tin thường,34365902,batdongsan_com_vn_34365902,Tây - Bắc,,,,,12 m
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc', 'Đường Tố Hữu', 'Dự án TSQ Galaxy']","
Chính chủ bán căn liền kề 91m², sổ đỏ, giá tốt. Lh: 0962 247 ***Gia đình cần bán liền kề Ngân Hà, Vạn Phúc diện tích 91m².Mặt tiền 5,2m.Diện tích xây dựng: 370m².Giá bán: 1X tỷ.Hỗ trợ ngân hàng vay.Dự án TSQ Galaxy, Hà Đông, Hà Nội.+ Bàn giao: Hoàn thiện mặt ngoài.+ Hình thức sở hữu: Sổ đỏ lâu dài.LH: 0962 247 *** ",91 m²,15 tỷ,5.2 m,5 tầng,Sổ đỏ,29/11/2022,09/12/2022,Tin thường,35831763,batdongsan_com_vn_35831763,,Đông - Nam,5 phòng,5 phòng,Hoàn thiện mặt ngoài ,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 2', 'Đường Phạm Văn Đồng', 'Dự án Nhà ở cho CBCS Bộ Công an']","
+ Dự án dành cho Cán Bộ Chiến Sỹ Bộ Công An, gần Metro, Bộ Công An, An Bình City...+ Tòa nhà 27 tầng, 2 tầng hầm. Thiết kế 14 căn/ 6 thang máy tốc độ cao/ sàn.+ Căn hộ 70m² thiết kế: 2 ngủ, 2 wc nội thất cơ bản.Giá bán: 2.5 tỷ.Liên hệ xem nhà: 0906 241 *** ",70 m²,2.5 tỷ,,,,29/11/2022,06/12/2022,Tin thường,33447895,batdongsan_com_vn_33447895,,,2 phòng,2 phòng,CB,
