address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Số tầng,Pháp lý,Nội thất
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Xuân Thủy', 'Dự án Mipec Rubik 360']","
* Tôi chính chủ cần bán gấp căn hộ tại chung cư Mipec Rubik 360.- Diện tích 68,8m².- Thiết kế 2 phòng ngủ và 2 vệ sinh.- Cửa hướng Nam, ban công hướng Bắc.- Giá bán 3,1 tỷ.* Anh chị có nhu cầu xin liên hệ 0379 730 **** Em Chuyên hỗ trợ xem nhà 24/7.* Xin cảm ơn.            ",68.8 m²,3.1 tỷ,Nam,Bắc,2 phòng,2 phòng,25/11/2022,02/12/2022,Tin thường,35507287,batdongsan_com_vn_35507287,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Hồ Tùng Mậu']","
Chính chủ bán gấp nhà phân lô quân đội Z199 lô góc 2 mặt tiền và 1 mặt thoáng DT 50m² x 6 tầng thang máy ở Cầu Diễn Hồ Tùng Mậu, mặt tiền 8m, đường trước nhà rộng 6m ô tô 7 chỗ ra vào nhà thoải mái.Nhà 2 mặt tiền 1 mặt thoáng mới coong, thiết kế siêu đẹp, công năng sử dụng tối ưu.Tầng 1 gara ô tô (2 ô tô) + (5 - 6 chiếc xe máy) + wc.Tầng 2 phòng khách và bếp ăn + WC.Tầng 3 phòng to master + WC.Tầng 4 + 5 mỗi tầng có 2 phòng ngủ khép kín.Tầng 6 phòng thờ + sân phơi.Vị trí rất đẹp nằm ngay mặt ngách gần ngõ, an ninh tốt, dân trí, xung quanh nhà là các gia đình các Bác trong quân đội đang công tác và đã về hưu rất thân thiện và rễ gần.Giao thông đi lại rất thuận tiện, nhà nằm ngay cạnh Trường Đại Học Tài Nguyên Môi Trường, cách đường Quốc Lộ 32 Cầu Diễn 300m.Sổ đỏ chính chủ giá 8,9 tỷ có thương lượng.Hình ảnh chuẩn 100%.Lh: Mr Trung 0986 536 *** ",50 m²,8.9 tỷ,Đông - Bắc,Đông,5 phòng,5 phòng,29/11/2022,06/12/2022,Tin thường,35984411,batdongsan_com_vn_35984411,8 m,6 m,6 tầng,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Phố Sài Đồng', 'Dự án TSG Lotus Sài Đồng']","
Gia đình mình bán căn hộ tại chung cư TSG Lotus Sài Đồng, Long Biên.Diện tích 87m² thiết kế 3PN, 1 phòng đa năng và 2WC. View Vinhome Riverside. Nhà rất tâm huyết mời các bác lên xem trực tiếp.Thông tin căn hộ.Hướng cửa Đông nam ban công Tây Bắc 2 góc view Vinhome riverside và the hamony, ngắm pháp hoa đêm giao thừa.Nhà để lại nội thất nội thất như ảnh.Nhà đã có sổ đỏ sẵn sàng giao dịch mua bán chuyển nhượng.Giá bán 3,3 tỷ (bao phí sang tên). Sổ đỏ sang tên chính chủ.Có slot đỗ ô tô.            ",87 m²,3.3 tỷ,Tây - Bắc,Đông - Nam,3 phòng,,29/11/2022,06/12/2022,Tin thường,35786710,batdongsan_com_vn_35786710,,,,Sổ đỏ/ Sổ hồng,Có nội thất
"['Hà Nội', 'Thanh Xuân', 'Phường Phương Liệt', '326 Đường Lê Trọng Tấn', 'Dự án Spring Home']","
Chính chủ thiện chí cần bán 1 căn chung cư tại toà Spring Home CT36 326 Lê Trọng Tấn, Thanh Xuân:- Diện tích 126m², 3 phòng ngủ, 2 vệ sinh, tầng trung.- Sổ đỏ chính chủ, nhìn ra đường Lê Trọng Tấn.- Để lại toàn bộ nội thất gỗ (giường tủ, bàn ăn... ) và các thiết bị gắn tường.Nhà xây với mục đích ở nên đồ đạc chất lượng, gia chủ ở giữ gìn.- Toà nhà riêng biệt, vị trí đắc địạ, gần nhiều đường lớn, đi đâu cũng gần.- 3 thang máy, chưa bao giờ phải chờ thang quá 5 phút.- Tiện ích phong phú: Có hầm gửi xe, bảo vệ 24/24, sân chơi trẻ em, cửa hàng café...- GIá dịch vụ phải chăng so với tiện ích.- Hàng xóm thân thiện, cởi mở, dân trí cao.- Giá 5 tỷ, có thương lượng.            ",126 m²,5 tỷ,,,3 phòng,2 phòng,29/11/2022,19/12/2022,Tin thường,35672921,batdongsan_com_vn_35672921,,,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Cổ Nhuế 2', 'Đường Cổ Nhuế']","
+ Vị trí trung tâm, ngõ thông, ô tô đỗ cửa, gần đường mới trục Tây Thăng Long, 03 phút ra Phạm Văn Đồng.+ Khu vực tập trung nhiều trường Đại học: Học viện Cảnh Sát, ĐH Mỏ, HV Tài Chính, BV Phương Đông, dân cư đông đúc.+ Nhà 5 tầng, mặt tiền 4,5m, chủ tự xây chắc chắn, ở luôn. Chủ nhà tặng lại nội thất toàn gỗ Trắc xịn...+ Giá chào: 6,5 tỷ (có thương lượng với khách hàng thiện chí).+ LH: 0966 481 *** Mr Dũng (để được tư vấn và xem nhà miễn phí).            ",55 m²,6.5 tỷ,,,6 phòng,,29/11/2022,09/12/2022,Tin thường,35983451,batdongsan_com_vn_35983451,4.5 m,3.5 m,5 tầng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình']","
Cần bán thửa đất tại đường Khương Đình, gần chung cư Five Star. Ngõ thông sang hồ Hạ Đình. Tiện di chuyển sang Nguyễn Trãi, Nguyễn Xiển, Khuất Duy Tiến, Ngã Tư Sở, Kim Giang. Chỉ vài bước chân ra đến phố Khương Đình.Thửa đất vuông vắn, rộng 36m², mặt tiền rộng 4m, dài 9m. Hiện đang có nhà C4 cho thuê. Có thể vào ở ngay.Pháp lý: Có sổ. Giá bán 2.5 tỷ. Liên hệ Anh Doanh - thổ địa Thanh Xuân.            ",36 m²,2.5 tỷ,,,,,29/11/2022,06/12/2022,Tin thường,35983849,batdongsan_com_vn_35983849,4 m,,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', '110 Đường Cầu Giấy', 'Dự án Cầu Giấy Center Point']","
Tôi chủ căn hộ 110 Cầu Giấy Center Point 76m² 3 ngủ cần bán, nhà gia đình đã thiết kế lại thành 3 ngủ nội thất đẹp còn rất mới, cần bán để chuyển sang căn rộng hơn.Đặc điểm căn hộ.Diện tích thông thủy 76m².Thiết kế 3 ngủ 2 vệ sinh.Vị trí căn hộ tầng thấp.Hướng Đông Bắc ban công Tây Nam.Gia đình để lại nội thất liền tường đồ đẹp và xịn..Giá bán. 3,6 tỷ.Liên hệ. Mr Khánh 0326 101 *** ",76 m²,3.6 tỷ,Đông - Bắc,Tây - Nam,3 phòng,2 phòng,29/11/2022,06/12/2022,Tin thường,35815081,batdongsan_com_vn_35815081,,,,Sổ đỏ/ Sổ hồng,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Yên Lãng']","
Bán nhà phố Yên Lãng - Đống Đa - mặt ngõ thông rộng sáng - kinh doanh nhỏ - nhà siêu đẹp 5 tầng - 2 mặt thoáng vĩnh viễn - sổ đỏ đẹp chính chủ.- DT: 52/55m² x 5 tầng x MT: 4.2m.- Giá 6.1 tỷ (có thương lượng).Mô tả:+ Tầng 1: Để xe, bếp, vệ sinh (có tầng lửng làm phòng khách rất hợp lý).+ Tầng 2, 3: mỗi tầng 2 ngủ, vệ sinh.+ Tầng 4: 1 phòng ngủ, vệ sinh, phòng thờ.+ Tầng 5: Chỗ để máy giặt 2 sân phơi, trồng hoa, sinh hoạt ngoài trời.+ Nhà được xây dựng rất tâm huyết, khung cột bê tông cốt thép chắc chắn, các phòng cửa sổ lớn thoáng sáng, không gian sống văn minh, trang thiết bị nội thất cao cấp, đầy đủ mọi công năng, khách chỉ việc xách vali tới ở luôn.+ Nhà đi vào từ nhiều tuyến phố như Láng Hạ, Láng, Yên Lãng, gần chợ, trường học, bệnh viện an sinh, tiện ích không thiếu thứ gì.Mọi chi tiết xin liên hệ Gia Luân.ĐT: 0916 060 ***Giao dịch chính chủ.Giảm sâu cho khách thiện chí.            ",55 m²,6.1 tỷ,,,5 phòng,4 phòng,29/11/2022,06/12/2022,Tin thường,35984401,batdongsan_com_vn_35984401,4.2 m,2.5 m,5 tầng,Có sổ đỏ,Cao cấp
"['Hà Nội', 'Hoàng Mai', 'Dự án The Zen Residence']","
Chủ nhà cần bán gấp căn hộ 2 PN, DT 77m² bên the two Gamuda.Giá: 3 tỷ 700.Nội Thất: Full.Vẫn hỗ chợ cho thuê 14tr/tháng.            ",77 m²,3.7 tỷ,Đông - Nam,Tây - Nam,2 phòng,2 phòng,25/11/2022,02/12/2022,Tin thường,35951294,batdongsan_com_vn_35951294,,,,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Hoàng Đạo Thúy', 'Dự án Hà Nội Center Point']","
Tôi chủ căn hộ 81m² 3 phòng ngủ ở Hà Nội Center Point ĐN2, sổ đỏ và ban giao nhà ngay, gia đình cần chuyển nhà nên cần bán sơm.Căn hộ có diện tích 81m² 3 phòng ngủ 2 vệ sinh, cửa vào Tây Bắc ban công Đông Nam, tầng cao view đẹp thoáng mát.Full nội thất.Dự án Hà Nội Center Point vị trí đắc địa và đẹp nhất Lê Văn Lương ngay ngã tư đường Lê Văn Lương và đường Hoàng Đạo Thuý qua Khu đô thị Trung Hoà Nhân Chính Khu đô thị và Trung tâm Thương mại lớn, kiểu mẫu của thủ đô Hà Nội.Gần ngay khu đô thị Trung Hòa Nhân Chính, Trường chuyên Amsterdam, Mầm non quốc tế Sao Hà Nội.Trung tâm mua sắm Vin Mart, Big C Thăng Long, Ẩm thực Lã Vọng...Thuận tiện cho lưu thông: Sân bay quôc tế Nội bài, Trung tâm Hà Nội, Quốc lộ 6, Đường trên cao...Chuẩn chất lượng cao bao gồm tiện ích: Bể bơi, phòng tập thể thao đa năng, spa, trường mẫu giáo, siêu thị, ẩm thực, rạp chiếu phim.Giá bán 3,8 tỷ.Liên hệ Mr Khánh 0326 101 *** ",81 m²,3.8 tỷ,Tây - Bắc,Đông - Nam,3 phòng,2 phòng,29/11/2022,06/12/2022,Tin thường,35339616,batdongsan_com_vn_35339616,,,,Sổ đỏ/ Sổ hồng,
