address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Mặt tiền,Hướng ban công,Đường vào
"['Hà Nội', 'Hà Đông', 'Phường Biên Giang', 'Đường An Thắng']","
1.75 tỷ nhà 4tầng/38m² Biên Giang Hà Đông gần chỗ ô tô đỗ.- Vị trí: Nhà thuộc An Thắng Biên Giang, cách chỗ đỗ ô tô 30m ngày đêm, cách trục Quang Trung, quốc lộ 6 chỉ 500m. Xung quanh dân cư đông đúc, dân trí cao, sầm uất. Bán kính 200m đầy đủ các tiện ích. Thuận tiện đi lại lên phố và các tỉnh.- Diện tích: 38m².- Hướng: Tây (có cả đông nam).- Nhà xây 4 tầng cầu thang giữa thiết kế hiện đại:+ Tầng: Phòng khách + bếp + wc.+ Tầng 2,3: Mỗi tầng 2 phòng ngủ và 1wc.+ Tầng 4: Phòng thờ + sân phơi.Tổng 4 ngủ, 3wc, 1 phòng thờ.Hỗ trợ vay vốn ngân hàng.- Giá bán: 1.75 tỷ (bao sang tên và có thương lượng).Liên hệ để được tư vấn và xem nhà miễn phí.            ",38 m²,1.75 tỷ,Đông - Nam,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35777967,batdongsan_com_vn_35777967,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nguyễn Xiển', 'Dự án Kim Văn Kim Lũ']","
Bán nhanh trong tuần! Giá cực đẹp.Chính chủ cẩn bán căn hộ 73.6m² đường Nguyễn Xiển CT12 Kim Văn Kim lũ giá chỉ 1.7xx tỷ LH 0979 448 ***+ Vị trí ngay đường Nguyễn Xiển cạnh Đại học Thăng Long, cách Hồ Linh Đàm 1km, cách Ngã tư Khuất Duy Tiến, Nguyễn Trãi 1km.+ Giao thông thuận tiện phía Tây Nam thành phố, tiện ích ngập tràn dưới chân tòa nhà.+ Hệ thống trường liên cấp Lý Nhân Tông ngay sau tòa nhà, cách trường cấp 1, 2 Đại kim 500m, cách trường cấp 1 2 Kim giang 700m.+ Căn hộ tầng trung rất đẹp.+ Căn nhà cực kì vuông và thiết kế hợp lý cho từng phòng.+ Thiết kế 3 ngủ, 2 wc.+ Nội thất điều hòa, nóng lạnh full nội thất.+ Pháp lý: Sổ đỏ chính chủ.LH: 0979 448 *** ",73.6 m²,1.78 tỷ,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35983616,batdongsan_com_vn_35983616,Đầy đủ.,,,
"['Hà Nội', 'Hà Đông', 'Phường Phú Lãm']","
2.25 tỷ nhà 5 tầng ngay sát chợ Phú Lãm gần ngã 3 Ba La.- Diện tích: 32m².- Hướng: Tây Nam (có căn đông Nam).- Sđcc pháp lý chuẩn sang tên ngay.- Vị trí: Nhà ở ngay gần chợ Bắc Lãm - Phú Lãm - Hà Đông. Xung quanh dân cư đông đúc, dân trí cao, sầm uất. Tiện ích không thiếu thứ gì, trẻ em đi học thuận tiện,...Nhà xây 5 tầng đầy đủ công năng, có ban công rất thoáng:+ Tầng 1: Phòng khách + bếp + wc.+ Tầng 2, 3, 4: Mỗi tầng 1 ngủ rộng và 1 wc.+ Tầng 5: Phòng thờ + sân phơi rộng rãi.Hỗ trợ vay vốn ngân hàng.Nhà đang có giá rẻ nhất khu vực, nhanh tay liên hệ xem nhà và tư vấn miễn phí.- Giá bán: 2.25 tỷ (Bao sang tên và thương lượng).            ",32 m²,2.25 tỷ,Tây - Nam,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35772634,batdongsan_com_vn_35772634,,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án KĐTM Dương Nội']","
Cần bán gấp căn BT song lập 189m², 3 tầng.- Giao thông thuận tiện.- Tiện ích đầy đủ, an ninh tốt.- Gần Aeon Mall, công viên Thiên Văn Học.- Giá: 25 tỷ.- Hotline: 0337 234 ***Ms Duyên).            ",189 m²,25 tỷ,,3 tầng,4 phòng,4 phòng,Sổ đỏ/ sổ hồng,29/11/2022,06/12/2022,Tin thường,35984298,batdongsan_com_vn_35984298,,,,
"['Hà Nội', 'Hà Đông', 'Phường Phú La', 'Đường Lê Trọng Tấn', 'Dự án La Casta Văn Phú']","
Bán liền kề La Casta - Hà Đông cạnh uỷ ban nhân dân, đường thông thoáng.- Diện tích 88m².- Mặt tiền: 5m.- Xây dựng 5 tầng.2 mặt tiền 2 mặt đường, dự án La Casta Văn Phú (Cleve Văn Phú). Nhìn thẳng công viên kinh doanh sầm uất.Phù hợp làm quán cafe, spa, văn phòng...Dự án nằm ở vị trí trung tâm quận Hà Đông, trên mặt đường Lê Trọng Tấn, trong khu đô thị Văn Phú, phường Phú La.Chi tiết liên hệ 0979 190 *** miễn TG và QC.            ",88 m²,11.5 tỷ,,5 tầng,,,Sổ đỏ,29/11/2022,06/12/2022,Tin thường,35334473,batdongsan_com_vn_35334473,,5 m,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thanh Xuân Trung', 'Đường Nguyễn Tuân', '47', 'GoldSeason']","
Gia đình tôi chuyển hẳn vào Nam sinh sống nên cần bán căn hộ GoldSeason địa chỉ 47 Nguyễn Tuân cho ai thiện chí mua.- Căn hộ tầng đẹp, cửa vào tây bắc, ban công Đông Nam thoáng mát, không bị che chắn, view rất đẹp.- Thiết kế: 3PN + 2VS.- Sổ đỏ chính chủ.- Giá bán: 4,15 tỷ(có thương lượng).Ai có nhu cầu mua và xem nhà liên hệ sđt: 0986 555 ***chị Trang).            ",80 m²,4.15 tỷ,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35475503,batdongsan_com_vn_35475503,,,,
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Đường Huỳnh Văn Nghệ', 'Dự án Le Grand Jardin Sài Đồng']","
* Trực tiếp với chủ đầu tư, không qua trung gian luôn là sự an tâm với khách hàng. Quý khách hàng được hưởng giá và chính sách tốt nhất chỉ CĐT mới có. Hỗ trợ khách hàng trọn đời.Hãy gọi ngay cho chúng tôi qua số hotline: 0949 240 **** Chính sách bán hàng:+ Chiết khấu 6 % giá bán căn hộ trước VAT.+ Miễn phí 18 tháng phí dịch vụ vận hành.+ Tặng đến 3 chỉ vàng 9999.+ Với khách vay ngân hàng - miễn phí lãi 0% 12 tháng, ân hạn nợ gốc.--------------------------------------------------------------------Giá bán chỉ từ 3x triệu/m.+ Căn 2PN 50m², 54m²: Chỉ từ 2 tỷ.+ Căn 2PN 64m² - 66m² - 76m²: Chỉ từ 2,3 tỷ.+ Căn hộ (2PN + 1) 83m²: Từ 2,9 tỷ.+ Căn hộ 3PN góc 97m² - 99m² - 105m²: Từ 3,4 tỷ - 3,6 tỷ/mua thẳng - trả góp lS 0%.--------------------------------------------------------------------* Đồng thời chúng tôi có quỹ căn chuyển nhượng căn đẹp, tầng đẹp, giá siêu rẻ, ở ngay để anh chị tìm hiểu và tham khảo.--------------------------------------------------------------------Hotline CĐT hỗ trợ 24/7: 0949 240 *** ",83.4 m²,3.1 tỷ,Tây - Nam,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,09/12/2022,Tin thường,35983904,batdongsan_com_vn_35983904,,,Đông - Bắc,
"['Hà Nội', 'Hà Đông', 'Phường Phú Lãm', 'Đường 21B']","
Bán nhà 5 tầng 32m² Phú Lãm, Hà Đông thoáng gần đường ô tô 2.45 tỷ.- Hướng nhà: Đông, Nam, Tây Nam.- Diện tích: 32m².- Sđcc, pháp lý chuẩn sang tên ngay.- Vị trí: Nhà thuộc tổ 8 Phú Lãm, Hà Đông. Nhà cách đường ô tô chỉ 50m, cách Ql21B 200m. Cách chợ Xốm 500m. Xung quanh dân trí cao, dân cư đông đúc, hàng xóm thân thiện. Đầy đủ các tiện ích: Trường học các cấp, trường đại học, siêu thị, thuốc, khu vui chơi ăn uống.Nhà xây 4 tầng 1 tum đầy đủ công năng sủ dụng:+ Tầng 1: Phòng khách + bếp + wc.+ Tầng 2, 3, 4: Mỗi tầng 1 ngủ + 1wc.+ Tầng 5: Phòng thờ + sân phơi.Giá bán: 2.45 tỷ (Bao phí sang tên và có thương lượng).Liên hệ xem nhà miễn phí: 0989 426 *** ",32 m²,2.45 tỷ,Đông,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35339675,batdongsan_com_vn_35339675,,,,
"['Hà Nội', 'Hoài Đức', 'Xã Di Trạch']","
Đất thổ cư thôn Ải Di Trạch phân lô đẹp hơn tranh ngay đường Vành đai 3.5, cách 5m ra đg ô tô tránh nhau luôn ah. Diện tích siêu đẹp 35,5m² MT đều hơn 4m.Giá 52tr/m² làm việc chính chủ! Có thương lượng.            ",35.5 m²,52 triệu/m²,,,,,Đã có sổ đỏ.,29/11/2022,06/12/2022,Tin thường,35741623,batdongsan_com_vn_35741623,,,,
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng', 'Dự án Mipec City View']","
Chính chủ cần bán chung cư 3 ngủ Mipec Kiến Hưng, Hà Đông.Hướng ban công: Đông Nam, cửa chính: Tây Bắc.Diện tích: 104,5m².Nhà có 3 ngủ 3 vệ sinh, 2 ban công đã làm trần thạch cao, khách mua về có thể thiết kế theo sở thích.Tiện ích: Trường học, chợ, hầm gửi xe rộng rãi, khuôn viên cho trẻ em,... Gần các bệnh viện lớn như Bệnh viện 103, bệnh viện Hà Đông, BV Nội Tiết, K Tân Triều,...Pháp lý: Sổ đỏ.Giá bán: 2.65 tỷ có thương lượng và bao sang tên.Liên hệ xem nhà: 0989 426 *** ",104.5 m²,2.65 tỷ,Tây - Bắc,,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,33898415,batdongsan_com_vn_33898415,,,Đông - Nam,
