address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Hướng nhà,Hướng ban công,Nội thất
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Nhân Mỹ', 'Dự án 789 Bộ Tổng Tham Mưu - BQP']","
Bán căn hộ chung cư 789 Bộ Quốc Phòng, Mỹ Đình, Nam Từ Liêm 70m², 2 PN, nhà đẹp ở luôn, nhỉnh 2 tỷ.- Căn hộ diện tích 70m², 2 phòng ngủ, 2 vệ sinh, nhà đẹp ở luôn.- Vị trí đắc địa, tiện ích đầy đủ, siêu thị, trung tâm thương mại, nhà hàng, trường mầm non, trường học các cấp, chợ dân sinh,..- Sổ đỏ chính chủ.- Giá 2 tỷ 250 triệu có thương lượng.- Liên hệ: Ms Én 0983 416 *** để được xem nhà miễn phí.- Miễn phí xem nhà, giúp khách hàng mua nhà ưng ý.            ",70 m²,2.25 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35983302,batdongsan_com_vn_35983302,,,,
"['Hà Nội', 'Hai Bà Trưng', 'Phường Lê Đại Hành', 'Phố Bà Triệu']","
- Bán Nhà Sổ đỏ chính chủ 115A Bà Triệu. 35,4m², mặt tiền 3,8m. 21,5 tỷ.- Nhà mặt phố, kinh doanh sầm uất ngày đêm, giáp Phố Huế, Trần Nhân Tông, Nguyễn Du, 3 bước Vincom Bà triệu.- Sổ đỏ chính chủ.- Liên hệ: 0382 456 *** ",35.4 m²,21.5 tỷ,3 phòng,3 phòng,,29/11/2022,06/12/2022,Tin thường,35981762,batdongsan_com_vn_35981762,3 tầng,,,
"['Hà Nội', 'Hà Đông', 'Phường Kiến Hưng', 'Đường Đa Sỹ']","
Nhà được thiết kế theo phong cách trẻ trung hiện đại.+ Tầng 1: Phòng khách, bếp, vệ sinh.+ Tầng 2,3: Mỗi tầng 2 phòng ngủ + 1 vệ sinh.+ Tầng 4: Phòng thờ, sân phơi rộng.* Nội thất cơ bản: Hệ thống cửa chính 2 lớp, cửa thông phòng lim, cửa sổ nhôm hệ Việt Pháp. Trần thạch cao, Gạch nền chống xước, cầu thang mặt đá granit tay vịn gỗ, bàn bếp tủ bếp gỗ Sồi Nga. Phòng ngủ sàn gỗ. Thiết bị vệ sinh Inax, Sen vòi Inox 304, Bình nóng lạnh, Bồn nước 1000L, hệ thống điện chiếu sáng, đèn trần, các đầu chờ thiết bị điện.* Vị trí: Nhà nằm trục cổng làng Đa Sỹ, gần sân bóng Cường Quốc, bể bơi Đa Sỹ xung quanh đầy đủ tiện ích phục vụ nhu cầu thiết yếu của gia đình, Trường cấp 1, 2 chợ, khu vui chơi sân bóng ngã 4 Đa Sỹ - Hà Trì. Bán kính 1km là các bệnh viện lớn 103 viện Bỏng Quốc Gia, k Tân Triều.+ Giao thông đi lại thuận tiện như Xa La, Kiến Hưng, Cienco 5, Hà Trì, chợ lớn Hà Đông và trường Chuyên Lê Lợi.- Sổ đỏ pháp lý rõ ràng.- Hỗ trợ vay vốn ngân hàng với lãi xuất ưu đãi.- Giá chỉ 2.7 tỷ (Bao tất cả các loại thuế phí + có gia lộc).- Liên hệ: Quốc Trịnh xem nhà miễn phí.Trân trọng cảm ơn bạn đã đọc tin.            ",35 m²,2.7 tỷ,4 phòng,,Sổ đỏ,29/11/2022,06/12/2022,Tin thường,34085559,batdongsan_com_vn_34085559,4 tầng,,,
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Đường Trần Phú']","
Nhà xây 5 tầng khung bê tông cốt thép chắc chắn, có bản vẽ thiết kế và giấy phép xây dựng đầy đủ.+ Tầng 1: Phòng khách, bếp, để xe.+ Tầng 2, 3, 4: Mỗi tầng 1 phòng ngủ, wc.+ Tầng 5: Phòng thờ, sân phơi.* Nội thất: Giường ngủ, tủ âm tường, tủ giày, tủ bếp gỗ sồi Nga, hệ thống cửa cuốn, cầu thang tay vịn gỗ chắc chắn, gạch chống xước, đèn điện trang trí hiện đại, tường nhà hoa văn trang trí, thạch cao, điều hòa nóng lạnh đầy đủ.* Vị trí: Ngay cạnh Hồ Mỗ Lao, cách Hồ Gươm Plaza 100m, giao thông thuận tiện thông sang Trần Phú, Nguyễn Khuyến, Thanh Bình. Đầy đủ mọi tiện ích. Dân chí cao, an ninh tốt.- Sổ đỏ: Chính chủ, pháp lý rõ ràng.- Giá chào: 3.6 tỷ (thương lượng, bao phí sang tên).- Hỗ trợ vay vốn ngân hàng với lãi xuất ưu đãi.- Liên hệ: Quốc Trịnh 0889 573 *** xem nhà.Cảm ơn bạn đã đọc tin!            ",35 m²,3.6 tỷ,3 phòng,,,29/11/2022,06/12/2022,Tin thường,35358502,batdongsan_com_vn_35358502,5 tầng,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Dự án Vinhomes Smart City']","
Cần bán căn 1PN + 1 tại phân khu The Miami của Vinhomes Smart City Tây Mỗ.- Diện tích 52m² (tim).+ Thanh toán theo tiến độ chia làm 6 đợt: 10 - 15%/đợt.+ Vay ngân hàng: Hỗ trợ 70% miễn lãi gốc 24T tháng, số vốn ban đầu chỉ cần 30%.- Tặng voucher xe điện 70tr.- Tặng gói nội thất 200tr.- Căn hộ bàn giao cao cấp: Full sàn gỗ xịn xò, điều hòa 2 chiều full các phòng, thiết bị vệ sinh, thiết bị chiếu sáng...- Nội khu phong cách Mỹ, ghế sofa chìm dưới bể bơi 1000m, sân chơi trẻ em, vườn nướng BBQ,...- Nhận nhà T5/2023.Liên hệ em Bảo Vinhomes tư vấn qua: 0383 993 *** ",52 m²,1.99 tỷ,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,28/11/2022,05/12/2022,Tin thường,35434396,batdongsan_com_vn_35434396,,Tây - Nam,Đông - Bắc,Hoàn thiện cơ bản
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Nguyễn Trãi']","
Anh Chuẩn kinh doanh có lộc, bán mặt phố Nguyễn Trãi, mua căn to hơn để mở rộng quy mô.Bán MP Nguyễn Trãi 6 tầng thang máy xịn sò, vỉa hè đoạn VIP nhất phố.Tầm giá 11 tỷ kiếm đâu ra căn thứ 2.- Gọi ngay Đức Duy 0965 064 *** để xem nhà, và gặp trực tiếp chủ ký cọc. Hoan hỷ, Quý khách hàng Gieo phước, tạo phúc - chia sẻ thông tin căn MP hót hít này cho người thân, bè bạn.Đức Duy chuyên mặt phố, biệt thự, BĐS dòng tiền - hàng hiếm và hót.            ",33 m²,11 tỷ,,,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35375702,batdongsan_com_vn_35375702,6 tầng,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Láng Hạ', 'Dự án Green Diamond 93 Láng Hạ']","
Căn hộ 2 phòng ngủ - 91m² tại Đống Đa, nhận nhà ở ngay, Chiết khấu 2,7%, sổ hồng lâu dài.* Thiết kế căn hộ hiện đại:- Căn hộ 2PN - Diện tích thông thuỷ: 91 m².- 2PN, 2Wc, 1 khách, 1 bếp.- Ban công phòng khách, phòng bếp có logia riêng thoáng.- Phòng ngủ đón ánh sáng tự nhiên.- View Đường Láng Hạ.* Giá bán: 7,4 tỷ.* Bàn giao nội thất cao cấp:- Cửa gỗ khoá thông minh.- Sàn gỗ, trần thạch cao.- Thiết bị chiếu sáng.- Thiết bị vệ sinh thông minh, điều hoà âm trần.- Hệ thông ban công có cây xanh với hệ tưới tự động.4 tầng hầm gửi xe rộng rãi.TTTM, bể bơi bốn mùa, gym, spa, golf 4D.Khách hàng cần tư vấn vui lòng liên hệ: 0963 023 *** ",91 m²,7.4 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35984213,batdongsan_com_vn_35984213,,Đông - Nam,Tây - Bắc,Nội thất đầy đủ
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Dự án KĐT Linh Đàm']","
Bán căn hộ tầng đẹp tại Nơ 3 Linh Đàm, gia đình em chuyển xuống mặt đất ở cần bán nhanh căn hộ, nhà mới em cũng mua xong cũng rất cần để đến ngày đặt cọc nên cần bán nhanh căn hộ ở Nơ 3, nhà em cũng sửa lại nội thất phù hợp cho không gian rộng cho gia đình tiện sinh hoạt, trong khu Nơ có rất nhiều tiện ích cũng là 1 nơi rất đáng sống không khí trong lành.- Diện tích: 59m². SĐCC.- Thiết kế 3 phòng ngủ, 1 WC, ban công phòng bếp.- Cửa hướng Tây Bắc, ban công hướng Đông Nam.- Nội thất: Nhà làm cẩn thận, nội thất cơ bản gồm sàn gỗ, tủ bếp, 03 điều hòa, 2 giường,- Hành lang tầng: Mới làm lại tháng 12/2018, ốp sàn gạch mới, sơn lại hàng lang, lắp đèn Led hành lang, ốp gạch viền cửa thang máy.- Chung cư 11 tầng, ở từ tầng 2 đến tầng 11, mỗi tầng có 10 hộ, mật độ rất thoáng, có 02 thang máy hoạt động.Giá bán 1.899 tỷ còn thương lượng LH Em: 0374 406 *** ",60 m²,1.899 tỷ,3 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35982781,batdongsan_com_vn_35982781,,Tây - Bắc,Đông - Nam,Đầy đủ.
"['Hà Nội.', 'Thanh Xuân', 'Phường Khương Trung', 'Phố Vũ Tông Phan']","
Chị Mơ gồng Coin, bán nhanh siêu phẩm mặt phố Vũ Tông Phan giá bán nhanh rẻ đến bất ngờ.Bán nhà mặt phố Vũ Tông Phan 99m², 9 tầng thang máy chỉ 19,95 tỷ.- Vỉa hè 2 bên - kinh doanh sầm uất.- Chủ nhượng luôn cửa hàng kinh doanh đồ sơ sinh tầng 1.- Sổ đỏ gửi bank 15 tỷ, cần khách sẵn tài chính cứu gấp.- Gọi ngay Đức Duy 0965 064 *** để xem nhà, và gặp trực tiếp chủ ký cọc. Hoan hỷ, quý khách hàng gieo phước, tạo phúc - chia sẻ thông tin căn mp hót hít này cho người thân, bè bạn.- Đức Duy chuyên mặt phố, biệt thự, BĐS dòng tiền - hàng hiếm và hót.            ",99 m²,19.95 tỷ,,,Sổ đỏ/ Sổ hồng.,29/11/2022,09/12/2022,Tin thường,35277359,batdongsan_com_vn_35277359,,,,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Cầu Đơ']","
Nhà xây mới 4 tầng thiết kế theo phong cách Châu Âu trẻ trung hiện đại, các phòng đều tràn ngập ánh sáng tự nhiên.+ Tầng 1: Phòng khách, bếp.+ Tầng 2, 3: Mỗi tầng 2 phòng ngủ, wc.+ Tầng 4: Phòng thờ, sân phơi.* Nội thất cơ bản đầy đủ khách chỉ việc dọn về ở luôn.* Vị trí: Cách ô tô tránh 20m, gần chợ dân sinh, bệnh viện, trường học các cấp, cơ sở hạ tầng giao thông thuận tiện, gần các cơ quan hành chính nhà nước. An ninh khu vực tốt, trình độ dân trí cao, hàng xóm thân thiện.- Giá bán: 3.7 tỷ (có thương lượng, bao phí sang tên).- Hỗ trợ vay vốn ngân hàng với lãi xuất ưu đãi.- Sổ đỏ chính chủ.- Liên hệ: Quốc Trịnh 0889 573 *** xem nhà miễn phí.            ",40 m²,3.7 tỷ,4 phòng,,Sổ đỏ,29/11/2022,06/12/2022,Tin thường,35509925,batdongsan_com_vn_35509925,4 tầng,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Phương Canh', 'Đường 70', 'Dự án Hateco Apollo']","
Anh chị vì nhu cầu thay đổi công tác nên cần bán nhanh căn 2 ngủ tòa Hateco Apollo.Diện tích: 56m².Hướng cửa: Nam, ban công: Bắc.Thiết kế căn hộ: 2 phòng ngủ, 1 vệ sinh.Nội thất để lại: Điều hòa, nóng lạnh, kệ tivi, tủ gắn tường, tủ bếp, full cả đồ điện tử để lại hết như hình.Giá bán: 2.1 tỷ (không bao tên, thương lượng).Pháp lý: Sổ hồng chính chủ.Liên hệ: 0815 999 *** em Nghĩa.            ",56 m²,2.1 tỷ,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35984245,batdongsan_com_vn_35984245,,Nam,Bắc,"Nội thất để lại: Điều hòa, nóng lạnh, kệ tivi, tủ gắn tường, tủ bếp, full cả đồ điện tử để lại hết như hình. Nội thất để lại: Điều hòa, nóng lạnh, kệ tivi, tủ gắn tường, tủ bếp, full cả đồ điện tử để."
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Láng Hạ']","
Chú Minh cần bán CCMN Láng Hạ trong tháng chỉ 13 tỷ 500 triệu cho khách thiện chí.CCMN 79m² 8 tầng, thang máy xịn sò, 20 phòng full đồ cao cấp, doanh thu 1 tỷ 200 triệu/năm.- Gọi ngay Đức Duy 0965 064 *** chuyên CCMN đẹp, doanh thu khủng, giá cực tốt.- Hoan hỷ quý khách hàng gieo nhân tạo phước: Chia sẻ cho người thân bạn bè để biết và được sở hữu Căn nhà đẻ trứng vàng này.            ",79 m²,13.5 tỷ,20 phòng,21 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,34892493,batdongsan_com_vn_34892493,8 tầng,,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Do không có nhu cầu sử dụng nên cần bán căn hộ 100 m² tòa S1.08 Vinhomes Ocean Park.Diện tích thông thủy 94m², 3 PN, 2 VS, hướng ban công Đông Nam view biển hồ.Căn hộ nội thất nguyên bản chủ đầu tư, chưa sử dụng để khách hàng mua về thiết kế nội thất theo phong cách của mình.Sổ hồng chính chủ đang để két.Giá bán thiện chí 3.8 tỷ.Liên hệ trực tiếp để xem và mua nhà: Thành Nguyễn 0971 870 *** ",100 m²,3.8 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35984242,batdongsan_com_vn_35984242,,Tây - Bắc,Đông - Nam,Cơ bản.
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Yên Xá']","
Nhà xây mới theo phong cách trẻ trung hiện đại, các phòng đều tràn ngập ánh sáng tự nhiên.+ Tầng 1: Phòng bếp, khách, wc.+ Tầng 2,3,4: Mỗi tầng 1 phòng ngủ, wc.+ Tầng 5: Phòng thờ, sân phơi.* Full nội thất cơ bản khách chỉ việc xách vali về ở.* Vị trí: Sát tổng cục 5 cách đường Ôtô tránh 40m, giao thông thuận tiện thông ra nhiều tuyến Phố, Tổng cục 5, Phùng Hưng, Nguyễn Khuyến, Nguyễn Xiển.- Sổ đỏ chính chủ sẵn sàng giao dịch.- Hỗ trợ vay vốn ngân hàng với lãi xuất ưu đãi.- Gía bán 2.7 tỷ (Thương lương, bao phí sang tên).- Liên hệ: 0889 573 *** gặp Quốc Trịnh xem nhà.Trân trọng.            ",35 m²,2.7 tỷ,3 phòng,,,29/11/2022,06/12/2022,Tin thường,35635718,batdongsan_com_vn_35635718,,,,
