address,gen_descrip,Diện tích,Mức giá,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Pháp lý
"['Hà Nội', 'Ba Đình', 'Phường Đội Cấn', 'Đường Đội Cấn']","
Nhà Đội Cấn 9T xây mới, thang máy, 1 hầm, 101m², MT 6,7m, giá 39 tỷ.LH 0913 851 *** ",101 m²,39 tỷ,17 m,Tây - Bắc,Tây - Bắc,10 tầng,13 phòng,11 phòng,Nội thất cao cấp ,29/11/2022,09/12/2022,Tin thường,35983907,batdongsan_com_vn_35983907,,
"['Hà Nội', 'Long Biên', 'Phường Long Biên', 'Đường Bát Khối']","
Bán nhà dân xây đường Bát Khối, Phố Trạm - ô tô đỗ cửa - vài bước ra ô tô tránh - lõi long biên - tiện ích bạt ngàn - an sinh đỉnh.Mô tả:+ Vị trí thuộc đường bát khối, phố trạm, tuyệt đẹp, ngõ thông thẳng tắp, ô tô đỗ cửa,+ Tiện ích trường tiểu học, mầm non, công an phường, tt thương mại aeon long biên chỉ 500m, khu vực dân cư đông đúc, hạ tầng đồng bộ, tiện ích bạt ngàn, ở sướng.+ Nhà dân xây chắc chắn 4 tâng đầy đủ công năng, ở hoặc cho thuê đều ok.+ Sổ đỏ hoa hậu chính chủ, săn giao dịch.+ Diện tích 49m² với 4 tầng.+ Giá siêu đẹp chỉ 4.93 tỷ tìm đâu ra nhà dân xây khu phổ trạm.+ Liên hệ ngay mr huy để gặp trực tiếp chủ.            ",49 m²,4.93 tỷ,,,,4 tầng,,,,29/11/2022,29/12/2022,Tin thường,35983282,batdongsan_com_vn_35983282,,
"['Hà Nội', 'Ba Đình', 'Phường Kim Mã', 'Phố Kim Mã']","
* Bán 1 căn xây mới thiết kế cực đẹp, nhà mặt ngõ thông kinh doanh tại phố Kim Mã, Đội Cấn, Giang Văn Minh, Ba Đình. Ngõ thông các hướng phù hợp kinh doanh, vị trí dân trí cao, tiện nghi đi lại và sinh hoạt.-----------------* Thiết kế, công năng: Kiến trúc Tân cổ điển.- Diện tích 40m², xây 4 tầng mới cực đẹp.- Tầng 1: Kinh doanh, phong ăn + bếp.- Tầng 2: Phòng khách lớn, phòng ngủ, vệ sinh.- Tầng 3: Thiết kế mỗi tầng 2 phòng ngủ lớn, vệ sinh.- Tầng 4: Phòng ngủ, phòng thờ, tiểu cảnh.* Vị trí:- Nhà tọa lạc tại vị trí trên các cung đường lớn Đội Cấn, Giảng Võ, Liễu Giai, Nguyễn Chí Thanh, Đào Tấn, Núi Trúc, Giang Văn Minh, Nên cực kì thuận tiện đi lại.- Vị trí nhà cạnh trường Vạn Phúc, trường Thống Nhất, trường Nguyễn Trãi, trường Kim Đồng, trường Giảng Võ, nên cực kì tiện cho việc sinh hoạt và dân trí cao.- Nhà gần đại sức quán Thụy Điển, Bộ Y Tế Việt Nam, Công an và UBND Kim Mã, bệnh viện, bưu điện, Nên an ninh cực kì là tốt.* Nội thất:- Nhà được làm rất cẩn thận, nội thất làm tỉ mỉ: Các cửa thông phòng, cầu thang, tủ bếp được làm từ gỗ Lim. Sàn gỗ Malaysia chống trơn trượt nên rất sang trọng và đẳng cấp.- Thiết bị điện cao cấp, dây Trần Phú đi GEN cẩn thận. Thiết bị vệ sinh ToTo nhập khẩu, vách tắm đứng.* Pháp lý: Sổ đỏ chính chủ, giấy phép xây dựng đầy đủ.* Giá chào chỉ: 5.89 tỷ (có thương lượng, bao sang tên).* Liên hệ ngay anh Tuấn: 0854 557 ***miễn TG, MG).            ",40 m²,5.89 tỷ,3 m,,,4 tầng,4 phòng,4 phòng,Đầy đủ,24/11/2022,01/12/2022,Tin thường,35942434,batdongsan_com_vn_35942434,4 m,Sổ đỏ/ Sổ hồng
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Hàm Nghi', 'Dự án Mỹ Đình I']","
Bán chung cư An Sinh Mỹ Đình 122m².3 ngủ 2wc giá 2.8 tỷ 0987,063.288 gần bến xe Mỹ Đình, sân vận động quốc gia Mỹ Đình, ĐH Thương Mại, gần trường THCS Đoàn Thị Điểm, trường liên cấp Việt Úc, với vô vàn tiện ích chưa kể hết.            ",122 m²,2.8 tỷ,,,,,3 phòng,2 phòng,,29/11/2022,06/12/2022,Tin thường,35452204,batdongsan_com_vn_35452204,,Sổ đỏ/ Sổ hồng.
"['Hà Nội', 'Hoàn Kiếm', 'Phường Đồng Xuân', 'Phố Hàng Khoai']","
Đắc địa! Mặt phố Hàng Khoai, Hoàn Kiếm 155m², mặt tiền rộng, 1 chủ, 65 tỷ.Mô tả:+ Phố Hàng Khoai thuộc địa phận các phường Đồng Xuân và Hàng Mã, quận Hoàn Kiếm.+ Phố thuận tiện đi từ đường Trần Nhật Duật qua phố Nguyễn Thiệp, bên cạnh trái chợ Đồng Xuân, qua ngã tư Hàng Giấy - Đồng Xuân, đến phố Hàng Lược, Hàng Rươi.+ Nhà bán thuộc phường Đồng Xuân. Vị trí cực đẹp, vỉa hè rộng, ngay gần chợ Đồng Xuân. Kẻ mua, người bán đông đúc, tấp nập ngày đêm. Phù hợp nhiều loại hình kinh doanh.+ Diện tích 155m², 5 tầng, mặt tiền rộng, giá 65 tỷ (thương lượng).Lh: 0919622828.(Miễn tiếp môi giới).            ",155 m²,65 tỷ,15 m,,,5 tầng,15 phòng,15 phòng,,24/11/2022,01/12/2022,Tin thường,34201703,batdongsan_com_vn_34201703,,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Lê Trọng Tấn', 'Dự án The Mansions']","
Em đang có căn Mansion 154m² cam kết rẻ nhất thị trường, anh/chị mua là lãi.3 tầng.4 ngủ, 4vs.Hướng mát.Giá chỉ 3, x (x có như không có).            ",154 m²,30 tỷ,10 m,Tây - Bắc,Đông - Nam,3 tầng,4 phòng,4 phòng,Full nội thất,29/11/2022,06/12/2022,Tin thường,35982933,batdongsan_com_vn_35982933,7 m,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Ba Đình', 'Phường Cống Vị', 'Đường Bưởi']","
- Căn nhà toạ lạc tại con phố Bưởi xinh đẹp giao thoa giữa Quận Cầu Giấy tưới mới và Quận Ba Đình cổ kính.- Vị trí  thửa đất siêu đẹp với 2 mặt tiền cực rộng tạo nên 1 không gian vô cùng thoáng đãng - ánh sáng ngập tràn.- Hiện trạng căn nhà xây dựng và kinh doanh với 8 tầng thang máy siêu sịn, - Thiết kế:- Tầng 1: 1 Phòng. để xe- Tầng 2, 3, 4: Mỗi tầng 4 Phòng,- Tầng 5, 6, 7, 8: Mỗi tầng 3 Phòng.- Tổng 25 phòng với kiến trúc hiện đại, nội thất nhập ngoại từ châu âu khách đến thuê ở đảm bảo không muốn rời đi.- Hiện đang tự tay vận hành với doanh thu 1 tháng lên đến gần 300 triệu. Khách mua về chỉ việc sang tên hợp đồng và ẵm tiền lời ngay lập tức.- Sổ đỏ đẹp sẵn sàng giao dịch.            ",175 m²,46 tỷ,,,,8 tầng,25 phòng,25 phòng,,29/11/2022,09/12/2022,Tin thường,35982064,batdongsan_com_vn_35982064,21 m,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án The Zei Mỹ Đình']","
Suất Ngoại Giao căn Duplex 185m² dự án The Zei Mỹ Đình.- Hướng Đông Nam cực mát mẻ.- Đã hình thành dọn vào ở ngay.- Công năng sử dụng 185m² thiết kế 4PN, 4WC.- Miễn lãi và gốc 24 Tháng.- Chiết khấu 15.5% GTCH.- Quà Tặng lên đến 450tr.- Hỗ trợ lãi suất 0% 24 tháng vốn tự có 30%.- Chỉ 63,2tr/1m² (11,7 tỷ).LH: 0966 383 *** ",185 m²,63.2 triệu/m²,,Đông - Nam,Tây - Bắc,,4 phòng,4 phòng,,29/11/2022,09/12/2022,Tin thường,35983312,batdongsan_com_vn_35983312,,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Phố Mai Dịch']","
Chính chủ bán gấp nhà 92m² phố Mai Dịch, gara ô tô, 2 thoáng, kinh doanh sầm uất mọi loại hình giá 13.9 tỷ.Nhà xây khung cột chắc chắn, nội thất công năng đầy đủ tiện nghi, nhà 2 thoáng, kinh doanh mọi loại hình.Vị trí nhà đẹp trung tâm, giao thông thuận tiện qua các tuyến đường Hồ Tùng Mậu, Xuân Thủy, Phố Dương Khuê, Nguyễn Khả Trạc, Doãn Kế Thiện...Xung quanh tiện ích vô vàn gần chợ, nhiều Trường Đại học lớn như: Trường Đại học Thương Mại, Đại học Quốc Gia, Đại học Ngoại Ngữ, Đại học FPT...Sổ đỏ đẹp chính chủ, sẵn sàng giao dịch.Liên hệ tôi Hậu để xem nhà.            ",92 m²,13.9 tỷ,,,,,,,Nội thất công năng đầy đủ tiện nghi.,29/11/2022,06/12/2022,Tin thường,35751097,batdongsan_com_vn_35751097,,Sổ đỏ/ Sổ hồng
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'Đường Thụy Khuê']","
+ Vị trí mặt phố vỉa hè.+ Sổ đẹp nở hậu.+ Thiết kế hiện đại thông sàn tầng 1, tầng 2 là bếp, phòng khách, tầng 3, 4 mỗi tầng 2 phòng ngủ. Phù hợp vừa ở vừa kinh doanh.+ Nhà mới xây 2021, đầy đủ bản thiết kế.Liên hệ Kim Anh 0986 306 ***Miễn TG).            ",45 m²,11 tỷ,,,,5 tầng,4 phòng,4 phòng,,29/11/2022,06/12/2022,Tin thường,35983232,batdongsan_com_vn_35983232,,Sổ đỏ/ Sổ hồng
