address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số toilet,Nội thất,Mặt tiền,Hướng nhà,Hướng ban công,Đường vào
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Đường Trần Quang Diệu']","
Bán tòa nhà mặt phố khu Hoàng Cầu, Trần Quang Diệu, Tây Sơn, Thái Hà, Đặng Tiến Đông Quận Đống Đa.+ Diện tích 60m², tòa nhà 8 tầng, lô góc, thang máy.+ Tòa nhà chủ tự xây ở, mới được mấy năm, thiết kế hiện đại.+ Công năng đa dạng, trên có thể vừa ở, vừa cho thuê căn hộ, dưới cho thuê kinh doanh cửa hàng. Hiện chủ cho người quen thuê tầng dưới mỗi tháng cũng được 30 triệu.+ Trước nhà vỉa hè rộng, ô tô tránh dừng đỗ, kinh doanh sầm uất.+ Vị trí cực đẹp, đường thông thoáng rộng rãi, xung quanh toàn là các tuyến phố lớn, đi đâu làm gì cũng tiện.+ Sổ vuông, đẹp, chính chủ.+ Giá bán 17.5 tỷ, chủ khách trực tiếp trao đổi.Liên hệ xem nhà Thuấn 89 - Chuyên Môi giới mua bán nhà đất thổ cư Hà Nội.Trân trọng!            ",60 m²,17.5 tỷ,8 tầng,6 phòng,Sổ đỏ chính chủ.,29/11/2022,06/12/2022,Tin thường,30423343,batdongsan_com_vn_30423343,,,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Hồ Tùng Mậu', 'Dự án Goldmark City']","
Do chưa có nhu cầu sử dụng, nên gia đình cần bán căn hộ ở Goldmark City, chi tiết cụ thể như sau:- Căn hộ 2PN - 2VS, 68m² thông thủy, tầng trung.- Phân khu S, slot ô tô có theo căn hộ, view nội khu đẹp.- Đồ nội thất đầy đủ gia đình làm để ở, để lại cho khách mua.- Sổ đỏ sẵn sàng làm việc, giá bán mong muốn: 3.05 tỷ bao tên.- Lh để biết thêm thông tin và xem nhà: 0869 161 *** ",68 m²,3.05 tỷ,,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35983179,batdongsan_com_vn_35983179,2 phòng,Đầy đủ,,,,
"['Hà Nội', 'Đống Đa', 'Phường Khương Thượng', 'Đường Trường Chinh']","
Toà nhà văn phòng mặt phố Trường Chinh - thiết kế hiện đại, đường + vỉa hè cực rộng.- Diện tích sổ 1540m², mặt tiền 50m.- Thiết kế 14 tầng trong đó 2 hầm. Hiện cho thuê 8 tầng giá 1,7 tỷ/tháng.- Sổ đỏ chính chủ, pháp lý đầy đủ (tài sản đã hoàn công).- Giá 360 tỷ.* Liên hệ: Cương Đỗ 0974 660 ***Miễn tg - mg).            ",1540 m²,360 tỷ,14 tầng,,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35751424,batdongsan_com_vn_35751424,,,50 m,,,
"['Hà Nội', 'Hoàn Kiếm', 'Phường Hàng Bài', 'Phố Phố Huế']","
Siêu hiếm - mặt phố Phố Huế, Hoàn Kiếm - vị trí cực đẹp, kinh doanh sầm uất.- Mặt phố Phố Huế, thuận chiều ô tô dừng đỗ.- Diện tích sổ 294m², mặt tiền 8m.- Nhà 2 tầng xác định bán đất.- Sổ đỏ vuông, nở hậu nhẹ, 1 sổ 1 chủ.- Giá 210 tỷ có thương lượng.* Liên hệ: Cương Đỗ 0974 660 ***miễn TG - MG).            ",294 m²,210 tỷ,,,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35743246,batdongsan_com_vn_35743246,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Đường Huỳnh Thúc Kháng', 'Dự án Hateco Laroma']","
Trực tiếp chủ đầu tư bán nhanh căn hộ 2 phòng ngủ siêu phẩm Quận Đống Đa - Nhận thà ở ngay sau ký HĐMB.Liên hệ phòng phát triển dự án để xem căn hộ và tư vấn chính sách bán hàng tốt nhất 0984 972 **** Chính sách bán hàng hấp dẫn.* Thanh toán sớm 95% GTCH: Chiết khấu 5% GTCH.* HTLS 0% trong vòng 12 tháng cho 65% GTCH.* Miễn phí 2 năm phí dịch vụ.* Quà tặng tân gia 115 triệu chỉ áp dụng cho 10 khách hàng sớm nhất.* Cam kết 1 xe ô tô và 2 xe máy cho mỗi căn hộ.1. Thông số chi tiết căn hộ như sau:- Diện tích 81.07m², căn góc siêu thoáng.- Thiết kế 2 phòng ngủ, 2 WC.- Ban công hướng ĐN siêu thoáng.- Tầm view panorama Hồ Tây tuyệt đẹp.- Tất cả các phòng lấy sáng tự nhiên 100%, tối ưu không gian trống.- Thiết kế sang trọng, không gian sinh hoạt chung cực rộng.Ngoài ra còn các căn diện tích từ 110m² - 118m² - 137m² - 138m² khách hàng có thể tham khảo thêm.2. Quy mô Hateco Laroma:- Sở hữu mảnh đất siêu hiếm tại Q. Đống Đa, Hateco Laroma được kiến tạo với tòa tháp cao 30 tầng, 4 tầng hầm. Trong đó: 6 tầng TTTM & DV tiêu chuẩn 5 sao: Nhà hàng Á Âu, siêu thị, nhà hàng, shopping với các thương hiệu nổi tiếng, hệ thống phòng tập gym Sun finess số 1 tại Việt Nam, công viên cây xanh dạo bộ.- Hệ thống an ninh, bảo vệ hàng đầu thế giới.3. Nội thất bàn giao thực tế.- Sàn (gạch bán sứ cao cấp, đá Mable và gỗ công nghiệp cao cấp) nhập khẩu.- Trần thạch cao, sơn bả, thiết bị điện Hager/Schneider, đèn chiếu sáng Philips.- Tủ bếp trên, tủ bếp dưới (gỗ cao cấp, phụ kiện Hafeler nhập khẩu).- Bếp từ nấu Hafeler, hút mùi Hafeler, chậu rửa, vòi chậu rửa Hafeler.- Hệ thống tủ âm tường cao cấp phụ kiện Hafeler nhập khẩu.- Hệ thống cửa chính (phụ kiện Hafeler) smart home, hệ thống cửa ra vào cao cấp.- Thiết bị vệ sinh Duravit nhập khẩu của Đức, vách kính tắm.Liên hệ phòng phát triển dự án để xem căn hộ và tư vấn chính sách bán hàng tốt nhất 0984 972 *** ",81.07 m²,Thỏa thuận,,2 phòng,Sổ đỏ vĩnh viễn.,25/11/2022,02/12/2022,Tin thường,32259775,batdongsan_com_vn_32259775,2 phòng,"- Sàn (gạch bán sứ cao cấp, đá Mable và gỗ công nghiệp cao cấp) nhập khẩu. - Trần thạch cao, sơn bả, thiết bị điện Hager/Schneider, đèn chiếu sáng Philips. - Tủ bếp trên, tủ bếp dưới.",,Tây - Bắc,Đông - Nam,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Dự án N01-T1 Ngoại Giao Đoàn']","
Bán gấp 2 căn góc 133m² toà N01T1 (Lạc Hồng Lotus 2) khu đô thị Ngoại Giao Đoàn, Tây Hồ Tây.- Căn 1: Tầng 18 view công viên hồ điều hoà. Nhà nguyên bản 4 ngủ, 3wc.- Căn 2: Tầng thấp dưới 10, view nội khu, Full nội thất mới, đã sửa thành 3 ngủ 2wc.- Sổ hồng chính chủ sẵn sang tên. Giá bán 50 triệu/m bao phí.- Xem nhà liên hệ Mr Thuận: 0937 466 ***Call/Zalo).            ",132 m²,50 triệu/m²,,3 phòng,,29/11/2022,06/12/2022,Tin thường,35364020,batdongsan_com_vn_35364020,2 phòng,Đầy đủ nội thất.,,,,
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Phố Phùng Hưng', 'Dự án KĐT Xa La']","
Vợ chồng em đã cọc mua nhà nơi khác, muốn bán gấp căn hộ góc đầy đủ nội thất tại tòa CT4 khu công nghiệp Xa La, Hà Đông.- Thông tin căn hộ:Diện tích: 53m.Hướng cửa: Tây bắc, ban công Đông bắc.Thiết kế căn hộ: 2 phòng ngủ, 1 vệ sinh, 1 phòng khách và bếp, 1 ban công.Nội thất gồm những gì để lại: Full đồ 2 điều hòa, tủ lạnh, tivi, nóng lạnh, bếp từ hút mùi, bàn ghế, giường tủ...Giá rao bán: 1 tỷ xx triệu, có thương lượng mạnh.- Liên hệ chính chủ 0374 406 *** ",53 m²,Thỏa thuận,,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35982395,batdongsan_com_vn_35982395,1 phòng,Đầy đủ,,Tây - Bắc,Đông - Nam,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Tảo', 'Đường Xuân Đỉnh', 'Dự án Khu Ngoại Giao Đoàn']","
- Do nhu cầu chuyển đổi Gia đình cần bán nhanh căn penthouse chung cư Ngoại Giao Đoàn, Bắc Từ Liêm, Hà Nội.1. Diện tích: 208m² nhà nhận thô về hoàn thiện sửa đẹp với 3 phòng ngủ, 4wc, 3 ban công. 2 Khu bếp và phòng khách rộng.- Căn góc tầng cao, cửa chính Đông, 2 ban công Tây và Nam. View toàn cảnh công viên hồ điều hoà và KĐT Starlake.- Trang bị đầy đủ và đồng bộ nội thất nhập khẩu cao cấp, Nhà ít dùng nên còn mới nguyên. Gia chủ mới chỉ việc xách vali về ở.- Toà nhà với đầy đủ tiện ích: Siêu thị, cafe tầng 1. Phòng tập Gym. Dịch vụ tốt nhất khu Ngoại Giao Đoàn hiện tại.- Sổ đỏ giao dịch chính chủ. Thiện chí bán.- Giá bán: 13 tỷ.2. Diện tích: 190m², căn góc Đông, Nam View Hồ Tây và Star Lake. Nhà sửa đẹp 3 ngủ, 2wc, 3 Ban công. Giá 9,5 tỷ bao phí.Liên hệ Nhận Video nhà thực tế và đặt lịch xem nhà.Mr Thuận: 0937 466 ***Call/Zalo).            ",208 m²,13 tỷ,,3 phòng,,21/11/2022,01/12/2022,Tin thường,34202784,batdongsan_com_vn_34202784,4 phòng,"Đầy đủ đồ nội thất: Tivi, tủ lạnh, máy giặt, điều hòa, giường, tủ áo, tủ giày, ga, sofa, tủ bếp, bàn ăn, nóng lạnh, sàn gỗ cao cấp, trần thạch cao...",,Đông,Nam,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', 'Dự án Ciputra Hà Nội']","
Bán căn hộ tòa nhà G2 Ciputra, Tây Hồ, Hà Nội. S: 119m² - 3 phòng ngủ nguyên bản, ban công Tây Nam view thành phố, cửa chính Đông Bắc, tầng trung. Giá bán 5,7 tỷ.Bên mình còn bán căn hộ tại các tòa G3, E4, E5, E1, P1, P2, L1, L2, L3, L4, L5 Ciputra.Vui lòng liên hệ hotline: 0376 949 *** ",119 m²,5.7 tỷ,,3 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,32205104,batdongsan_com_vn_32205104,2 phòng,"Hiện đại, đầy đủ, sang trọng.",,Đông - Bắc,Tây - Nam,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Linh Đường', 'Dự án HH4 Linh Đàm']","
Chính chủ bán nhanh căn hộ tầng đẹp tại tòa HH4C Linh Đàm, gia đình em mới sửa lại nhà để chuẩn bị đón tết, nhưng chồng em thay đổi chỗ làm sang Gia Lâm làm việc lên cần bán nhanh trong tháng để chuyển đổi chỗ ở gần chỗ làm, nhà em ban đầu sửa là để ở lâu dài lên làm rất cẩn thận và thiết kế rất đẹp, và toàn bộ em thay đổi mới, quanh khu Linh Đàm ở rất thích và đi lại rất dễ dàng, tiện ích quanh khu chân tòa có rất nhiều các siêu thị, trường học cũng gần.- Diện tích: 67.04m².- Thiết kế: 2PN, 2WC.- Nội thất: Sàn gỗ, bếp từ, hút mùi, điều hòa, tivi, tủ lạnh, giường, tủ quần áo sofa, bàn ăn... Full đồ toàn bộ.- Hướng: Cửa Đông, ban công Tây.- Pháp lý: HĐMB.- Gía: 1.73 tỷ Bao sang tên và có thương lượng Liên hệ em Thanh: 0983 466 *** ",67.04 m²,1.73 tỷ,,2 phòng,Hợp đồng mua bán,29/11/2022,06/12/2022,Tin thường,35983157,batdongsan_com_vn_35983157,2 phòng,Full ,,Đông,Tây,
