address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Đường vào,Mặt tiền,Hướng ban công
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Bán cắt lỗ căn hộ Vinhome Ocean Park - Gia Lâm - Hà Nội - cắt lỗ siêu hot - cam kết chính chủ.S2.09 - 18.08 - 2 ngủ 1 WC, hướng Tây Bắc, view nội khu công viên 7.500m², siêu thoáng mát - nội thất cơ bản chủ đầu tư như hình - có video kèm theo.- Giá hợp đồng: 1.8 tỷ. Giá bán cắt lỗ: 1.7 tỷ bao thuế phí chuyển nhượng.Liên hệ em gửi video chi tiết nhé MN.            ",59 m²,1.7 tỷ,Tây - Bắc,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,24/11/2022,01/12/2022,Tin thường,35941179,batdongsan_com_vn_35941179,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Phố Trần Bình', 'Dự án An Bình Plaza']","
- Chuyển công tác Gia Đình cần bán nhanh căn hộ chung cư tại dự án An Bình Plaza.- Địa chỉ: Số 97 đường Trần Bình, Mỹ Đình 2, quận Nam Từ Liêm.- Diện tích: 84m² được thiết kế 3 phòng ngủ, 2WC. Khu bếp phòng khách thông ban công rộng.- Nhà mới nhận bàn giao 2021 hiện đã trang bị đầy đủ nội thất. Nay bán để lại toàn bộ cho gia chủ mới.- Giá bán: 3,15 Tỷ bao hết thuế phí.- Xem nhà vui lòng liên hệ Mr Thuận: 0937 466 ***Call/Zalo).            ",84 m²,3.15 tỷ,,3 phòng,2 phòng,,Đầy đủ nội thất.,29/11/2022,06/12/2022,Tin thường,35168784,batdongsan_com_vn_35168784,,,,
"['Hà Nội', 'Đống Đa', 'Phường Cát Linh', 'Phố Giảng Võ']","
+ Vị trí mặt phố Giảng Võ, giáp ranh Quận Đống Đa và Ba Đình, gần bến xe Kim Mã, ga Cát Linh, Quận ủy Đống Đa... Giao thông thuận tiện, chưa đầy 10 phút tới Bờ Hồ.+ Diện tích 58m², mặt tiền đẹp, lô góc một mặt phố, một mặt ngõ, khai thác cho thuê cực tốt.+ Sổ đỏ chính chủ, sang tên ngay.+ Giá bán nhỉnh 10 tỷ, có thương lượng. Miễn trung gian, môi giới.+ Liên hệ Ms Linh 0966 173 *** ",58 m²,Thỏa thuận,,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,35833652,batdongsan_com_vn_35833652,5 tầng,,,
"['Hà Nội', 'Thạch Thất', 'Xã Tiến Xuân']","
Vị trí trung tâm + giao thông thuận tiện:1 phút ra Đại Lộ Thăng Long, Quốc lộ 21.3 phút tới ĐH Khoa Học Tự Nhiên, Viện Thủy Lợi.5 phút tới trường sĩ quan chính trị.7 phút tới công nghệ cao, đại học FPT Hòa Lạc.+ 300m ra bến xe bus, các tiện ích bán kính 500m, cách trung tâm Hà Nội 20 phút di chuyển.+ Nằm ngay đường trục chính cổng ký túc xá làng đại học quốc gia Hòa Lạc đang thi công.+ Vị trí đắc địa hiếm có, kinh doanh sầm uất như: Nhà nghỉ, phòng trọ, chung cư mini, cafe, nhà hàng...* Lô này rẻ hơn thị trường ít nhất 3 giá.Liên hệ: 0839 000 *** ",114 m²,25 triệu/m²,,,,Sổ đỏ/ Sổ hồng.,,29/11/2022,06/12/2022,Tin thường,35982915,batdongsan_com_vn_35982915,,7 m,,
"['Hà Nội', 'Long Biên', 'Phường Giang Biên', 'Phố Kẻ Tạnh']","
Bán gấp 100m² đất phân lô Giang Biên, Long Biên.Giá 8 tỷ 625 triệu.Mặt tiền 5,5m.Hướng Tây Tứ Mệnh.Đường trước nhà 3 ô tô tránh, vỉa hè rộng 2m.Kinh doanh buôn bán sầm uất.Sổ đỏ chính chủ, sẵn sàng giao dịch.Liên hệ 0984 483 *** để xem đất.            ",100 m²,8.625 tỷ,Tây - Nam,,,Sổ đỏ/ Sổ hồng.,,29/11/2022,06/12/2022,Tin thường,35146605,batdongsan_com_vn_35146605,,17 m,5.5 m,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Phố Trần Bình', 'Số 99', 'The Garden Hills - 99 Trần Bình']","
Cập nhật quỹ căn chuyển nhượng giá tốt tại dự án Garden Hill 99 Trần Bình.- Địa chỉ: Số 99 phố Trần Bình, phường Mỹ Đình 2. Quận Nam Từ Liêm, Hà Nội.1. Diện tích 68,8m²: 2PN - 2WC, Đủ đồ cơ bản. Tầng cao trên 20. Giá 2,95 tỷ.2. Diện tích 68,8m²: 2PN - 2WC, Full nội thất mới. Tầng Trung đẹp, Giá bán 3 tỷ. Bao Phí.3. Diện tích 80,6m²: 2PN - 2WC. Nội thất cơ bản. Giá 3,3 Tỷ bao phí.4. Diện tích 107m²: 4PN - 2WC. Full nội thất mới cao cấp. Giá 4,6 Tỷ.- Tư vấn, Cung cấp thông tin, hình ảnh thực tế nhà.- Đàm phán Giao dịch chính chủ. Thương lượng giá tốt, thủ tục pháp lý - bàn giao, vay vốn ngân hàng.- Liên hệ Mr Thuận: 0937 466 ***Call/Zalo).Tư vấn Mua bán, thuê & cho thuê chung cư cao cấp tại Hà Nội.            ",68.8 m²,Thỏa thuận,,2 phòng,2 phòng,,Nội thất hiện đại,29/11/2022,06/12/2022,Tin thường,35456670,batdongsan_com_vn_35456670,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Dự án NOXH Đồng Mô']","
Bán căn hộ 2 phòng ngủ tòa B chung cư Đại Kim Building - Hoàng Mai - Hà Nội.1. Diện tích: 70m² thông thủy.2. Pháp lý: SHCC sang tên được luôn.3. Hướng cửa chính Nam, ban công Bắc - Căn góc thoáng mát.4. Nội thất: Full đồ nội thất từ đồ gỗ đến đồ điện tử.5. Thiết kế: 2 ngủ 2 wc.Ảnh thực tế căn hộ 100%.Giá: 2,1 tỷ chưa bao sang tên.Liên hệ: 0338 961 *** ",70 m²,2.1 tỷ,Nam,2 phòng,2 phòng,,Đầy đủ,29/11/2022,06/12/2022,Tin thường,35983136,batdongsan_com_vn_35983136,,,,Bắc
"['Hà Nội', 'Long Biên', 'Phường Giang Biên', 'Phố Kẻ Tạnh']","
Bán đất tái định cư Giang Biên - Long Biên.Thuộc khu TĐC dân trí cao - Ô tô tránh - Đường thông ô bàn cờ vỉa hè 2m thoáng đỉnh cao.Diện tích 52m².Mặt tiền 4,3m.Đường to vỉa hè lô vị trí đẹp.Sổ vuông vắn nở hậu đẹp, pháp lý chuẩn.Giá chỉ 6 tỷ 500 triệu.Anh chị quan tâm LH: 0984 483 *** để xem đất!            ",52 m²,6.5 tỷ,,,,Sổ đỏ chính chủ,,29/11/2022,06/12/2022,Tin thường,35776445,batdongsan_com_vn_35776445,,12 m,4.3 m,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án An Hưng']","
Chính chủ cần bán căn nhà liền kề tại khu đô thị An Hưng, phường La Khê, Hà Đông.- Diện tích: 100m², mặt tiền 5m, xây 6 tầng, thiết kế hiện đại phù hợp vừa ở vừa kinh doanh.- Khu vực dân cư đông đúc, kinh doanh tốt, dân trí cao, an ninh.- KĐT An Hưng, là mảnh đất sạch, đẹp nhất trong khu Dương Nội, quận Hà Đông. Mảnh đất đang phát triển phía Tây Nam Hà Nội. Trong bán kính 1.5km có Trung tâm thương mại Aeon mall, Trường THCS Lê Quý Đông, trường mầm non QT Nhật Bản, ĐH quốc tế Olimpia...- Sổ đỏ phân lô vuông đẹp chờ giao dịch.Quý khách quan tâm, chi tiết liên hệ: Mr. Trường 0903 444 ***Cảm ơn đã xem tin.            ",100 m²,16 tỷ,,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,29/11/2022,06/12/2022,Tin thường,35983135,batdongsan_com_vn_35983135,6 tầng,,5 m,
"['Hà Nội', 'Long Biên', 'Phường Thượng Thanh', 'Đường Đặng Vũ Hỷ']","
Bán gấp 85m² đất đấu giá Xóm Lò - Thượng Thanh - cạnh đường quy hoạch 40m cực đẹp.Mặt tiền: 6,5m.Đường nhựa rộng 13m có cả vỉa hè 2m.Là mảnh đất có vị trí đẹp, đường thông ô bàn cờ, gần hồ, tiện ích đầy đủ, tiềm năng tăng giá.Sổ đỏ chính chủ.Giá chỉ 90,5tr/m² (7 tỷ 700 triệu).Anh chị quan tâm LH: 0984 483 *** để xem đất trực tiếp!            ",85 m²,7.7 tỷ,,,,Sổ đỏ chính chủ.,,29/11/2022,06/12/2022,Tin thường,34005023,batdongsan_com_vn_34005023,,13 m,6 m,
