address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Hướng nhà,Hướng ban công
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Bằng Liệt']","
Bán nhà Bằng Liệt - Hoàng Mai DT 40 m² nhà 4 tầng MT 3.1m giá 3.95 tỷ.Siêu phẩm nhà đẹp full nội thất - ô tô đỗ cổng - ô tô tránh 15m - 4 tầng 4 ngủ đầy đủ công năng.+ Khu vực nhiều tiện ích gần sân chơi trẻ em của cả khu, ô tô dừng đỗ ngày đêm, chợ Bằng A, ba bước ra khu đô thị Tây Nam Linh Đàm, trường học Chu Văn An, Hồ Linh Đàm... An sinh, an ninh tốt.+ Nhà xây khung cột chắc chắn, trang bị full nội thất tất cả các phòng đều có: Giường, tủ, bàn ghế, tivi, điều hòa và mở cửa sổ thoáng sáng. Chủ ở sạch sẽ giữ gìn, thiết kế đầy đủ công năng:- T1: Sân để xe + PK + Bếp + WC.- T2, 3: 4PN + 2WC.- T4: Phòng thờ + Sân phơi.+ Sổ đỏ vuông đẹp, pháp lý sạch sẽ.            ",40 m²,3.95 tỷ,3.1 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ.,29/11/2022,06/12/2022,Tin thường,35677046,batdongsan_com_vn_35677046,,,
"['Hà Nội', 'Long Biên', 'Phường Thạch Bàn', 'Đường Cổ Linh']","
Bán nhà Thạch Bàn Ngay Đường Cổ Linh - 50m² x 4 tầng đúng như hình - giá chỉ 3,75 tỷ.DT: 50m². Mặt tiền 3,8m vuông đẹp.Công năng tầng 1 phòng khách bếp. Tầng 2,3 mỗi tầng 2pn và 1vs. Tầng 4 phòng thờ sân phơi.Vị trí gần đường cổ linh, gần nhà văn hoá tổ 9 Thạch Bàn.Tiện ích xung quanh ko thiếu thứ gì, ở sướng vô cùng.Sổ đỏ chính chủ sẵn sàng giao dịch.Lh Mr. Tài 0946 695 *** xem nhà và tư vấn miễn phí.            ",50 m²,3.75 tỷ,3.8 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,29/11/2022,06/12/2022,Tin thường,35918307,batdongsan_com_vn_35918307,2.5 m,Tây - Nam,Tây - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi', 'Dự án Royal City']","
Giá cam kết rẻ nhất thị trường.- Tư vấn nhiệt tình chính xác nhất.- Công ty có văn phòng ngay tại Royal nên xem nhà bất kể khi nào 24/7.- Ký hợp đồng trực tiếp với chủ nhà.- Có ưu đãi cho khách hàng đặt cọc trước.- Khách mua được xem trực tiếp căn hộ, làm việc chính chủ.- Hỗ trợ tư vấn về pháp lý và thủ tục sang tên sổ đỏ trong suốt thời gian mua bán.Tòa R1 và R2.Căn hộ duplex 3 phòng ngủ 190m giá siêu rẻ 7,3 tỷ nội thất nhà đẹp long lanh.Căn số 12 - DT 88,3m ban công TB, giá bán 4,1 tỷ.Căn số 24 - DT 96,3m ban công ĐB giá 4,5 tỷ cả ba phòng thoáng sáng, view bể bơi.Căn số 05 - DT 109m ban công ĐN giá 4,8 tỷ View khuôn viên.Căn số 08 - DT 114,5m ban công TB giá 5,1 tỷ căn 2 PN siêu đẹp, 3 phòng thoáng sáng.Căn 12A - DT 145,2m ban công ĐN giá 5,9 tỷ View bể bơi.Căn số 27 - DT 89,6m ban công ĐB giá 4,3 tỷ ban công view khuôn viên.Căn 18 và 20 - DT 124,6m ban công chính Nam giá 4,9 tỷ view khuôn viên.Căn số 1 - DT 181.4m ban công ĐN ĐB giá 9,6 tỷ căn góc, ba phòng ngủ thoáng sáng.Căn số 4 và 6 - DT 109m ban công TB giá 4,8 tỷ view thành phố.Căn số 12B - DT 104.8m ban công TB giá 4,7 tỷ view thành phố.Căn số 9 DT 110m ban công ĐN giá bán 4,9 tỷ.Căn penthouse sân vườn 400m giá thỏa thuận.Tòa R3:Căn 109m giá 4,9 tỷ - 5,7 tỷ bao tên.Căn 121m - 123m. Giá 5,7 tỷ - 6,3 tỷ bao tên (căn 3 phòng ngủ).Căn 131.4m, view quảng trường, giá 8,8 tỷ bao tên (căn 3 phòng ngủ).Căn 157m - 175m - 195m, view quảng trường, giá 9,8 tỷ - 15 tỷ bao tên (căn 3 phòng ngủ).Căn 221m căn góc vip, view quảng trường. Giá 16 tỷ - 22 tỷ (4 phòng ngủ).Tòa R4 và R5:Căn 112.4m ban công TB giá 4.9 tỷ bao tên.Căn 131.4m giá 6,8 tỷ bao tên (căn góc 3 phòng ngủ thoáng).Căn 132m giá 6,2 tỷ bao tên (căn 3 phòng ngủ).Căn 137.6m giá 6.9 tỷ bao tên (3 phòng ngủ).Căn 102.1m giá 4,8 tỷ bao tên (sửa thành 3 phòng ngủ).Căn 104.9m ban công ĐN giá 5,1 tỷ.Căn góc 133m ban công ĐN - ĐB, sổ đỏ, đủ nội thất giá 6,9 tỷ bao tên.Căn 104.9m ban công ĐB giá 4.9 tỷ bao tên.Căn 93m ban công ĐB giá 4,7 tỷ bao tên. Ban công TB giá 4,5 tỷ bao tên.Căn 06 112.4m ban công ĐN giá 5,2 tỷ bao tên.Căn số 11 và căn số 16, tòa R4 cửa hướng Tây, ban công hướng Đông. Diện tích 103m, giá 4,6 tỷ.Các căn tòa R6:Căn 55m giá 2,9 tỷ (1PN).Căn 69 - 72 - 82m giá 3,8 - 4,4 tỷ bao tên (2PN).Căn 94 - 103 - 112m. Giá 4,9 tỷ - 5,9 tỷ (3PN).Căn góc 115m giá 6,5 - 7,2 tỷ.Căn 143,5 - 154,5m. Giá 7,8 - 8,9 tỷ (4PN).Tất cả các căn hộ đều đã có sổ đỏ, 90% miễn phí gói dịch vụ 10 năm. Và giá có thể thay đổi 1 chút theo thị trường.SDT/zalo: 0339 223 *** ",150 m²,5.6 tỷ,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,35983025,batdongsan_com_vn_35983025,,,
"['Hà Nội', 'Đống Đa', 'Phường Thổ Quan', 'Phố Khâm Thiên']","
Mô tả:- Khu vực trung tâm, thuận tiện di chuyển. Gần nhiều đại học, văn phòng, cho thuê luôn tốt.- Giá phù hợp, cc mini quận trung tâm giá chưa tới 150tr/1m².- Dòng tiền cao ổn định thời bão giá.+ Thiết kế: Tổng 37 phòng full nội thất.- T1: Để xe.- T2: 5 phòng rộng khép kín.- T3 - 7: Tầng 6 phòng khép kín, full nội thất.- T8: 2 phòng khép kín + Sân phơi.+ Sổ đỏ vuông vắn.LH em Hùng Nhà Tốt: 0946 658 ***Miễn chung gian - Không tiếp môi giới).            ",160 m²,23.3 tỷ,,8 tầng,37 phòng,37 phòng,Sổ đỏ/ Sổ hồng,,29/11/2022,06/12/2022,Tin thường,35841521,batdongsan_com_vn_35841521,,,
"['Hà Nội', 'Đông Anh', 'Xã Đông Hội', 'Đường 5', 'Dự án Eurowindow River Park']","
Thông tin căn hộ:- Diện tích thông thuỷ 77m².* Thiết kế 2 phòng ngủ.- Phòng khách + bếp + ăn: 30m².- 2 phòng ngủ: 15 - 17m².- 2 nhà vệ sinh 7m².Còn lại là diện tích ban công.- Hướng nhà Đông Nam cực mát.* Thanh toán trước chỉ 70%.Nhận nhà sau 15 ngày hoàn thành 95% GTCH.Liên Hệ Ban Quản Lý Dự Án: 0899 996 *** ",77 m²,1.68 tỷ,,,2 phòng,2 phòng,,,29/11/2022,06/12/2022,Tin thường,35718889,batdongsan_com_vn_35718889,,Đông - Nam,
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Đường 70', 'Dự án An Lạc Green Symphony']","
Bản giao hưởng xanh - sống an lành.Chỉ cách Mỹ Đình 3.5km, An Lạc Green Symphony tọa lạc tại một vị trí đắc địa tại phía Tây Hà Nội.Và Tòa căn hộ đầu tiên có vị trí đắt giá ngay mặt Đại lộ Ánh Trăng 58m - tuyến đường huyết mạch của dự án, nhờ vậy cư dân ôm trọn lợi thế vị trí tâm điểm kết nối, hưởng trọn toàn bộ tiện ích của khu đô thị Anlac Green Symphony.Dự án có tiện ích điểm nhấn là hơn 40 tiện ích dịch vụ - vượt trội, cùng 20 + tiện nghi đặc quyền tích hợp trong tòa nhà: Vườn thượng uyển, vườn nghệ thuật, Fitness ngoài trời, đài phun nước, lối dạo massage.Theo đuổi phong cách Singapore hiện đại, kết hợp với lối kiến trúc tân cổ điển. Các căn hộ được thiết kế khoa học với đa dạng diện tích, bố trí hài hòa tối ưu mọi công năng.Tên dự án: Tòa - KĐT Anlac Green Symphony.Vị trí Vân Canh An Khánh, Hoài Đức, Hà Nội.Quy mô 2 tòa tháp cao 21 tầng nổi & 2 tầng hầm, gồm 494 căn hộ.- Diện tích từ 66,4m - 95,2m².- Loại căn 2PN, 2PN + 1, 3PN.Hình thức sở hữu: Sổ hồng sở hữu lâu dài.Chính sách mở bán Siêu hấp dẫn cho 10 khách hàng đầu tiên.Liên hệ ngay em Tâm 24/7 để nhận chính sách ưu đãi 0977 494 *** ",70 m²,Thỏa thuận,,,2 phòng,2 phòng,,,29/11/2022,06/12/2022,Tin thường,35982184,batdongsan_com_vn_35982184,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Đại lộ Thăng Long', 'Dự án Vinhomes Green Bay Mễ Trì']","
Diện tích 227m².- Xây dựng 3 tầng 1 hầm.- Mặt tiền 10m².- Bên trong còn thô.- Giá 90 tỷ.LH em 0968 049 *** ",227 m²,90 tỷ,10 m,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Chưa hoàn thiện.,29/11/2022,06/12/2022,Tin thường,35612592,batdongsan_com_vn_35612592,,Đông - Nam,
"['Hà Nội', 'Đông Anh', 'Xã Đông Hội', 'Đường 5', 'Dự án Eurowindow River Park']","
Căn hộ 2PN từ 71 - 77m².3PN từ 82 - 85 - 96,8m².Chỉ từ 550tr nhận nhà ở ngay, vay 65% có HTLS 0% từ 12 - 18T.Có cả bàn giao thô và full nội thất đồ rời.Dự án chất lượng CĐT Uy Tín Top của Việt Nam.Liên Hệ: 0899 996 *** ",77 m²,1.7 tỷ,,,2 phòng,2 phòng,,Có cả bàn giao thô và full nội thất đồ rời.,26/11/2022,03/12/2022,Tin thường,35962088,batdongsan_com_vn_35962088,,,Đông - Nam
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Nguyễn Chánh', 'Dự án Vimeco II - Nguyễn Chánh']","
Bán căn hộ chung cư 77m²,2 PN đường Nguyễn Chánh. DT: 77 m², gồm 2 phòng ngủ, 2wc, phòng khách, bếp. Nhà thiết kế rất hợp lý, sửa chữa đẹp, đầy đủ nội thất như điều hòa, nóng lạnh, tủ bếp, tủ quần áo. Giá nhỉnh 3 tỷ. LH: Em Ngọc: 0904 760 *** ",77 m²,3 tỷ,,,2 phòng,2 phòng,,,29/11/2022,06/12/2022,Tin thường,35911561,batdongsan_com_vn_35911561,,Tây - Bắc,Đông - Nam
"['Hà Nội', 'Hoài Đức', 'Xã Vân Canh', 'Dự án An Lạc Green Symphony']","
Giai điệu xanh sống An lành, tận hưởng không gian sống xanh trong chính căn hộ của bạn!Tên dự án: Moonlight 1. (Tòa cao tầng đầu tiên của KĐT).- Vị trí: Tọa lạc trên đại lộ Ánh Trăng - trung tâm KĐT An Lạc Green Symphony, Vân Canh - An Khánh, Hoài Đức, Hà Nội.- Chủ đầu tư: Công ty cổ phần tập đoàn đầu tư An Lạc.- Thông tin dự án:+ Quy mô: 21 tầng nổi, 2 tầng hầm, 2 tầng khối đế, 19 tầng căn hộ với 494 căn hộ, 10 thang máy trong đó 2 thang chữa cháy.+ Cơ cấu: 2PN, 2PN + 1, 3PN (diện tích 66 - 95,19 m²).+ Nội thất bàn giao: Bàn giao full nội thất liền tường bao gồm bếp, tủ bếp, điều hòa âm trần, sàn gỗ, thiết bị vệ sinh cao cấp...+ Phong cách: Thiết kế Singapore kết hợp tân cổ điển.+ Bàn giao: Quý 4/2023.+ Pháp lý: Sở hữu lâu dài.- Tiện ích sống đẳng cấp: Bể bơi, phòng gym, vườn dạo bộ, công viên, bể bơi ngoài trời cùng 41 tiện ích đã hiện hữu trong nội khu KĐT...- Chính sách bán hàng:+ Hỗ trợ lãi suất 65% GTCH trong 18 tháng.+ Chiết khấu 10 % cho khách hàng thanh toán sớm.+ Chiết khấu 6% cho khách hàng thanh toán theo tiến độ thướng.+ Quà tặng 1% cho 60 khách hàng Booking đặt chỗ sớm nhất.Liên hệ nhận thêm thông tin và booking sớm nhất để nhận ưu đãi chủ đầu tư. Hotline: 0911 452 *** ",66 m²,Thỏa thuận,,,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,29/11/2022,06/12/2022,Tin thường,35982606,batdongsan_com_vn_35982606,,Nam,Đông
