address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Nội thất,Hướng ban công
"['Hà Nội.', 'Hà Đông', 'Phường La Khê', 'Đường Phan Đình Giót']","
+ Gia đình cần tiền bán gấp nhà phố Phan Đình Giót, Hà Đông, ô tô đỗ cửa. Diện tích 40m², nhà 4 tầng, mặt tiền 4m, giá sốc 3 tỷ 6.+ Vị trí nằm ngay cạnh khu đô thị Ngô Thì Nhậm, cách chợ Bông Đỏ chưa đầy 50m. Cách mặt đường quang trung chưa đầy 200m. Bán kính 200m đầy đủ trường cấp I, II, III.Đường trước nhà rộng, thoáng ô tô đỗ cửa cách 15m ra ô tô tránh.+ Nhà 5 tầng khung cột btct chắc chắn.- Tầng 1: Khách bếp.- Tầng 2, 3: Mỗi tầng 2 ngủ.- Tầng 4: Phòng thờ, sân phơi.+ Sổ đỏ vuông, sẵn giao dịch. Giá tốt nhất khu vực 3 tỷ 6 có thương lượng.* Liên hệ Mr Vĩnh 0966 429 *** làm việc chính chủ.            ",40 m²,3.6 tỷ,4 m,4 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,34948895,batdongsan_com_vn_34948895,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Pháp Vân', 'Dự án Gamuda Gardens']","
- Dự án Gamuda Gardens tọa lạc trong khuôn viên dự án Gamuda City, tận hưởng một vị trí chiến lược tại cửa ngõ phía Nam Hà Nội, chỉ cách Hồ Hoàn Kiếm 7 km và khu phố cổ 25 phút đi xe; được tiếp cận bởi 2 cổng chính. Cổng từ Vành Đai 3 (cách chân cầu Thanh trì 2km) và 1 cổng từ địa chỉ 727 Tam Trinh dễ dàng di chuyển vào trong khu vực trung tâm Hai Bà Trưng, Hoàn Kiếm.- Biệt thự song lập được thiết kế theo phong cách Malaysia, mật độ xây dựng toàn bộ dự án chỉ chiếm 45%, tạo không gian xanh, sinh thái đỉnh cao cho cư dân.- Thiết kế 3 tầng, 5 ngủ chính (2 ngủ master).- Sổ đỏ chính chủ, pháp lý sạch.LH em Ly 0966 899 *** ",247 m²,40 tỷ,8 m,20 m,3 tầng,5 phòng,,Sổ đỏ/ Sổ hồng.,29/11/2022,07/12/2022,Tin thường,35982977,batdongsan_com_vn_35982977,Bắc,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Thái Thịnh']","
Tôi chính chủ bán biệt thự mini xây mới hoàn toàn thuộc khu phân lô phố Thái Thịnh. Diện tích sổ đỏ 60m² nhà xây 5 tầng. Nhà cách mặt phố chính chỉ 5m, ô tô vào nhà thoải mái, vuông vắn có thang máy thích hợp ở kết hợp kinh doanh, làm văn phòng công ty.Nhà thiết kế gồm:Tầng 1: Phòng khách, bếp.Tầng 2, 3, 4: Mỗi tầng 2 phòng rộng, 2 WC lớn.Tầng 5: Phòng thờ, sân phơi.- Nội thất cao cấp, chính hãng hoàn toàn, thang máy, sàn nhập khẩu, thiết bị vệ sinh ToTo nguyên khối, cửa nhôm lõi thép Việt - Pháp.- Tọa lạc trên phố Thái Thịnh, trung tâm quận Đống Đa. Phố liền kề các phố lớn như Thái Hà, Tây Sơn, Hoàng Cầu, Chùa Bộc, Láng Hạ... Giao thông vô cùng thuận lợi, tiện ích quanh khu vực, trường học phổ thông các cấp, bệnh viện, khu vui chơi giải trí, trung tâm chiếu phim quốc gia.Sổ đỏ chính chủ, giá 14,8 tỷ có thương lượng sâu.- Liên hệ: Tân 0915 505 ***miễn trung gian).            ",60 m²,14.8 tỷ,,8 m,5 tầng,6 phòng,,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35435494,batdongsan_com_vn_35435494,,Full nội thất,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Trung Văn', 'Đường Tố Hữu', 'Dự án MHD Trung Văn']","
Mua ngay trước khi tăng giá - căn hộ chung cư 3 phòng ngủ đường Tố Hữu, bàn giao 2023 chỉ nhỉnh 4 tỷ.-------------------------------------------------------------------------------------------* Thông tin căn hộ chung cư 3 phòng ngủ:- Diện tích sử dụng: 105,5m².- Thiết kế: 3 phòng ngủ + 2WC + 2 logia hút gió tạo luồng khí tự nhiên cho căn nhà.- Hướng ban công: Tây Bắc.- Hướng cửa: Đông Nam.- Bàn giao tháng 6/2023.- Sổ hồng lâu dài.- Tặng gói nội thất trị giá 200 triệu.- Thanh toán trước 800 triệu, nhận nhà mới đóng nốt.- Ưu đãi 3% cho khách hàng thanh toán sớm.- Hỗ trợ trả góp với lãi suất ưu đãi.----------------------------------------------------------------------------------------------* Vị trí an cư đẹp nhất Hà Nội 2023 - gần nhiều trục đường chính. Thiết kế mỗi sàn chỉ có 8 căn hộ, với 7 thang máy, 2 thang bộ, đây là mật độ thấp ít chung cư nào có được. Đảm bảo tình trạng vận thang xuyên suốt, không bị gián đoạn.- Tiện ích nội ngoại khu đầy đủ, tiêu chuẩn 5 sao.- Gần công viên Phùng khoang, Thanh Xuân, công viên Thiên Văn Học.- Gần bệnh viện xây dựng, y học cổ truyền.- Gần trường liên cấp Olympia, các trường liên cấp của Trung Văn.- Gần các TTTM lớn như BigC Thăng Long, Aeon Mall, Hồ Gươm plaza...- Toà nhà cao 39 tầng, 4 tầng TTTM, 3 tầng hầm, đảm bảo cho mỗi gia đình ít nhất 1 chỗ đỗ ô tô.----------------------------------------------------------------------------------------------LH 0388 822 *** - xem nhà mẫu và nhận tư vấn miễn phí.            ",105.5 m²,4 tỷ,,,,3 phòng,2 phòng,Hợp đồng mua bán,29/11/2022,09/12/2022,Tin thường,35982975,batdongsan_com_vn_35982975,Đông - Nam,,Tây - Bắc
"['Hà Nội', 'Hà Đông', 'Phường Vạn Phúc', 'Đường Ngô Thì Sỹ']","
+ Cần bán gấp nhà mới đón tết phố Ngô Thì Sỹ, Hà Đông.+ Vị trí đẹp của quận, 50m ra ngõ to Ô tô tránh, dừng, đỗ, ngõ thông tứ tung, tiện ích ngập tràn, gần khu vui chơi, trường học.+ Di chuyển thuận tiện ra các Phố Lụa, Chu Văn An, Quang Trung, Nằm trong khu vực lõi Quận Hà Đông, mua là lãi.+ Sổ vuông, nhà xây mới long lanh, full nội thất, 40 M2, 4 tầng, không gian thoáng.+ Tầng 1: Phòng khách, bếp, phòng ăn.- Tầng 2, 3: Mỗi tầng 2 ngủ + wc.- Tầng 4: Phòng thờ, sân phơi.+ Giá chào 4 tỷ 7 (Có thương lượng).+ Sổ đỏ nở hậu, sẵn sàng giao dịch, pháp lý chuẩn.---------------------------------------------------Thuận (Nhà Đẹp) - Tư vấn BDS miễn phí, tận tâm.Số Hotline/Zalo: 0986 581 ***+ Miễn phí 100% dịch vụ, Khách chủ tự đàm phán giá, hô trợ tư vấn pháp lý, phong thuỷ, quy hoạch.+ Khách quan tâm vui lòng gọi hoặc inbox trực tiếp, miễn trung gian môi giới.+ Hỗ trợ vay vốn ngân hàng 75% giá trị tài sản.            ",40 m²,4.7 tỷ,4 m,3.5 m,4 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35982278,batdongsan_com_vn_35982278,,Đầy đủ,
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Phố Phùng Hưng', 'Dự án KĐT Xa La']","
Không có nhu cầu sử dụng vì gia đình đã mua được nhà ở nơi khác. Vợ chồng tôi muốn bán lại căn hộ tầng trung, đầy đủ nội thất tòa nhà CT6 Khu đô thị Xa La, Hà Đông.Diện tích: 62m².Có sổ đỏ chính chủ, sang tên dễ dàng.Hướng cửa: Đông Nam, ban công tây bắc.Thiết kế căn hộ: 2 phòng ngủ, 2 vệ sinh.Nội thất gồm những gì để lại: Đồ gắn tường: Sàn gỗ, trần thạch cao, điều hòa, nóng lạnh. Giường tủ... Hình ảnh nội thất gia đình.Giá rao bán: 1 tỷ 4x triệu (có thương lượng).- Liên hệ xem nhà: 0988 768 *** hoặc 0839 644 ***không qua môi giới).            ",62 m²,Thỏa thuận,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35981571,batdongsan_com_vn_35981571,Đông - Nam,Đầy đủ,
"['Hà Nội', 'Hoàng Mai', 'Phường Tân Mai', 'Đường Kim Đồng']","
Công ty tôi mở bán lô nhà xây mới gần cầu Kim Đồng, ngõ to ô tô đỗ cửa. Căn góc 2 mặt ngõ cực thoáng. Diện tích 35m², 5 tầng. Giá từ 4,3 tỷ.- Với quy trình quản lý & xây dựng cẩn thận. Công ty tôi có sẵn video quay từ lúc làm móng, đổ trần, dựng khung cột. Khách mua yên tâm về chất lượng:- Thiết kế cơ bản tất cả các căn:Tầng 1: Phòng khách, phòng bếp, wc phụ.Tầng 2, 3, 4: Mỗi tầng 1 phòng ngủ, wc khép kín.Tầng 5: Phòng thờ, sân phơi.- Khu nhà nằm ở vị trí trung tâm quận Hoàng Mai. Cách mặt phố Trương Định & ngã tư Kim Đồng - Tân Mai chỉ 100m. Với các tiện ích xung quanh như: Aeon Mall Giáp Bát, KĐT Louis City Hoàng Mai, Công viên Hồ Đền Lừ,... Bán kính 500m đầy đủ các dịch vụ như: Siêu thị, bệnh viện, trường học,... Khi khu nhà ở 521 được hoàn thiện hứa hẹn sẽ đem lại 1 làn gió mới cho bất động sản khu vực Hoàng Mai.- Sổ đỏ pháp lý hoàn thiện.- Giá bán từ 4.3 tỷ (có thương lượng).- Liên Hệ: 0915 505 ***Miễn Trung Gian, Quảng Cáo).            ",35 m²,4.3 tỷ,4 m,3 m,5 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35749268,batdongsan_com_vn_35749268,,Full nội thất.,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Nguyễn Thị Định', 'Ngõ 37']","
Nhà chính chủ cần bán ngõ 37 Nguyễn Thị Định, P. Trung Hoà, Cầu Giấy.- Diện tích 65m² x 5 tầng, mặt tiền 4.3m.- Sổ vuông.Vị trí nhà đẹp:- Ngay mặt chợ kinh doanh sầm uất, có vỉa hè rất rộng, ô tô đỗ thoải mái cả ngày.- Sát cạnh hồ và công viên.- Hiện đang cho thuê cửa hàng kinh doanh được 45 triệu/tháng.Giá: 18 tỷ.- Khách mua trực tiếp thiện chí thỏa thuận giá tốt.- Miễn trung gian, ACE MG thông cảm tránh mất thời gian.Liên hệ: 0868 906 *** - Phương.            ",65 m²,18 tỷ,4.3 m,,5 tầng,,,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35487210,batdongsan_com_vn_35487210,,,
"['Hà Nội', 'Long Biên', 'Phường Giang Biên', 'Đường Phúc Lợi', 'Ngõ 35']","
Chính chủ cần bán 74m² mặt tiền 5m đất phân lô quận Long Biên, phường Giang Biên, tại ngõ 35 đường Phúc Lợi. Vị trí trung tâm quận Long Biên, gần Vinhomes Riverside, TTTM Vincom Long Biên, Siêu thị Aeon. Đối diện là công viên, bên cạnh là trường học. Mặt đường trước mặt rộng gần 10m, 03 ô tô tránh nhau thoải mái, có vỉa hè hai bên, kinh doanh hay để ở đều phù hợp. Liên hệ chủ nhà: 0913 249 *** ",74 m²,Thỏa thuận,5 m,13 m,,,,Sổ đỏ/ Sổ hồng.,29/11/2022,09/12/2022,Tin thường,35982897,batdongsan_com_vn_35982897,Đông - Nam,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Đông Ngạc', 'Dự án Sunshine City']","
Dự án chung cư Sunshine City nằm trong quần thể khu đô thị Nam Thăng Long Ciputra Hà Nội. Giao thông kết nối thuận tiện với các tuyến đường huyết mạch như: Lạc Long Quân, Võ Trí Công, Phạm Văn Đồng, cầu Thăng Long, cầu Nhật Tân..,+ Bán quỹ 30 căn ngoại giao thuộc các tòa (S1, S2, S3, S4, S5), view đẹp.+ Bàn giao Full nội thất nhập khẩu Châu Âu cao cấp.+ Nhận nhà ở ngay.+ Sổ đỏ.+ Giá chỉ từ 43tr/m².Liên hệ: 0981 025 ***Mr. Hùng) để xem thực tế căn hộ và biết thêm chi tiết.            ",106 m²,4.5 tỷ,,,,3 phòng,,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35982200,batdongsan_com_vn_35982200,,,
