address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Gia Lâm', 'Xã Đặng Xá', 'Đường Ỷ Lan']","
Bán nhà 3 tầng Đặng Xá giá chỉ 1.8 tỷ.+ Chính chủ vỡ nợ bán gấp 35m² Đặng Xá có nhà 3 tầng giá 1.8 tỷ.+ Mặt tiền 4m hậu 4m.+ Có nhà 3 tầng kiên cố - sạch đẹp.+ Bán kính 500m có đầy đủ tiện ích: Trường mầm non, cấp 1,2,3, chợ.+ Sổ đỏ chính chủ.+ Hàng xóm thân thiện.+ Có gia lộc cho khách thiện chí.+ Liên hệ 0945 776 *** gặp em Hùng xem đất.            ",35 m²,1.8 tỷ,4 m,3 m,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35609319,batdongsan_com_vn_35609319,,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Gia đình cần tiền đáo hạn kinh doanh nên cần bán gấp liền kề Sao Biển 20 dự án Vinhomes ocean park Gia Lâm Hà Nội, Giá rẻ nhất hiện nay.- Diện tích: 88m².- Xây dựng 3.5 tầng.- Mặt tiền 7,5m.- Vị trí dãy liền kề Sao Biển 20, đi vào bước chân ra biển nước mặn, trung tâm thương mại...- Giá bán: 14 tỷ bao phí, rẻ nhất.- Giá tốt nhất chưa từng có, thích hợp để ở và đầu tư thời điểm này.Liên hệ trực tiếp: 0914 947 *** ",88 m²,14 tỷ,7.5 m,,4 tầng,,,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35895435,batdongsan_com_vn_35895435,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Hồ Mễ Trì', '145']","
Chỉ 1,4 tỷ/căn studio; 1 phòng ngủ cho dòng tiền thuê 12 triệu/tháng - tỷ lệ lấp đầy 100%.- Bên hồ Mễ Trì, dễ dàng kết nối tới các quận trung tâm như Hà Đông, Thanh Xuân, Cầu Giấy, Mỹ Đình...- Địa chỉ: 145 đường Hồ Mễ Trì, phường Nhân Chính, quận Thanh Xuân, Hà Nội.Tổng quan dự án.Diện tích 34m².- Tên thương mại: Chung cư.- Chủ đầu tư: Ceninvest hợp tác phát triển.- Đơn vị thi công: Licogi 13 FC.- Tổng diện tích: 2.887 m.- Diện tích xây dựng: 1.889m.- Mật độ xây dựng: 49,93%.- Bàn giao: 11/2022.0814520666.            ",34 m²,1.4 tỷ,,,,,,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35982005,batdongsan_com_vn_35982005,Cơ bản,,
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Cầu Giấy', 'Ngõ 68']","
+ Căn thuộc ngõ 68 Cầu Giấy, ngõ huyện uỷ siêu vip, ngõ này thì khỏi phải nói, vị trí tuyến đầu của Cầu Giấy, di chuyển thuận lợi qua lại các tuyến đường lớn.+ Với cung đường vào là ô tô tránh, căn nhà sở hữu tiện ích miễn chê, vừa kinh doanh tốt, vừa ở tốt...+ Sau này nếu mà quy hoạch được triển khai, nhà không bị quy hoạch mà lại được ra gần đường lớn, giá trị tương lai mang lại thì có thể gọi là thời cơ vàng.+ Với thiết kế 5 tầng chắc chắn, chủ mới mua về sửa sơn lại thì quá đẹp, còn không đập xây mới thì quá là ok.+ Sổ đỏ đẹp, xịn đét, giá cả chưa tới 180tr/m², sao có căn thứ 2.+ Liên hệ ngay: Mạnh Chuyên BĐS Cầu Giấy.            ",60 m²,10 tỷ,4.5 m,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,28/11/2022,08/12/2022,Tin thường,35820374,batdongsan_com_vn_35820374,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Đường Cầu Giấy']","
Bán biệt thự sân vườn Cầu Giấy, nội thất đẹp, kinh doanh văn phòng, nội thất mới đẹp, khu vực nhiều quan chức sinh sống, an sinh cực tốt.- Biệt thự trung tâm quận, để ở hay giữ tiền đều tiềm năng.- Thiết kế nhà 4 tầng:+ Tầng 1: Phòng khách + bếp + sân vườn.+ Tầng 2,3: tầng chia 2 phòng ngủ có khép kín vệ sinh riêng.+ Tầng 4: Phòng thờ, phòng kho, sân phơi.Sổ đỏ chính chủ, sắn sàng giao dịch.LH: Thùy Ly 0982 087 ***, chuyên nhà mặt phố, biệt thự & phân lô, miễn trung gian.            ",190 m²,31 tỷ,10 m,,4 tầng,4 phòng,4 phòng,Sổ đỏ,29/11/2022,06/12/2022,Tin thường,35497621,batdongsan_com_vn_35497621,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Đường Láng', 'Ngõ 1194']","
Bán nhà lô góc ngõ 1194 Đường Láng.+ Diện tích 62m²* 5 tầng. Mặt tiền 4.2m. Oto đỗ cửa - Kinh doanh bất chấp.+ Ngõ 1194 gần đầu Cầu Giấy, thông sang ngõ 1194 Chùa Láng.+ Ngõ trước nhà rộng ôtô dừng đỗ thoải mái, tránh nhau được, thông tứ tung.+ Thiết kế.Tầng: 1 thông sàn cho ô tô vào nhà thoải mái.Tầng 2: 1 ngủ + bếp + phòng ăn.Tầng 3: 1 phòng ngủ to - 1 phòng ngủ bé nhưng chỉ có 1 cửa ngoài.Tầng 4: Như tầng 3.Tầng 5: Phòng thờ sân phơi.+ Tổng 4vs - Ngõ bên cạnh có cửa ngách.+ Gần các trường đại học Ngoại Thương, Ngoại Giao, HV Hành Chính, Giao Thông, Luật, TTTM Vincom Nguyễn Chí Thanh, chợ dân sinh Sinh viên & các dịch vụ đi kèm nhiều không đếm xuể.+ Sổ đỏ phân lô, cất két, sãn sàng giao dich.+ Giá chào hơn 8 tỷ.Quan tâm inbox hoặc liên hệ (zalo) 0976 502 *** ",62 m²,Thỏa thuận,4.2 m,,5 tầng,5 phòng,4 phòng,Sổ đỏ,29/11/2022,06/12/2022,Tin thường,32391254,batdongsan_com_vn_32391254,,,
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Đường Hải Âu 3', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Do không sử dụng nên tôi muốn chuyển nhượng lại căn này cho khách có nhu mua về để sinh hoạt cùng cộng đồng cư dân Ocean Park.Căn hộ có: Diện tích 49m², thiết kế 1PN + 1 ngủ rời, 1 lo gia riêng biệt, tòa S2.11.Hướng cửa Tây Nam, ban công Đông Bắc, view thoáng, nhìn biển hồ.Nội thất cơ bản chủ đầu tư.Sổ hồng chính chủ, giá bán thiện chí 1.3 tỷ.Liên hệ trực tiếp để mua căn hộ: A. Dũng 0904 607 *** ",49 m²,1.3 tỷ,,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,34661577,batdongsan_com_vn_34661577,Nội thất cao cấp,Tây - Nam,Đông - Bắc
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Pháp Vân', 'Dự án The Two Residence - Gamuda Garden']","
Tôi cần bán căn 2 ngủ The Two Residence - khu đô thị Gamuda Gardens.- Diện tích: 78 m².- Hướng Đông Tứ Mệnh. Thoáng, mát.- Nội thất gắn tường.- Giá bán: 2.83 tỷ.Tiện ích:Tầng 5 và tầng 26 sân vườn thoáng mát cây xanh, tầng 1 Siêu thị Vinmart to. Tầng hầm để xe máy, tầng 2,3,4 để ô tô.Liên hệ xem nhà: 0974 878 *** - E. Yến (MTG).            ",78 m²,2.83 tỷ,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35393180,batdongsan_com_vn_35393180,,,
"['Hà Nội', 'Ba Đình', 'Phường Giảng Võ', 'Đường Núi Trúc']","
Chính chủ bán đất mặt ngõ Núi Trúc thông Giang Văn Minh. DT sử dụng thực tế 112m², DT trên sổ là 105m², 2 mặt ngõ.- Khu vực nhiều văn phòng và kinh doanh nhiều loại hình. Trước nhà ô tô tránh, ô tô dừng đỗ ngày đêm,...- Sổ đỏ chính chủ, nở hậu sẵn sàng giao dịch.- Gía bán: Thương lượng cho KH thiện chí mua.- Quan tâm inbox hoặc liên hệ (zalo) 0976 502 *** ",105 m²,Thỏa thuận,6 m,,,,,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35213270,batdongsan_com_vn_35213270,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Phạm Hùng', 'Dự án Vinhomes Skylake']","
Gia đình có sự thay đổi nơi công tác muốn bán CH số 10, tòa S1, diện tích 112 m².Thông tin chi tiết căn hộ:- Diện tích 112 m².- Thiết kế: 3 phòng ngủ, 2 WC,- Hướng cửa: Đông Bắc.- Ban công: Tây Bắc, view check Hồ.- Nội thất: Full.- Pháp lý: Sổ đỏ chính chủ.Liên hệ: 0708 809 *** ",112 m²,Thỏa thuận,,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35883377,batdongsan_com_vn_35883377,"Full nội thất - Nội thất: Cơ bản chủ đầu tư + full đồ tivi, tủ lạnh, máy giặt, kệ tủ hãng có thương hiệu. (Nếu không lấy đồ có thể thương lượng).",,Đông - Bắc
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Cầu Giấy']","
Bán nhà đường Cầu Giấy - Quận Cầu Giấy diện tích 40m² * 4 tầng. Mặt tiền 4m. 5 phòng ngủ.Cách 1 nhà ra đường ô tô tránh - sổ đỏ chính chủ - nhà vuông vắn - ngõ thông Nguyễn khang - Thành Thái. Không có căn thứ 2 ở Cầu Giấy.Giá chỉ 4.55 tỷ.Đường Cầu Giấy ở vị trí trung tâm của Quận, gần nhiều trường ĐH lớn như ĐH Giao Thông Vận Tải, Đh Thủ Đô.Thiết kế.- Tầng 1 gara, bếp, wc.- Tầng 2, 3: 2 phòng ngủ, wc.- Tầng 4: 1 phòng ngủ, sân phơi.Liên hệ xem nhà 0976 502 ***có zalo).            ",40 m²,4.5 tỷ,4 m,4 m,4 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,32387561,batdongsan_com_vn_32387561,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Đại lộ Thăng Long', 'Dự án Masteri West Heights']","
Sở hữu căn hộ view hồ như khách sạn 5 sao.- Ký hợp đồng mua bán chỉ với 10% giá trị căn hộ.- Quỹ căn giá tốt nhất dự án Masteri West Heights với chính sách bán hàng hấp dẫn:- CK thanh toán theo tiến độ: 7,8%.+ Vốn tự có từ 15% giá trị căn hộ, nhận nhà ở ngay.+ HTLS 80% đến 31/5/2024.+ Căn hộ Khách sạn - sở hữu vĩnh viễn!+ Miễn phí 36 tháng gửi xe ô tô.+ Miễn phí 36 tháng phí dịch vụ.+ 1 lốt để ô tô, 2 lốt xe máy.-----------22 tiện ích thượng lưu chuẩn ""Wellness"".+ 5 Bể bơi cao cấp: Mỗi tòa sẽ sở hữu 1 bể bơi riêng tầng thượng tầm nhìn Panorama bao trọn Hà Nội và 1 bể bơi nội khu lớn nhất Vinhomes Smart City.+ Sky Garden: Khu vườn để uống trà, thư giãn, relax nằm ngay trên tầng thượng.+ Không gian Yoga, Thiền, Thác nước, Thư viện ngoài trời, Không gian làm việc, Khu vui chơi trẻ nhỏ, Rạp chiếu phim,...-----------Căn hộ đa dạng diện tích cho khách hàng lựa chọn.- Studio: 26,8 - 35,4 (m²).- 1PN +: 41 - 47,6 (m²).- 2PN: 53,4 - 62 (m²).- 2PN +: 60 - 63 (m²).- 3PN: 71,6 - 79,2 (m²).- Duplex: 84,6 - 127,2 (m²).Hotline: 0367 453 *** ",72 m²,Thỏa thuận,,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35982110,batdongsan_com_vn_35982110,Đầy đủ,Tây - Bắc,Đông - Nam
