address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Hướng ban công
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Đường Nguyên Hồng']","
Phân lô vip nguyên Hồng - 2 thoáng trc sau - kinh doanh - 2 oto tránh - chủ tự xây tâm huyết.Phân Lô Nguyên Hồng 71m2x5 Tầng. Mặt tiền 5m.Nhà chủ tự xây cực kì chắc chắn tâm huyết., hợp lý. Có hai thoáng trước sau, sau nhà là khe thoáng rộng 1m 2 giếng trời nên ánh sáng và không khí lưu thông ngập tràn. Vị trí đẹp, khu phân lô vip. Đường rộng ô tô chạy vòng quanh, tránh dừng đỗ ngày đêm, có vỉa hè rộng.Thiết kế:- Tầng 1: Khách bếp.- Tầng 2, 3,4: Mỗi tầng 2 ngủ.- Tầng 5: Phòng thờ sân phơi.Sổ đỏ phân lô cực kì đẹp, sẵn sàng giao dịch. Không lỗi phong thuỷ.Giá bán 17.9 tỷ.Liên hệ Em Cảnh 0976 502 *** để gặp chính chủ làm việc.            ",71 m²,17.9 tỷ,5 m,8 m,5 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,34723381,batdongsan_com_vn_34723381,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Cầu Giấy']","
Bán nhà đẹp như biệt thự. Khu vực trung tâm Quận Cầu Giấy - Phường Dịch Vọng - cực gần phố. Diện tích sổ 60m² x 4 tầng, oto đỗ cửa...+ Trung tâm Cầu Giấy, ngõ nông cực gần phố, khu vực dân trí cao, an sinh tốt, tiện ích xung quanh vô vàn không thiếu thứ gì.+ Nhà thiết kế 4 tầng, KCBT chắc chắn, mỗi tầng 2 phòng.Giá chào 6,7 tỷ+ Sổ đỏ chính chủ, sẵn sàng giao dịch.* Liên hệ 0976 502 *** ",60 m²,6.7 tỷ,8 m,3 m,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,34404585,batdongsan_com_vn_34404585,Nội thất cơ bản.,
"['Hà Nội', 'Ba Đình', 'Phường Giảng Võ', 'Phố Ngọc Khánh']","
Bán nhà Ngọc Khánh - Giảng Võ diện tích 70m². Nhà lô góc nở hậu hai mặt tiền 5m/13m.* Mô tả:- Nhà có vị trí cực đẹp, lô góc 2 mặt tiền, kinh doanh tốt.- Đường trước mặt rộng 10m, có vỉa hè.- Bên hông là mặt ngõ rộng 4m ô tô đi thoải mái.- Nhà ko lỗi phong thủy.Sổ đỏ chính chủ, vuông vắn, NỞ HẬU, mặt tiền chính rộng 5m, mặt tiền phụ rộng 13m.- Nhà hơi cũ, có thể sơn sửa lại 1 chút là ok. Hoặc đập đi xây tòa 7 tầng lô góc le ra xung quanh thì tuyệt vời.* Giá chào 13,5 tỷ. Có thương lượng sâu nếu khách thiện chí.* Quan tâm inbox hoặc lh 0976 502 *** ",70 m²,13 tỷ,5 m,8 m,4 tầng,,,,29/11/2022,06/12/2022,Tin thường,29804829,batdongsan_com_vn_29804829,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh', 'Dự án C1 C2 Xuân Đỉnh']","
Tôi chính chủ bán căn hộ chung cư C2 Xuân Đỉnh, đường Đỗ Nhuận, Bắc Từ Liêm, Hà Nội.- Diện tích 92m, chia 2 ngủ, 2WC, 1p khách rộng về ở luôn.- Vị trí đẹp nhất trục Phố Đỗ Nhuận. View công viên Hòa Bình 46ha khu tập thể dục và cảnh quan cây xanh, thoáng mát quanh năm, tiện ích đầy đủ ngay cạnh công viên, chợ, trung tâm thương mại...- Giá bán: 2,1 tỷ có thương lượng.LH: 0961 630 *** ",92 m²,2.1 tỷ,,,,2 phòng,2 phòng,,25/11/2022,02/12/2022,Tin thường,35952137,batdongsan_com_vn_35952137,,
"['Hà Nội', 'Gia Lâm', 'Xã Đa Tốn', 'Đường Quốc Lộ 5B', 'Dự án Masteri Water Front']","
Do gia đình tôi cần tài chính gấp nên muốn nhượng lại căn góc đẳng cấp của CĐT BĐS hàng hiệu Masterise Homes cho anh chị khách hàng nào thiện chí.Căn này gia đình tôi mua từ đợt Masteri Water Front mới ra hàng. Giá hiện tại căn này tại bảng hàng CĐT là 4,8 tỷ. Gia đình tôi nhượng lại 3,7xx tỷ rẻ hơn CĐT đến gần 40%, vị trí đẹp. Trục căn góc căn 21 này bán rất tốt, hết hàng đầu tiên đợt 1 và đợt 2 ra hàng.Vị trí dự án: Masteri Water Front - vị trí kim cương, đắc địa nhất đại đô thị Vinhomes Ocean Park - Gia Lâm.Thông tin căn:- Căn số 21 - 70m², 2PN.- Ban công Đông Bắc mát cả ngày.- 3 mặt view rất thoáng, view biển hồ, công viên, toàn cảnh ocean park.- Hỗ trợ thủ tục vay ngân hàng, đảm bảo giải ngân được.- Tiện ích: Thuộc tòa nhiều tiện ích nhất trong 6 tòa của Masteri: Spa, Gym, bể bơi vô cực 5* tầng thượng, trường học, sân tennis, bóng rổ, khu thiền,...- Nội thất: Bàn giao nội thất Full mới 100% của chủ đầu tư.- Giá bán: 3.7xx tỷ (báo tất cả thuế phí và giấy tờ).Anh/chị thiện chí liên hệ chính chủ để biết thông tin chi tiết và trao đổi sâu.Liên hệ chính chủ: 0934 526 *** ",65 m²,55.8 triệu/m²,,,,2 phòng,,,26/11/2022,03/12/2022,Tin thường,33986611,batdongsan_com_vn_33986611,Nội thất: Bàn giao nội thất Full mới 100% của chủ đầu tư.,Đông - Bắc
"['Hà Nội', 'Nam Từ Liêm', 'Thị trấn Cầu Diễn', 'Đường Cầu Diễn']","
Bán nhà mặt phố Cầu Diễn Nam Từ Liêm, diện tích 2700m², lô góc, cho thuê 25 tỷ/năm, kinh doanh đỉnh.- Lô góc, 2 mặt thoáng, vỉ hè rộng rãi, đậu xe thoải mái, ví trí kinh doanh sầm uất. Trung tâm Cầu Diễn, Phố đẹp, tương lai dòng tiền lãi lớn gấp bội, giao thông quá thuận tiện, tiện ích ko thiếu gì.- Phù hợp đầu tư, dòng tiền lãi nghìn tỷ đồng.- Ngoài diện tích nêu trên, khách mua chủ tặng thêm hơn 1000m² đất nông nghiệp.- Khu vực kinh doanh sầm uất mọi loại hình, dân trí cao. Sổ đỏ nở hậu.- Hiện đang cho thuê 25 tỷ/ năm. Dòng tiền đều đều hàng năm.Liên hệ: 0387 623 *** ",2700 m²,200 tỷ,,,,,,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35982038,batdongsan_com_vn_35982038,,
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Khánh', 'Phố Ngọc Khánh']","
Bán nhà Ngọc Khánh - Kim Mã, cực gần phố, ô tô vào nhà 2 thoáng. DT 52m² x 4 tầng. MT 4,8m chỉ 6,5 tỷ.- Nhà nằm ở mặt ngõ oto thông tứ tung từ Ngọc Khánh - Kim Mã thông ra Nguyễn Công Hoan,...- Trước nhà mình là khoảng sân rộng, ô tô 4 chỗ đỗ cửa.- Lô góc 2 thoáng sáng vĩnh viễn.- Nhà chủ tự xây KCBT chắc chắn. Nhà 4 tầng.- Mỗi tầng 2 phòng vs khép kín. Từ tầng 1 xây hết đất, đua hết phần cổng - và sân để xe là 52m.- Giá hơn 120 triệu/m².- Sổ đỏ chỉnh chủ nở hậu sẵn sàng giao dịch.- Quan tâm liên hệ (Zalo) 0976 502 ***- Ngoài ra em còn có một số căn ở khu vực gần, và các tuyến đường xung quanh.            ",52 m²,6.5 tỷ,4.8 m,4 m,4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35686605,batdongsan_com_vn_35686605,Nội thất xịn xò,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Xuân Đỉnh', 'Đường Xuân Đỉnh', 'Dự án C1 C2 Xuân Đỉnh']","
* Thông tin mô tả.DT 60m² gồm 2PN, 2Wc.Nội thất xịn, đầy đủ, ban công rộng, hướng mát.Nhà sạch sẽ, tầng trung.Vị trí đẹp, gần trường C1,2 Xuân Đỉnh, chợ Xuân Đỉnh, rạp chiếu phi, siêu thị, cách hồ Tây 1km, gần đh Nội vụ, Ngoại Thương, ngoại giao, ĐH Sư Phạm...Giá 2,35 tỷ SĐ chính chủ.LH 0961 630 *** ",60 m²,2.35 tỷ,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,22/11/2022,02/12/2022,Tin thường,35922891,batdongsan_com_vn_35922891,,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Phố Trung Kính']","
- Gia đình cần bán tòa căn hộ dịch vụ khu Trung Kính - Cầu Giấy.- S 80 m², mặt tiền 7,7 m, xây 8 tầng, thang máy,. Có 15 căn hộ hiện đang cho thuê cả tòa 75 tr/ th.- Khu vực rất thuận tiện, gần các trường học, siêu thị. Ngõ 2 - 2,5 m, cách đg ô tô khoảng 30 m,.- Giá 16,8 tỷ.- Lh 0988 569 *** để biết thêm chi tiết.            ",80 m²,16.8 tỷ,7.7 m,,8 tầng,15 phòng,,,29/11/2022,06/12/2022,Tin thường,35820072,batdongsan_com_vn_35820072,Cơ bản,
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu', 'Dự án Xuân Mai Tower - CT2 Tô Hiệu']","
- Nhà hoàn thiện theo kiểu tân cổ điển cực ký sang trọng.- Toà nhà nằm cuối đường Tô Hiệu ngay cạnh Metro Hà Đông.- Tổng: 03 phòng ngủ, 01 phòng đọc sách, 02 khu wc, 01 phòng khách.- Nhà vẫn còn mới, khách chỉ việc dọn tới ở ngay.- Chủ để lại toàn bộ nội thất như trong ảnh.- Căn hộ đã có sổ đỏ, sẵn sàng giao dịch ngay.- ACE có nhu cầu gọi ngay để xem nhà: 0963 452 *** ",130 m²,3.5 tỷ,,,,3 phòng,2 phòng,Sổ đỏ,28/11/2022,05/12/2022,Tin thường,35964230,batdongsan_com_vn_35964230,Cao cấp,
