address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Pháp lý,Nội thất,Mặt tiền,Đường vào
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án Văn Khê']","
Chính chủ bán nhanh CH cao cấp Văn Khê, nằm trên trục đường Lê Văn Lương kéo dài, đối diện khu ĐTM Nam Cường, gần Aeon Mall Hà Đông.Vị trí: Căn hộ thuộc tòa nhà có vị trí đắc địa về giao thông: Dễ dàng kết nối các tuyến đường huyết mạch: Lê Văn Lương, khuất Duy Tiến, Lê Trọng Tấn, Lê Quang Đạo, Nguyễn Trãi, có tuyến bus BRT nhanh trước mặt, cách 5 km chạm đến nội thành. Gần trường học quốc tế Nhật Bản, các khu vui chơi, bệnh viện quốc tế hay TTTM Aeon rộng 13ha, hồ điều hòa Nam Cường,... Tây Mỗ, Nam Từ Liêm, Mỗ Lao, Đại Học An Ninh trên dưới 5km.Thông tin chi tiết căn hộ: 3PN, 2WC căn góc.Cửa: Đông Bắc, nên nhà rất thoáng, mát. Được mua suất ưu đãi nhưng do không có nhu cầu sử dụng, nên gia đình quyết định bán nhanh cho khách thiện chí.Do gia đình định ở lâu dài nên đã sửa đi lại đường điện nước rất cẩn thận, nhà căn góc rất ấm cúng vào mùa đông và mát vào mùa hè. Nhà mình có sàn gỗ, trần thạch cao các phòng, tủ bếp, sofa, giường tủ, 4 điều hòa, nóng lạnh, rèm, lưới an toàn. Để lại hết cho gia chủ, chủ mới về ở luôn.Giá: 2,3 tỷ rất hân hạnh được đón tiếp (Có thương lượng sâu và gia lộc cho khách thiện chí mua, miễn trung gian môi giới làm phiền).Liên hệ chủ nhà: C. Tuyết: 0349 442 *** ",102 m²,2.3 tỷ,Đông - Bắc,Đông - Nam,3 phòng,2 phòng,29/11/2022,06/12/2022,Tin thường,35982652,batdongsan_com_vn_35982652,,,,,
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Phố Kim Mã Thượng', 'Ngõ 7']","
Bán nhà ngõ 7 phố Kim Mã Thượng, Quận Ba Đình, Hà Nội.Diện tích 41 m² trên sổ đỏ, thực tế xây dựng 45 m² ngõ cực nông, giao thông thuận tiện, nhà cách phố chỉ 20m. Vị trí nhà gần trung tâm thương mại Lotte. Gần trường chợ.- Nhà xây kiên cố, vô cùng chắc chắn, vẫn còn mới nguyên, mua về chỉ cần sơn qua là long lanh.- Thiết kế gồm:Tầng 1: Để xe, khách, bếp, nhà vs.Tầng 2: 2 phòng ngủ + nhà vệ sinh.Tầng 3: 2 phòng ngủ + nhà vệ sinh.Tầng 4: Sân phơi, phòng thờ.- Sổ đỏ chính chủ, phân lô sẵn sàng giao dịch 24/7.- Giá 6,3 tỷ có thương lượng.LH: Em Qúy 0973 466 *** ",45 m²,6.3 tỷ,,,4 phòng,3 phòng,29/11/2022,06/12/2022,Tin thường,35116468,batdongsan_com_vn_35116468,5 tầng,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Hà Đông', 'Phường Văn Quán', 'Đường 19/5']","
Nhà xây dựng tâm huyết có bản vẽ thiết kế riêng KBT kiên cố chắc chắn, các phòng đều có cửa sổ ánh sáng tràn ngập.+ Tầng 1: Phòng khách, bếp, wc.+ Tầng 2, 3, 4: Mỗi tầng 1 phòng ngủ, wc.+ Tầng 5: Phòng thờ, sân phơi rộng.* Nội thất: Nhà đã được trang bị đầy đủ nội thất cơ bản. Gạch lát Prime, trần thạch cao các tầng, thiết bị vệ sinh Inax, cửa kính Việt Pháp, cửa cuốn, cửa thông phòng bằng gỗ, tủ bếp gỗ Sồi Nga,... Rèm của các phòng.* Vị trí: Đối diện kđt Văn Quán, thừa hưởng đầy đủ tiện ích, gần trường c123, cách bigc Trần Phú 300m, giao thông thuận tiện thông ra nhiều tuyến phố lớn như: Nguyễn Khuyến, Vũ Trọng Khánh, 19/5 Văn Quán, Trần Phú, Phùng Hưng Thuộc khu dân trí cao an ninh tốt.- Sổ đỏ chính chủ.- Hỗ trợ vay vốn ngân hàng với lãi suất ưu đãi.- Giá: 4.3 tỷ có thương lượng và bao phí sang tên.- Liên hệ: Quốc Trịnh 0961 705 *** xem nhà miễn phí.Cảm ơn bạn đã đọc tin.            ",38 m²,4.3 tỷ,,,3 phòng,,29/11/2022,06/12/2022,Tin thường,35808258,batdongsan_com_vn_35808258,5 tầng,Sổ đỏ,,,
"['Hà Nội', 'Ba Đình', 'Phường Đội Cấn', 'Đường Đội Cấn', 'Ngõ 208']","
Chính chủ cần bán nhà mặt ngõ 208 phố Đội Cấn, Liễu Giai, Ba Đình Hà nội.Diện tích 56 m² xây 5 tầng còn đẹp, ngõ đường trước nhà rộng ô tô vào thỏa mải, nhà cách phố 20 m.Nhà thiết kế tầng 1 để xe phòng khách bếp + wc.Tầng 2, 3, 4 mỗi tầng 2 phòng ngủ + wc.Tầng 5 phòng thờ và sân phơi, nội thất cầu thang đá tay vịn gỗ sàn đá, cửa gỗ.Nhà nằm trong khu dân trí cao an ninh tốt, giao thông đi lại thuận tiện, gần trung tâm thương mại, lotte, Trường học.Sổ đỏ chính chủ.Giá bán 11, 3 tỷ có thương lượng,Liên hệ: Anh Quý 0973 466 *** ",56 m²,11.3 tỷ,,,6 phòng,4 phòng,29/11/2022,06/12/2022,Tin thường,35919238,batdongsan_com_vn_35919238,5 tầng,Sổ đỏ/ Sổ hồng.,"Nội thất cầu thang đá tay vịn gỗ sàn đá, cửa gỗ.",,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nghiêm Xuân Yêm', 'Dự án Kim Văn Kim Lũ']","
Bán căn hộ C Vinaconex 2 - Nhà sạch sẽ không 1 vết ngấm nứt, dân trí cao, an toàn nhất khu này!Tiện ích: Gần trường Ngôi Sao liên cấp, bệnh viện, cây xăng,...Diện tích: 54,4 m² thông thủy.Thiết kế: 1 ngủ 1 WC, có thể sửa thành 2 ngủ thoải mái.Pháp lý: Sổ đỏ chính chủ.Ban công hướng vành đai tây nam, cửa chính đông bắc.Nội thất: Nôi thất cơ bản như tủ bếp, trần thạch cao, nóng lạnh,...Giá bán: 2.06 tỷ.Liên hệ ngay: 0326 863 *** ",54.4 m²,2.06 tỷ,,,2 phòng,1 phòng,29/11/2022,06/12/2022,Tin thường,35982638,batdongsan_com_vn_35982638,,Sổ đỏ/ Sổ hồng,Cơ bản,,
"['Hà Nội', 'Long Biên', 'Phường Long Biên', 'Đường Phố Trạm']","
- DT: 62m², MT: 4,5m, hướng: Đông - Nam ngõ thông 6m 2 ô tô tránh nhau, kinh doanh buôn bán rất tốt, ở thì cực đẹp.- Vị trí ngay đầu cầu Vĩnh Tuy, đối diện Aeon mall sang phố chỉ 5 phút ô tô.- Nhà thiết kế 6 tầng thang máy nhập khẩu, nội thất đầy đủ chỉ việc về ở ngay, mỗi tầng 2pn, 01Wc.- Cầu Vĩnh tuy giai đoạn 2 chuẩn bị vào hoạt động, cầu Trần Hưng đạo chuẩn bị khởi công giao thông đi lại từ nội thành sang rất thuận tiện.- Tiềm năng tăng giá cao, đất ngày càng khan hiếm... Khu vực quy hoạch đồng bộ rất đẹp, an ninh rất tốt.+ Gồm 3 căn nhà mới hoàn thiện căn góc 02 mặt thoáng 72m² full đồ xây 6 tầng 72m², giá: 14,5 tỷ.- Căn 68m² x 6 tầng full nội thất đẹp, sang, xịn đẹp như hình, giá 12,3 tỷ.* Gía: 11,5 tỷ (có thương lượng).* Liên hệ: Mr Thái Bùi 0838 329 ***Để được tư vấn xem nhà trực tiếp), xin cảm ơn!            ",68 m²,11.5 tỷ,Đông - Nam,Đông - Nam,6 phòng,6 phòng,29/11/2022,06/12/2022,Tin thường,35546810,batdongsan_com_vn_35546810,6 tầng,,Đầy đủ,4.5 m,6 m
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Phố Chùa Láng']","
Nhà phố Chùa Láng, Đống Đa.Cực gần phố - ngõ rộng - ra phố chỉ 40M.Khu vực giao thông, tiện ích đẹp, cạnh ĐH Ngoại Thương.- Nhà: 40m², xây 4.5 tầng, mặt tiền 4m, chỉ hơn 4 tỷ.- Vị trí: Rất gần phố, nhiều bãi gửi ô tô, tiện cho con cái đi học. Xung quanh an ninh rất tốt, phố sạch đẹp, ngõ trước nhà ~2m.+ Nhà tự xây khung cột chắc chắn, thiết kế cầu thang giữa, mỗi tầng 2 phòng, tổng 5 ngủ rộng.+ Sổ đỏ chính chủ giá sát thị trường, rất hợp lý trong thời điểm này.- Liên hệ e để được tư vấn và xem nhà chuẩn.- Việt Cường 0898 277 *** ",40 m²,4.85 tỷ,,,5 phòng,4 phòng,29/11/2022,06/12/2022,Tin thường,35840751,batdongsan_com_vn_35840751,5 tầng,Sổ đỏ/ Sổ hồng,,4 m,
"['Hà Nội', 'Hoàng Mai', 'Phường Tân Mai', 'Đường Tân Mai']","
Bán căn hộ tầng 6 chung cư A4 Đền Lừ (có thang máy), view khu liền kề Louis City, nhà đẹp về ở ngay.- Diện tích sổ đỏ 54m² gồm 2 ngủ, 1 khách, 1 ban công, 1 nhà tắm.- Toà chung cư đã cải tạo đẹp, rộng 2 thang máy chạy cực êm, tầng 1 nhà để xe máy, ngoài sân chung cư bãi gửi ô tô, phí dịch vụ cực rẻ chỉ 1.5k.- Vị trí cực đẹp, view mặt đường đôi Tân Mai, cạnh hồ Đền Lừ, khu vực đang cực kì phát triển. Bán kính 2km là CCCC Feliz Homes, bến xe Giáp Bát, các trường Bách Khoa, Kinh Tế Quốc Dân.- Sổ đỏ chính chủ, giá 1,85 tỷ có gia lộc chút.Liên hệ chủ nhà: 0915 988 *** miễn trung gian.            ",54 m²,1.85 tỷ,,,2 phòng,1 phòng,29/11/2022,06/12/2022,Tin thường,35982633,batdongsan_com_vn_35982633,,Sổ đỏ.,,,
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Đường Yên Phúc']","
Nhà xây dựng tâm huyết, KBT chắc chắn, thiết kế hiện đại.+ Tầng 1: Phòng khách, bếp, wc.+ Tầng 2, 3: Mỗi tầng 2 phòng ngủ, wc.+ Tầng 4: Phòng ngủ - thờ, sân phơi rộng.* Nội thất: Nhà đã được trang bị đầy đủ nội thất cơ bản. Gạch lát Prime, trần thạch cao các tầng, thiết bị vệ sinh Inax, cửa kính Việt Pháp, cửa cuốn, cửa thông phòng bằng gỗ, tủ bếp gỗ Sồi Nga,... Rèm của các phòng.* Vị trí: Cách mặt phố Yên Bình 20m. Cách Hồ Điều Hoà, chợ, UBND Phường Phúc La, trường học các cấp 100m. Sát KĐT Văn Quán tiện ích xung quanh nhiều vô kể. Khu vực dân trí cao rất hiếm nhà bán.- Sổ đỏ chính chủ.- Giá bán: 4.3 tỷ (có thương lượng).- Hỗ trợ vay vốn ngân hàng với lãi suất ưu đãi.- Liên hệ: Quốc Trịnh xem nhà.Trân trọng cảm ơn bạn đã đọc tin.            ",40 m²,4.3 tỷ,,,4 phòng,,29/11/2022,06/12/2022,Tin thường,35862963,batdongsan_com_vn_35862963,4 tầng,Sổ đỏ,,,
"['Hà Nội', 'Gia Lâm', 'Xã Đa Tốn', 'Đường Hải Âu 02', 'Dự án Vinhomes Ocean Park Gia Lâm']","
- DT: 150m², MT: 8m, Hướng: Chính Bắc đường 40m, vỉa hè 4m trục đường chính thông đi các ngả, kinh doanh buôn bán rất tốt, đủ các loại mặt hàng...- Gia lâm 2023 lên quận cùng với các dự án theo cơ sỏ hạ tầng của Vinhomes tiềm năng tăng giá rất tốt.- An ninh rất tốt, không khí trong lành, hệ thống siêu thị dịch vụ bao quanh, rất thuận tiện giao thông đi lại về các nơi...- Biệt thự song lập 3 mặt thoáng trước sau và bên hông nhà rất thoáng đẹp, thiết kế theo phong cách Châu Âu.* Giá: 3x tỷ(có thương lượng).+ Liên hệ: Mr Thái Bùi 0838 329 *** để xem nhà trực tiếp! Xin cảm ơn!            ",150 m²,35 tỷ,Bắc,Bắc,4 phòng,4 phòng,29/11/2022,06/12/2022,Tin thường,35502667,batdongsan_com_vn_35502667,4 tầng,Sổ đỏ/ Sổ hồng,,8 m,40 m
