address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Nội thất,Hướng nhà,Hướng ban công,Mặt tiền,Đường vào,Số tầng
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Phạm Hùng', 'Dự án Vinhomes Skylake']","
Gia đình cần bán nhanh căn hộ tòa S2.Vinhomes Skylake.Diện tích 70m² 2 ngủ 2 vệ sinh.Sổ đỏ lâu dài, full nội thất sang trọng.Giá chỉ 4 tỷ.Tiện ích 5 sao sử dụng miễn phí cho cư dân như bể bơi, gym...LH: 0941 185 ***Zalo ims).            ",70 m²,4 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,34545745,batdongsan_com_vn_34545745,,,,,,
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Chùa Láng']","
Cần tiền bán căn hộ chung N02 Chùa Láng giá tốt, vị trí đẹp.- Diện tích 67m² bao gồm 2 phòng ngủ, 1WC, bếp và phòng khách.- Nhà đẹp, căn góc, thiết kế hợp lý, có đầy đủ nội thất. Vị trí tòa nhà đẹp tiện lợi gần chợ, gần trường học, bệnh viện,...- Nhà có sổ đỏ chính chủ, sẵn sàng giao dịch.- Giá 2.8 tỷ có thương lượng mạnh, nhanh tay kẻo hết hàng.- Liên hệ em Đại 0328 223 *** để được tư vấn miễn phí.            ",67 m²,2.8 tỷ,2 phòng,1 phòng,Hợp đồng mua bán.,29/11/2022,06/12/2022,Tin thường,35540690,batdongsan_com_vn_35540690,Nội thất cơ bản.,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Mỗ Lao', 'Dự án Seasons Avenue']","
Diện tích: 72m², 2pn, 2vs.Nội thất cơ bản, tầng trung, ban công Đông Bắc.Dự án cao cấp, địa chỉ xem nhà tại: Chung cư cao cấp Season Avenue, phường Mỗ Lao, Quận Hà Đông.Liên hệ xem nhà: 0345 612 *** ",68 m²,2.75 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35378051,batdongsan_com_vn_35378051,,Tây - Nam,Đông - Bắc,,,
"['Hà Nội', 'Hoài Đức', 'Thị trấn Trạm Trôi', 'Đường Quốc lộ 32', 'Dự án Lideco']","
- Chính chủ cần bán căn BT đơn lập, view hồ tại khu đô thị Lideco, Hoài Đức, Hà Nội.- Chi tiết:+ Diện tích: Hơn 300m², mặt tiền 12.5m.+ Nhà 5 tầng, có hố chờ thang máy.+ Xây thô, bàn giao theo chủ đầu tư.+ Hình thức sở hữu: Sổ đỏ lâu dài.+ Hướng: Nhà hướng Nam.+ Giá bán: Thỏa thuận chính chủ.Liên hệ: Em Khánh 0981 738 *** ",300 m²,Thỏa thuận,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35921054,batdongsan_com_vn_35921054,,Nam,Nam,12.5 m,17 m,5 tầng
"['Hà Nội', 'Hà Đông', 'Phường Quang Trung', 'Đường Quang Trung', 'Dự án FLC Star Tower']","
Diện tích: 79m², 2pn, 2vs.Nội thất cơ bản, tủ bếp, sàn gỗ, các đồ gắn tường.Tầng trung, nhà đẹp, giá chủ nhà thiện chí bán.Liên hệ: 0345 612 *** xem nhà trực tiếp.            ",79 m²,2.1 tỷ,2 phòng,2 phòng,Đang chờ sổ,29/11/2022,06/12/2022,Tin thường,35758477,batdongsan_com_vn_35758477,,Tây - Bắc,Đông - Nam,,,
"['Hà Nội', 'Hoài Đức', 'Thị trấn Trạm Trôi', 'Đường Quốc lộ 32', 'Dự án Lideco']","
Gia đình gặp khó khăn nên chính chủ cần bán gấp căn liền kề 4 tại khu đô thị Lideco, đường 32, Hoài Đức, Hà Nội.- Thông tin căn liền kề:+ Diện tích đất: 84 m².+ Mặt tiền 7m.+ Hiện trạng: Nhà xây thô hoàn thiện mặt ngoài, 4,5 tầng.+ Vị trí đối diện bãi xe của KĐT thuận tiện đi lại, rất gần trục đường 33m, và vườn hoa nội khu, cực kỳ thoáng đãng.+ Cư dân xung quanh đã về sinh sống đông đúc.+ Hướng Tây tứ trạch.+ Pháp lý: Sổ đỏ chính chủ.+ Giá bán: Thỏa thuận chính chủ.Ai có nhu cầu liên hệ trực tiếp Mr. Khánh 0981 738 *** ",84 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35920444,batdongsan_com_vn_35920444,,Đông - Bắc,Đông - Bắc,7 m,13 m,5 tầng
"['Hà Nội', 'Ba Đình', 'Phường Liễu Giai', 'Phố Vạn Phúc']","
Chủ có nhiều nhà muốn nhờ bán bớt căn nhà siêu đẹp tại khu vực Vạn Phúc, Ba Đình. Nhà nằm ngay trong trung tâm VIP nhất, cạnh Lotte, Daewoo, nhiều người nước ngoài sinh sống, làm việc đặc biệt là Nhật, Hàn Quốc, Ấn Độ; thông sang các đường Đào Tấn, Liễu Giai, Vạn Bảo; cực kỳ tiện đi sang các quận Đống Đa, Cầu Giấy.Diện tích: 130m².Mặt tiền: 8m.Giá: 54.5 tỷ (thương lượng mạnh).Nhà thiết kế 7 tầng nổi 1 tầng hầm, các căn hộ cho thuê sang trọng, dòng tiền đều đặn hàng tháng, lúc nào cũng full phòng, đặc biệt là khách Hàn Quốc, Nhật Bản.Sổ đỏ chính chủ, cất két chờ giao dịch.Liên hệ xem nhà và tư vấn pháp lý miễn phí: Mr Duy 0902 555 *** ",130 m²,54.5 tỷ,,,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35976014,batdongsan_com_vn_35976014,,,,8 m,,7 tầng
"['Hà Nội', 'Hà Đông', 'Phường Hà Cầu', 'Đường Tô Hiệu', 'Dự án Phú Thịnh Green Park']","
Phú Thịnh Green Park.Diện tích: 66m², 2pn, 2vs.Nội thất cơ bản, tầng trung, trục căn góc, 3 phòng đều có ánh sáng và view đẹp.Gía: 2 tỷ 4x.Liên hệ: 0345 612 *** ",66 m²,2.4 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35474327,batdongsan_com_vn_35474327,,Tây - Bắc,Đông - Nam,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Phạm Hùng', 'Dự án Vinhomes West Point']","
Gia đình cần bán căn hộ 2 ngủ toà W2 Vinhomes West Point:Diện tích 70m² 2 ngủ 2 WC.Nội thất full đồ: Tv tủ lạnh máy giặt giường tủ sofa...Giá 4 tỷ.LH 0941 185 *** ",70 m²,4 tỷ,2 phòng,2 phòng,,29/11/2022,06/12/2022,Tin thường,35716725,batdongsan_com_vn_35716725,Đủ đồ,,,,,
"['Hà Nội', 'Đông Anh', 'Xã Đông Hội', 'Đường 5', 'Dự án Eurowindow River Park']","
- Chỉ 600 triệu trong tay là đã sở hữu căn 2 phòng ngủ tòa River đẹp nhất Eurowindow River Park.- Ngân hàng hỗ trợ vay 0%, miễn trả gốc lãi trong 18 tháng.- Chiết khấu lên tới 8%.- Chỉ với 30% giá trị căn hộ ban đầu nhận nhà ở trước tết.------------------------------------------------------------------------ Chủ đầu tư uy tín: Eurowindow Holding.- Vị trí liên kết vùng.+ 1 phút tới trung tâm hội chợ triển lãm quốc gia.+ 7 phút tới TTTM Savico.+ 9 phút tới công viên Kim quy.+ 10 phút tới cầu Tứ Liên.+ 12 phút tới cầu Chương Dương.+ 15 phút tới sân bay Nội Bài.+ 15 phút tới Hồ Gươm.-------------------------------------------------------------------------- Thiết kế tối ưu diện tích sử dụng: 63m - 77m - 82m - 96m.+ Căn hộ thiết kế từ 2 - 3 phòng ngủ.- Tiện ích nội khu:+ Vườn Nhật trên cao.+ Vườn thiền Yoga.+ Gym Fitness.+ Bể bơi 4 mùa mái kính.+ Khu vui chơi trẻ em.+ Sky Bar view panorama nhìn cầu Đông Trù, cầu Nhật Tân, Trung tâm thành phố.+ Box an ninh 24/24.- Nội thất bàn giao:+ Sàn gỗ, trần thạch cao, đèn chiếu sáng, tủ bếp trên dưới, bếp từ hút mùi, nóng lạnh, thiết bị vệ sinh, vách kính đầy đủ.- Giá bán chỉ từ 22 triệu/m giao thô & 25 triệu/m hoàn thiện nội thất cơ bản.- Ngân hàng hỗ trợ vay lên tới 70% giá trị căn hộ với lãi suất 0%.-------------------------------------------------------------------------Liên hệ ngay: 0346 130 *** Em Tú PKD tư vấn 24/7 miễn phí.Website: Https://muanhadep.net/eurowindow-river-park-c19.htmlDự án: Eurowindow River Park.            ",63 m²,1.8 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35921291,batdongsan_com_vn_35921291,,Tây - Nam,Đông - Bắc,,,
