address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Số tầng,Số phòng ngủ,Số toilet,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Pháp lý,Đường vào,Nội thất,Hướng nhà,Hướng ban công
"['Hà Nội', 'Hai Bà Trưng', 'Phường Thanh Nhàn', 'Đường Trần Khát Chân']","
Chủ nhà mua nhà to hơn, cần bán gấp nhà phố Trần Khát Chân, quận Hai Bà Trưng. Gần ngã tư Lò Đúc - Trần Khát Chân - Kim Ngưu. Vài phút di chuyển lên bờ hồ, phố cổ. Tiện ích xung quanh bạt ngàn, giao thông cực tiện.- Nhà chủ tự xây tâm huyết, ở nhiều lộc, đã mua nhà to hơn nên cần bán gấp để chuyển về nhà mới.- Diện tích 48m², mặt tiền gần 4m, xây dựng 6 tầng thang máy thông sàn.- Sổ đỏ chính chủ, chủ thiện chí bán. Tặng nội thất.- Giá 7,15 tỷ (Thương lượng).- Liên hệ 0963 738 *** Mr Thìn.            ",48 m²,7.15 tỷ,4 m,6 tầng,5 phòng,6 phòng,29/11/2022,06/12/2022,Tin thường,35863533,batdongsan_com_vn_35863533,,,,,
"['Hà Nội', 'Hà Đông', 'Phường La Khê', 'Đường Tố Hữu', 'Dự án An Khang Villa']","
Qúa bí tiền nên tôi cần bán lại lô biệt thự Tân Cổ Điển với diện tích rộng 260m², hướng đông nam.Gía cực rẻ: 30 tỷ.Liên hệ: 0974 078 *** ",260 m²,30 tỷ,,,,,29/11/2022,06/12/2022,Tin thường,35710964,batdongsan_com_vn_35710964,Sổ đỏ/ Sổ hồng,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Đường Hoàng Quốc Việt']","
Bán nhà đẹp ở ngay - 2 thoáng - gần phố - khu vực hiếm nhà.Hoàng Quốc Việt 40m² x 5 tầng mặt tiền 4m chỉ 3.99 tỷ.- Vị trí đẹp, rất gần ô tô, ngõ rộng, 2 thoáng trước và sau, sau nhà có khe thoáng.- Giao thông thuận tiện, tiện ích vô vàn.- Nhà gần Viện Khoa Học Công Nghệ Xây Dựng, dân trí cực tốt, an ninh đảm bảo.- Gần các trường cấp 1,2,3 và nhiều trường ĐH lớn, bệnh viện E.- Nhà đẹp chắc chắn, thiết kế hợp lý mỗi tầng một phòng rộng.+ Tầng 1: Phòng khách, Bếp, WC.+ Tầng 2,3,4: Mỗi tầng một phòng ngủ, WC.+ Tầng 5: Phòng thờ, sân phơi.- Sổ đỏ chính chủ, vuông đẹp, pháp lý chuẩn sẵn sàng giao dịch.Lh xem nhà trực tiếp: 0984 683 *** ",40 m²,3.99 tỷ,4 m,5 tầng,3 phòng,4 phòng,29/11/2022,06/12/2022,Tin thường,35758517,batdongsan_com_vn_35758517,,3 m,,,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án KĐTM Dương Nội']","
Biệt thự nhà tôi hiện vẫn đang để thô, xung quanh hàng xóm đông đúc.Đã có sổ đỏ.Liên hệ: 0974 078 *** ",180 m²,21.8 tỷ,,4 tầng,5 phòng,5 phòng,29/11/2022,06/12/2022,Tin thường,35877352,batdongsan_com_vn_35877352,Sổ đỏ,,Không nội thất,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Phạm Hùng', '36', 'FLC Complex Phạm Hùng']","
Bán căn hộ chung cư FLC Complex 36 Phạm Hùng, Nam Từ Liêm, Hà Nội.+ Căn góc tầng cao 98m thông thuỷ trên sổ thiết kế 3PN 2VS phòng khách rộng.+ Căn hộ có ban công rộng rãi hướng Nam và một mặt hướng Đông thoáng mát.+ Đặc biệt căn hộ view hồ điều hoà skylake rộng 20ha siêu đẹp.+ Căn hộ tầng cao view thoáng hướng mát rất đẹp tất cả các phòng đều có ánh sáng và gió đối lưu tự nhiên rất tốt cho sức khỏe.+ Nội thất: Sàn gỗ, trần thạch cao, điều hoà, nóng lạnh, tủ bếp, giường tủ, bàn ghế, sopha...+ Vị trí trung tâm mặt đường Phạm Hùng cạnh đường Trần Hữu Dực kéo dài sắp thông đối diện bến xe...+ Giá bán: 3,95 tỷ bao phí.Liên hệ: 0961 127 *** ",98 m²,3.95 tỷ,,,3 phòng,2 phòng,29/11/2022,06/12/2022,Tin thường,35981019,batdongsan_com_vn_35981019,Sổ đỏ/ Sổ hồng,,Nội thất đầy đủ,Bắc,Đông - Nam
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Phố Trung Kính', '219', 'Central Field Trung Kính']","
Bán căn hộ chung cư 219 Trung Kính 70m² tim tường, 2 ngủ, 2WC. 3.3 tỷ (có TL).DT: 70m² (tim tường), thiết kế 2 phòng ngủ, 2 vệ sinh, phòng khách, nhà bếp, cửa Tây Nam, ban công Đông Bắc, nội thất cơ bản giường, tủ, bếp, sàn gỗ, điều hòa... Gần nhiều trường tiểu học, trung học, đại học, siêu thị, bệnh viện, giao thông thuận tiện...Sổ đỏ chính chủ.Giá: 3.3 tỷ (có TL).LH: 0972 483 *** ",70 m²,3.3 tỷ,,,2 phòng,2 phòng,24/11/2022,01/12/2022,Tin thường,35825658,batdongsan_com_vn_35825658,Sổ đỏ/ Sổ hồng,,Nội thất cơ bản ,Tây - Nam,Đông - Bắc
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Đường Huỳnh Thúc Kháng']","
Cực đẹp phố Huỳnh Thúc Kháng kéo dài, Đống Đa. Ngõ rộng 3m. DT 45m², 5 tầng, Giá 4.85 tỷ.- Vị trí đẹp - Giá đầu tư, cách phố đúng 80m.- Nhà dân xây, còn rất mới, Full nội thất - Ô chờ thang máy.- Sổ đỏ nở hậu, giao dịch ngay.- Chủ cần thanh khoản gấp lên giá đã rất rẻ so với thị trường.- Liên hệ trực tiếp: 0929 812 *** Lê Hùng.- Cam kết thông tin chuẩn 100%.            ",45 m²,4.85 tỷ,4 m,5 tầng,4 phòng,4 phòng,29/11/2022,06/12/2022,Tin thường,35980424,batdongsan_com_vn_35980424,Sổ đỏ/ Sổ hồng,3 m,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Trần Thủ Độ', 'Dự án South Building']","
Vợ chồng tôi muốn bán căn hộ chung cư tại South Building Tứ Hiệp, Hoàng Mai, Hà Nội. Gia đình mua nhưng không có nhu cầu ở cần bán gấp.Căn hộ nhà tôi căn số 05, tầng 8, diện tích: 95m² thiết kế 3PN, 2WC, cửa vào hướng Tây Bắc, ban công Đông Nam, Tây Nam, căn góc thiết kế đẹp, tầm view thoáng. Giá: 2.5 tỷ, có thương lượng.Vậy ai có nhu cầu liên hệ với tôi để xem hợp đồng căn hộ, giá tôi bán bao toàn bộ phí sang tên chuyển nhượng và gia lộc cho khách về ở cho may mắn.Liên hệ trực tiếp tôi số điện thoại 0924 205 ***, miễn trung gian.            ",95 m²,2.5 tỷ,,,3 phòng,2 phòng,29/11/2022,06/12/2022,Tin thường,15622829,batdongsan_com_vn_15622829,,,Nội thất cơ bản.,Tây - Bắc,Đông - Nam
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Đường Minh Khai', 'Dự án Park Hill Premium - Times City']","
Gia đình thay đổi kế hoạch nên cần bán gấp căn hộ Times City Park Hill Premium.Căn hộ thuộc toà P09, thiết kế: 02 phòng ngủ, 02wc, ban công hướng Bắc, View nhạc nước, thoáng.Nội thất: Cơ bản của chủ đầu tư.Giá bán: 4.5 tỷ bao phí sang tên.Ai có nhu cầu liên hệ: 0913 406 *** ",79 m²,4.5 tỷ,,,2 phòng,2 phòng,29/11/2022,06/12/2022,Tin thường,35861680,batdongsan_com_vn_35861680,Sổ đỏ/ Sổ hồng,,,,Bắc
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bạch Mai', 'Phố Hồng Mai']","
Bán gấp CHTT (Tầng 1) phố Hồng Mai - HBT giá 1.59 tỷ, 45m². SĐCC.Do không có nhu cầu sử dụng đến nên muốn nhượng lại gấp căn hộ tập thể Hồng Mai, HBT.Diện tích sử dụng thực tế 45m² (sổ 22m²). Hướng Bắc.Ngõ nông, nhà gần đường lớn, oto đỗ ngay trước cửa nhà.Căn hộ rộng rãi, sạch sẽ, thiết kế hợp lí, nhà gọn gàng sạch sẽ, bố trí 2 ngủ, 1 vệ sinh. Nhà còn tốt, chủ mới sử dụng được luôn.Nhà ở gần chợ, trường học, vào ở ngay, sơn sửa trắng đẹp sạch, ""sổ đỏ"" chính chủ, sang tên trong tích tắc.Bán 1.59 tỷ - thương lượng.LHCC: 0989 536 *** hoặc 0945 998 *** ",45 m²,1.59 tỷ,,,2 phòng,1 phòng,29/11/2022,06/12/2022,Tin thường,35981436,batdongsan_com_vn_35981436,Sổ đỏ/ Sổ hồng,,Đầy đủ,Bắc,
