address,gen_descrip,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số tầng,Nội thất,Mặt tiền,Đường vào
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Hàm Nghi', 'Dự án Mon City - Hải Đăng City']","
Gia đình tôi có căn hộ 2 phòng ngủ, diện tích 67m² thông thủy đã làm đầy đủ nội thất tại dự án HD Mon cần bán lại cho khách đang có nhu cầu tìm mua tại đây.Căn nhà tôi là căn ban công: Đông Nam. View biệt thự thành phố, rất thoáng mát.Nay nhà tôi cần bán với giá: 3 tỷ. Để lại toàn bộ nội thất cho chủ mới.Liên hệ xem nhà trực tiếp: 0948 022 ***Mr Thọ).            ",67 m²,3 tỷ,Tây - Bắc,Đông - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35981033,batdongsan_com_vn_35981033,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Định Công', 'Đường Nguyễn Cảnh Dị', 'Dự án Smile Building']","
Tôi chính chủ căn hộ rất cần bán gấp trước tết 2023.- Tầng 20 căn 06 dự án chung cư Smile Building - Đinh Công, diện tích 95m² căn góc 2 mặt thoáng thiết kế 3 ngủ + 2 vệ sinh view hồ Định Công.+ Giá bán: 3.4 tỷ.Nội thất hoàn thiện cơ bản tủ bếp, bếp điều hòa, giường tủ bàn ghế.Tầng 18 căn 03 diện tích: 74 m² thiết kế 3 ngủ + 2 vệ sinh view hồ Định Công.+ Giá bán: 2.7 tỷ.Nội thất hoàn thiện đầy đủ sẵn việc ở.LH Xem nhà: 0985 354 *** / 0902 100 *** ",74 m²,2.7 tỷ,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35037270,batdongsan_com_vn_35037270,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Khương Trung']","
- Bán nhà phố Khương Trung, 6.1 tỷ, 43m².- Nhà đẹp mới xây, thiết kế hiện đại với chiều cao 5 tầng, đầy đủ nội thất, có gara để xe, ngõ rộng.+ Tầng 1: Gara hoặc để kinh doanh.+ Tầng 2: Phòng khách + phòng bếp.+ Tầng 3 + 4: 5 phòng ngủ.+ Tầng 5: Phòng thờ & sân phơi.- Tiện ích:+ Xung quanh là các trường mầm non đến cấp 123.+ Ngay gần các chợ và Vincom Royal City.+ Giao thông rất thuận tiện di chuyển khi nằm ngay gần các tuyến đường lớn như: Nguyễn Trãi - Tây Sơn, Láng - Trường Chinh.- Sổ đỏ chính chủ.- Giá: 6.1 tỷ (có thương lượng).- Cam kết thông tin thật 100%.- Quan tâm liên hệ: 0906 203 *** ",43 m²,6.1 tỷ,,,5 phòng,,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35980792,batdongsan_com_vn_35980792,5 tầng,Nội thất đầy đủ.,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', '47B Ngõ 192 Kim Giang']","
GD cần tiền bán căn nhà chính chủ, căn nhà đầu tiên của vợ chồng tôi, diện tích 41,5m², ngang 3,5m, ngõ rộng 3 xe máy tránh nhau thoải mái. Ô tô cách nhà 20m.Nhà 4 tầng, 1 tum khung bê tông xây năm 2009.Nhà rất có lộc, chúng tôi đã sinh em bé trai đầu ở đây. Do đã chuyển về gần bố mẹ đẻ và cần tiền đầu tư homestay nên phải bán gấp.Nhà ở trong Vành Đai 3 nên các bác không lo phải trả phí vào nội thành.Cách đó hai trăm mét chung cư đã 32 tr/m², tính ra 4 tầng 160m² sàn, chỉ chưa tới 30 tr/m².            ",41.5 m²,4.8 tỷ,Đông - Bắc,,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35913499,batdongsan_com_vn_35913499,4 tầng,,3.5 m,
"['Hà Nội', 'Hoàng Mai', 'Phường Yên Sở', 'Đường Tam Trinh', '885', 'Gelexia Riverside']","
Tôi mua được suất ngoại giao không có nhu cầu sử dụng và đang cần tiền nên bán gấp CHCC Gelexia Riverside, 885 Tam Trinh, Phường Yên Sở, Quận Hoàng Mai, Hà Nội.Tòa CT2 căn 1803 diện tích 70m², 2PN - 2VS. Cửa Đông, ban công Tây.Tòa CT1 cán 1606 diện tích 76m², 2PN - 2VS. Cửa Nam, ban công Bắc.Tòa CT2 căn 2015 diện tích 100m², 3PN - 2VS. Cửa Tây, ban công Đông.Giá 26.5tr/m².Liên hệ: 0902 100 *** / 0985 354 *** ",70 m²,26.5 triệu/m²,Đông,Tây,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,25/11/2022,02/12/2022,Tin thường,35694613,batdongsan_com_vn_35694613,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Dự án Luxury Park Views']","
Chính chủ cần tiền đầu tư kinh doanh nên cần bán gấp căn hộ chung cư Luxury Park View, Cầu Giấy.- Tầng 1608, diện tích 64m² thiết kế 2PN, 2VS, ban công thoáng mát, view nội khu đài phun nước cầu giấy.- Tầng 1605 (căn góc), diện tích 102,9m² thiết kế 3PN, 2VS căn góc ban công Đông Nam.- Tầng 2006( căn góc ), diện tích 70,35 m² thiết kế 2PN, 2VS, ban công  thoáng mát.Vì cần bán gấp trong tháng nên tôi bán giá: 39tr/m² (có thương lượng).Liên hệ chính chủ anh Hùng: 0976 557 *** / 0901 755 ***tiếp trung gian).            ",64 m²,39 triệu/m²,,,2 phòng,,,29/11/2022,07/12/2022,Tin thường,30112679,batdongsan_com_vn_30112679,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Thịnh Liệt', 'Đường Giáp Nhị']","
Nhà phố Giáp Nhị, Trương Định, Hoàng Mai.Siêu gần phố, đường rộng thêng thang, gara ô tô 7 chỗ.DT: 38m²/ sàn, xây mới full KCBT 05 tầng (Nhà đã hoàn thiện, chờ chủ nhân mới về đón tết).Căn góc, Nhà có 3 mặt thoáng (Thoáng trước, thoáng sau và bên cạnh nhà).Ngõ rộng hơn 5m, ô tô 7 chỗ ra vào nhà thoải mái.Thiết kế hiện đại:- Tầng 1: Để ô tô, làm văn phòng.- Tầng 2: Phòng khách và bếp thông sàn.- Tầng 3,4: Mỗi tầng 1 phòng 1 WC.- Tầng 5 có 2 phòng và sân phơi rộng.Nội thất có: Tay vịn, con tiện, mặt bậc cầu thang, cửa sổ các phòng dùng gỗ Lim Nam Phi. Hệ thống cửa sổ có cửa nhôm kính Xingfa cao cấp Thiết bị vệ sinh ToTo, vách tắm kính. Đi sẵn hệ thống điều hoà âm tường, sàn gỗ các phòng... Rèm cửa, nóng lạnh đầy đủ.            ",38 m²,5.8 tỷ,,,3 phòng,5 phòng,Sổ đỏ vuông đẹp,29/11/2022,06/12/2022,Tin thường,35981378,batdongsan_com_vn_35981378,5 tầng,Cơ bản,3.6 m,5 m
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Bằng A', 'Dự án Tây Nam Hồ Linh Đàm']","
Bán căn hộ 1 ngủ hướng mát ở Tây Nam Linh Đàm gần Rice City, đi lại thuận tiện, đừng bỏ lỡ!Hạ tầng hoàn thiện các tiện ích xung quanh đầy đủ: Vinmart, rạp CGV, trung tâm thể thao quận Hoàng Mai, trường học, công viên hồ Linh Đàm... Rất đáng sống.Bán căn hộ CT1 A2 Tây Nam Linh Đàm.Diện tích 39m² tim tường, 34.5m² thông thủy thông thuỷ.Thiết kế: 1PN 1VS.Hướng: Cửa Tây Bắc, BC Đông Nam thoáng mát.Nội thất: Tủ bếp, điều hòa, nóng lạnh,... Đồ cơ bản.Giá bán 1.05 tỷ (khách xem ưng là chốt ạ).LH xem nhà miễn phí E Tú 0868 708 *** ",39 m²,1.05 tỷ,Tây - Bắc,Đông - Nam,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35980849,batdongsan_com_vn_35980849,,Cơ bản,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng Hậu', 'Phố Trần Quý Kiên']","
- Vị trí hiếm khi mới có căn bán - chủ làm ăn thành đạt bán mua nhà to hơn - khu giao thông kết nối Trần Đăng Ninh - Cầu Giấy - Xuân Thủy - view công viên - tiện ích xung quanh không thiếu gì.- Căn hộ là căn góc, view thoáng sáng phòng nào cũng có cửa sổ, thiết kế 2 ngủ.- Sổ đỏ chính chủ, lâu dài, sẵn sàng giao dịch.- Liên hệ Mrs Huyền My 0834 176 *** hỗ trợ mua bán chính chủ.            ",62 m²,2.48 tỷ,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35853158,batdongsan_com_vn_35853158,,,,
"['Hà Nội', 'Ba Đình', 'Phường Phúc Xá', 'Đường Phúc Xá']","
- Bán nhà Phố Phúc Xá - Ba Đình - tầm tiền hiếm - ô tô tránh - kinh doanh đỉnh - nhà mới đẹp về ở luôn.- Vị trí ngay mặt phố cực hiếm - hộ khẩu Ba Đình, đi lên Phố Hồ Gươm rất gần, hướng đi Tây Hồ, Âu Cơ cũng thuận lợi. Xung quanh tiện ích không thiếu gì...- Nhà xây vẫn còn mới, chắc chắn đầy đủ công năng, thiết kế Cầu thang giữa, mỗi tầng chia 2 Phòng hợp lý.- Sổ đỏ vuông vắn chính Chủ, sẵn sàng giao dịch.- Liên hệ 0834 176 *** Mrs Huyền My hỗ trợ xem nhà.            ",50 m²,8 tỷ,,,6 phòng,,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35913712,batdongsan_com_vn_35913712,5 tầng,,,
