address,gen_descrip,Diện tích,Mức giá,Số tầng,Số phòng ngủ,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số toilet,Mặt tiền,Hướng ban công,Nội thất,Đường vào,Hướng nhà
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Nguyễn Khả Trạc']","
Cần bán nhà phân lô Nguyễn Khả Trạc - Mai Dịch - Cầu Giấy.Nhà xây mới đẹp 76m² x 6 tầng thang máy, nhà 2 mặt tiền trước sau, thiết kế hiện đại từ tầng 2 - 5 mỗi tầng 2 phòng khép kín.Giá: 13,5 tỷ có thương lượng.Liên hệ em Vinh: 0981 635 *** ",76 m²,13.5 tỷ,6 tầng,8 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35981373,batdongsan_com_vn_35981373,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 1', 'Đường Nguyễn Cơ Thạch', 'Dự án Mỹ Đình I']","
Tôi cần bán chung cư tòa C1 đường Nguyễn Cơ Thạch, Mỹ Đình 1, diện tích 74m², 2PN, 1 VS, căn góc, thiết kế vuông vắn, ban công hướng mát.Nhà đã thay toàn bộ hệ thống điện nước, sàn, trần, trang bị nội thất cơ bản gắn tường, giá thỏa thuận, ai có nhu cầu liên hệ Ms Trang 0981 245 *** ",74 m²,Thỏa thuận,,2 phòng,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35445890,batdongsan_com_vn_35445890,1 phòng,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Bùi Xương Trạch', 'Ngõ 77']","
Chung cư mini mới đẹp - full nội thất - khách thuê full - dòng tiền 60 triệu/tháng.* Mô tả:+ Nhà ngõ 77 Bùi Xương Trạch, ba gác tránh xe máy. Khu vực đông sinh viên và người đi làm thuê trọ, nhu cầu thuê chung cư mini cực lớn.+ Diện tích 50m², MT 3.4m, nhà xây 5 tầng chắc chắn, thiết kế 9 căn hộ chung cư mini khép kín, full nội thất tiện nghi như: Bếp từ, hút mùi, tủ lạnh, máy giặt, giường, tủ, bàn trang điểm, chăn ga gối đệm...+ Hiện chủ nhà đã có khách đặt thuê kín phòng, dòng tiền 60 triệu/tháng.+ Sổ đỏ vuông đẹp, nhà không lỗi phong thủy, không quy hoạch.+ Giá bán 5.899 tỷ.Liên hệ: Mr Lâm - Chuyên nhà đất Thanh Xuân.ĐT: 0983 431 *** ",50 m²,5.899 tỷ,5 tầng,7 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35971036,batdongsan_com_vn_35971036,6 phòng,3.4 m,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Đại Áng']","
Chính chủ bán lô đất đấu giá đẹp nhất khu đấu giá xã Đại Áng huyện Thanh Trì Hà Nội.- No: 1 diện tích 82,1m².- Hướng: Tây bắc.- Đường 5,5m đường nhựa.- Vỉa hè: 10m.- Hạ tầng đầy đủ đèn điện cống thoát nước hố thoát sàn.Cây xanh mát mẻ vị trí đẹp nằm giữa khu trung tâm hành chính.Đường: 7,5m mở rộng 12m xe container vào tận nhà.Đi 5m ra đường xe buýt.Đường chính mở rộng 2 làn xe mỗi bên 25m.Đường vào khu đất mở rộng 11,5m.Đối diện khu đấu giá nhìn sang là khu trung tâm thương mại, và khu dv thương mại đại áng.Xung quanh vô vàn tiện lợi gần chợ, khu trung tâm thể hình, siêu thị tạp hoá mini, quán cà phê.Gần ubnd xã đại áng, gần trường thpt, thcs,.Khu đấu giá đẹp nhất nhì huyện Thanh Trì.- Tương lai rất tiềm năng trong tầm giá và vị trí địa lý đắc địa từ đường vành đai kết nối Cienco5 - Siêu Quần - Đại Áng.- Mở rộng các phân khu đầy đủ tiện ích trường học từ mầm non đến cấp 3, các khu hành chính đầy đủ tiện nghi.- Gần chợ, khu phố đại áng sầm uất vị trí kinh doanh tuyệt đỉnh.- Đường trục liên xã mở rộng thành đường đôi 50m.Thích hợp mở văn phòng, nhà nghỉ, kinh doanh online, mở quán cafe, phòng khám tư nhân.Đã có sổ đỏ nhận đất xây nhà luôn.Lh: Em Thảo 0961 037 *** ",82.1 m²,Thỏa thuận,,,,29/11/2022,06/12/2022,Tin thường,35980205,batdongsan_com_vn_35980205,,,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án Mỹ Đình II']","
Bán căn hộ chung cư tòa CT5 đường Nguyễn Cơ Thạch, diện tích 93m², 3pn, 2 vs, sửa đẹp, nội thất cơ bản gắn tường, ban công tây nam, tầng đẹp, giá thỏa thuận, lh Ms Trang 0981 245 *** ",93 m²,Thỏa thuận,,3 phòng,,29/11/2022,06/12/2022,Tin thường,35596081,batdongsan_com_vn_35596081,2 phòng,,Tây - Nam,Cơ bản.,,
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Đường Nguyễn Văn Linh']","
Mô tả:+ Bán đất Sài Đồng, Long Biên ô tô tránh 100m² giá chỉ 5tỷ.+ Thửa đất vuông đẹp, trước nhà rộng ô tô tránh, cách đường lớn chỉ 60m rất phù hợp làm kho xưởng hoặc xây căn 5 tầng đầy đủ công năng: Gara ô tô, thang máy...+ Gần các phố Nguyễn Văn Linh, Thạch Bàn, Cổ Linh, Sài Đồng, Vũ Xuân Thiều, Phúc Lợi... Gần đường QL5, QL1 và cao tốc Hải Phòng.+ Gần chợ, trường học các cấp, gần Công viên Công nghệ cao Hanel, Aeon, Vincom...Pháp lý chuẩn. Sổ đẹp Hoa hậu.Giá: 5tỷ.LH: Anh Tú 0359 454 ***) để được gặp chủ và xem đất miễn phí.            ",100 m²,5 tỷ,,,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,33896863,batdongsan_com_vn_33896863,,4.2 m,,,4.5 m,
"['Hà Nội', 'Gia Lâm', 'Xã Kim Sơn']","
Cần bán 45m² Giao Tất A - Kim Sơn - Gia Lâm - HN.- Mặt tiền 4m², hậu 4m5 - dài 10m.- Đường trục chính 3,5m.- Ô tô 7 chỗ vào thoải mái.- Giá 36tr/m chỉ tầm 1,6 tỷ.(Cơ hội không có lần 2 ạ giá cực kì đẹp).- Đất lành, đảm bảo pháp lý 100%.            ",45 m²,36 triệu/m²,,,Sổ đỏ/ Sổ hồng.,29/11/2022,06/12/2022,Tin thường,35859642,batdongsan_com_vn_35859642,,4.2 m,,,3.5 m,
"['Hà Nội', 'Cầu Giấy', 'Phường Mai Dịch', 'Đường Hồ Tùng Mậu']","
Cần bán gấp nhà riêng tại đường Hồ Tùng Mậu, Cầu Giấy.Nhà lô góc, diện tích 40m², 5 tầng, 9 phòng khép kín.Tất cả các phòng trang bị đầy đủ đồ, giường, tủ, điều hoà, nóng lạnh.Mua về khai thác ngay, dòng tiền 480 triệu/năm.Chủ thiện chí Bán.Chào bán 5.95 tỷ (giá thương lượng).Liên hệ em Trang: 0979 688 *** để xem nhà và làm việc trực tiếp chủ.            ",40 m²,5.95 tỷ,5 tầng,9 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35981364,batdongsan_com_vn_35981364,9 phòng,,,Đầy đủ,,
"['Hà Nội', 'Ba Đình', 'Phường Thành Công', 'Phố Láng Hạ', '16', 'Diamond Park Plaza']","
Bán căn hộ BRG Diamond Park Plaza - 16 Láng Hạ view trọn hồ Thành Công. Bàn giao Quý IV/2022. Ký HĐ trực tiếp CĐT. Trần cao 3.6m. Bàn giao full nội thất liền tường.- Căn 2 phòng ngủ diện tích 81,89m² thông thủy. Gồm 2 phòng ngủ, 2 vệ sinh, 2 logia.- Căn hộ thiết kế tối ưu không góc chết với trần cao 3.6m thoáng mát, 100% các phòng đều lấy ánh sáng và gió trực tiếp.- Hầu hết căn hộ có hướng view trực diện Hồ Thành Công 6.4ha, đây là hướng view vĩnh viễn không bị che chắn bởi bất kỳ dự án nào khác.- Phòng bếp có logia tránh mùi thức ăn trong nhà, khu giặt và phơi đồ kín đáo, riêng tư, chỗ đặt cục nóng điều hòa riêng không làm mất diện tích của ban công.- Giá trực tiếp CĐT: 6,85 tỷ (gồm VAT, phí bảo trì).Đăng ký xem căn hộ thực tế: 0911 283 ***.1. Diện tích và giá bán căn hộ Diamond Park Plaza:- Căn 1PN: Diện tích 55.21 - 57.1m². Giá bán từ 4.6 tỷ.- Căn 2PN: Diện tích 81.89 - 96.66m². Giá bán từ 6.85 tỷ.- Căn 2PN + 1: Diện tích 102.53m². Giá bán từ 8.67 tỷ.- Căn 3PN: Diện tích 124.9m². Giá bán từ 10.75 tỷ.- Bàn giao full nội thất cao cấp: Sàn gỗ, trần thạch cao, điều hòa âm trần Mitsubishi, tủ bếp, bếp từ, hút mùi Bosch, chậu rửa, thiết bị vệ sinh Kohler, bình nóng lạnh, hệ thống tủ quần áo...2. Chính sách bán hàng ưu đãi Diamond Park Plaza:- Tặng 1 năm phí dịch vụ quản lý.- Quà mừng Tân Gia 380 triệu cho căn 3PN tầng 4 trở xuống.- Quà mừng Tân Gia 150 - 325 triệu cho căn 2PN (tùy căn, tầng).- Quà mừng Tân Gia 100 - 180 triệu cho căn 1PN (tùy căn, tầng).- NH hỗ trợ vay 45% GTCH lãi suất 0% và ân hạn nợ gốc trong 12 tháng.- Chiết khấu 3% GTCH khi KH thanh toán tiến độ thông thường.- Chiết khấu 5% GTCH khi KH thanh toán chuyển nhượng sớm.- KM 300 triệu (căn 3PN) + Chiết khấu 5% khi KH thanh toán sớm toàn bộ.3. Tổng quan dự án Diamond Park Plaza:- Tên dự án: Diamond Park Plaza.- Địa chỉ: Số 16 Láng Hạ, P. Thành Công, Ba Đình, Hà Nội.- Chủ đầu tư: Công ty TNHH Đầu tư và Phát triển Phương Đông.- Đơn vị thiết kế: P&T Consultants PTT LTD (Singapore).- Đơn vị thi công: Delta (Việt Nam), Posco (Hàn Quốc), Maeda (Nhật Bản).- Diện tích khu đất: 8,152 m².- Quy mô: 19 tầng nổi, 4 tầng hầm.- Hình thức sở hữu: Sổ hồng lâu dài.- Thời gian bàn giao: Dự kiến Quý IV/2022.- Tiện ích: Vườn thượng uyển, gym, trung tâm thương mại, phòng sinh hoạt cộng đồng, phòng chơi bi - a, family lounge, văn phòng, cafe ngoài trời...Liên hệ Phòng KD để xem căn hộ: 0911 283 *** (Thùy Lương).            ",81.89 m²,6.85 tỷ,,2 phòng,Hợp đồng mua bán,29/11/2022,06/12/2022,Tin thường,35980901,batdongsan_com_vn_35980901,2 phòng,,Đông - Bắc,Full nội thất cao cấp liền tường,,Tây - Nam
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình']","
Siêu phẩm nhanh mới có phần, Khương Đình, Thanh Xuân, nhà 4 tầng, giá hơn 4 tỷ, DT 37/42m².+ Chủ nhà thiện lành, thiện chí bán.+ Giá chào chỉ ra lộc - ace lựa tư vấn khách.+ Chuyển về ở cùng con cháu.+ Gần phố, vài bước ra phố khương đình.+ Thoáng sáng trước sau.+ Chỉ việc về ở ngay. Thêm lớp sơn là long lanh.+ Sổ vuông, sẵn giao dịch.Thiết kế.Tầng 1: Khách + thờ + bếp để xe.Tầng 2,3,4: Mỗi tầng 2 phòng. Trước sau đều có cửa sổ thoáng sáng.Mọi tương tác anh em làm chuẩn quy trình, tư vấn vị trí, giá và hình ảnh trước khi dẫn khách xem trong.+ Tuyệt đối không ngồi quán nước đầu ngõ rất bất lợi.Chủ nhà bán kín, tránh ảnh hưởng đến hành xóm xung quanh.            ",37 m²,4.56 tỷ,4 tầng,6 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35980734,batdongsan_com_vn_35980734,6 phòng,,,CƠ BẢN,,
