address,gen_descrip,Diện tích,Mức giá,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Số tầng,Nội thất,Đường vào,Hướng nhà
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Đường Nguyễn Tuân', '109', 'Legend Tower 109 Nguyễn Tuân']","
Chính chủ gửi bán.Căn 2 ngủ tòa The Legend 109 Nguyễn Tuân.Tiện ích đủ cả: Bể bơi nước mặn, có slot ô tô, khu vui chơi, trường học...Ban công ĐN - quanh năm mát mẻ.Tầng trung đẹp.Giá 4 tỷ.Gọi điện để biết thêm chi tiết.            ",68 m²,4 tỷ,Đông - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35546513,batdongsan_com_vn_35546513,,,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Đình', 'Đường Khương Đình']","
Vị trí:- Nhà lô góc, thoáng sáng, cách mặt phố 20m, sát Nga tư sở, Royal City, ngõ thông, kinh doanh online, ở sướng. Trong tầm bán kính 1 km là các trường Đại học Khoa học tự nhiên, KHXH và Nhân Văn, Đại học Y, Bệnh viện Đại học y. Khu vực trung tâm, dân trí cao, dịch vụ tiện ích không thiếu gì.Thiết kế:- 5 tâng, nhà dân xây còn nới đẹp, nội thất đầy đủ, phù hợp ở hoặc cho thuê.Sổ đỏ vuông đẹp.Giá bán: 3.35 tỷ (có TL, MTG).LH: Hoàng Long: 0366 285 *** ",30 m²,3.35 tỷ,,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35981321,batdongsan_com_vn_35981321,3.7 m,5 tầng,Đầy đủ,,
"['Hà Nội', 'Mê Linh', 'Thị trấn Chi Đông', 'Đường Cao tốc Thăng Long Nội Bài', 'Dự án Chi Đông']","
Bán đất nền KĐT Chi Đông Vinaconex 9, cách KCN Quang Minh vài trăm mét có thể đi bộ, giao thông thuận tiện, khu mở có thể kinh doanh như Shophouse, ( chẳng qua chủ đầu tư ít quảng cáo, PR ), gần Nhà hàng Chiến Dê, hạ tầng đường, điện nước hoàn chỉnh, sắp mở bán giai đoạn 2 hợp tác với Tasco ( Vina9 đã đổi chủ ) , giá sẽ từ 40tr mà phải xây ngay, thời gian tới bđs Mê Linh sẽ tăng x2 tài sản.Pháp lý: Sổ hồng rất hiếm có ở Mê Linh, hầu hết là hđ vay vốnKhu đô thị mới Chi Đông nằm ở một vị trí đắc địa, mặt hướng về sông Cà Lồ lộng gió, giao thông thuận tiện cùng với hệ thống hạ tầng kỹ thuật hoàn hảo.Sẽ có chung cư, hồ điều hoà sát khu , TTTM, TT giải trí thể thao.- Nằm dọc theo sông Cà Lồ thơ mộng, giáp hồ điều hòa đã được quy hoạch cực đẹp, lá phổi xanh cho khu vực- Nằm liền kề đường cao tốc Bắc Thăng Long - Nội Bài, Trục chính đường QL35, KĐT Chi Đông, Mê Linh, Hà Nội, trong Vành đai 4 .- Tiếp giáp đường vành đai 4 và Quốc lộ 2 đi Vĩnh Yên- Cách đường cao tốc số 18 đi Bắc Ninh, Quảng Ninh khoảng 700m- Cách sân bay Nội Bài 5 km, cách cầu Thăng Long 10km- Cách trung tâm Hà Nội 20km, Nội Bài 5kmGiá 35tr/m² diện tích 192m2= 6,72 tỷ, có thương lượng ( không đăng ảo 11tr-15tr/m² như các sale ) A Thanh0388 901 *** ",192 m²,6.72 tỷ,,,,Sổ đỏ/ Sổ hồng,29/11/2022,19/12/2022,Tin thường,33276899,batdongsan_com_vn_33276899,9 m,,,11.5 m,
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Đường Nguyễn Khang']","
+ Nhà đẹp khu Trung Yên - Nguyễn Khang, dân trí cao, Ngõ thông ra Trung yên 9, KĐTM Yên hoà.+ Nhà sạch đẹp từng milimet, chủ tâm huyết thiết kế cẩn thận, sắm đồ xịn sò, nội thất gỗ lim, gạch Tây ban nha,+ Tầng 1 là gara ô tô, phòng ăn, bếp rộng rãi, có sân sau nhà. Các tầng trên chia 2 - 3 t.Phòng khép kín. Tầng 2 có phòng khách rộng, tầng 6 làm sân trồng rau có mái che.+ Từ tầng 2 có giếng trời thoáng, lắp được thang máy tại đây.+ Sổ đỏ vuông, cất két sẵn sàng giao dịch.+ Giá bán: 16 tỷ (có thương lượng).+ Liên hệ: 0967 533 ***hỗ trợ 24/24).            ",63 m²,16 tỷ,,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,32563834,batdongsan_com_vn_32563834,5.5 m,6 tầng,Nội thất cực kỳ sang trọng và đẳng cấp,8 m,
"['Hà Nội', 'Đống Đa', 'Phường Láng Thượng', 'Đường Láng', 'số 1152', 'Lancaster Luminaire']","
Chưa tới 3 tỷ, sở hữu ngay căn hộ Studio 45m² chuẩn Nhật tại Lancaster Luminaire. Vận hành cho thuê đến 20 triệu/tháng.Inbox để nhận tài liệu/báo giá trực tiếp từ PKD CĐT: 0368 438 *** Mr. Lê Tú.Nằm tại số 1152 đường Láng, nơi tiếp giáp 3 quận Cầu Giấy - Đống Đa - Ba Đình thu hút rất nhiều khách thuê là chuyên gia trong nước và nước ngoài. Chủ sở hữu căn hộ có thể dễ dàng cho thuê với tỷ lệ lấp đầy lên tới 95%.------------------------Thông tin dự án:Đơn vị phát triển dự án: Trung Thủy Group (TTG Holdings).Tổng thầu thi công: Coteccons.Đơn vị vận hành: Công ty Quản lý Lancaster (Lancaster Management).Quy mô: 27 tầng nổi (4 tầng thương mại, 22 tầng căn hộ, 1 tầng Residence Club), 4 tầng hầm.Diện tích đất dự án: 6.056,4 m².Mật độ xây dựng: 53 %.Tiêu chuẩn bàn giao dự án: Cao Cấp.Đa dạng quy mô căn hộ.- Căn Studio: 45m².- Căn 2PN: 64m².- Căn 3PN: 116m².------------------------Trung Thuỷ Group ra mắt quỹ căn hộ khách sạn tại dự án Lancaster Luminaire với giá và chính sách vô cùng hấp dẫn:Hỗ trợ vay ngân hàng với ls 0% trong 12 tháng cho tối đa 65% GTCH.Thanh toán đợt 1 chỉ 15%.Thanh toán sớm 50% nhận ngay chiết khấu 5%.Liên hệ nhận báo giá/chính sách/mặt bằng & tham quan căn hộ: 0368 438 *** ",45 m²,2.9 tỷ,Đông - Bắc,1 phòng,1 phòng,Hợp đồng mua bán.,29/11/2022,06/12/2022,Tin thường,35624102,batdongsan_com_vn_35624102,,,Cao cấp nhập khẩu.,,Tây - Bắc
"['Hà Nội', 'Cầu Giấy', 'Phường Quan Hoa', 'Đường Cầu Giấy', '110', 'Cầu Giấy Center Point']","
Tôi chính chủ cần bán căn hộ ở dự án chung cư 110 Cầu Giấy - Cầu Giấy Center Point.Căn hộ của tôi DT 68m², thiết kế 2PN - 2WC.Hộ khẩu Cầu Giấy, tôi làm full nội thất gỗ thịt tâm huyết khách mua vào ở luôn.Tôi bán giá 3,6 tỷ.Liên hệ tôi 0826 286 *** ",68 m²,3.6 tỷ,,2 phòng,2 phòng,Sổ đỏ,26/11/2022,03/12/2022,Tin thường,30723858,batdongsan_com_vn_30723858,,,Full nội thất,,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', '677', 'Heritage West Lake']","
- Chính thức nhận booking đợt đầu tiên căn hộ Soho ""giá hời"" phiên bản giới hạn chỉ 202 căn tại dự án Heritage West Lake Tây Hồ.* Hotline CĐT: 0368 438 *** để nhận thông tin chi tiết nhất.* Tổng quan dự án:- CĐT: Công ty cổ phần Capital Land - Hiền Đức.- Vị trí: 677 đường Lạc Long Quân, Tây Hồ, Hà Nội.- Tổng diện tích đất: 8.971m².- Tổng số căn: 202 căn officetel.- Thiết kế 25 tầng, 4 hầm, 6 tầng TMDV, tầng 7 - 24: Căn hộ officetel, tầng 25: Fitness ngoài trời, bể bơi điện phân muối, sky gym rộng 270m.- Các loại căn hộ: Studio (45m²), 1PN (54 - 59m²), 2PN (82 - 85m²).- Giá dự kiến: 60tr/m².- Tiến độ thanh toán siêu giãn, trải dài 3 năm: Tháng 12/22 đóng 10%; tháng 03/23: 10%; tháng 12/2024 nhận nhà đóng 80%.- Tiêu chuẩn bàn giao: Hoàn thiện cơ bản.* Pháp lý: Văn phòng lưu trú (được phép kinh doanh và lưu trú).Dự kiến bàn giao: Tháng 12/2024.* Hotline tư vấn và đăng ký tham quan căn hộ mẫu: 0368 438 ***.            ",45 m²,2.7 tỷ,Đông - Bắc,1 phòng,1 phòng,,24/11/2022,01/12/2022,Tin thường,35840360,batdongsan_com_vn_35840360,,,,,Tây - Nam
"['Hà Nội', 'Thanh Trì', 'Xã Tân Triều', 'Đường Nguyễn Xiển', '214', 'Legacy Garden']","
Liền kề, shophouse kinh doanh Legacy Garden 214 Nguyễn Xiển - Nhận booking đợt đầu tiên - số lượng có hạn.Vị trí trung tâm nội đô bên cạnh 2 đại đô thị: Tây Nam Kim Giang và The Manor Central Park.* Tổng quan dự án.- Vị trí: Ngõ 214 Nguyễn Xiển, Xã Tân Triều, Thanh Trì, Hà Nội.- Tổng diện tích đất: 74.975m² - 118 lô gồm: 48 lô liền kề nội khu và 70 lô - Shophouse mặt tiền đường, căn hộ chung cư (chưa xây).- Mật độ xây dựng: 45 - 50%.- Diện tích liền kề nội khu: Gồm các loại diện tích: 85m², 93m², 131m².- Diện tích shophouse 1 mặt tiền đường: 93m² 104m² 124m² 139m² 147m².- Diện tích shophouse 2 mặt tiền đường: 115m² 163m².- Nhà xây 5 tầng - Mặt tiền 5.5 m - 6m - 8m Kinh doanh Cực tốt.- Tuyến đường giao thông: 13,5m - 17,5m - 21,5m.- Sổ đỏ lâu dài.- Giá dao động chỉ từ 201 triệu/m².Tiện ích nội khu chuẩn quốc tế:- Hồ bơi, vườn dạo bộ, khu vui chơi trẻ em.- Khu thể thao Tennis, bóng rổ, bơi lội.- Khu BBQ ngoài trời.- Khu TTTM nhà trẻ Gym Spa Phòng khám đa khoa.Cam kết: Giá nhà bán hấp dẫn nhất, phù hợp với khách hàng với nhu cầu mua để ở hoặc Kinh doanh - Cho thuê.Quý khách hàng inbox hoặc gọi điện thoại trực tiếp để nhận ngay những ưu đãi mới nhất từ chủ đầu tư Hotline 0368 438 *** ",85 m²,201 triệu/m²,,6 phòng,3 phòng,Sổ đỏ/ Sổ hồng,24/11/2022,01/12/2022,Tin thường,35942947,batdongsan_com_vn_35942947,,5 tầng,,13 m,
"['Hà Nội', 'Thanh Xuân', 'Phường Hạ Đình', 'Đường Khương Đình', 'Ngõ 376']","
Hiếm! Cán bộ về hưu bán nhà phố Khương Đình - Thanh Xuân, về ở với con, 32m², chỉ hơn 2 tỷ có TL.- Nằm ở ngõ 376 Khương Đình - Gần trung tâm - tiện ích xung quanh nhiều vô kể.- Cách mặt phố Khương Đình chỉ 100m.- Đường to ngõ thoáng - giao thông thuận tiện.- Nhà Dân xây chắc chắn tâm huyết - công năng đầy đủ.- Sổ đỏ chính chủ, giá cả có gia lộc.Liên hệ em Đức 0394 878 *** để xem nhà.            ",32 m²,Thỏa thuận,,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35980943,batdongsan_com_vn_35980943,,4 tầng,Đầy đủ,3 m,
"['Hà Nội', 'Cầu Giấy', 'Phường Nghĩa Tân', 'Phố Trần Quốc Hoàn']","
+ Vị trí nhà thuộc trung tâm Cầu Giấy. Dân trí cao, nhiều tiện ích, cạnh các trường đại học lớn như Đại Học Quốc Gia, Đại Học Ngoại Ngữ.+ Nhà ngõ thông, cách mặt phố Trần Quốc Hoàn chỉ vài bước chân, hoàn toàn có thể kinh doanh, làm văn phòng, nhà nghỉ...+ Hiện trạng nhà xây dựng 5 tầng khung BTCT cực kỳ chắc chắn, thiết kế phòng thoáng đãng, tràn ngập ánh sáng.- Tầng 1 gara ô tô vừa 2 chiếc, còn lại thiết kế tầng 2 phòng, tầng thượng phơi đồ + mái che.- Sổ đỏ vuông đẹp, nở hậu, sẵn sàng giao dịch.- Giá bán: 11,8 tỷ (có thương lượng).- Liên hệ: 0967 533 ***hỗ trợ 24/24).            ",55 m²,11.8 tỷ,,6 phòng,3 phòng,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,33120238,batdongsan_com_vn_33120238,,5 tầng,"Sang trọng, đầy đủ tiện nghi.",,
