address,gen_descrip,Diện tích,Mức giá,Đường vào,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Số tầng
"['Hà Nội', 'Đan Phượng', 'Xã Tân Lập', 'Đường Quốc lộ 32', 'Dự án Tân Tây Đô']","
Chính chủ tôi cần bán lô góc đất dịch vụ Tân Tây Đô diện tích 132m², mặt tiền. Lô đất nằm tại vị trí trong khu đô thị Tân Tây Đô với nhiều tiện ích như rạp chiếu phim, siêu thị, phòng tập... Gần Quốc Lộ 32 cách đường 30m, đường trước mặt rộng 7m thêm 2 bên vỉa hè, sát ngay đường Vành Đai 4.Bao sang tên sổ đỏ. Anh chị có nhu cầu alo em báo giá thỏa thuận được chốt nhanh luôn ạ.            ",132 m²,70 triệu/m²,7 m,Sổ đỏ/ sổ hồng,18/11/2022,28/11/2022,Tin Vip 3,33902815,batdongsan_com_vn_33902815,,,,,,,
"['Hà Nội', 'Hoài Đức', 'Xã Đông La', 'Phố Đồng Nhân']","
- Chính chủ cần bán gấp 58m² mặt đường Đông La, ô tô tránh;- Vị trí gần tuyến đường Vành đai 4, đường Lê Văn Lương kéo dài.- Trung tâm xóm 3 Đồng Nhân, Đông La, khu dân trí cao an ninh tốt, gần UBND, bệnh viện Nhi Hà Nội, BXe Yên Nghĩa, công viên Âm nhạc, trường học và chợ;- Mặt tiền rộng, thoáng mát xây nhà để ở, kinh doanh đều tuyệt vời.- Sổ đỏ chính chủ, sẵn sàng giao dịch.- Liên hệ ngay 0898 798 *** ",58 m²,2.436 tỷ,5 m,Sổ đỏ,18/11/2022,28/11/2022,Tin Vip 3,35878527,batdongsan_com_vn_35878527,11 m,,,,,,
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa', 'Đường Yên Lộ']","
- Chính chủ cần bán nhanh đất tổ 10 - 11 Yên Nghĩa, Hà Đông.- Diện tích 45,5m² ngõ thông tứ tung ô tô qua.- Gần chợ, trường học mầm non, cấp 1, trạm xe buýt.- Cạnh khu đô thị Đô Nghĩa.- Sổ đỏ chính chủ cất két sẵn sàng giao dịch.- Bán 3,03 tỷ ra lộc bao thuế phí.- Lh e Hà 0963 075 *** xem miễn phí.            ",45.5 m²,3.03 tỷ,3.2 m,Sổ đỏ CC,18/11/2022,28/11/2022,Tin Vip 3,35870735,batdongsan_com_vn_35870735,4 m,Đông - Nam,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Dự án Osaka Complex']","
Chính chú chuyển đổi xuống nhà đất cần chuyển nhượng căn hộ Hoàng Mai.Vị trí: Đối diện bến xe Nước Ngầm, bên phía hồ Linh Đàm.Căn 2PN, 2 vệ sinh, 2 bạn công: Diện tích 70,8m² thông thủy.Giá 2.3 tỷ (nhỏ chút) bao sang tên, sổ hồng.Tầng trung thoáng mát, view hồ Linh Đàm.Full nội thất: Sàn gỗ, điều hoà, nóng lạnh, tủ bếp...Sổ hồng sẵn sàng giao dịch.Đầy đủ tiện ích: Phòng khám, nhà thuốc, trường học...Liên hệ chính chủ xem nhà: 0987 781 *** ",70.8 m²,2.3 tỷ,,Sổ đỏ/ Sổ hồng.,18/11/2022,28/11/2022,Tin Vip 3,35877862,batdongsan_com_vn_35877862,,Đông - Bắc,Tây - Bắc,2 phòng,2 phòng,"Full nội thất: Sàn gỗ, điều hoà, nóng lạnh, tủ bếp...",
"['Hà Nội', 'Hoàng Mai', 'Phường Hoàng Liệt', 'Đường Ngọc Hồi', 'Dự án Osaka Complex']","
Cần chuyển xuống nhà đất nhà em muốn bán căn hộ DT 70,8m², 2 phòng ngủ, 2 VS, 2 logia. Căn hộ đẹp thoáng, nội thất full đầy đủ như hình.Tại toà chung cư Oska đã có sổ đầy đủ.Giá 2.x tỷ nhỏ ạ.Bao toàn bộ phí sang tên.Bác nào cần ở luôn quan tâm inbox lh trực tiếp không lại lỡ căn hộ đẹp phù hợp ạ.LH em phong để xem thực tế ngay ạ: 0377 567 *** ",70.8 m²,2.3 tỷ,,Sổ đỏ/ Sổ hồng,18/11/2022,28/11/2022,Tin Vip 3,35876715,batdongsan_com_vn_35876715,,,,2 phòng,2 phòng,Full nội thất.,
"['Hà Nội', 'Hoàng Mai', 'Phường Giáp Bát', 'Đường Giải Phóng', '817']","
Bán nhà lô góc hai mặt tiền tại 817 đường Giải phóng.Mặt tiền 3,2m, diện tích 45m², từ T2 50m² ngõ rộng hai ô tô tránh nhau.Cách ngã ba Kim Đồng 50m, vị trí đẹp thuận tiện làm văn phòng, kinh doanh.Giá: 10.5 tỷ.Ngoài ra KH có nhu cầu thuê LH CC giá thương lượng.Liên hệ chính chủ: 0979 718 *** ",45 m²,10.5 tỷ,,Sổ đỏ/ Sổ hồng.,18/11/2022,28/11/2022,Tin Vip 3,35792953,batdongsan_com_vn_35792953,3.2 m,,,6 phòng,4 phòng,,4 tầng
"['Hà Nội', 'Thanh Trì', 'Xã Tả Thanh Oai', 'Đường Phan Trọng Tuệ', 'Dự án Chung cư Đại Thanh']","
Gia đình làm ăn có chút lộc lá nên chuyển xuống nhà mặt đất khu Cầu Giấy để tiện cho công việc. Vì vậy gia đình quyết định bán nhanh căn hộ tầng trung tòa CT8 chung cư Đại Thanh cho gia đình nào có nhu cầu để thêm tiền sắm nội thất chỗ ở mới.Tòa nằm trên đường Phan Trọng Tuệ gần đường Kim Giang, dưới chân tòa đầy đủ tiện ích từ siêu thị, chợ dân sinh, tạp hóa, phòng khám, hiệu thuốc, khu vui chơi ăn uống sầm uất.Thông tin căn hộ:- Diện tích: 66m².- Thiết kế căn hộ: 2 phòng ngủ, 2 vệ sinh.- Nội thất: Nhà mình đã làm sàn gỗ, trần thạch cao, tủ bếp, điều hòa, nóng lạnh, giường tủ...- Pháp lý: Sổ hồng chính chủ, sẵn sàng giao dịch.- Giá thương lượng sâu với khách thiện chí.Liên hệ Mr Nam 0973 330 *** hoặc zalo để xem nhà và ép giá trực tiếp.            ",66 m²,1.39 tỷ,,Sổ đỏ/ Sổ hồng,18/11/2022,28/11/2022,Tin Vip 3,35877739,batdongsan_com_vn_35877739,,,,2 phòng,2 phòng,,
"['Hà Nội', 'Long Biên', 'Phường Ngọc Thụy', 'Dự án Khai Sơn City']","
Lô shop cần bán có diện tích đất 90,2m², mặt tiền 6m. Nhà xây 5,5 tầng, hoàn thiện mặt ngoài, view đối diện trường Quốc tế đang hoàn thiện - Tuyển sinh năm 2023. Tiện ích nội khu đồng bộ: Gần TTTM - chung cư cao tầng, trường học quốc tế liên cấp, 2 hồ điều hòa, 4 công viên cận kề, cách phố cổ 6km, cách sân bay 20 phút chạy xe. Thuận tiện giao thông cửa ngõ phía Đông Hà nội. Hơn thế còn là tài sản có giá trị gia tăng bền vững...Nay chủ cần tiền bán gấp nên giá thấp hơn thị trường. Anh chị em mua được sẽ rất tiềm năng ah.Cần bán gấp nên giảm từ 16.9 tỷ xuống còn 15.6 tỷ ah.            ",90.2 m²,15.6 tỷ,10.5 m,Sổ đỏ/ Sổ hồng.,18/11/2022,28/11/2022,Tin Vip 3,34678479,batdongsan_com_vn_34678479,6 m,Tây - Bắc,,,,,6 tầng
"['Hà Nội', 'Hà Đông', 'Phường Yên Nghĩa', 'Dự án Đô Nghĩa']","
Bán liền kề khu đô thị Đô Nghĩa - Tập Đoàn Nam Cường.Diện tích 75m² - mặt tiền 5*15m.Hướng nhà Tây Nam - nhà xây 4,5 tầng - diện tích sàn xây dựng 332m².Vị trí: Dãy U05.1C - trung tâm của khu đô thị, gần trung tâm thương mại, gần hồ cây đàn, gần trường, gần đường Tố Hữu, Vành Đai 4 và trục chính của khu đô thị - để ở hay kinh doanh đều rất tốt.Giá bán 7,5 tỷ - có thương lượng.Liên hệ em kỳ: 0988 656 ***Địa chỉ: U01.44 khu đô thị Đô Nghĩa - Yên Nghĩa - Hà Đông - Hà Nội.            ",75 m²,7.5 tỷ,12 m,,18/11/2022,28/11/2022,Tin Vip 3,35877552,batdongsan_com_vn_35877552,5 m,Tây - Nam,Tây - Nam,6 phòng,5 phòng,CÓ SỔ ĐỎ,5 tầng
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bách Khoa', 'Phố Lê Thanh Nghị', 'Ngõ 33']","
Cần bán nhà phân lô bàn cờ của cán bộ cấp cao trường đại học Bách Khoa ngày trước, khu vực dân trí rất cao, được mệnh danh là đất học.+ Vị trí khu phân lô ngõ 33 Lê Thanh Nghị, phường Bách Khoa, Hai Bà Trưng. Ô tô đỗ cửa ngày đêm, cạch sân vận động Bách Khoa.- Gần trường đại học Bách Khoa, Kinh Tế Quốc Dân...- Diện tích 38 m² x 5 tầng.- Giá bán: 5,4 tỷ.Liên hệ Mr Hiếu: 0933 988 *** xem nhà.(Miễn trung gian quảng cáo làm phiền).            ",33 m²,5.4 tỷ,,,18/11/2022,28/11/2022,Tin Vip 3,35877543,batdongsan_com_vn_35877543,3.5 m,Đông - Nam,Tây - Nam,4 phòng,4 phòng,Đầy đủ,5 tầng
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Phố Ngụy Như Kon Tum', 'Ngõ 55']","
- Gần trường, gần chợ, gần sân chơi, công viên nhân chính: Mầm non Nhân Chính, tiểu học Phan Đình Giót - Thanh Xuân Trung, trường Amsterdam, Big C, Vinmart...- Khu tập thể thuộc Ban Cơ Yếu, Bộ Quốc Phòng, an ninh cực tốt, dân trí cao thân thiện.- Nhà TX 92A ngõ 55 phố Ngụy Như Kon Tum, Nhân Chính, Thanh Xuân, HN. Sổ đỏ pháp lý đầy đủ, diện tích sử dụng 30 m², hướng Tây Nam, ô tô đỗ chân cầu thang 1 bước lên xe ô tô.- Giá 1,3 tỷ. Số điện thoại 0916 016 *** ",30 m²,1.3 tỷ,,,18/11/2022,28/11/2022,Tin Vip 3,35300381,batdongsan_com_vn_35300381,,Tây - Nam,,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Thụy Khuê', 'Đường Nguyễn Đình Thi']","
Gia đình cần bán 2 căn nhà mặt phố Nguyễn Đình Thi, Thụy Khuê.- Căn 1 DT 65m² x 8T MT 5m, thang máy (giá 28 tỷ).- Căn 2 DT 40m² x 7 tầng MT 4m, thang máy (giá 17.9 tỷ).(có thương lượng).- Cả 2 căn sổ đỏ chính chủ, vuông vắn.- Chi tiết liên hệ Anh Tâm SĐT 0973 639 **** Miễn trung gian, môi giới làm phiền, xin cảm ơn.            ",65 m²,28 tỷ,,,18/11/2022,28/11/2022,Tin Vip 3,35197121,batdongsan_com_vn_35197121,5 m,,,,,,8 tầng
