address,gen_descrip,Diện tích,Mức giá,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Mặt tiền,Số tầng,Đường vào
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Dự án KĐTM Đại Kim - Định Công']","
Vị trí đẹp nhất tại khu vực Định Công - Hoàng Mai.Lô đất biệt thự mặt view hồ Định Công giá từ 90 triệu/m².Lô đất Liền kề mặt đường Vành Đai 2.5 (40m) giá 138 triệu - 140 triệu/m².Lô đất liền kề mặt đường 30m, giá 79 triệu - 93 triệu/m².Lô đất liền kề mặt đường 17,5m, giá 68 triệu - 80 triệu/m².Lô đất liền kề mặt đường 13,5m, giá 52 triệu - 75triệu/m².Cơ hội đầu tư rất tốt & giá sẽ tăng mạnh, nhân X2 - X3 tài sản nhờ:Đường Vành Đai 2.5 (đường 40m) đoạn Đầm Hồng - Giải Phóng sắp hoàn thành, thông xe.Tận hưởng hồ điều hoà Định Công hơn 20ha và hệ thống bệnh viện trường học, trung tâm thương mại.Siêu thị lớn nhất Đông Nam Á Aeon Mall Hoàng Mai diện tích 6.1 ha thiết kế 11 tầng bắt đầu khởi công.Mua đất đầu tư lướt sóng.            ",80 m²,5 tỷ,Đang chờ sổ.,27/09/2022,26/12/2022,Tin thường,35181638,batdongsan_com_vn_35181638,,,,,,,,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Cầu Giấy', 'Dự án Discovery Complex']","
Do nhu cầu gia đình chuyển căn hộ lớn hơn nên cần bán lại căn hộ 2 PN full nội thất, do nhà để ở nên làm nội thất tâm huyết và kĩ lưỡng.Căn 2PN đầy đủ ánh sáng, nội thất gỗ thịt đẹp và chất lượng, vẫn như mới. Cửa Đông Bắc, ban công Đông Nam cực kì thoáng mát.Tôi bán full đồ giá 4 tỷ 3 (chịu hết các khoản thuế phí liên quan).Cam kết căn hộ như hình ảnh. Liên hệ 0936 117 *** xem nhà.Dự án hiện chưa có sổ đỏ nên giao dịch qua công chứng HĐMB.            ",99.5 m²,4.3 tỷ,,29/11/2022,06/12/2022,Tin thường,35744884,batdongsan_com_vn_35744884,Đông - Bắc,Đông - Nam,2 phòng,2 phòng,Nội thất đầy đủ,,,
"['Hà Nội', 'Long Biên', 'Phường Long Biên', 'Đường Cổ Linh']","
Nhà nằm vị trí cực đẹp phố Cổ Linh, trước nhà thông, nhà mới ở cực sướng đối diện với Aeon Long Biên.            ",50 m²,4.5 tỷ,,29/11/2022,06/12/2022,Tin thường,35979195,batdongsan_com_vn_35979195,,,,,,5 m,5 tầng,
"['Hà Nội', 'Cầu Giấy', 'Phường Dịch Vọng', 'Đường Cầu Giấy', 'Dự án Discovery Complex']","
Chính chủ thay đổi chỗ ở cần bán gấp căn hộ chung cư Discovery Complex Cầu Giấy.* Thông tin căn hộ như sau:- Căn góc diện tích: 155m².- Thiết kế: 4 phòng ngủ, 2 vệ sinh, khách, bếp.- Đã làm full nội thất chỉ việc vào ở.- Cửa vào Đông Nam, 2 ban công Tây Bắc và Đông Bắc view Hồ Tây, hồ công viên nghĩa đô rất thoáng mát.Do thay đổi chỗ ở nên cần nhượng lại cho anh chị nào có nhu cầu.Vui lòng liên hệ: 0936 117 *** để biết thêm chi tiết.Cảm ơn đã đọc tin!            ",155 m²,Thỏa thuận,Đang chờ sổ,29/11/2022,06/12/2022,Tin thường,30885688,batdongsan_com_vn_30885688,Đông - Nam,Tây - Bắc,4 phòng,2 phòng,,,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Xuân La']","
- Khu phân lô cán bộ, dân trí cao, an ninh đảm bảo.- Biệt thự kiểu Pháp độc nhất 1 căn cả khu.- Ngõ thẳng tắp, vỉa hè 2 bên, ô tô tải tránh nhau.- Không gian yên tĩnh, chỉ có cư dân trong khu đi lại.- Khu phố Xuân La tiện ích ngập tràn: Trường tiểu học, trường THCS, nhà thi đấu, trạm y tế, đồn công an, ủy ban phường, chợ dân sinh, bãi gửi xe, ẩm thực quán xá đều chỉ ngay đầu ngõ.- Diện tích sổ 202,3m², thực tế 210m², mặt tiền 13 m, giá 46 tỷ.- Nhà xây kiểu biệt thự Pháp, diện tích xây dựng 90m² x 4 tầng, còn lại là sân, cổng.- Cầu thang, Cửa sổ 2 lượt kính và chớp chống ồn chống bụi đều là gỗ Lim Lào.- Nhiều phòng, thoải mái công năng sử dụng riêng.- Thiết kế:+ Tầng 1: Gara ô tô, phòng khách, bếp, wc.+ Tầng 2: 3 phòng ngủ, trong đó 1 phòng khép kín, 2 phòng có wc chung.+ Tầng 3: 4 phòng ngủ, trong đó 1 phòng khép kín, 3 phòng chung wc.+ Tầng 4: Phòng thờ và sân.- Pháp lý sổ đỏ vuông vắn, sẵn sàng giao dịch.- Liên hệ Hiểu Nova 0921 677 *** ",202.3 m²,46 tỷ,Sổ đỏ/ Sổ hồng,29/11/2022,09/12/2022,Tin thường,35980394,batdongsan_com_vn_35980394,,,7 phòng,5 phòng,,,4 tầng,9 m
"['Hà Nội', 'Hai Bà Trưng', 'Phường Vĩnh Tuy', 'Phố Lạc Trung']","
Nhà nằm ở phố Lạc Trung còn phố sầm uất với nhiều mặt hàng kinh doanh đa dạng đầy đủ tiện ích không thiếu thứ gì.+ Nhà thiết kế nội thất siêu đẹp, xấy 5 tầng với đầy đủ công năng cho cả gia đình lớn ở.+ Nằm trong ngõ thông, đường trước nhà rộng 3m, cách ô tô đỗ cửa 20m, nằm trong khu phân lô phố lạc trung, vị trí rất đẹp.- Tọa lạc trung tâm phố vip gần Times City, tiện ích bạt ngàn, dân trí cao.+ Sổ đỏ chính chủ giao dịch ngay.+ Liên hệ 0852 244 *** chuyên thổ cư để xem nhà miễn phí (toàn bộ ảnh thật).            ",42 m²,4.5 tỷ,Sổ đỏ/ Sổ hồng,28/11/2022,05/12/2022,Tin thường,35283427,batdongsan_com_vn_35283427,,,4 phòng,5 phòng,Nội thất thiết kế cực đẹp,4 m,5 tầng,3 m
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Đường Lạc Long Quân', '677', 'Heritage West Lake']","
Bán chung cư Soho Heritage Westlake căn hộ 6 sao vừa ở vừa làm văn phòng - 677 Lạc Long Quân Tây Hồ Hà Nội.- Chủ đầu tư: Capital Land - Singapore.- Dự án cao 25 tầng, 4 tầng hầm gồm 202 căn hộ soho với các loại diện tích sau.- Căn Studio: 45m².- Căn 1PN: 58m².- Căn 2PN: 82 - 88m² view hồ Tây.* Giá bán từ 66 triệu/m².* Tiến độ thanh toán.- Tháng 12/2022 đóng 10%.- Tháng 3/2023 đóng 10%.- Khi bàn giao tháng 12/2024 đóng 80%.LH: VŨ DUYÊN 0947 942 *** ",82 m²,66 triệu/m²,,29/11/2022,06/12/2022,Tin thường,35980292,batdongsan_com_vn_35980292,,,2 phòng,2 phòng,,,,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Mỹ Đình']","
Bán tòa CCMN 7 tầng thang máy 100m² với 26 phòng khép kín full nội thất. Dòng tiền 130 triệu/tháng, dòng tiền 10%/ năm.Tòa nhà nằm ở trung tâm Mỹ Đình, gần sân vận động Mỹ Đình, trung tâm cho thuê của Mỹ Đình. Nhà mới xây đưa vào hoạt động dc nửa năm, do thay đổi mục đích kinh doanh nên chủ cần bán.Diện tích 100m². Mặt tiền gần 6m. Thiết kế mỗi tầng 4 phòng khép kín đều có ban công.Nội thất các phòng đều có máy giặt điều hòa, giường tủ, tủ bếp và bếp...Vị trí nhà rất gần phố lớn, oto nhỏ lùi cửa.Sổ đỏ chính chủ giao dịch ngay.Giá 15 tỷ có thương lượng.Liên hệ: Em Tuy. 0963 161 ***. Để biết thêm thông tin.            ",100 m²,15 tỷ,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35981205,batdongsan_com_vn_35981205,,,16 phòng,,,,7 tầng,
"['Hà Nội', 'Tây Hồ', 'Phường Phú Thượng', 'Dự án Packexim']","
Diện tích 123m², gồm phòng khách, phòng bếp, 3 phòng ngủ, nhà đẹp, căn góc 3 mặt thoáng, nội thất gắn tường như 4 điều hoà, 2 nóng lạnh, tủ bếp, tủ lạnh, máy giặt, view vườn hoa, thoáng mát, tiện sinh hoạt, giấy tờ sổ đỏ. Giá 25tr/m². Liên hệ: 0912 595 *** ",123 m²,25 triệu/m²,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35980269,batdongsan_com_vn_35980269,Đông - Nam,Tây - Bắc,3 phòng,2 phòng,Cơ bản,,,
"['Hà Nội', 'Đống Đa', 'Phường Ô Chợ Dừa', 'Phố Xã Đàn']","
Vị trí đắc địa: Nằm ngay trung tâm quận Đống Đa, Kinh Doanh sầm uất, Phố Xã Đàn thông ra Đại Cổ Việt, Tôn Đức Thắng, Nguyễn Lương Bằng, Đê La Thành.Diện tích 75m² x 7 tầng thông sàn, 1 thang máy.Nhà 2 mặt phố và 1 mặt ngõ.Pháp lý sổ đỏ vuông đẹp, công chứng sang tên luôn.Bán 46 tỷ, có thương lượng mạnh.Chủ nhà hiện đang rất cần bán.Gọi ngay cho Mr Thiện 0979 367 ***Cam kết thông tin thật 100%.Cảm ơn đã xem bài Ạ.            ",75 m²,46 tỷ,,29/11/2022,06/12/2022,Tin thường,35981083,batdongsan_com_vn_35981083,,,4 phòng,,,,7 tầng,
