address,gen_descrip,Diện tích,Mức giá,Hướng ban công,Số phòng ngủ,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Đường vào,Số tầng,Số toilet,Pháp lý,Nội thất,Mặt tiền,Hướng nhà
"['Hà Nội', 'Gia Lâm', 'Xã Dương Xá', 'Dự án Vinhomes Ocean Park Gia Lâm']","
Mã căn S1.122103.HĐMB - 1PN + 1.Diện tích: 43m² thông thuỷ.Ban công hướng Đông Nam.Giá: 1.9 tỷ.Lh em Tuấn 0985 505 *** ",43 m²,1.9 tỷ,Đông - Nam,1 phòng,26/11/2022,03/12/2022,Tin thường,35662562,batdongsan_com_vn_35662562,,,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Tương Mai', 'Đường Trương Định']","
Chủ cần tiền nên cần bán gấp!- Nhà nằm tại vị trí đắc địa vài chục mét ô tô.- Từ nhà ra mặt phố rất gần, kinh doanh.- Khu vực dân trí cao, gần trung tâm thương mại hàng xóm văn minh, tiện ích đủ đầy.- Chủ tự tay xây tâm huyết căn nhà 4 tầng có thông số vàng diện tích 42m².Giá: Nhỉnh 3.6 tỷ có thương lượng.Liên hệ em Sang: 0327 626 *** để được tư vấn miễn phí và gặp chính chủ.            ",42 m²,Thỏa thuận,,4 phòng,23/11/2022,01/12/2022,Tin thường,35924815,batdongsan_com_vn_35924815,3 m,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Khương Trung', 'Đường Khương Trung mới']","
Chủ cần tiền nên cần bán gấp!- Nhà nằm tại vị trí đắc địa vài chục mét ô tô.- Từ nhà ra mặt phố rất gần, kinh doanh.- Khu vực dân trí cao, gần trung tâm thương mại hàng xóm văn minh, tiện ích đủ đầy.- Chủ tự tay xây tâm huyết căn nhà 5 tầng có thông số vàng diện tích 39m².Giá: 3.75 tỷ có thương lượng.Liên hệ em Sang: 0327 626 *** để được tư vấn miễn phí và gặp chính chủ.            ",39 m²,3.75 tỷ,,3 phòng,23/11/2022,01/12/2022,Tin thường,35928809,batdongsan_com_vn_35928809,3 m,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,
"['Hà Nội', 'Đống Đa', 'Phường Thịnh Quang']","
Nhà ngõ kinh doanh được tại quận Đống Đa, nhà mặt ngõ ôtô tránh diện tích 105m² mặt tiền khủng 6m giá chưa đến 11 tỷ.Nhà 3 tầng hiện trạng nhà cũ không có nhiều mô tả, thửa đất đẹp vuông vắn phù hợp xây chung cư mini, văn phòng kinh doanh cho thuê.Vị trí nhà khu vực gần trường học và chợ kinh doanh tấp nập, sổ đỏ chính chủ giá tốt anh chị em quan tâm hãy liên hệ ngay cho em: 0339 095 ***Zalo/imess - hỗ trợ xem nhà miễn phí 24/24h).            ",105 m²,10.99 tỷ,,,29/11/2022,09/12/2022,Tin thường,35884906,batdongsan_com_vn_35884906,6 m,3 tầng,,Sổ đỏ/ Sổ hồng,,6 m,
"['Hà Nội', 'Hoàng Mai', 'Phường Tân Mai', 'Đường Giải Phóng']","
Chủ cần tiền nên cần bán gấp!- Nhà nằm tại vị trí đắc địa 5m ô tô.- Từ nhà ra mặt phố 5m, kinh doanh.- Khu vực dân trí cao, gần trung tâm thương mại hàng xóm văn minh, tiện ích đủ đầy.- Chủ tự tay xây tâm huyết căn nhà 5 tầng có thông số vàng diện tích 36m².Giá: Nhỉnh 3.6 tỷ có thương lượng.Liên hệ em Sang: 0327 626 *** để được tư vấn miễn phí và gặp chính chủ.            ",36 m²,Thỏa thuận,,3 phòng,23/11/2022,01/12/2022,Tin thường,35924851,batdongsan_com_vn_35924851,3 m,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Tân Mai', 'Đường Tân Mai']","
Chủ cần tiền nên cần bán gấp!- Nhà nằm tại vị trí đắc địa ô tô đỗ cửa.- Từ nhà ra mặt phố 10m, kinh doanh.- Khu vực dân trí cao, gần trung tâm thương mại hàng xóm văn minh, tiện ích đủ đầy.- Chủ tự tay xây tâm huyết căn nhà 5 tầng có thông số vàng diện tích 30m.Giá: Nhỉnh 2.7 tỷ có thương lượng.Liên hệ em Sang: Để được tư vấn miễn phí và gặp chính chủ.            ",32 m²,2.7 tỷ,,3 phòng,28/11/2022,06/12/2022,Tin thường,35963366,batdongsan_com_vn_35963366,3.5 m,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,5 m,
"['Hà Nội', 'Hoàng Mai', 'Phường Tân Mai', 'Đường Hoàng Mai']","
Chủ cần tiền nên bán gấp.- Nhà nằm ở vị trí đắc địa 10m ra ô tô tránh.- Từ nhà ra mặt phố 10m kinh doanh.- Khu vực dân trí cao gần trung tâm thương mại hàng xóm văn minh, tiện ích đầy đủ.- Chủ tự tay xây tâm huyết có thông số vàng 35m².- Giá 2.95 tỷ có thương lượng.- Liên hệ em Sang: 0327 626 *** để được xem nhà.            ",35 m²,2.95 tỷ,,4 phòng,23/11/2022,01/12/2022,Tin thường,35925565,batdongsan_com_vn_35925565,3 m,4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,5 m,
"['Hà Nội', 'Long Biên', 'Phường Long Biên', 'Dự án Northern Diamond']","
Thiết kế căn hộ 97m², 107m² góc gồm: 3 phòng ngủ, 2 nhà vệ sinh, 3 lô gia.Thiết kế căn hộ 94m² gồm: 2 phòng ngủ, 2wc, 2 lô gia.Các phòng ngủ, master đều thiết kế cửa sổ lớn bao quát rộng làm cho căn phòng trở lên sáng sủa thông thoáng.Phòng khách rộng logia to thoáng mát.Nhà wc rộng đầy đủ hợp lý có vách kính.Sở hữu sổ đỏ vĩnh viễn.Vay hỗ trợ 0% lãi suất + ân hạn nợ gốc 15 tháng đầu.Bàn giao nhà ở ngay.Tiện ích nội khu: Với quĩ đất rộng dân cư hưởng trọn nhiều tiện ích nội khu trong đó có tới 60% mảng xanh đắt giá quý khách chỉ cần đáp chân từ thang máy xuống là tới: Bể bơi ngoài trời, sân tập thể thao đa năng ngoài trời, khu vui chơi trẻ em,...Liên hệ ĐT: 0961 896 *** liên hệ ngay xem nhà mẫu.            ",94 m²,3.2 tỷ,,2 phòng,29/11/2022,06/12/2022,Tin thường,31590981,batdongsan_com_vn_31590981,,,2 phòng,Sổ đỏ/ Sổ hồng,,,
"['Hà Nội', 'Thanh Xuân', 'Phường Thượng Đình', 'Đường Nguyễn Trãi', '108', 'King Palace']","
Gia đình có việc cần bán gấp căn số 12. Full đồ tại dự án king palace 108 nguyễn trãi.Căn hộ 108m². 3 ngủ, 2 wc tại dự án King Palace 108 Nguyễn Trãi.Ban công đông nam. 3 mặt thoáng căn góc.Ac có nhu cầu lh 0912 516 ***E xin cảm ơn.            ",108 m²,5.6 tỷ,Đông - Nam,3 phòng,29/11/2022,06/12/2022,Tin thường,35346244,batdongsan_com_vn_35346244,,,2 phòng,Đang chờ sổ,Ful,,Đông - Bắc
"['Hà Nội', 'Long Biên', 'Phường Việt Hưng', 'Dự án Vinhomes Symphony Riverside']","
Căn hộ đã được hoàn thành diện tích TT: 94m² tòa S2 gồm 3 phòng ngủ, 2 wc, view thoáng nội khu biệt thự.Các phòng ngủ, master đều thiết kế cửa sổ lớn bao quát rộng làm cho căn phòng trở lên sáng sủa thông thoáng.Phòng khách rộng logia to view thoáng mát.Các phòng ngủ thiết kế đều có cửa sổ đón ánh sáng tự nhiên.Nhà wc rộng đầy đủ hợp lý có vách kính.Đã bàn giao nhà.Vị trí: Nằm bao quanh bởi các tiện ích của của Vinhomes Riverside.Tiện ích nội khu: Hưởng chọn nhiều tiện ích nội khu trong đó có tới 60% mảng xanh đắt giá quý khách chỉ cần đáp chân từ thang máy xuống là tới: Công viên khủng long, bể bơi ngoài trời, sân tập thể thao đa năng ngoài trời, khu vui chơi trẻ em,...Liên hệ ĐT: 0961 896 *** liên hệ ngay xem nhà mẫu.            ",94 m²,4.3 tỷ,,3 phòng,29/11/2022,06/12/2022,Tin thường,31847002,batdongsan_com_vn_31847002,,,2 phòng,Sổ đỏ/ Sổ hồng.,,,
