address,gen_descrip,Diện tích,Mức giá,Đường vào,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Số phòng ngủ,Số toilet,Nội thất,Hướng nhà,Hướng ban công,Số tầng,Mặt tiền
"['Hà Nội', 'Hoài Đức', 'Xã Vân Côn']","
- Mảnh đất thuộc Hoài Đức phân lô An Thọ.- Vỉa hè rộng kinh doanh đỉnh 14m mặt tiền.- Hàng xóm thiên đường Bảo Sơn.- Ngay gần dưới chân tòa Thăng Long Vitory.            ",51 m²,6.6 tỷ,20 m,Sổ đỏ/ Sổ hồng,29/11/2022,06/12/2022,Tin thường,35494639,batdongsan_com_vn_35494639,,,,,,,
"['Hà Nội.', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Hồ Tùng Mậu', '199', 'Chung cư 199 Hồ Tùng Mậu']","
Nhà có vị trí thuận lợi, ngay đường Hồ Tùng Mậu.Nhà mới tinh giữ nguyên hiện trạng từ lúc bàn giao. Góc nhìn ra đường phố rất đẹp.Dt 93.2m².            ",93.2 m²,28 triệu/m²,,Đang chờ sổ,05/09/2022,04/12/2022,Tin thường,33885338,batdongsan_com_vn_33885338,2 phòng,2 phòng,Nguyên trạng từ khi bàn giao,,,,
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Hồ Tùng Mậu', 'Dự án Diamond Goldmark City']","
Thiết kế 5 phòng ngủ, 3 phòng vệ sinh, thông tầng thoáng sáng.Tầng 1: Phòng khách, bếp, logia dài, phòng ngủ, phòng giặt - kho, WC.Tầng 2: 3 phòng ngủ, 2 WC (1 phòng ngủ master rộng có WC kèm bồn tắm trong phòng).Full nội thất như hình.Hệ thống điều hoà âm trần, đèn điện rèm thông minh.Căn hồ tầng cao, ban công hướng Bắc view nội khu thoáng mát, không khói bụi, không ồn ào.Mật độ căn hộ thấp: Chỉ 7,5 căn/tầng 5 thang máy.Tiện ích: Siêu thị, Yoga - Gym - Bể bơi 4 mùa, Quán cafe, Phòng sinh hoạt cộng đồng (máy chạy, bàn bia,.. ) trong toà nhà.Sân bóng đá, tennis, bóng rổ, bể bơi ngoài trời bên cạnh.Sát Trường Liên cấp Newton, nhiều trường mầm non, gần chợ, cây xăng.Có slot để xe ô tô.Di chuyển qua Hoàng Quốc Việt, Cầu Giấy, Mỹ Đình thuận lợi.Sổ đỏ chính chủ.Giá bán: 9,5 tỷ bao mọi thuế phí, có thoả thuận.Xem nhà 24/24.Liên hệ: Ms. Liên 0981 588 *** ",213.4 m²,9.5 tỷ,,Sổ đỏ/ Sổ hồng,05/09/2022,04/12/2022,Tin thường,34934891,batdongsan_com_vn_34934891,5 phòng,3 phòng,Full nội thất,Bắc,Bắc,,
"['Hà Nội', 'Hoàng Mai', 'Phường Đại Kim', 'Đường Nghiêm Xuân Yêm', 'Dự án The Manor Central Park']","
Chính chủ gửi bán nhà liền kề The Manor.- Diện tích: 75m² x 5 tầng, hướng Tây Bắc, view công viên ngón tay nếu để ở rất đẹp trước nhà là công viên không khí trong lành xanh mát.Mặt sau view chung cư kinh, sau này kinh doanh gì cũng rất thuận lợi.- Giá bán: 23 tỷ.Liên hệ xem nhà: Em Liên 0988 798 ***.2. Shophouse view công viên Chu Văn An đang cho thuê văn phòng.- Diện tích: 75m², giá bán 27 tỷ.3. Shophouse căn góc 130m² block 5 đang cho thuê mở spa.- Hướng Đông Nam, giá bán 45 tỷ có thương lượng.Ngoài ra bên em còn nhiều quỹ căn chuyển nhượng biệt thự, liền kề, shophouse mặt phố đi bộ, phố đại lộ hoàng mai giá tốt.SĐT: 0988 798 ***.            ",75 m²,23 tỷ,,,19/09/2022,18/12/2022,Tin thường,35206410,batdongsan_com_vn_35206410,,,,Tây - Bắc,,5 tầng,
"['Hà Nội', 'Ba Đình', 'Phường Kim Mã', 'Đường Giang Văn Minh', 'Ngõ 36']","
Bán mảnh đất trung tâm Quận Ba Đình đường thông tứ phía ngõ 36 Giang Văn Minh đường 2 oto tránh nhau vỉa hè rộng 5m.MT 15.m - nở hậu, tổng diện tích 280 m², sổ đỏ 260 m² - 3 mặt thoáng - có chỉ giới đường đỏ, có giấy phép xây 8 tầng và 1 hầm. Xung quanh hàng xóm đã xây 8 tầng cho thuê homestay rất đông khách.Vị trí: Đắc địa để KD VP - nhà hàng - khách san - home stay.Cách Lăng Bác 1km, Bến xe Kim Mã 500m, chợ Ngọc Hà 150m, phố Sơn Tây 2 phút.Giá bán: 92 tỷ đồng  thỏa thuận, đã có giấy phép XD 1 hầm và 8 tầng nổi.Sổ đỏ sẵn sàng trao tay.Liên hệ chính chủ A Hoàng 0868 388 *** ",260 m²,92 tỷ,16 m,Đã có sổ hồng,05/09/2022,04/12/2022,Tin thường,29172034,batdongsan_com_vn_29172034,,,,Đông - Bắc,,,15 m
"['Hà Nội', 'Cầu Giấy', 'Phường Yên Hòa', 'Đường Yên Hòa']","
- Chính chủ cần bán gấp nhà Yên Hoà.Diện tích: 38m² x 5 tầng x 4,5m MT.Giá: 5 tỷ 100 có thương lương trực tiếp với chủ.- Nhà Yên Hoà, Cầu Giấy, xây mới 5 tầng, thiết kế tân cổ điển rất sang trọng và lịch lãm, đồ gỗ toàn là lim xịn xò.- Vị trí rất đẹp và thoáng mát, giao thông thuận tiện, giáp ngay Trung Kính to, tiện ích xung quanh quá nhiều không thiếu thứ gì.- Thiết kế 5 tầng.+ T1: Phòng khách, bếp, vs.+ T2,3: Mỗi tầng 1 ngủ, vs ngoài.+ T4: 2 ngủ nhỏ, vs ngoài.+ T5: Phòng thờ, sân phơi.- Sổ đỏ phân lô vuông vắn như tờ A4.            ",38 m²,5.1 tỷ,3 m,Sổ đỏ/ Sổ hồng,27/11/2022,04/12/2022,Tin thường,35963079,batdongsan_com_vn_35963079,,,Đầy đủ,,,,4.5 m
"['Hà Nội', 'Ba Đình', 'Phường Ngọc Hà', 'Đường Hoàng Hoa Thám']","
Chủ nhà cần tiền bán gấp nhà Ngọc Hà 20m² 4 tầng 2.xx tỷ ngõ thông kinh doanh sầm uất cách ô tô 20m.Mô tả:- Vị trí:- Nhà xây dựng chắc chắn 2 mặt thoáng lấy sáng tự nhiên, cách mặt phố Hoàng Hoa Thám 100m. Cách oto 10m.- Ngõ thông sang Hoàng Hoa Thám, Đội Cấn, kinh doanh mọi loại hình. Tầng 1 cho thuê hoặc tự kinh doanh.Dưới 3 tỷ hộ khẩu Ba Đình, học cấp 1,2 trường điểm.- Cam kết tầm dưới 3 tỷ không có căn thứ 2 vừa kinh doanh vừa ở tại trung tâm Ba Đình, kinh doanh mọi ngành nghề.Thiết kế:+ Tầng 1: Bán hàng, bếp.+ Tầng 2, 3: Mỗi tầng 1 phòng ngủ, WC.+ Tầng 4: 1 Phòng ngủ, phòng thờ, sân phơi.- Sổ vuông vắn riêng biệt chính chủ sẵn sàng giao dịch.+ Tặng bộ tủ bếp full phụ kiện trị giá 50tr.0913085255.            ",20 m²,2.85 tỷ,,Sổ đỏ/ Sổ hồng,05/09/2022,04/12/2022,Tin thường,34987544,batdongsan_com_vn_34987544,3 phòng,2 phòng,Tặng bộ tủ bếp full phụ kiện trị giá 50tr.,Đông - Nam,,4 tầng,
"['Hà Nội', 'Hoàng Mai', 'Phường Tân Mai', 'Đường Đông Thiên', 'Ngõ 140/30']","
Chính chủ bán căn nhà siêu đẹp, thoáng mát, đầy đủ tiện ích, khách chỉ việc xách vali vào ở.- Trước nhà có sân rộng, để được 2 - 3 xe máy, cách 20m là ra mặt ngõ lớn, ô tô lượn quanh phố.- Từ tầng 2 - 3 - 4 - 5 view rất đẹp thoáng, không khí trong lành.- Mình để giá rất rẻ (chỉ riêng tiền xây được căn nhà thế này đã hết ít nhất 2 tỷ rồi).- Khách hàng thiện chí liên hệ ngay với mẹ mình để xem nhà nhé. Quỳnh: 0936 008 *** ",37.1 m²,95.8 triệu/m²,2 m,,12/09/2022,11/12/2022,Tin thường,35120846,batdongsan_com_vn_35120846,3 phòng,3 phòng,Cơ bản.,Bắc,Nam,5 tầng,7.59 m
"['Hà Nội', 'Hai Bà Trưng', 'Phường Bùi Thị Xuân', 'Đường Triệu Việt Vương']","
Chính chủ bán nhà 5 tầng Triệu Việt Vương, quận Hai Bà Trưng.Nhà đẹp DT 25m², mặt tiền 5,9m.Giá: 15,5 tỷ.Sổ đỏ chính chủ sẵn sàng giao dịch. Miễn trung gian.Tiện ích: Gần chợ Hôm, vài bước ra công viên Lênin, cắt các phố Mai Hắc Đế, Tô Hiến Thành, Nguyễn Du, Đoàn Trần Nghiệp, Trần Nhân Tông...Liên hệ chính chủ: 0934 564 *** ",25 m²,15.5 tỷ,,Sổ đỏ chính chủ,19/09/2022,18/12/2022,Tin thường,35193583,batdongsan_com_vn_35193583,,,,,,5 tầng,5.9 m
"['Hà Nội', 'Bắc Từ Liêm', 'Phường Phú Diễn', 'Đường Hồ Tùng Mậu', 'Dự án Goldmark City']","
Căn 3PN - 2WC: Phong thủy suất sắc cho người Tây tứ mệnh.- Tòa S2, căn số 5, tầng 7 - căn góc ban công Đông Bắc, cửa Tây Nam, 139.18m², view ngã 3 đường (không bị cản tầm nhìn).- Full nội thất: Tất cả đều mới 100%. Đồ điện tử cảm biến hiện đại.- Không cần mua sắm đồ gì thêm.- Giá 5.7 tỷ - giá có thương lượng.LH: 8491 222 0*** ",139.18 m²,5.7 tỷ,,Hợp đồng mua bán,26/09/2022,25/12/2022,Tin thường,35183404,batdongsan_com_vn_35183404,3 phòng,2 phòng,"Full nội thất - giường tủ tivi, tủ lạnh, bình nước thông minh, bếp điện đức, lò vi sóng, lò nướng đức, máy rửa bát, mát giặt, đêm giường toàn trên 20 triệu/ đệm.",Tây - Nam,Đông - Bắc,,
