address,gen_descrip,Diện tích,Mức giá,Mặt tiền,Đường vào,Pháp lý,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Số tầng
"['Hà Nội', 'Thạch Thất', 'Xã Đồng Trúc']","
Không mua lô này thì đầu tư lô nào. Gia đình có Lô đất diện tích 375m², mặt tiền 10,9m, đường trước nhà 4mMặt đường ô tô chạy, cách mặt đại lộ Thăng Long 200mCách vành đai công nghệ cao 600m.Xây nhà nghỉ hoặc kinh doanb kho xưởng rất phù hợpSổ đỏ sẵn yên tâm giao dịchLiên hệ chính chủ: 0982 764 *** ",375 m²,Thỏa thuận,10.9 m,4 m,Sổ đỏ/ Sổ hồng,19/09/2022,18/12/2022,Tin thường,32260639,batdongsan_com_vn_32260639,,,,,,
"['Hà Nội', 'Đông Anh', 'Xã Tiên Dương', 'Đường Trung Oai']","
Đất đấu giá X5 Trung Oai - Tiên Dương - Đông Anh - HN.- Diện tích: 81m², Đất chính chủ, không qua môi giới, giảm được khoảng 50 tr, số trong két, giao dịch được ngay.- Mảnh đất có 02 mặt tiền đường rộng 10m, vỉa hè 2m thông thoáng.- Khu đất bìa làng giáp khu dân cư phát triển! Đang kinh doanh rất sầm uất, có thể cho thuê hoặc kinh doanh được ngay - hoặc chỉ cần chờ đến 2023 Đông anh lên Quận, chắc chắn sinh lời rất cao. (Giá 80tr/m², do không phải chi phí môi giới).Tiện ích:- Vị trí gần QL3, QL23B, đường Võ Nguyên Giáp...- Chỉ 5p ra trung tâm hành chính UBND huyện ĐA, 15 ra Sân bay NB, 5p ra cầu Nhật Tân, 10p sang Nội Thành.            ",81 m²,80 triệu/m²,5 m,10 m,Sổ đỏ/ Sổ hồng,12/09/2022,11/12/2022,Tin thường,35090810,batdongsan_com_vn_35090810,Đông - Nam,,,,,
"['Hà Nội', 'Hoàng Mai', 'Phường Tân Mai', 'Đường Nguyễn Chính']","
Chính chủ bán nhà tập thể tầng 2 khu A Nguyễn Chính Tân Mai.- Diện tích trên giấy tờ chờ cấp sổ đỏ: 35m².- Diện tích sử dụng: 47m².- Số phòng: 1pk, 2pn, 1wc, bếp khép kín.- Để lại toàn bộ đồ đạc: Giường tủ, nóng lạnh, chỉ mang đồ về ở.- Tầng 2: Thoáng, trước sau có sân, có sân rộng để ô tô, xe máy.- Gần trường học các cấp, bệnh viện Bạch Mai, Thanh Nhàn, PKKQ, chợ, siêu thị, bến xe bus ngay đầu ngõ (1 phút đi bộ), khu dân trí, an toàn, nhiều tiện ích, giao thông thuận tiện.- Giá: 1,350 tỷ.- SĐT: 0904 242 *** ",47 m²,1.35 tỷ,,,Đang chờ sổ.,12/09/2022,11/12/2022,Tin thường,35113057,batdongsan_com_vn_35113057,Đông,Đông,2 phòng,1 phòng,Full nội thất.,
"['Hà Nội', 'Hà Đông', 'Phường Phúc La', 'Dự án KĐT Xa La']","
Bán căn penthouse CT2a Xa La, diện tích sổ là 225m², diện tích sử dụng 360m² (bao gồm diện tích sân vườn 140m²).Mới sửa chữa đẹp, là căn rộng nhất tòa CT2a, ban công Đông Nam, Đông Bắc, Tây Nam. Nhà rất mát và thoáng, trồng nhiều cây xanh.- Cần bán để chuyển công tác vào miền nam.- Anh chị có nhu cầu mua xin liên hệ sđt: 0914 120 *** - a Long.Xin cảm ơn.            ",360 m²,5.5 tỷ,,,,05/09/2022,04/12/2022,Tin thường,35030049,batdongsan_com_vn_35030049,,Đông - Nam,4 phòng,3 phòng,Full nội thất,
"['Hà Nội', 'Thạch Thất', 'Xã Tiến Xuân']","
Bán đất xã Tiến Xuân, Thạch Thất, Hà Nội.Giá: 3 tỷ 850.Diện tích: 633 m².MT 11,7m, nở hậu khủng, mặt đường nhựa rộng 10m, có tường bao, sổ đỏ, gần đại học Quốc Gia Hà Nội, cách khu du lịch Suối Ngọc Vua Bà 500m, cách khu CNC Hòa Lạc 5km, cách khu trượt cỏ 3km. Tiện kinh doanh khách sạn, nhà hàng, nhà vườn, xưởng.LHCC: 0966 358 *** ",633 m²,3.85 tỷ,11.7 m,10 m,Sổ đỏ chính chủ,05/09/2022,04/12/2022,Tin thường,31627263,batdongsan_com_vn_31627263,,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Tây Mỗ', 'Đường Đại lộ Thăng Long', 'Dự án Imperia Smart City']","
Điều đó là sự thật trong lòng thành phố đông đúc.Chỉ từ 450tr sở hữu ngay căn 2PN view hồ, cận trường học, kế bãi đỗ xe, tttm lớn ngay tại KĐT Vinhomes Smart City.Nói chung l/à tiện ích ngập tràn và thực sự năng động cho tuổi trẻ thả sức tận hưởng.- Về nhà mà như đi nghỉ dưỡng là sự thật.- Quan trọng nhất là mua đúng thời điểm! Tại sao?- Vì... Tổng ưu đãi khủng lên tới 17% giá trị căn hộ.Chiết khấu thanh toán sớm 12% GTCH.Tậu nhà ưng ý - rinh lộc du hí trị giá 2% GTCH.Quà tặng nội thất 2% GTCH.Hỗ trợ lãi suất 0% trong 24 tháng đối với 80% GTCH.Cùng nhiều chính sách ưu đãi khác.- Địa chỉ: Tây Mỗ - Đại Mỗ, Nam Từ Liêm, Hà Nội (Trái tim của đại đô thị thông minh Vinhomes Smart City).- Liên hệ ngay để biết thêm thông tin chi tiết và nhận bảng hàng kèm chính sách tốt nhất từ chủ đầu tư.            ",55 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng.,19/09/2022,18/12/2022,Tin thường,33686024,batdongsan_com_vn_33686024,Đông - Bắc,Tây - Nam,2 phòng,1 phòng,Full nội thất liền tường và thiết bị điện smart home.,
"['Hà Nội', 'Nam Từ Liêm', 'Phường Mỹ Đình 2', 'Đường Lê Đức Thọ', 'Dự án The Zei Mỹ Đình']","
Bán biệt thự đơn lập The Zei có hầm để xe rộng, vip nhất Mỹ Đình.- Diện tích: 267m² - Giá bán 102 tỷ.- 312,9m² căn góc giá 135 tỷ.- Được xây 1 tầng hầm + 4 tầng nổi + 1 tầng áp mái (tầng hầm siêu rộng).- Mặt tiền rộng 14m. Đường trước nhà 17.5m.- Sổ đỏ lâu dài.- Bàn giao thô, hoàn thiện mặt ngoài có hỗ chờ thang may. Gia chủ có thể thoải mái thiết kế nội thất tuỳ theo phong cách của mình.- Biệt thự đã xây xong, chuẩn bị bàn giao.* Chính sách ưu đãi của CĐT:- Hỗ trợ lãi suất 0%/18 tháng cho 50% giá trị biệt thự.- Thanh toán sớm 95% chiết khấu 8%.- Thanh toán thường trong vòng 9 tháng chiết khấu 5%.Anh chị quan tâm biệt thự đơn lập và đi xem thực tế liên hệ: 0988 798 *** e Liên.            ",312.9 m²,135 tỷ,14 m,17.5 m,,26/09/2022,25/12/2022,Tin thường,35281342,batdongsan_com_vn_35281342,,,,,,4 tầng
"['Hà Nội', 'Long Biên', 'Phường Đức Giang', 'Dự án Việt Hưng']","
Chuyển nhà mới, gia đình tôi bán lại căn hộ góc đang ở thuộc tòa GH4 khu Green House - CT17, KĐT Việt Hưng, Long Biên, HN.Diện tích 99,6m², 3 phòng ngủ, 2 vệ sinh, 1 kho. Ban công và 3 phòng ngủ cửa sổ hướng Đông và Nam. Nội thất để lại 90%, chỉ xách vali về ở.Liên hệ chính chủ: Mr Tùng 0904 233 ***. Không tiếp môi giới, trung gian. Giá 2,7 tỷ, bao phí chuyển nhượng.            ",99.6 m²,2.7 tỷ,,,,12/09/2022,11/12/2022,Tin thường,35114764,batdongsan_com_vn_35114764,,Đông - Nam,3 phòng,2 phòng,,
"['Hà Nội', 'Tây Hồ', 'Phường Xuân La', 'Đường Xuân La']","
Căn nhà được xây dựng và thiết kế khá sắc nét và cẩn thận chủ nhà muốn bán vì chuyển gần đến trường học của con. Ngôi nhà được thiết kế 3 phòng ngủ, 1 tầng lửng, 1 tầng hầm để vừa 2 ô tô có thang máy, trước cửa nhà đường rộng 2 ô tô tránh nhau.            ",93 m²,Thỏa thuận,,,,26/09/2022,25/12/2022,Tin thường,35035505,batdongsan_com_vn_35035505,,,3 phòng,,,4 tầng
"['Hà Nội', 'Long Biên', 'Phường Sài Đồng', 'Đường Huỳnh Văn Nghệ', 'Dự án Le Grand Jardin Sài Đồng']","
- Chính chủ mua trả góp, ký trực tiếp với CĐT, có công việc cần nhượng lại. CĐT lớn có đủ giấy phép kinh doanh, sở hữu, xây dựng. Sổ đỏ lâu dài.- Nội thất cơ bản.- Chung cư nằm ở khu đất vàng, tiếp giáp các tuyến đường kinh tế huyết mạch của thủ đô và liên tỉnh, xung quanh đầy đủ các tiện ích chất lượng: Cạnh Vinhomes Riverside, cách Aeon Mall 2km, Savico Mall, BigC 1km, Bệnh viện Đức Giang, Nguyễn Văn cừ, bệnh viện Tâm Anh 2 - 4km,... Trường Việt Hưng, Vinschool, Wellspring...- Đối diện có hồ to đẹp thích hợp đi dạo thư giãn, tập thể dục,...- Chỉ 15 phút di chuyển vào trung tâm thành phố, Hồ hoàn Kiếm, Phố Cổ.- Tiện ích cao cấp: Vườn dạo bộ, siêu thị, bể bơi,...Có thương lượng.            ",65.45 m²,1.93 tỷ,,,Sổ đỏ/ Sổ hồng,05/09/2022,04/12/2022,Tin thường,33740669,batdongsan_com_vn_33740669,Đông - Bắc,Tây - Nam,2 phòng,2 phòng,Nội thất cơ bản.,
