address,gen_descrip,Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,id,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng
"['Hà Nội', 'Cầu Giấy', 'Phường Trung Hòa', 'Dự án Thăng Long Number One']","
Tôi là cư dân Tòa B - Thăng Long No1 nên được chính chủ nhà là hàng xóm gửi bán các căn hộ.2 phòng ngủ, 3 phòng ngủ và 4 phòng ngủ.Tất cả căn hộ đã có sổ đỏ chính chủ, mua bán nhận nhà ở ngay, xem nhà 24/7.- Các loại diện tích căn hộ như sau:* Mặt bằng tòa A được chia thành 12 căn/sàn gồm các loại diện tích: 87m - 111m - 116m - 143m - 161m.* Mặt bằng tòa B được chia thành 17 căn/sàn. Diện tích từ 91 - 173m (Thiết kế 2 - 4 phòng ngủ), gồm các loại diện tích như sau:Căn hộ 2 phòng ngủ: 91m - 95m.Căn hộ 3 phòng ngủ: 108m - 111m - 116m - 130m.Căn hộ 4 phòng ngủ: 136m - 138m - 161m - 169m - 173m.Tiện ích:Từ tầng 1 3 là khu dịch vụ thương mại và tiện ích chung.Riêng tầng 3 tòa A là khu gym, yoga, goup x, bể bơi 4 mùa, sauna, bể sục.Toàn khu có 3 bể bơi: 01 bể bơi ngoài trời tại tòa B và 01 bể bơi trong nhà tại Tầng 3 tòa nhà A (4 mùa), 01 bể bơi trong nhà (4 mùa) tại tầng TF tòa B với tổng diện tích 700m.Đặc biệt, 3 tầng hầm liên thông của tòa nhà sức chứa khoảng 1200 ô tô, 3000 xe máy.Giữa tầng 20 và 21: Khu Sky Garden (khu công viên, vừa dạo trên không, vui chơi trẻ em, phòng đọc sách, sinh hoạt cộng đồng).Giá dịch vụ: 11k/m².Xe máy: 50k/tháng.Ô tô: 1.000k/tháng (đối với những căn hộ không có slot đỗ CĐT).Ô tô: 200k/tháng (đối với 1 số căn hộ hoàn thiện CĐT).            ",87 m²,40 triệu/m²,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,18/11/2022,28/11/2022,Tin Vip 3,35874916,batdongsan_com_vn_35874916,,,,,
"['Hà Nội', 'Thanh Trì', 'Xã Ngọc Hồi', 'Đường Ngũ Hiệp']","
Nhà kiến trúc sư tâm huyết xây để ở, - Nay chuyển công tác nên muốn bán.Ngõ 5m ô tô để thoải mái - Ngọc Hồi - 45M2 - 4.5 tỷ - Miễn TG - MG.+ Bán nhà X130 Ngọc Hồi, Thanh Trì, Hà Nội.S: 45m.MT: 5.5 m.Ngõ: 5m.Giá: 4.5 tỷ.Nằm trong khu dân cư đông đúc văn minh quân đội, yên tâm an ninh, Xí nghiệp x130,Ngõ 5m, xe ô tô để thoải mái, cách ngõ to 15 m, (ngõ to rộng 7m).Gần bệnh viện, trường học, giao thông quá thuận tiện.Sổ đỏ chính chủ, Miễn trung gian, thiện chí mua 2 bên gặp mặt trao đổi.Thanh Tâm: 0898 989 *** ",45 m²,4.5 tỷ,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Full nội thất.,18/11/2022,28/11/2022,Tin Vip 3,35865970,batdongsan_com_vn_35865970,5.5 m,5 m,Tây,Tây,3 tầng
"['Hà Nội', 'Đống Đa', 'Phường Láng Hạ', 'Phố Láng Hạ']","
Bán nhà phố Láng Hạ, trung tâm tài chính, vừa ở và kinh doanh tốt.Dt 50m² x 6 tầng thang máy giá 11 tỷ.+ Thiết kế vừa làm vp vừa ở cực đẹp, thang máy nhập khẩu, full nội thất, khách về ở ngay.- Tầng 1: Thông sàn.- Tầng 2,3,4: Mỗi tầng 1 phòng.- Tầng 5: Phòng bếp + khách.- Tầng 6: Phòng thờ + sân phơi.+ Sổ đỏ vuông như tờ A4,Lh Việt Hùng mtg.            ",50 m²,11 tỷ,4 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,18/11/2022,28/11/2022,Tin Vip 3,35874532,batdongsan_com_vn_35874532,,4 m,,,6 tầng
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường Tố Hữu', 'Dự án An Vượng Villa']","
Cuối năm cần tiền nên tôi bán rẻ căn biệt thự dãy D3 view vườn hoa hướng Tây Bắc dt 180m².Căn biệt thự nằm trên trục đường 28m, view vườn hoa đẹp nhất khu An Vượng.- Diện tích 180m².- Hướng Tây tứ mệnh.- Giá tôi bán 21 tỷ (full giá).- Sổ đỏ chính chủ.LH 0964 753 *** ",180 m²,21 tỷ,4 phòng,4 phòng,Sổ đỏ,,18/11/2022,28/11/2022,Tin Vip 3,35874527,batdongsan_com_vn_35874527,9 m,28 m,Tây - Bắc,Tây - Bắc,
"['Hà Nội', 'Thanh Xuân', 'Phường Nhân Chính', 'Dự án Chung cư Ban cơ yếu Chính phủ']","
Căn chung cư Thanh Xuân đẹp, sát mặt phố, sổ đỏ cất két.Chung cư mới xây được 3 năm mới rất mới.+ Chung cư C14 là dự án chung cư do Quân Chủng Phòng Không Không Quân - Bộ Quốc Phòng làm chủ đầu tư. Dự án xây dựng nhằm cung cấp nhà ở cho cán bộ sỹ quan cấp tá trở lên của quân đội ở.+ Vị trí mặt phố, sân để ô tô rộng, có trạm an ninh bảo vệ 24/7, thuận tiện đi lại.+ Nhà bán thuộc tầng 12/18 tầng của tòa nhà. Các tầng được bố trí 3 thang máy thuận tiện đi lại, hành lang rộng, thoáng. Phí dịch vụ 5k/m, xe máy 70k/tháng, oto 800k/tháng.+ Bán công chính: Đông Nam.+ Cửa chính: Tây Bắc.+ Diện tích thông thủy: 70m² bao gồm: 2 phòng ngủ + 2 vệ sinh + 1 phòng khách & bếp rộng, lô gia thoáng.+ Sổ đỏ chính chủ.Liên hệ: Em Thương 0978 990 *** để được xem nhà sớm nhất.            ",70 m²,2.45 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,"Full, sang trọng.",18/11/2022,28/11/2022,Tin Vip 3,35874460,batdongsan_com_vn_35874460,,,Tây - Bắc,Đông - Nam,
"['Hà Nội', 'Hà Đông', 'Phường Dương Nội', 'Đường La Dương']","
Chính chủ cần bán nhiều lô đất dịch vụ La Dương - Đồng Đế Đồng Chợ, LK16, LK17, LK18, LK19AB... Dương Nội, Hà Đông, Hà Nội các vị trí như:Đất dịch vụ La Dương có các vị trí từ CL1 đến Cl11 giá từ 4,5 tỷ đến 7 tỷ, diện tích 50m² mặt tiền 4m, sâu 12,5m, đường phân lô có vỉa hè rộng sổ đỏ chính chủ nhiều hướng phong thủy để cho quý khách lựa chọn (được phép xây dựng 6,5 tầng).Đất dịch vụ Đồng Đế Đồng Chợ có các vị trí từ CL12 đến Cl32 giá từ 5 tỷ đến 10tỷ, diện tích 50m² mặt tiền 4m, sâu 12,5m đường phân lô có vỉa hè rộng sổ đỏ chính chủ nhiều hướng phong thủy để cho quý khách lựa chọn (được phép xây dựng 6,5 tầng).Đất dịch vụ LK16, Lk17 có các vị trí từ No1 đến No11 giá từ 5,5tỷ đến 12 tỷ, diện tích 50m² mặt tiền 4m, sâu 12,5m, đường phân lô có vỉa hè rộng sổ đỏ chính chủ nhiều hướng phong thủy để cho quý khách lựa chọn (được phép xây dựng 6,5 tầng).Đất đấu dịch vụ LK31, Lk19AB, LK20AB, đất đấu giá...Đất dịch vụ nhưng nằm trong quần thể dự án Geleximco, Nam Cường, FLC, Louis City... Giáp siêu thị Aeon to nhất cả nước, bệnh viện quốc tế BIM Group, trường mầm non C1, c2 và các chung cư cao tầng...Thuận tiện mua để ở làm văn phòng công ty, cho thuê giá cao, giá trị đất tăng lên từng ngày,Quý khách gọi Mr Đạt 0948 166 *** để chọn cho mình 1 lô đất đẹp và ưng ý nhất.Cảm ơn quý khách đã đọc tin.            ",50 m²,4.5 tỷ,,,,,18/11/2022,28/11/2022,Tin Vip 3,34302670,batdongsan_com_vn_34302670,,,,,
"['Hà Nội.', 'Nam Từ Liêm', 'Phường Mễ Trì', 'Đường Đại lộ Thăng Long', 'Dự án Vinhomes Green Bay Mễ Trì']","
Do gia đình không có nhu cầu sử dụng, cần bán căn hộ 15 studio, tòa G3, Vinhomes Greenbay.Thông tin căn hộ:Căn hộ: 15, diện tích 27m².Ban công: Đông Nam, view Hồ.Hướng nhà: Tây Nam.Nội thất cơ bản CDT đã làm full đồ để sử dụng.Giá: 1,150 tỷ.Liên hệ A Kiên: 0976 285 *** ",27 m²,1.15 tỷ,1 phòng,1 phòng,Hợp đồng mua bán.,Full nội thất.,18/11/2022,28/11/2022,Tin Vip 3,35874057,batdongsan_com_vn_35874057,,,Tây - Bắc,Đông - Nam,
"['Hà Nội', 'Sóc Sơn', 'Xã Minh Phú', 'Đường 14']","
Thông tin chi tiết.+ Diện tích: 1726 m² (Trong đó có 400m² thổ cư, 1026m² đất vườn, 300m² đất liền kề tường bao ko tranh chấp... ).+ Địa chỉ: Xã Minh Phú, Huyện Sóc Sơn, Hà Nội.Tiềm năng.+ Mua đất tặng nhà biệt thự mái nhật sang - xịn - mịn gồm có: 1 khách, 1 bếp, 4 ngủ, 4 wc.Nhà đã xây xong phần thô và chỉ cần hoàn thiện là ở luôn...+ Trung tâm nghỉ dưỡng cuối tuần Sóc Sơn.+ Gần nhiều biệt thự, homestay nghỉ dưỡng đã xây dựng và hoạt động gần Phủ Thành Chương, nhà ca sĩ Mỹ Linh...+ Cách đường 35 1,5km, cách đường 14 1km.+ Đi đến UBND xã, trạm y tế, trường tiểu học Minh Phú chỉ 5 phút.+ Đến trường THCS và THPT chỉ 10 phút.+ Cách trung tâm Hà Nội 30km, ra sân bay nội bài 20 phút.==================================Qúy khách quan tâm xin vui lòng liên hệ:- Mr Nam (Sóc Sơn): 0968 185 *** ",1726 m²,6.2 triệu/m²,,,Sổ đỏ/ Sổ hồng.,,18/11/2022,28/11/2022,Tin Vip 3,35874021,batdongsan_com_vn_35874021,40 m,7 m,Đông - Nam,,
"['Hà Nội', 'Ba Đình', 'Phường Quán Thánh', 'Đường Hàng Than']","
+ Vị trí đẹp ngay gần bốt Hàng Đậu, Hàng Than, Quán Thánh, trung tâm quận Ba Đình giáp Hoàn Kiếm, gần khu vực phố cổ, Tây ta đông đúc, giao thương, kinh doanh ngày đêm.+ Khu vực nhiều quán xá, tụ điểm ăn ngon mặc đẹp, buôn bán mặt hàng gì cũng đông khách.+ Mặt phố xinh xắn vừa tầm tài chính, thích hợp để vừa ở vừa kinh doanh, hái ra tiền.+ Anh tôi làm ăn rất phát nên chuyển ở nhà to hơn. Tặng lại nguyên toàn bộ nội thất, khách chỉ cần xách vali vào ở và kinh doanh.+ Diện tích 35m² x 6 tầng, mặt tiền 5.5m.Tầng 1: Gara ô tô hoặc kinh doanh & WC + gác xép.Tầng: 2 + 3 + 4 + 5: 01 phòng ngủ & WC khép kín.+ Phòng kho.Tầng 6: Phòng thờ & sân chơi.+ Sổ đỏ vuông đẹp cất két sẵn sàng giao dịch.+ Giá chỉ 14.5 tỷ có thương lượng.+ Liên hệ em Hằng 0394 216 *** ",35 m²,14.5 tỷ,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,"Sang trọng, hiện đại, đáp ứng mọi nhu cầu sinh hoạt",18/11/2022,28/11/2022,Tin Vip 3,35873953,batdongsan_com_vn_35873953,5.5 m,20 m,,,6 tầng
"['Hà Nội', 'Hoài Đức', 'Xã An Khánh', 'Đường Đại lộ Thăng Long', 'Dự án Splendora An Khánh']","
Chính chủ bán gấp 1 số lô biệt thự đơn lập khu đô thị Splendora Bắc An Khánh, Hoài Đức, Hà Nội:* Giai đoạn 1:- Liền kề 103m² full nội thất giá 13.9 tỷ, lô góc cổng chính giá 15 tỷ.- Liền kề 126m² full nội thất giá 14.5 - 15 tỷ.- Liền kề 145m² giá 20 tỷ.- Biệt thự 210m² giá 145tr/m².- Biệt thự 270m² giá 160 - 170tr/m².- Biệt thự 330m² giá thỏa thuận.- Biệt thự 390m² và 450m² giá thỏa thuận.* Giai đoạn 2:- Lô 236m², thô, giá 160tr/m².- Lô 259m², hướng Tây, thô giá 160tr/m².- Lô 315m² tây tứ trạch giá 165tr/m².LH xem nhà: 0977 164 *** - Mr Nam.            ",236 m²,160 triệu/m²,,,,,18/11/2022,28/11/2022,Tin Vip 3,33700882,batdongsan_com_vn_33700882,,,,,
