price,address,Diện tích,Mặt tiền,Lộ giới,Số tầng,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số toilet
"2,7 tỷ VNĐ","Đường Hồ Tùng Mậu, Mai Dịch, Cầu Giấy", 32m2, 4, 3, 5,"+ Chính chủ cần bán nhà trước tết để thu hồi vốn giảm chào 300 triệu còn 2,7 tỷ, nhà Phố Hồ Tùng Mậu, Quận Nam Từ Liêm, diện tích 32m2 x 4 tầng giá 2,75 tỷ. + Nhà Hồ Tùng Mậu ngay sát Cầu Diễn, 300m ra khu độ thị Vinhome Gardenia, cách Đại học Thương Mại 500m. + Nhà nằm trong khu dân cư yên tĩnh, ô tô đỗ cổng. Chủ tự xây tâm huyết, rất chắc chắn. - T1: Khách, bếp, vs. - T2,3: Mỗi tầng 1 PN rộng, vệ sinh ngoài. - T4: Phòng thờ, sân phơi. + Sổ đỏ đầy đủ, pháp lý minh bạc, sẵn sàng dao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất thổ địa hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",29/11/2022,Tin thường,batdongsan_so_com_vn_1673785505.2842917,,
"6,8 tỷ VNĐ","Đường Gia Thượng, Ngọc Thụy, Long Biên", 78m2, 4, 40, 6,"MẶT PHỐ GIA THƯỢNG, NGỌC THỤY, LONG BIÊN ,  KINH DOANH, ĐƯỜNG 4 LÀN Ô TÔ, VỈA HÈ RỘNG, 6 TẦNG THANG MÁY,  VỊ TRÍ ĐẸP GẦN TRƯỜNG VIỆT PHÁP SÁT KHAI SƠN HILL,  NGAY ĐƯỜNG HỒNG TIẾN KÉO DÀI, DỰ ÁN CẦU TỨ LIÊN GẦN KỀ DT 78M , MT 4.5 - 6 TẦNG GIÁ 18 TỶ .
+ Thiết kế: 
- Tầng 1: Thông sàn, kinh doanh, vệ sinh. 
- Tầng 2: Phòng khách, phía sau thông sàn, vệ sinh, (có thể ngăn ra làm phòng ngủ riêng hoặc làm phòng ăn).
- Tầng 3, 4: Mỗi tầng 2 ngủ, vệ sinh khép kín, ban công. 
- Tầng 5: 1 ngủ masters, 1 ngủ khép kín. 
- Tầng 6: bếp, sân phơi, 1 phòng ngủ, vệ sinh khép kín. 
 
 ",29/11/2022,Tin thường,batdongsan_so_com_vn_1673785506.7334585, 5, 6
"4,4 tỷ VNĐ","Đường Đội cấn, Đội Cấn, Ba Đình", 45m2,, 1, 5,"-diện tích sử dụng 45m nhà 5 tầng , tổng 4 ngủ đầy đủ công năng  - gần các phố giang văn minh, hoàng hoa thám, ngọc hà , kim mã , thuỵ khuê , văn cao  - gần chợ , trường , bệnh viện  - tiện ích bạt ngàn, an sinh đỉnh cao - pháp lý rõ ràng sẵn sàng giao dịch  ☎️0988928564 em Thuỳ - uy tín- tận tâm ",29/11/2022,Tin thường,batdongsan_so_com_vn_1673785507.8876557, 4,
"1,6 tỷ VNĐ","Đường Yên Lạc, Thanh Lương, Hai Bà Trưng", 65m2, 6, 20, 6,"Mô tả: + Nhà toạ lạc ở vị trí rất đẹp lô góc hai mặt đường ô tô tránh. Khách mua về ở cực kỳ thích hoặc làm văn phòng thoải mái, gara cho 2 ô tô. Tiện ích xung quanh cực nhiều gần trường học, chợ, BV Thanh Nhàn… vị trí rất trung tâm. + Thiết kế tầng 1 gara ô tô. Tầng 2 phòng khách, bếp, wc. Mỗi tầng một phòng ngủ rộng, phòng thờ, phòng tập, sân phơi. + Pháp lý chuẩn, sổ đỏ phân lô (có thương lượng). + LH em Chiến 18:: 0972156167 - Đất/Nhà thổ cư - Xem/Mua miễn phí 24/7.",29/11/2022,Tin thường,batdongsan_so_com_vn_1673785509.0651484, 5, 4
"4,9 tỷ VNĐ","Đường Nguyễn Cơ Thạch, Mỹ Đình 2, Nam Từ Liêm", 50m2, 4, 1, 5,"  4 ngủ khép kín ở ngay. Bán phố Nguyễn Cơ Thạch 50m2*5T. MT4m. 2 thoáng. Tỉ mỉ. 4,9 tỷ   + Trung tâm, sầm uất, tiện ích vô kể.  + Vài bước chân, OTO tránh, rất tiện lợi + Trường học, chợ, bệnh viện chỉ cách vài phút. + Thông số đẹp, nhà cực rộng, kê nội thất dễ dàng. + Nhà không cần sửa chữa thêm, ở ngay đón TẾT.  - SỔ ĐỎ CẤT KÉT, CHẮC CỐP - GIÁ: 4,98 tỷ    CHI TIẾT THÊM, XIN LIÊN HỆ 24/7. (mtg) - Đ/c. Duy Quang  - 0399.549.214 - 087.997.6889 - 032.668.9688  THÔNG TIN NHÀ & ĐẤT HÀ NỘI. Xin trân trọng cảm ơn! ",29/11/2022,Tin thường,batdongsan_so_com_vn_1673785510.1143482, 4, 4
3 tỷ VNĐ,"Đường Nguyễn Chí Thanh, Láng Hạ, Đống Đa", 47m2, 4, 3, 5,"Bán Nhà Mới Xây NGUYỄN CHÍ THANH 47m2 Đẹp Như Mơ 5T Ban Công Cực Rộng Thoáng Chỉ 63tr/m2 0983562893  + Vị trí: Nguyễn Chí Thanh, Đống Đa. Cực kỳ trung tâm, cạnh đài truyền hình VTV, cạnh hồ điều hòa, rạp chiếu phim quốc gia, 2 phút di chuyển đến Hồ Tây. Bạt ngàn tiện ích. Khu dân cư văn minh, lịch sự.  + Thiết kế: 47m2 rộng rãi, 5pn, nhà xây cực kỳ chắc chắn, mới tinh còn thơm mùi sơn, giá chỉ 63 tr/m2, chia phòng, ở gia đình hay làm chdv cực tốt.  + Nội thất: điều hòa, nóng lạnh, giường tủ, tủ bếp... Chủ để lại hết đồ.  + Giá bán: 63 tr/m2  LH: 0983.562.893 (gọi và zalo 24/24)",29/11/2022,Tin thường,batdongsan_so_com_vn_1673785511.3381824, 4, 4
3 tỷ VNĐ,"Đường Nhân Mỹ, Mỹ Đình 2, Nam Từ Liêm", 30m2, 4, 3, 4,"+ Chính chủ cần bán nhà trước tết diện tích 30m2 x 4 tầng giá nhỉnh 3 tỷ,ô tô 5 chỗ đỗ cửa. + Nhà chủ xây tâm huyết, Nội thất đẹp. + Khu vực phát triển kinh điển, giao thông thuận tiện, dân trí cao, ăn ninh tốt.  + gần trường học, và các tiện ích. + Nhà đẹp, thiết kế hiện đại: - Tầng 1: để xe và bếp ăn. - Tầng 2: phòng khác và 1 phòng ngủ. - Tầng 3: 2 phòng ngủ wc giữa. - Tầng 4: phòng thờ và sân phơi. + có thể lên thêm tầng và cải tạo thành nhiều phòng cho thuê. + Sổ đỏ chính chủ, sẵn sàng giao dịch. + LH,Hoàng Bắc,ĐT: 0377 610 275, chuyên nhà đất,thổ địa hà nội, dẫn khách xem nhà và Tư vấn miễn phí 24/7",29/11/2022,Tin thường,batdongsan_so_com_vn_1673785512.5339794,,
"4,25 tỷ VNĐ","Đường Văn Phú, Phú La, Hà Đông", 40m2, 4, 3, 5,"
Mô tả : 
- Vị trí đẹp, nhà nằm trong khu tiếp giáp KĐT văn phú hưởng trọn tiện ích của KĐT văn phú.
 
- Nhà mới, chủ thiết kế 5 tầng còn mới tinh,nay chuyển công tác mua nhà Mỹ Đình nên cần bán nhanh.
 
Thiết kế :
- Tầng 1: Để xe, phòng khách, bếp, wc.
- Tầng 2,3,4: Tổng 6 Phòng, 3wc.
- Tầng 5: sân phơi, có thể thiết kế thêm phòng thờ.
 
- Nhà chủ thiết kế BTCT chắc chắn chuẩn công năng sử dụng, có khe thoáng đằng sau , nên rất thoáng mát và đầy đủ ánh sáng.
 
- Sổ đỏ nở hậu, cực lộc giao dịch ngay.Liên hệ: Tôi Công NHÀ TO 0931706698Miễn trung gian.",29/11/2022,Tin thường,batdongsan_so_com_vn_1673785513.620074, 6, 5
74 triệu VNĐ,"Đường Đại lộ Thăng Long, Xã An Thượng, Huyện Hoài Đức, Hà Nội", 53.75m2, 3, 10,,"Tôi chính chủ bán lô đất dịch vụ xã An Thượng khu 12,5ha của xã An Thượng. Diện tích 53.75 m2, mặt tiền rộng 3.76 m Pháp lý: Sổ đỏ chính chủ, xây dựng nhà chiều cao tối đa 5 tầng hoặc 16m. Nằm đối diện cổng trường Học Viện Chính Sách và phát triển (Quy mô đào tạo hiện nay: Gần 4.000 sinh viên ) Đường trước nhà rộng 10m, vỉa hè 2m, đường phân lô bàn cờ, cách đường 50m chỉ vài bước chân, ( Làn 2 ) , Áp lô góc Vị trí đắc địa, giao thông đi lại rất thuận lợi, rất thích hợp để ở hoặc đầu tư kinh doanh, buôn bán. Tiện ích xung quanh: Cách đường Đại Lộ Thăng Long: 1km Cách Big C Thăng Long: 10 km Cách viện quân y 103: 10 km Cách thiên đường Bảo Sơn An Khánh: 4km Cách AEON MALL Hà Đông : 7km Giáp các khu đô thị lớn như Hà Đô Charm Villas, Vinhomes Thăng Long, khu đô thị mới Nam An Khánh, Sudico An Khánh..  Liên hệ chính chủ để thương lượng Xin cảm ơn. ",29/11/2022,Tin thường,batdongsan_so_com_vn_1673785514.5984564,,
74 triệu VNĐ,"Đường Đại lộ Thăng Long, Xã An Thượng, Huyện Hoài Đức, Hà Nội", 107.5m2, 7, 10,,"Tôi chính chủ bán lô đất dịch vụ xã An Thượng khu 12,5ha của xã An Thượng. Diện tích 107.5 m2, mặt tiền rộng 7.52m ( có thể tách làm 2 lô ) Tiện ích xung quanh: Cách đường Đại Lộ Thăng Long: 1km Cách Big C Thăng Long: 10 km Cách viện quân y 103: 10 km Cách thiên đường Bảo Sơn An Khánh: 4km Cách AEON MALL Hà Đông : 7km Giáp các khu đô thị lớn như Hà Đô Charm Villas, Vinhomes Thăng Long, khu đô thị mới Nam An Khánh, Sudico An Khánh... Pháp lý: Sổ đỏ chính chủ, xây dựng nhà chiều cao tối đa 5 tầng hoặc 16m. Nằm đối diện cổng trường Học Viện Chính Sách và phát triển (Quy mô đào tạo hiện nay: Gần 4.000 sinh viên ) Vị trí đắc địa, giao thông đi lại rất thuận lợi, rất thích hợp để ở hoặc đầu tư kinh doanh, buôn bán. Đường trước nhà rộng 11m, vỉa hè 2m, đường phân lô bàn cờ, cách đường 50m chỉ vài bước chân, ( Làn 2 ) , Áp lô góc Liên hệ chính chủ để thương lượng Xin cảm ơn. ",29/11/2022,Tin thường,batdongsan_so_com_vn_1673785515.747411,,
