price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Lộ giới,Số phòng ngủ,Số toilet
"3,65 tỷ VNĐ",Cầu Đơ- Hà Đông, 36m2, 5,"Cầu Đơ, Hà Đông, ngõ thông thoáng, dân xây, nội thất vip, 36mx5 tầng Cần bán gấp nhà đẹp trong tháng giêng tự xây chắc chắn với 5 tầng rộng đầy đủ công năng sử dụng, nội thất gỗ Lim xịn xò, ban công đón nắng gió, ngõ thông , ô tô gần. Xung quanh đầy đủ tiện ích: Trường học, ngân hàng, chợ, siêu thị...khu văn minh, hiện đại, dân cư đông đúc. Giao thông di chuyển thuận lợi: Văn Phú, Lê Hồng Phong, Quang Trung, Phúc, Yết Kiêu, Nguyễn Trãi,.... Chủ nhà dân kinh doanh rất có lộc của, lộc con, nay chuyển sang ở biệt thự rộng hơn, thiện chí bán cho khách thực sự yêu nhà. Sổ đỏ vuông, pháp lý sạch. Giá: 3.65 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",14/02/2022,Tin thường,batdongsan_so_com_vn_1673832247.5525107,,,,
"3,65 tỷ VNĐ",Ngô Quyền- Hà Đông, 36m2, 5,"Bán nhà Ngô Quyền, Hà Đông, ngõ thông thoáng, dân xây, nội thất xịn, 36mx5 tầng Người thân gửi bán nhà đẹp tự xây chắc chắn với 5 tầng rộng đầy đủ công năng sử dụng, nội thất gỗ Lim xịn xò, ban công đón nắng gió, ngõ thông , ô tô gần. Xung quanh đầy đủ tiện ích: Trường học, ngân hàng, chợ, siêu thị...khu văn minh, hiện đại, dân cư đông đúc. Giao thông di chuyển thuận lợi: Vạn Phúc, NGô Thì Nhậm, La KHê, Phan Đình Giót, Vạn Phúc,... Chủ nhà dân kinh doanh rất có lộc của, lộc con, nay chuyển sang ở biệt thự rộng hơn, thiện chí bán cho khách thực sự yêu nhà. Sổ đỏ vuông, pháp lý sạch. Giá: 3.65 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",14/02/2022,Tin thường,batdongsan_so_com_vn_1673832248.8610086,,,,
"3,75 tỷ VNĐ",Vạn Phúc- Hà Đông, 37m2, 5," Vạn Phúc, Hà Đông, 2 thoáng, ô tô gần, dân xây, tặng nội thất, 37mx5 tầng Cần bán gấp nhà đẹp khu vực đáng sống bậc nhất Hà Đông – Vạn Phúc, nhà xây chắc chắn chủ tâm huyết thuê thiết kế và xây theo ý mình, nhà như biệt thự, nội thất sang xịn đẹp nhất khu, với 5 tầng rộng thoáng sáng trước sau, hàng xóm cực kì thân thiện, chuyển nhà rộng hơn bán đi rất tiếc. Nhà rất gần bãi ô tô, xung quanh đầy đủ trường học từ tư nhân đến quốc tế, nằm cạnh Khu đô thị Văn Quán xa hoa đẹp bậc nhất, tiện ích không thiếu thứ gì, nhà rất mới chỉ xách vali đến ở. Giao thông di chuyển thuận lợi: Ngô Quyền, Tố Hữu, Chu Văn An, Mỗ Lao, Nguyễn Trãi, Phùng Hưng, Quang Trung,... Sổ đỏ vuông, pháp lý sạch. Giá: 3.75 tỷ ( có thương lượng). Liên hệ ngay với em Huyền : 0965472910 ( miễn trung gian).",14/02/2022,Tin thường,batdongsan_so_com_vn_1673832251.0584302,,,,
"5,6 tỷ VNĐ",Hoàng Hoa Thám, 40m2, 4,"HÀNG CỰC HIẾM! Bán nhà đường Hoàng Hoa Thám, Ba Đình, morning đỗ cửa, giá chỉ 5.x tỷ. Diện tích: 40m2 x 4 tầng (rất phù hợp phong thủy 1x2), mặt tiền 4.7m Mã tài sản: ryt.qr Chúc Anh/Chị sớm mua được căn nhà ưng ý “AN CƯ LẠC NGHIỆP” ---------- Mô tả chi tiết: Nhà vuông như Phân Lô - 2 mặt thoáng trước sau - oto morning đỗ cửa - rất gần phố Hoàng Hoa Thám. + Nhà nằm vị trí rất đẹp, cách mặt phố Hoàng Hoa Thám vài bước chân, phía sau có khe thoáng nên tất cả các phòng đều có thể mở cửa sổ rất thoáng. + Khu vực toàn cán bộ về hưu, dân trí cao, phù hợp với gia đình thích yên tĩnh, con cái học hành cần sự riêng tư. + Thiết kế 4 tầng: - Tầng 1: Để xe + phòng khách + bếp. - Tầng 2: 2 ngủ + vệ sinh. - Tầng 3: 1 ngủ + phòng thờ - Tầng 4: sân phơi. + Gia chủ là người có điều kiện nên xây căn nhà cẩn thận từng milimet. Nhà xây đã được 1 thời gian nhưng vẫn còn rất tốt. Chỉ cần thêm vài thùng sơn là lại long lanh ngay. + Chủ nhà là người rất biết trước sau, con cái học hành thành đạt. Lộc chủ nhà rất tốt! + Sổ đỏ phân lô, vuông đẹp. ---------- LIÊN HỆ NGAY ĐỂ GẶP CHÍNH CHỦ! Thanh Long - thổ cư khu vực Đống Đa, Ba Đình. Hàng trăm data trong tay, phù hợp mọi tiêu chí lựa chọn của khách hàng. Chuẩn chỉ: Pháp lý rõ ràng, tư vấn luôn kỹ càng, quyền lợi khách hàng là trên hết.",14/02/2022,Tin thường,batdongsan_so_com_vn_1673832254.365311, 5, 7, 3, 2
37 triệu VNĐ/m2,279 Hoàng Mai, 76m2,,"🎁𝗧𝗲̂́𝘁 𝗾𝘂𝗮 𝗻𝗵𝘂̛𝗻𝗴 𝗤𝘂𝗮̀ 𝘃𝗮̂̃𝗻 𝗰𝗼́, 𝗧𝗮̣̆𝗻𝗴 𝗰𝗵𝗶̉ 𝗩𝗮̀𝗻𝗴 𝟵𝟵𝟵𝟵. 𝗩𝗼̂́𝗻 𝘁𝘂̛̣ 𝗰𝗼́ 𝟵𝟬𝟬 𝘁𝗿𝗶𝗲̣̂𝘂 𝗸𝘆́ 𝗛Đ𝗠𝗕 𝗰𝗮̆𝗻 𝟮𝗣𝗡 𝗴𝗶𝗮́ 𝟮,𝟴 𝘁𝘆̉. 𝗧𝗮̣̆𝗻𝗴 𝗽𝗵𝗶́ 𝗯𝗮̉𝗼 𝘁𝗿𝗶̀, 𝗰𝗵𝗶́𝗻𝗵 𝘀𝗮́𝗰𝗵 𝗡𝗴𝗮̂𝗻 𝗛𝗮̀𝗻𝗴 𝗹𝗶𝗻𝗵 𝗵𝗼𝗮̣𝘁. 🏠Thiết kế 3 khối nhà đan chéo tạo dấu ấn chắc chắn ,hướng căn hộ view 2 hồ đẹp Vĩnh Hoàng và Đền Lừ. Phân khúc nhà chung cư đầy đủ tiện ích xanh bậc nhất của Thủ Đô nói chung và Hoàng Mai nói riêng. Toát lên sự tinh tế và cổ điển trong từng đường nét.#FELIZ_HOMES_HOANG_MAI 📚Chính sách bán hàng:👉Miễn 2% kinh phí bảo trì, 1 năm phí dịch vụ👉Hỗ trợ lãi suất 0% 18 tháng, Ân hạn nợ gốc 👉Vay 75% thời gian 25 nămBáo giá các căn hộ đẹp nhất dự án:Căn hộ 2PN – 77m2 giá từ 2,8 tỷCăn hộ 3PN diện tích 97m2 giá từ 3.25 tỷCăn hộ 3PN diện tích 108m2 ( căn góc ) view thành phố, view Hồ Đền giá từ 3.6 tỷ💧𝗧𝗜𝗘̣̂𝗡 𝗜́𝗖𝗛 𝗣𝗛𝗨̣𝗖 𝗩𝗨̣ Đ𝗢̛̀𝗜 𝗦𝗢̂́𝗡𝗚:+ Bệnh viện Bạch Mai: 5Km+ Hồ Hoàn Kiếm: 6Km+ Đại học Bách Khoa – KT Quốc Dân: 3Km+ Trường TH, THCS Mai động+ Công viên Thống Nhất: 4Km+ Bến xe Giáp Bát: 3Km+ TTTM Metro Hoàng Mai: 2Km🛒Dân cư khu vực sầm uất thuận tiện cho việc giao thương buôn bán và mua sắm thiết yếu. Toàn bộ không gian phòng ngủ đều được thiết kế cửa sổ kính và ban công rộng để đón ánh sang tự nhiên và tận hưởng trọn vẹn làn gió mát lành từ hồ sinh thái thổi vào.🔑Nhận nhà: quý IV /2022☎️𝗛𝗼𝘁𝗹𝗶𝗻𝗲 𝗣𝗵𝗼̀𝗻𝗴 𝗕𝗛 𝘁𝗿𝘂̛̣𝗰 𝘁𝗶𝗲̂́𝗽 𝗖Đ𝗧: 𝟬𝟵𝟴𝟯.𝟮𝟮𝟯.𝟵𝟭𝟭 – 𝟬𝟴𝟭𝟴.𝟵𝟳𝟴.𝟵𝟳𝟵#FelizHomes#Felizhomes279hoangmai#Felizhomes92maidong",14/02/2022,Tin thường,batdongsan_so_com_vn_1673832255.5549836,,,,
16 tỷ VNĐ,Hà Nội, 70m2,,"Bán gấp nhà mặt phố Phương Mai, Đống Đa, vị trí trung tâm tuyến phố, kinh doanh rất sầm uất - SĐT: 0366 555 258.Nhà rất gần bệnh viện Bạch Mai, Việt Pháp, bệnh viện Đại học Y, gần các trường đại học lớn như Kinh Tế Quốc Dân, Bách Khoa, Xây Dựng, Ngân Hàng…Diện tích: 70 m2Thiết kế đẹp, phù hợp xây tòa nhà 7 tầng thang máy, thoáng trước thoáng sau để kinh doanh phòng khám, thiết bị y tế, văn phòng, spa …Sổ đỏ vuông vắn, pháp lý đầy đủ sẵn sàng giao dịch. Giá 16 tỷ thương lượng sâu.Mọi chi tiết xin liên hệ 24/7, miễn phí 100% - 0366 555 258.",14/02/2022,Tin thường,batdongsan_so_com_vn_1673832256.7801406,,,,
,giáp bát hoàng mai ha noi, 41m2,,"+Nhà gần đầu phố Giáp Bát ra đường Giải Phóng.20m ra phố. +Xây mới 5 tầng thiết kế hiện đại .Đẹp long lanh,khách xem là ưng. +Thông sàn.Tầng 1: bếp ăn,để xe,wc.Tầng 2 là phòng khách .Tổng 3 ngủ rộng +Vị trí nhiều tiện ích : sát chợ,nhiều trường ĐH:Bách Khoa,Xây Dựng,Kinh Tế +Giao thông thuận tiện : đi TTTP,Ngã Tư Vọng,vành đai 2,5,bến xe giáp Bát,Nước Ngầm,cao tốc Pháp Vân và nhiều bệnh viện : Bạch Mai,Việt Pháp,Tai Mũi Họng. +Sổ đẹp nở hậu nhẹ sang tên nhanh +Gía 5.2 tỷ có thương lượng ạ +LH Mr Phúc 0978.895.889-0912.338.038. ",14/02/2022,Tin thường,batdongsan_so_com_vn_1673832257.906129,,,,
17 tỷ VNĐ,Hà Nội, 70m2,,"Bán gấp nhà Thái Hà phân lô, ô tô tránh, thang máy xịn, kinh doanh tốt - SĐT: 0366 555 258.Vị trí đắc địa quận Đống Đa, ô tô chạy vòng quanh, kinh doanh sầm uất, thang máy chạy vù vù, ngõ thông.Hiện đang cho Công ty thuê với giá covid 68tr/tháng.Diện tích: 70 m2, 7 tầng, trang bị thang máy nội thất nhập khẩu…Tầng 1: Gara, phòng khách, WC.Tầng 3, 4, 5, 6: Các phòng đẹp tối ưu công năng.Tầng 7: Phòng thờ, sân phơi. - Khu vực dân trí cao, an ninh tốt. - Sổ đỏ phân lô vuông đẹp.Giá chào 17 tỷ thương lượng sâu.Mọi chi tiết xin liên hệ 24/7, miễn phí 100% - 0366 555 258.",14/02/2022,Tin thường,batdongsan_so_com_vn_1673832259.0999372,,,,
,đại tuwfddaij kim ha noi, 56m2,,"+Mảnh đất vuông đẹp còn sót lại,nằm ngay mặt ngõ,ngõ thông,ô tô tránh. +Mấy bước ra chợ,ra phố Đại Từ,khu vực ngập tràn tiện ích. +Phù hợp vừa ở vừa kinh doanh gì cũng tiện. +Gía trị tăng cao khi AEON Hoàng Mai khánh thành +View hồ Đại Từ,Hồ linh Đàm,kết nối KĐT Đại Kim,Linh Đàm. +Giao thông thuận tiện : gần bến xe Nước Ngầm,vành đai 3,cao tốc Pháp Vân. +Di chuyển nhanh vào TTTP với nhiều ngả đường. +Sổ vuông đẹp sẵn sàng giao dịch. +GIÁ 6.8 tỷ có thương lượng. +LH Mr Phúc 0978.895.889zalo-0912.338.038 ",14/02/2022,Tin thường,batdongsan_so_com_vn_1673832260.2229307,,,,
15 tỷ VNĐ,Hà Nội, 79m2,,"Bán nhà 6 tầng vỉa hè to, kinh doanh tốt, phố Thái Thịnh, tặng toàn bộ đồ nội thất - LH: 0856 968 656. - Diện tích 79m2 x 6 tầng - thiết kế đẹp ở luôn có cầu thang máy. - Kết cấu móng nhà, ép cọc, khung bê tông cực kỳ chắc chắn.  + Tầng 1: Phòng khách + bếp + WC, để xe ô tô, xe máy, làm văn phòng công ty.  + Tầng 2, 3, 4, 5: Các phòn đẹp được lát sàn gỗ, nội thất cao cấp.  + Tầng 6: Phòng thờ + chỗ để máy giặt + sân phơi. - Cầu thang máy hàng nhập ngoại - Cầu thang bộ gỗ Lim - Tủ bếp gỗ, thiết bị vệ sinh Toto - Nội thất cao cấp. - Nhà nằm trong khu chia lô, cán bộ cao cấp, ngõ to thông thoáng, xe ô tô ra vào thoải mái, dân trí cao, an ninh tốt. - Có bãi gửi xe gần nhà - Và các trường ĐH - kinh tế Quốc Dân, ĐH Bách Khoa, BV Bạch Mai, bến xe Giáp Bát, hồ Đền Lừ.Giá chào bán chỉ 15 tỷ gặp trực tiếp chủ nhà trao đổi, thương lượng về giá, bao phí sang tên sổ đỏ, tặng full nội thất xịn.Liên hệ 24/7, miễn phí 100%: Thanh Bình Land giáo sư thổ cư - 0856 968 656.",14/02/2022,Tin thường,batdongsan_so_com_vn_1673832262.790758,,,,
