price,address,Diện tích,Số tầng,Details,Ngày đăng,Loại tin,id,Mặt tiền,Số phòng ngủ,Lộ giới,Số toilet
"4,1 tỷ VNĐ",Quang Trung- Hà Đông, 52m2, 4,"Bán gấp nhà Quang Trung, Hà Đông, ô tô, ngõ thông , 52m, 4 tầng + Chủ gửi bán nhà đẹp trước tết, nhà tự xây vô cùng chắc chắn, gần phố, ngõ thoáng với 4 tầng rộng đẹp, ban công đón nắng gió, tầm tiền khu vực không có căn thứ 2. + Nhà nằm trên trục chính nối liền các tuyến phố quan trọng bậc nhất Hà Đông: Văn Phú, Lê Trọng Tấn, Phan Đình Giót, Ngô Thì Nhậm, Văn Quán,..  + Khu vực rất hiện đại đầy đủ : trường học, siêu thị, ngân hàng, ... + Chủ thiện chí cần bán gấp để mở rộng kinh doanh. + Sổ đỏ vuông đẹp như viên gạch, pháp lý sạch + Giá chỉ 4.1 tỷ ( có thương lượng). - Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 10 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.         - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý.",19/01/2022,Tin thường,batdongsan_so_com_vn_1673832686.950665,,,,
"6,3 tỷ VNĐ",Quang Trung- Hà Đông, 62m2, 5,"Nhinh 6 tỷ, Quang Trung, Hà Đông, ô tô tránh, kinh doanh, ngõ thông, 62mx5T Chủ nhà cần tiền bán gấp trước tết nhà rất đẹp, tự xây khung cột chắc chắn, nhà 3 mặt thoáng sáng, cửa sổ ban công mát mẻ, nhà hiện đại thiết kế sang trọng, 5 tầng rộng đẹp. Ngõ rộng thông, ô tô vào nhà, vừa ở- kinh doanh hoặc cho thuê văn phòng quá đẹp, khu vực không có căn thứ 2. Giao thông di chuyển các phố: Cầu Đơ, Lê Hồng Phong, Tô Hiệu, Bà Triệu, Lê Lợi, Hoàng Hoa Thám,... gần bến xe bus,vài bước ra phố. Xung quanh đầy đủ tiện ích: Trường học, chợ, bệnh viện lớn, ngân hàng, siêu thị Big C,...Hàng xóm toàn quan chức, khu văn minh, an ninh tuyệt đối. Giá: 6.3 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ ngay với em Huyền địa ốc KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.- Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",19/01/2022,Tin thường,batdongsan_so_com_vn_1673832688.0856256,,,,
"6,25 tỷ VNĐ",Cầu Đơ- Hà Đông, 61m2, 5,"Bán nhà đẹp gần chợ Hà Đông, 61mx5 tầng, kinh doanh, ô tô tránh Căn nhà nằm vị trí đắc địa trung tâm Quận Hà Đông khu vực đáng sống bậc nhất, nổi tiếng môi trường trong lành, dân trí cao quan chức về đây rất nhiều như quần long tụ tụ, xung quanh đầy đủ tiện ích không thiếu thứ gì. Nhà bán rất đẹp chủ tự xây khung cột chắc chắn, 3 mặt thoáng, các tầng cửa sổ ban công giếng trời rất đẹp, phong cách hiện đại, khu vực không có căn thứ 2, đường trước nhà ô tô tránh, kinh doanh- ở rất sướng. Giao thông thuận lợi di chuyển các phố: Văn Quán, Lê Lợi, Nhuệ Giang, Cầu Đơ, Hà Cầu, Bà Triệu, Tô Hiệu, gần bến xe bus, bệnh viện lớn, ngân hàng, trường học các cấp... Giá: 6.25 tỷ ( có thương lượng). Sổ đỏ vuông, pháp lý sạch. Liên hệ: Em Huyền ( Cháu gái chủ nhà) 0965472910- 0363703491- Miễn trung gian.",19/01/2022,Tin thường,batdongsan_so_com_vn_1673832689.102905,,,,
"2,75 tỷ VNĐ","vân canh ,hoài đức", 32m2,,"Đường vào sạch sẽ, rộng rãi, ô tô 7 chỗ đỗ cổng. Ngõ thông sang KĐT Hud Vân Canh, giao thông tiện đi khắp ngả 422B, Trịnh Văn Bô, Phương Canh, Xuân Phương, Mỹ Đình. Xung quanh tiện ích phong phú khi gần trụ sở chính quyền, trường học các cấp, chợ dân sinh. Nhà nổi bật với thiết kế hiện đại, vật tư hoàn thiện cao cấp được bảo hành chính hãng 1-5 năm. Có sân để xe riêng sạch sẽ, an ninh tuyệt đối. Là khu vực đang được săn đón và cực tiềm năng khi Hoài Đức sắp lên quận. Giá chào chỉ 2 tỷ 750 triệu (khách và chủ thương lượng trực tiếp). Sổ đỏ đẹp cất két sẵn sang tên. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn từ A->Z và xem thêm miễn phí hàng trăm căn thổ cư ở nhiều mức giá: 0932382236",19/01/2022,Tin thường,batdongsan_so_com_vn_1673832690.1630702,,,,
"1,65 tỷ VNĐ","Chính chủ bán CHCC tại Vinhomes Smart City, P.Tây Mỗ, NTL, 1,65tỷ; 0909255686", 43m2,,"Chính chủ bán CHCC tại Vinhomes Smart City, P.Tây Mỗ, NTL, 1,65tỷ; 0909255686 Diện tích: 42,7 m2. Căn S401.0906 (Căn số 6, lầu 9), gồm 1 phòng ngủ +1PK , 1 wc.View đẹp thoáng mát, không bị chắn bởi các tòa nhà. Nội thất cơ bảnVinhomes Smart City phong thủy đẹp, khuôn viên ở đẹp, nhiều tiện ích, hồ điều hòa, thuận tiện giao thông . Khu an ninh tốt, giao thông thuận tiện, dân trí cao Gần trường, gần chợ, gần các tiện ích xung quanh Giá bán: 1,650 tỷ. Có thương lượngLiên hệ chính chủ: Chị Quỳnh 0909255686      http://www.sanbatdongsanviet.com.vn",19/01/2022,Tin thường,batdongsan_so_com_vn_1673832691.2501602,,,,
"6,69 tỷ VNĐ","Cầu Đơ, p.Hà Cầu, Q.Hà Đông, TP Hà Nội", 65m2, 5," HOA KHÔI CẦU ĐƠ- HÀ ĐÔNG- Ô TÔ ĐỖ CỬA - NHÀ ĐẸP LONG LANH - KINH DOANH SẦM UẤT Dt 58/65 m x 4 tầng, Giá 6.69 tỷ Mô tả:- Nhà thiết kế 4 tầng chắc chắn hiện đại theo kiểu tầng lệch, trong cùng giếng trời rất thoáng, ánh sáng vào nhà. Nhà đẹp long lanh, phong thủy hữu tình.- Căn nhà có vị trí cực đẹp đi vài bước ra tới Phố Quang Trung, đường rộng , ô tô vào tận cửa . Gần trường cấp 1, cấp 2 Lê Hồng Phong, UBND P Hà Cầu , Công An Phường Hà Cầu . Xung quanh tiện ích dân sinh đầy đủ, khu dân trí cao, an ninh cực tốt .- Vị trí nhà quá đẹp kinh doanh các loại mặt hàng, ngõ thông tứ lung tung ra các Phố Lê Hồng Phong, vài bước ra phố Quang Trung.- Sổ đỏ Ssgd- LH Ms Hạnh 0986116707",19/01/2022,Tin thường,batdongsan_so_com_vn_1673832692.219567, 3, 4,,
1 tỷ VNĐ,Đại Lộ Thăng Long, 60m2,,"Chính chủ bán gấp lô đất trục chính Tân Xã. Xung quanh đã kinh doanh thuê trọ, gần CNC, cách ĐH FPT 5P di chuyển. LH ngay 0399007203.Chính chủ cần bán lô đất trục chính thôn xã Tân Xã, Thạch Thất Hoà Lạc đường rộng mở rộng. Cách CNC chỉ 500m, ĐH FPT chỉ 2km.- Diện tích 60m2 mặt đường trục chính rộng 8m.- Cách vành đai CNC chỉ 200m, CNC 500m, đh FPT 1,3km.- Vị trí đắc địa phù hợp kinh doanh tạo dòng tiền như cửa hàng, nhà trọ.- Tiềm năng tăng giá cao, đường thông, rộng rãi.- Vị trí đất thoáng, mặt trước thoáng mát.- Phù hợp xây ở hoặc làm dịch vụ kinh doanh, thanh khoản cho cán bộ, kỹ sư, giảng viên khu CNC và các trường đại học.- Dân cư đông đúc, dân trí cao, kinh doanh nhà trọ.- Dãy đường có đèn cao áp chiếu sáng.- LH chính chủ hoặc add zalo 0399007203.",09/01/2022,Tin thường,batdongsan_so_com_vn_1673832693.4841833, 5,, 6,
5 tỷ VNĐ,Đinh Công, 113m2,,"Bán đất mặt đường 30m DA Đại Kim - Định Công - 0943.513.555 Tôi đang sở hữu 1 Ô Liền kề mặt đường 30m KĐT  Đại Kim Đinh Công MR diện tích: 113m2, Vị trí đẹp cần chuyển nhượng gấp liên hệ ngay để biết chi tiết : 0943.513.555 Mặt đường 30m, trục chính nối 2  nối Đường Vành Đai 2.5 sang đường vành đai 3, Vị Trí đẹp, Chốt ô chốt số vào luôn HĐ trực tiếp với chủ đầu tư giá chỉ 7x Triệu/m2 cam kết giá không thay đổi cho đến khi nhận SĐ, Đã đầy đủ pháp lý:( Giấy CN đầu tư, TL 1:500, hợp đồng BT, phê duyệt kiến trúc sơ bộ) cam kết Quý IV năm 2022 san lấp xong và bàn giao mốc giới. Nhận sổ đỏ ngay khi xây xong nhà Dự án nằm trên trục của đường vành đai 2,5, ở ngay cửa ngõ giao thông phía Nam của TP. Hà Nội, gần trục đường Giải Phóng – Quốc Lộ 1A, gần đường vành đai 3. Ngoài ra, dự án còn gần các địa điểm lớn như: Bệnh viện Bưu Điện, Bệnh Viện Bạch Mai, Bênh Viện Tai Mũi Họng Trung Ương, Bênh Viện Nhiệt Đới Trung Ương, Bệnh Viện Nội Tiết, Bệnh Viện Đại Học Y Hà Nội, Bến xe Giáp Bát, Bến xe Nước Ngầm; … CƠ HỘI ĐẦU TƯ SINH LỜI NHANH TẠI DỰ ÁN  KĐT ĐẠI KIM ĐỊNH CÔNG VỊ TRÍ ĐẮC ĐỊA - PHÁP LÝ ĐẦY ĐỦ - THANH KHOẢN NHANH ✔️ Khu đô thị đồng bộ và hiện đại duy nhất VỊ Trí Vàng- Gần Sát Trung Tâm. ✔️ Hội tụ đầy đủ điều kiện của 1 dự án tiềm năng. ✔️ Các sản phẩm đất nền sổ đỏ liền kề, biệt thự, nhà phố. ✔️ Diện tích : 113m2 Thông tin chi tiết về dự án: Địa điểm: Phường Định Công và Phường Đại Kim, Quận Hoàng Mai, TP. Hà Nội. Được khởi công ngày 19/03/2014, hiện đang công tác san lấp và giải phóng mặt bằng. Chủ đầu tư cam kết tiến độ như sau: Tổ chức thực hiện công tác GPMB . Dự kiến bắt đầu quý IV/2021. Đặc biệt dự án khu đô thị mới Đại Kim Định Công gắn liền với đường Vành Đai 2,5 hiện tại đang GPMB nốt đoạn từ Sông Lừ nối sang Kim Đồng - Tân Mai dự kiến thông đường vào cuối năm 2021. Tháng 7/2021 có 13 hộ dân phường Thịnh Liệt đã nhận tiền đền bù và bàn giao mặt bằng. Hiện chỉ còn một ít hộ dân Phường Định Công đang có kế hoạch GPMB vào đầu năm 2022.Bàn giao mốc giới ô đất trên thực địa: Quý IV/2022. *** Tiến độ đóng tiền: + Đợt 1: Đóng 50% ngay khi ký HĐ. + Đợt 2: Đóng 20% khi triển khai công tác GPMB. + Đợt 3: Đóng 20% khi triển khai san lấp MB, triển khai hạ tầng. + Đợt 4: Đóng 10% khi nhận mốc giới. Hoăc xem chi tiết tai :  https://thongtindautu.info/ hoặc  https://daikimdinhcong.net/  ",09/01/2022,Tin thường,batdongsan_so_com_vn_1673832694.617153,,,,
16 tỷ VNĐ,Điện Biện Phủ - Ba Đình - Hà Nội, 45m2,,"Bán nhà phố Điện Biên Phủ quận Ba Đình, CỰC ĐẸP ĐÓN TẾT, oto đỗ ngày đêm. 16 tỷ. Mô tả Bán nhà phố Điện Biên Phủ quận Ba Đình, CỰC ĐẸP ĐÓN TẾT, oto đỗ ngày đêm. 16 tỷ.+ Sổ đẹp, phân lô sẵn sàng giao dịch.+ Vị trí trung tâm Ba Đình, khu vực hiếm nhà bán, phân lô quân đội hàng xóm toàn cán bộ cao cấp.+ Gần Nguyễn Tri Phương, vài bước chân ra Vườn Hoa Lênin thư giãn, tập thể dục...+ Nhà có 2 mặt thoáng, phía sau là sân rộng.+ Tầng 2 phòng, vệ sinh giữa, tổng 3 PN, 3WC. Chủ tự xây trên 10 năm nhưng vẫn chắc chắn, thiết kế hiện đại, thiết bị vệ sinh cao cấp.+ Chủ cực thiện chí, có thương lượng.Lh: Minh Hoàng 0902253303.",19/01/2022,Tin thường,batdongsan_so_com_vn_1673832695.6793113, 5,,,
"20,9 tỷ VNĐ",Hồ Đắc Di, 70m2,,"+Vị trí siêu đẹp Lô góc 1 mặt ngõ to view mặt hồ không gian đẹp tương đương hồ Hoàn kiếm. +Mặt Hồ Đác Di kinh doanh sầm uất sang chảnh, không khí thoáng đãng vô cùng +Xung quanh tiện ích bạt ngàn gần trường, chợ, siêu thị không thiếu thứ gì. + Nhà thiết kế 4 tầng nổi, 1 tầng hầm, khung cột bê tông chắc chắn, nội thất sang trọng để lại hết cho khách mua. Điều hòa âm trần, thiết bị vệ sinh tự động cao cấp, sàn gỗ, cầu thang gỗ, bàn ghế, tủ bếp...để lại hết cho khách mua. + Nhà thiết kế mỗi tầng 2 phòng, cầu thang giữa, thoáng sáng, từ tầng 2 đua ra rộng. +Sổ đỏ nở hậu, sẵn sàng giao dịch +Giá 20.9 tỷ - Có thương lượng +Để được dẫn xem nhà các B Liên hệ : Ms Dung 0989558620 - Chuyên môi giớI nhà đất thổ cư - nhà mặt phố Hà Nội hỗ trợ thủ tục pháp lý mua bán - chuyển nhượng miễn phí.",22/12/2021,Tin thường,batdongsan_so_com_vn_1673832697.3967164,,,,
