price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Hướng,Mặt tiền,Lộ giới,Số tầng,Số phòng ngủ,Số toilet
35 triệu VNĐ/m2,279 Hoàng Mai, 77m2,"#FELIZ_HOMES_HOANG_MAI Chính sách bán hàng:👉Miễn 2% kinh phí bảo trì, 1 năm phí dịch vụ👉Hỗ trợ lãi suất 0% 18 tháng, Ân hạn nợ gốc 👉Vay 75% thời gian 25 nămBáo giá các căn hộ đẹp nhất dự án:Căn hộ 2PN – 77m2 giá từ 2,8 tỷCăn hộ 3PN diện tích 97m2 giá từ 3.25 tỷCăn hộ 3PN diện tích 108m2 ( căn góc ) view thành phố, view Hồ Đền giá từ 3.6 tỷ️🍀TIỆN ÍCH PHỤC VỤ ĐỜI SỐNG:+ Bệnh viện Bạch Mai: 5Km+ Hồ Hoàn Kiếm: 6Km+ Đại học Bách Khoa – KT Quốc Dân: 3Km+ Trường TH, THCS Mai động+ Công viên Thống Nhất: 4Km+ Bến xe Giáp Bát: 3Km+ TTTM Metro Hoàng Mai: 2Km🔑Theo các cụ xưa có câu “Gia hòa vạn sự hưng”, gia chủ tâm trạng vui vẻ, gia đình hòa mục, các thành viên đoàn kết yêu thương nhau, đó chính là phong thủy tốt, tiền bạc tài lộc gia tăng tiến đời sau vượng hơn đời trước,Nhận nhà: quý IV /2022 Với những hạ tầng và không gian sống thanh khiết 365 +1 bậc nhất giấc mơ nhiệt đới ước vọng cổ tích không còn là xa vời .Phong thủy , cây cối đâm chồi nảy lộc , mưa thuận gió hòa .Nốt nhạc xanh cho tổ ấm hồng. ☎️Hotline Phòng BH trực tiếp CĐT: 0983.223.911 – 0818.978.979#FelizHomes#Felizhomes279hoangmai#Felizhomes92maidong ",10/01/2022,Tin thường,batdongsan_so_com_vn_1673833132.0925615,,,,,,
,"di trạch, hoài đức, hà nội", 68m2,"👉👉 Bạn muốn có không gian thoáng để ở , oto vào sân👉👉 Đường thoáng trước sau , ngõ thông tứ phía , oto đỗ cửa👉👉 An ninh tốt , dân trí cao , dân cư đông đúc🔴🔴 Hiện mình có 1 căn nhà phù hợp tất cả tiêu chí bạn đề raThông tin chi tiết: 👇 - Diện tích: 67.8m2 - Mặt tiền: 3.2m2, nở hậu - 2 mặt tiền hướng chính Đông Nam - Đường trước nhà 6m, đường sau nhà 4m - Vị trí siêu đẹp: khu bộ đội xuất ngũ, khu vực phát triển mạnh, đầu mối giao thông nhanh chóng ra đường 32 và đường vành đai 3.5 - Phù hợp để ở, kinh doanh và đầu tư cực đỉnh - Sát Khu đô thị Hidone, trung tâm huấn luyện thể thao, trường Đại Học công nghiệp, Đại học thành Đô… - Tầng 1: PK và bếp - Tầng 2: 2PN - Tầng 3: Phòng thờ, Sân Phơi. - Sổ đỏ vuông vắn, sẵn sang giao dịch - Giá thương lượng chính chủ, thấp nhất khu vực Mảnh đất hứa hẹn đem lại sự đột biến lớn khi nằm gần các khu tiện ích và tuyến đường 3.5 dần hình thành -Nhấc máy gọi ngay Mr Thắng 0328335312",10/01/2022,Tin thường,batdongsan_so_com_vn_1673833133.4210188, Đông nam, 3, 6, 3, 2, 2
"3,65 tỷ VNĐ","P.Ngọc Thụy, phường Ngọc Thụy, Long Biên.", 35m2,"Mô tả: + Nhà cách ô tô tránh 10m.+ Nhà 5 tầng cực đẹp, khách mua về đón tết thì đẹp hết nấc.+ Nhà đẹp, chủ để lại full nội thất.Tầng 1: khách + bếp + wc.Tầng 2 3 4: mỗi tầng 1 phòng + wc khép kín.Tầng 5: sân phơi.+ Sổ nét căng. Giao dịch trong ngày.Lh : E Mai 0983724773.",10/01/2022,Tin thường,batdongsan_so_com_vn_1673833134.90105,,,,,,
,tây thăng long, 82m2,"Bán đất đấu giá Tây Tựu, Trung Tựu, mặt tiền đường Tây Thăng Long, Bắc Từ Liêm. Chúng tôi có 1 số lô suất ngoại giao độc quyền vị trí đẹp giá tốt, hàng hiếm shophouse 2 mặt tiền duy nhất tại Hà Nội. Chủ đầu tư: Liên minh Xuân Trường Hoành Bồ, Sao Sáng, Phúc Minh Thăng Long. Vị trí: Mặt đường ngay Tây Thăng Long, Tây Tựu, nút giao với trục đường 45m kết nối với quốc lộ 32 chạy ra ga tàu điện ngầm Nhổn. - Cách Hồ tây chỉ 9 phút di chuyển (khoảng 7km). - Nằm cách đường Văn Tiến Dũng 1.6 km. - Cách Vinhomes Đan Phượng 2.1 km. - Nằm cạnh dự án đất dịch vụ 6.5 ha. - Nằm cạnh trường Đại Học Công Nghiệp Cơ Sở 2. - Xung quanh đang xây trường Tiểu học và trung học cơ sở, bệnh viện - Đối diện là Vincom megamall Chi tiết: Diện tích lô: 82.5m2 - 139m2. + Mặt tiền 5.5m. Xây chiều cao 5 tầng. + Loại hình sở hữu: Sổ đỏ vĩnh viễn. Tiến độ thanh toán hợp lý! Giá ngoại giao chỉ từ 75 triệu/m2. Cam kết giá rẻ nhất thị trường, Thông tin mua bán chính xác, Thủ tục chuẩn từ chủ đầu tư, Hỗ trợ và bao trọn phí dịch vụ sang tên từ A tới Z.",21/12/2021,Tin thường,batdongsan_so_com_vn_1673833136.1658218, Tây nam, 5, 12,,,
,"di trạch, Hoài đức, hà nội", 76m2,"Chủ nhà cần sang tên lô đất dịch vụ đợt 1 Xã Di Trạch Hoài Đức . Diện tích: 142.9m, mặt tiền:  8m, chia 2 được, Lô số 14, hướng: TB Diện tích:75.7m, mặt tiền: 7m, hướng: ĐN Diện tích: 105m, mt 7m, lô số 23 Diện tích: 79.2m, mt 7.9m, lô số 23 Hồ sơ đẹp ký trực tiếp chủ nhà Cơ sở hạ tầng hoàn thiện mặt bằng trải nhựa,  đã chia ô ngoài thực địa Di chuyển ra đường 3.5 và đường 32 vài phút Cạnh  khu đô thị Hidone,  UBND xã , Trường Học giá đầu tư .... Lh mr Thắng: 032.833.5312",21/12/2021,Tin thường,batdongsan_so_com_vn_1673833137.2978547, Đông nam, 7, 11,,,
"5,75 tỷ VNĐ","Bán nhà ngõ 29 Vĩnh Tuy, Bán Nhà Ngõ 120 Vĩnh Tuy, Bán nhà ngõ 622 Minh Khai", 55m2,"Bán nhà ngõ 120 Dương Văn Bé thông Minh Khai. Diện tích 55m2, mặt tiền 4m, nhà xây mới 5 tầng, mặt ngõ thông kinh doanh tốt. Thiết kế hiện đại: Tầng 1 là thiết kế thông sàn, kinh doanh tốt và Bếp Phòng ăn. Tầng 2 là phòng khách rộng, sang trọng. Tầng 3,4 thiết kế mỗi tầng 2 phòng ngủ lớn, vệ sinh giữa. Tầng 5 là phòng thờ và sân phơi. Nhà mặt ngõ rộng, nội thất hiện đại sàn gỗ nhập khẩu, hệ thống tủ bếp đầy đủ. Nhà xây khung cột bê tông chắc chắn. Hệ thống tiết kiệm điện toàn bộ nhà. Vị trí đẹp, ngõ thông tiện kinh doanh. Nhà cực thoáng mát. Gần nhiều trường Tiểu học Vĩnh Tuy, ĐH Kinh doanh công nghệ. Sát CC Times City. SĐCC, Giá bán 5.75 tỷ (có thương lượng) liên hệ chị yến ĐT:0702138238",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833138.340074,, 4, 3, 5, 5, 4
"5,75 tỷ VNĐ","Bán nhà ngõ 29 Vĩnh Tuy, Bán Nhà Ngõ 120 Vĩnh Tuy, Bán nhà ngõ 622 Minh Khai", 55m2,"Bán nhà ngõ phố Vĩnh Tuy HBT Hà NộiDiện tích 55m2, mặt tiền 4m, nhà xây mới 5 tầng, mặt ngõ thông kinh doanh tốt. Thiết kế hiện đại: Tầng 1 là thiết kế thông sàn, kinh doanh tốt và Bếp Phòng ăn. Tầng 2 là phòng khách rộng, sang trọng. Tầng 3,4 thiết kế mỗi tầng 2 phòng ngủ lớn, vệ sinh giữa. Tầng 5 là phòng thờ và sân phơi. Nhà mặt ngõ rộng, nội thất hiện đại sàn gỗ nhập khẩu, hệ thống tủ bếp đầy đủ. Nhà xây khung cột bê tông chắc chắn. Hệ thống tiết kiệm điện toàn bộ nhà. Vị trí đẹp, ngõ thông tiện kinh doanh. Nhà cực thoáng mát. Gần nhiều trường Tiểu học Vĩnh Tuy, ĐH Kinh doanh công nghệ. Sát CC Times City. SĐCC, Giá bán 5.75 tỷ (có thương lượng) liên hệ chị yến ĐT:0702138238",08/01/2022,Tin thường,batdongsan_so_com_vn_1673833140.0106049, Tây, 4, 3, 5, 5, 4
"4,7 tỷ VNĐ","Bán nhà ngõ 41 Hồ 3 Mẫu, Bán nhà ngõ 98 Xã Đàn, Bán nhà ngõ 360 Xã Đàn", 35m2,"BÁN NHÀ CÁCH MẶT HỒ BA MẪU 30M, NGÕ RỘNG 3M, 35M2 LÔ GÓC 2 MẶT NGÕ, 5 TẦNG,giá 4.7 tỷ.- Vị trí : từ nhà ra Hồ Ba Mẫu chỉ 20m, từ tầng 3 lên tầng 5 ra ban công có thể thấy Hồ Ba Mẫu, nhà lô góc 2 mặt ngõ rộng 3m cực kì rộng rãi và sáng thoáng, khách đến chơi để xe bên ngoài thoải mái, cách cụm đại học Bách- Kinh- Xây và viện Bạch Mai 1km- Diện tích : 35 m2- Mặt tiền : 5.25 m- Xây dựng : 5 tầng khung cột, mở được cửa sổ cả 2 mặt ngõ+ Tầng 1 : phòng khách, bếp, wc+ Tầng 2, 3, 4 : mỗi tầng 1 phòng, 1 wc+ Tầng 5 : phòng thờ, sân phơi- Nội thất : cửa và tay vịn cầu thàng gỗ Lim Nam Phi; sàn gỗ Malaysia; trần thạch cao Vĩnh Tường; hệ thống đèn led chiều sáng toàn bộ căn nhà; rèm cửa Hàn Quốc; kệ ti vi, sofa + bàn, tủ bếp, tủ quần áo, giường làm từ gỗ An Cường; thiết bị vệ sinh TOTO; Thiết bị bếp, 2 tivi, 1 điều hòa, quạt trần, toàn bộ là đồ nhập khẩu ( đầy đủ hóa đơn, bảo hành ở Nguyễn Kim )- Pháp lý : sổ đỏ chính chủ- Giá : 4.7 tỷ ( có thương lượng ) liên hệ chị Yến ĐT:0702138238",10/01/2022,Tin thường,batdongsan_so_com_vn_1673833141.1575375, Đông nam, 5, 3, 5, 3, 4
"5,5 tỷ VNĐ",Phố Trần Phú, 45m2,"SIÊU PHẨM! SIÊU HIẾM! PHÂN LÔ CÁN BỘ HỌC VIỆN AN NINH, TRƯỚC NHÀ Ô TÔ TRÁNH, NHÀ 2 MẶT THOÁNG TRƯỚC SAU. + Vị trí nhà nằm trong ngõ 121 Trần Phú nằm giữa Phố Chiến Thắng và Học Viện An Ninh, Ngõ 121 là khu phân lô VIP tướng tá bên An ninh ở, khu vực an ninh, an sinh đỉnh cao, văn minh, phân lô ô tô tránh, xung quanh đỗ vài chục chiếc xe ô tô thoải mái. + Nhà cách mặt phố trần phú 68m, trước nhà ô tô tránh, ô tô đỗ ngoài thoải mái, cả khu vẫn đỗ vài chục xe ngày đêm, an ninh tuyệt đối. + Nhà thiết kế tuyệt đẹp chủ xây tâm huyết, do kiến trúc sư thiết kế nên công năng sử dụng, thẩm mỹ thuyệt vời. - Tầng 1: Phòng Khách + bếp + WC. - Tầng 2 + 3 : 4 phòng ngủ + 2 wc - Tầng 4: Phòng thờ + Sân phơi. + Sổ đỏ chính chủ, pháp lý chuẩn sãn sàng sang tên. + Giá chào 5 tỷ 5 có thương lượng. + Liên hệ xem nhà 0902.08.31.39",10/01/2022,Tin thường,batdongsan_so_com_vn_1673833142.3553302,, 4,, 4, 4, 4
"1,4 tỷ VNĐ","Bùi Xương Trạch, Khương Đình", 35m2,"Cần bán căn nhà tại đường Bùi Xương Trạch, phường Khương Đình, quận Thanh Xuân giá hợp lí, chỉ 1,4 tỷ VNĐ. VỊ TRÍ ĐẸP, BA GÁC ĐỖ CỬA => VÀI BƯỚC CHÂN ĐƯỜNG Ô TÔ TRÁNH Vị trí đẹp, ba gác đỗ cửa cách mặt Phố ô tô tránh 30m nhà, trung tâm dân trí cao, an sinh tốt, đi ra Ngã Tư Sở cực gần. Thông tuyến: Khương Trung, Khương Hạ, Thượng Đình, Khương Đình, Vũ Tông Phan, Định Công Thượng, Kim Giang, Trần Hòa…. Đi ngã tư Sở hay tới cầu Dậu, lên đường vành đai 3, ra hồ Linh Đàm cũng rất thuận tiện. Trung tâm của các tiện ích: gần chợ Lủ, gần hồ điều hòa Đầm Chuối, gần trường học các cấp. an ninh đảm bảo, dân trí cao. Nhà vừa tầm tiền, diện tích 35m2 mặt tiền 3,8m, xây 2 tầng; tổng 2 phòng ngủ, phòng nào cũng có cửa sổ rất thoáng. Chủ nhà hiểu chuyện, hợp tác và cực kỳ tôn trọng khách, khách nên đến thăm quan để thấy độ đẹp, hiếm của khu vực. Đang chờ sổ, thửa đất nở hậu. Giá: 1,4 tỷ VNĐ Thanh Xuân giờ giá lên vù vù, ACE cô chú đi mua cứ mạnh dạn, nhanh chân là được! Liên hệ: Mr. Ngọc – 0344.978.570 (miễn phí xem nhà, miễn môi giới, trung gian). Hỗ trợ cho vay trả góp chỉ từ 7 triệu/tháng, thủ tục đơn giản, giải ngân nhanh.",10/01/2022,Tin thường,batdongsan_so_com_vn_1673833143.743618,,,, 2, 2,
