price,address,Diện tích,Details,Ngày đăng,Loại tin,id,Số phòng ngủ,Số tầng,Mặt tiền,Số toilet,Lộ giới,Hướng
17 tỷ VNĐ,Thái Hà - Đống Đa, 60m2,"Bán nhà phố Thái Hà, Đống Đa 60m, 7 TẦNG 5.5m mặt tiền, THANG MÁY, nhỉnh 17 tỷ. Vị trí: Phố Thái Hà phố vip, phố trung tâm giao thương, kinh doanh sầm uất nhất của quận Đống Đa. Đặc biệt nhà RẤT ĐẸP, RẤT HIỆN ĐẠI, MỚI XÂY 3 NĂM, Ở NGAY TẶNG LẠI NỘI THẤT. Tiện ích: Phố rộng, sạch đẹp, dân trí cao, vừa ở vừa kinh doanh văn phòng, thời trang, nhà hàng, cà phê, rất đa dạng. Vị trí trung tâm đắc địa gần các trường đại học Thủy Lợi, Ngân Hàng, Công Đoạn…vv. Các bệnh viện Bạch Mai, Bệnh viện Đại học Y Hà Nội…vv. Ga tàu điện Thái Hà, tiếp giáp các con phố kinh doanh sầm uất khác. Giao thông: Gần ngay Ngã Tư Sở, Thái Hà thông với Hoàng Cầu, Thái Thịnh, Tây Sơn, Chùa Bộc, Nguyễn Lương Bằng, Đặng Tiến Đông, Láng Hạ…vv. Pháp lý: Sổ đỏ vuông vắn chính chủ sẵn sàng thương lượng. Lh: A Hoàng 0902253303. Miễn trung gian môi giới. CĂN NHÀ VỪA Ở VỪA LÀM VĂN PHÒNG TẠI THÁI HÀ TRUNG TÂM ĐỐNG ĐA ĐÍCH THỰC LÀ ĐÂY!!!!!!",08/01/2022,Tin thường,batdongsan_so_com_vn_1673833218.2602699,,,,,,
"4,2 tỷ VNĐ",Lê Trọng Tấn- Hà Đông, 54m2,"Bán nhà dân xây, ngõ thông, nở hậu, 54m2, 6 ngủ rộng, Lê Trọng Tấn, Hà Đông Chủ gửi bán nhà trước tết do nhu cầu mở rộng kinh doanh cần vốn gấp, nhà vị trí đẹp thuận tiện di chuyển các phố: Văn Phú, Quang Trung, Tố Hữu, Phan Đình Giót, Văn La... Ngõ rộng thông, vài bước ra phố ô tô tránh, chủ nhà mua đất tự xây rất tâm huyết, các phòng thoáng sáng, tổng 6 ngủ rộng, nhà đẹp nhất khu, tầm tiền không có căn thứ 2. Xung quanh đầy đủ tiện ích: trường học các cấp, chợ, siêu thị, ngân hàng, cạnh Park City, dân cư đông đúc, văn minh, ở rất tĩnh. Giá: 4.2 tỷ ( có thương lượng). Sổ đỏ chính chủ, pháp lý chuẩn. Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",05/01/2022,Tin thường,batdongsan_so_com_vn_1673833219.4720268, 6,,,,,
4 tỷ VNĐ,La Khê- Hà Đông, 38m2,"Bán gấp nhà  kinh doanh, ô tô, ngõ thông, 38mx4T, La Khê, Hà Đông, lô góc chỉ 4 tỷ Người thân gửi bán gấp nhà đẹp, ngõ ô tô tránh, lô góc kinh doanh hiếm rất lý tưởng, khu vực tầm tiền không có căn thứ 2, nhà 3 mặt thoáng, dân cư qua lại tấp nập, kinh doanh đủ loại hình. Nhà xây khung cột chắc chắn, đầy đủ công năng sử dụng vừa ở vừa kinh doanh rất hợp lý, các tầng thoáng sáng, môi trường trong lành , xung quanh đầy đủ tiện ích: Ngân hàng, trường học các cấp, siêu thị, bệnh viện, công viên,...không thiểu thứ gì. Giao thông di chuyển thuận lợi các phố: Lê Trọng Tấn, , Văn Phú, Trần Đăng Ninh, Văn La,Ngô Thì Nhậm, Ngô Quyền,.....gần tuyết đường sắt Cát Linh trên cao, bến xe bus rất gần, vài bước chân ra phố. Giá: 4 tỷ ( có thương lượng). Sổ đỏ chính chủ, pháp lý chuẩn. Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",05/01/2022,Tin thường,batdongsan_so_com_vn_1673833220.5870435,, 4,,,,
"4,2 tỷ VNĐ",Quang Trung- Hà Đông, 52m2,"Bán nhà dân xây, ô tô, nở hậu, 52m2, 6 ngủ rộng, Quang Trung, Hà Đông Chủ gửi bán nhà trước tết do nhu cầu mở rộng kinh doanh cần vốn gấp, nhà vị trí đẹp thuận tiện di chuyển các phố: Văn Phú, Cầu Đơ, Tố Hữu, Phan Đình Giót, Văn La, Ngô Thì Nhậm... Ngõ rộng thông, vài bước ra phố ô tô tránh, chủ nhà mua đất tự xây rất tâm huyết, các phòng thoáng sáng, tổng 6 ngủ rộng, nhà đẹp nhất khu, tầm tiền không có căn thứ 2. Xung quanh đầy đủ tiện ích: trường học các cấp, chợ, siêu thị, ngân hàng, gần chợ lớn Hà Đông, dân cư đông đúc, văn minh, ở rất tĩnh. Giá: 4.2 tỷ ( có thương lượng). Sổ đỏ chính chủ, pháp lý chuẩn. Liên hệ ngay với em Huyền Thổ cư KINH NGHIỆM TRÊN 8 NĂM ( 0363703491- 0965472910) - Để sở hữu hàng nghìn ngôi nhà cùng khu vực, tiết kiệm THỜI GIAN - CÔNG SỨC - TIỀN BẠC.   - Tư vấn miễn phí 24/24h( zalo, fb). Tư vấn Pháp lý, vay vốn.",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833221.9134963, 6,,,,,
"5,9 tỷ VNĐ",Đống Đa, 55m2,"+ Vị trí lô góc 3 mặt thoáng, bên cạnh & sau nhà là sân & ngõ của hàng xóm nên coi như thoáng vĩnh viễn. + Nhà xây cực kỳ chắc chắn, chủ nhà chăm chút thường xuyên, thiết kế 1 tầng 2 phòng, cầu thang giữa. - Tầng 1: Sân để xe + Phòng Khách + Bếp + Khe thoáng sau nhà. - Tầng 2 + 3: 4 Phòng ngủ đều có cửa sổ thoáng sáng. - Tầng 4: Phòng thờ + 2 Sân phơi.  Liên hệ : 0966682624 ",08/01/2022,Tin thường,batdongsan_so_com_vn_1673833223.019537, 3, 4, 4, 3,,
"5,85 tỷ VNĐ",Đống Đa, 36m2,"+Nhà nằm cách mặt phố Đặng Tiến Đông vài chục mét. +Nhà thiết kế 5 tầng khung cột rất chắc chắn thửa đất vuông vắn, sổ đỏ chính chủ, sẵn sàng giao dịch. -Tầng 1 là phòng khách, phòng ăn, bếp, cầu thang và wc ở cuối bên trái. -Tầng 2, 3, 4 mỗi tầng một phòng ngủ khép kín. Tổng 3 phòng ngủ. -Tầng 5 là phòng thờ sân phơi rộng rãi. Liên hệ : 0966682624",08/01/2022,Tin thường,batdongsan_so_com_vn_1673833224.13261, 3, 5, 3, 3, 3,
"3,85 tỷ VNĐ","xuân phương ,nam từ liêm", 61m2,"Nhà rộng rãi, công năng đầy đủ còn có sân để xe sạch sẽ. Chủ là người yêu cái đẹp và biết hưởng thụ nên nội thất được đặt đóng tỉ mỉ và không gian trong nhà luôn xanh, sạch. Nhà cách ô tô chỉ chục mét và cách đường ô tô tránh chưa đến 100m. Ngay gần điểm giao cắt Xuân Phương, Phương Canh, Trịnh Văn Bô, thuận tiện đi Nhổn, Mỹ Đình, Tây Mỗ…. Xung quanh gần rất nhiều khu đô thị lớn, nhiều trường đại học, còn chợ dân sinh, siêu thị và trường học các cấp ở ngay sát nên tiện ích lớn nhỏ không thiếu thứ gì. Giá chào 3 tỷ 850 triệu (khách đàm phán trực tiếp với chủ). Sổ đẹp cất két, sẵn giao dịch. Cam kết nhà thật, việc thật 100% (hỗ trợ pháp lý và các vấn đề liên quan đến ngân hàng). Anh chị gọi em Sơn (thổ cư) để được tư vấn nhiệt tình và xem thêm miễn phí hàng trăm căn thổ cư khác 0932382236",08/01/2022,Tin thường,batdongsan_so_com_vn_1673833225.3213782,,,,,,
"4,7 tỷ VNĐ","Bán nhà ngõ 41 Hồ 3 Mẫu, Bán nhà ngõ 98 Xã Đàn, Bán nhà ngõ 360 Xã Đàn", 35m2,"BÁN NHÀ CÁCH MẶT HỒ BA MẪU 30M, NGÕ RỘNG 3M, 35M2 LÔ GÓC 2 MẶT NGÕ, 5 TẦNG,giá 4.7 tỷ.- Vị trí : từ nhà ra Hồ Ba Mẫu chỉ 20m, từ tầng 3 lên tầng 5 ra ban công có thể thấy Hồ Ba Mẫu, nhà lô góc 2 mặt ngõ rộng 3m cực kì rộng rãi và sáng thoáng, khách đến chơi để xe bên ngoài thoải mái, cách cụm đại học Bách- Kinh- Xây và viện Bạch Mai 1km- Diện tích : 35 m2- Mặt tiền : 5.25 m- Xây dựng : 5 tầng khung cột, mở được cửa sổ cả 2 mặt ngõ+ Tầng 1 : phòng khách, bếp, wc+ Tầng 2, 3, 4 : mỗi tầng 1 phòng, 1 wc+ Tầng 5 : phòng thờ, sân phơi- Nội thất : cửa và tay vịn cầu thàng gỗ Lim Nam Phi; sàn gỗ Malaysia; trần thạch cao Vĩnh Tường; hệ thống đèn led chiều sáng toàn bộ căn nhà; rèm cửa Hàn Quốc; kệ ti vi, sofa + bàn, tủ bếp, tủ quần áo, giường làm từ gỗ An Cường; thiết bị vệ sinh TOTO; Thiết bị bếp, 2 tivi, 1 điều hòa, quạt trần, toàn bộ là đồ nhập khẩu ( đầy đủ hóa đơn, bảo hành ở Nguyễn Kim )- Pháp lý : sổ đỏ chính chủ- Giá : 4.7 tỷ ( có thương lượng ) liên hệ chị Yến ĐT:0702138238",08/01/2022,Tin thường,batdongsan_so_com_vn_1673833226.584001, 3, 5, 5, 4, 3, Đông nam
"4,7 tỷ VNĐ","Bán nhà ngõ 41 Hồ 3 Mẫu, Bán nhà ngõ 98 Xã Đàn, Bán nhà ngõ 360 Xã Đàn", 35m2,"BÁN NHÀ CÁCH MẶT HỒ BA MẪU 30M, NGÕ RỘNG 3M, 35M2 LÔ GÓC 2 MẶT NGÕ, 5 TẦNG,giá 4.7 tỷ.- Vị trí : từ nhà ra Hồ Ba Mẫu chỉ 20m, từ tầng 3 lên tầng 5 ra ban công có thể thấy Hồ Ba Mẫu, nhà lô góc 2 mặt ngõ rộng 3m cực kì rộng rãi và sáng thoáng, khách đến chơi để xe bên ngoài thoải mái, cách cụm đại học Bách- Kinh- Xây và viện Bạch Mai 1km- Diện tích : 35 m2- Mặt tiền : 5.25 m- Xây dựng : 5 tầng khung cột, mở được cửa sổ cả 2 mặt ngõ+ Tầng 1 : phòng khách, bếp, wc+ Tầng 2, 3, 4 : mỗi tầng 1 phòng, 1 wc+ Tầng 5 : phòng thờ, sân phơi- Nội thất : cửa và tay vịn cầu thàng gỗ Lim Nam Phi; sàn gỗ Malaysia; trần thạch cao Vĩnh Tường; hệ thống đèn led chiều sáng toàn bộ căn nhà; rèm cửa Hàn Quốc; kệ ti vi, sofa + bàn, tủ bếp, tủ quần áo, giường làm từ gỗ An Cường; thiết bị vệ sinh TOTO; Thiết bị bếp, 2 tivi, 1 điều hòa, quạt trần, toàn bộ là đồ nhập khẩu ( đầy đủ hóa đơn, bảo hành ở Nguyễn Kim )- Pháp lý : sổ đỏ chính chủ- Giá : 4.7 tỷ ( có thương lượng ) liên hệ chị Yến ĐT:0702138238",06/01/2022,Tin thường,batdongsan_so_com_vn_1673833227.6731408, 3, 5, 5, 4, 3, Đông nam
"10,5 tỷ VNĐ","Bán nhà ngõ 17 Tạ Quang Bửu, Bán nhà ngõ 100 Trần Đại Nghĩa, Bán nhà ngõ 48 Tạ Quang Bửu", 60m2,"Bán nhà PL Giảng viên ĐH Bách Khoa, Hai Bà Trưng. Nhà năm trong khu phân lô Giảng Viên ĐH Bách Khoa, phố Tạ Quang Bửu. Diện tích 60m2, nhà xây 4 tầng kiên cố chắc chắn, đường trước nhà 2 ô tô tránh nhau, vỉa hè rộng. Thiết kế hiện đại gồm sân vườn phía trước, Khách, Bếp và 4 PN, 4 Vệ Sinh. Nội thất hiện đại, sàn gỗ, cầu thang gỗ, hệ thống cửa làm bằng gỗ Lim nguyên khối, Hệ thống tiết kiệm điện. Vị trí đắc địa, cách MP Tạ Quang Bửu 10m, gần SVĐ Bách Khoa, Bể Bơi, Siêu thị Vinmart, gần 3 trường ĐH Lớn Bách Khoa – Xây Dựng – Kinh tế. Khu dân trí cao, an ninh tốt. SĐCC, Giá bán 10.5 tỷ ( có thương lượng) liên hệ chính chủ ĐT:0702138238",06/01/2022,Tin thường,batdongsan_so_com_vn_1673833228.868013, 4, 4, 3, 4, 8, Tây
"9,25 tỷ VNĐ","Bán nhà khu đô thị Đền Lừ 1, Bán Nhà khu đô thị Đền Lừ 2, bán nhà ngõ 147 Tân Mai", 48m2,"Bán nhà mặt chính phân lô Đền Lừ 2, Hoàng Văn Thụ Hoàng Mai. Diện tích 48m2, nhà xây 4 tầng mặt đường lớn, kinh doanh tốt.Nhà mặt tiền, vị trí mặt đường rộng 12m, vỉa hè 5m, gần Hồ Đền Lừ.Thiết kế hiện đại: - Tầng 1 cho thuê cửa hàng kinh doanh mặt tiền hoặc để xe ô tô - Tầng 2+3 mỗi tầng 2 phòng ngủ + 2wc. Cầu thang giữa. - Tầng 4 có sân phơi + 1 phòng thờ - Bếp có thể làm ở tầng 1 hoặc 4Nội thất hiện đại, Các phòng đều có ánh sáng tự nhiên. VỊ TRÍ: cực thuận tiện cho việc kinh doanh, phù hợp cho sinh hoạt gia đình, khu vực dân cư đông đúc, dân trí cao. - 100m tới trường cấp 1,2 Đền Lừ - 2p tới nhà thi đấu Hoàng Mai, hồ Đền Lừ, đường Tân Mai - 3p tới khu đô thị Louis Hoàng Mai, thẳng đường đối diện cổng KĐT Louis đi vào - 15p tới Times city, bệnh viện Bạch Mai, khu đại học Mở, Bách Khoa, - 10p tới đường vành đai 3Sổ Đỏ Chính Chủ, giá 9.25 tỷ có thương lượng liên hệ chị Yến ĐT:0702138238",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833230.0349412, 4, 4, 3, 4, 13, Đông nam
8 tỷ VNĐ,Phố Nguyễn Trãi, 45m2,"TRUNG TÂM THANH XUÂN - PHÂN LÔ - Ô TÔ TRÁNH - 2 THOÁNG - NHÀ ĐẸP ĐÓN TẾT + Chính chủ cần bán gấp nhà tại phố Nguyễn Trãi, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội + Liên hệ để biết giá tốt nhất : 0902.08.31.39 Diệ tích 45 m2 Nhà xây 5 tầng. Mặt tiền rộng 4.5m. Đường trước nhà ô tô tránh. + Vị trí nhà nằm trong khu phân lô Bộ Công an, phân lô Hội nhà văn Việt Nam, giao thông vô cùng thuận tiện thông thương các phố Nguyễn Trãi, Trần Phú, Nguyễn Xiển, Khuất Duy Tiến, Vành đai 3, tiện ích xung quang không thiếu thứ gì, gần nhiều trường từ mầm non đến đại học, khu vực dân trí cao an ninh tốt. + Nhà chủ tự thiết kế tâm huyết chắc chắn. Tầng 1: Gara ô tô + Bếp. Tầng 2: Phòng khách rộng. Tầng 3: 1 ngủ Master khép kín. Tầng 4: 2 ngủ + vệ sinh. Tầng 5: Phòng thờ + sân phơi. + Sổ đỏ vuông đẹp, chính chủ. + Liên hệ xem nhà: 0902.08.31.39",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833237.1311362, 4, 5, 4, 4,,
"8,5 tỷ VNĐ",Nguyễn Trãi, 54m2,"+ Mặt phố Nguyễn Trãi kinh doanh sầm uất, vị trí đắc địa nhiều người săn đón. Vỉa hè rộng, Kinh doanh đa năng. Nằm ngay đầu phố Phùng Khoang khu vực tập trung dân cư đông đúc, giao thông vô cùng thuận tiện, tiện ích bạt ngàn.+ Nhà xây 5 tầng BTCT, thiết kế tầng lửng tổng 4 phòng. Tầng 1 Kinh doanh.+ Trước dịch cho đơn vị bán Mĩ Phẩm thuê 32 triệu/tháng ở tầng 1, chủ ở tầng trên. Hiện tại dịch bệnh nên cho thuê cửa hàng quần áo giá hữu nghị 20 triệu/tháng + Diện tích thực tế do địa chính đo là 54.2m2, diện tích trên giấy tờ là 36m2+ Nhà đẹp ở ngay không cần phải sửa chữa+ Hướng Đông Nam cực kì thoáng mát+ Giá bán 8.5 tỷ ",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833238.2830844, 3, 5, 3, 3, 20, Đông nam
150 triệu VNĐ/m2,Đào tấn, 96m2,"Bán gấp mảnh đất mặt ngõ phố Đào Tấn, Ba Đình. Diện tích 96m2, mặt tiền 7,3m, 2 mặt ngõ. Cách phố Đào Tấn 20m, ngõ rộng oto nhỏ vào được. Vị trí đẹp, trung tâm, thuận tiện phân làm 2 căn hoặc xây chung cư mini. Giá bán trao đổiLiên hệ ☎️ 097.8080.326",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833239.2295508,,,,,,
"4,3 tỷ VNĐ",Đống Đa, 47m2,"MT: Nhà cách hồ Văn chương 100m. Ngõ trước cửa nhà 3m5 .Mặt tiền 3m3 . Diện tích 48m x 5 tầng 8 phòng ngủ Nhà mới xây .Đang cho thuê 21tr/ tháng + Sổ vuông đẹp,sẵn sàng giao dịch. Liên hệ : 0966682624",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833240.8183024, 4, 5, 3, 3,,
"4,3 tỷ VNĐ",Đống Đa, 43m2,"Mô tả: + Vị trí: Nhà nằm trung tâm Đống Đa, hai mặt ngõ trước sau, đi lối nào cũng được, ngõ xe ba gác vào đến cổng. Cách mặt phố Tôn Đức Thắng và mặt Ngõ Văn Hương gần. + Thiết kế: - Tầng 1 Sân để xe, Phòng Khách + bếp + Wc. - Tầng 2-3-4 mỗi tầng 2 Phòng Ngủ + WC ( phòng nào cũng có cửa sổ). - Tầng 5 Phòng Thờ, sân phơi. Sổ vuông vắn nở hậu Liên hệ : 0966682624",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833243.1368916, 6, 5, 3, 4,,
11 tỷ VNĐ,"Hoàng Văn Thái, Thanh Xuân, Hà Nội", 72m2,"Chính chủ bán nhà Hoàng Văn Thái DT 72m2*4T giá 11 tỷ.+ Nhà nằm tại khu vực trung tâm thủ đô thuận tiện đi lại giữa các quận. Từ nhà ra mặt phố chỉ vài bước chân.+ Khu vực gần nhiều bệnh viện lớn: Bệnh viện Đại học Y Hà Nội, Bạch Mai,... Gần nhiều trường đại học và các trung tâm thương mại như BigC, Royal City, Vincom Phạm Ngọc Thạch.- Khu vực sầm uất, xung quanh đầy đủ tiện ích, Siêu thị, chợ, gần các trường đại học Thuỷ Lợi, Công Đoàn, gần Royal City, Trung Tâm Tiêm Chủng VNVC, bệnh viện đại học Y...+ Kết nối các tuyến phố chính rất thuận tiện.+ Phù hợp ở kết hợp kinh doanh hay cho thuê.+ Sổ đỏ đẹp, sẵn sàng giao dịch, liên hệ, Thành 0912525146",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833244.9132514,,,,,,
"14,5 tỷ VNĐ","Đầm Trấu, Hai Bà Trưng, Hà Nội", 85m2,"Bán nhà Q. Hai Bà Trưng vị trí siêu đẹp. 85m2. - Vị trí siêu đẹp – hiếm – vỉa hè rộng – khu vực tập trung nhiều quần thể tiện ích của TP.  DT 85 m2, chỉ 15 tỷ, Toà nhà vị trí đẹp, gần hồ Gươm, Phố cổ. + Sổ đỏ vuông đẹp. - Liên hệ: Quỳnh – chuyên thổ cư khu vực Hà Nội, để được tư vấn trên 300 căn nhà, đất thổ cư khu vực Hà Nội",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833247.0594237,,,,,,
10 tỷ VNĐ,"Lê Thanh Nghị, Hai Bà Trưng, hà Nội", 40m2,"Bán nhà Đường Lê Thanh Nghị, Hai Bà Trưng-HN, nhà vị trí siêu đẹp. 40m2. - Vị trí siêu đẹp có 102 – hiếm – vỉa hè rộng – khu vực tập trung nhiều quần thể tiện ích của TP, kinh doanh sầm uất.  DT 40m2, trước T1 cho thuê 30tr/tháng, giá chỉ 10 tỷ. - Liên hệ: Quỳnh – chuyên thổ cư khu vực Hà Nội, để được tư vấn trên 300 căn nhà, đất thổ cư khu vực Hà Nội",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833249.3428898,,,,,,
48 tỷ VNĐ,"Hàng Da, Hoàn Kiếm, Hà Nội", 70m2,"Bán nhà Phố Cổ, Hoàn Kiếm-HN, nhà vị trí siêu đẹp. 48 tỷ. - Vị trí siêu đẹp – hiếm – vỉa hè rộng – khu vực tập trung nhiều quần thể tiện ích của TP.  DT 70m2, T1, cho thuê 100tr/tháng chỉ 48 tỷ nhanh quyết định, để có cơ hội sở hữu căn nhà hiếm có. - Liên hệ: Quỳnh – chuyên thổ cư khu vực Hà Nội, để được tư vấn trên 300 căn nhà, đất thổ cư khu vực Hà Nội",07/01/2022,Tin thường,batdongsan_so_com_vn_1673833251.1762912,,,,,,
